"","Symbol","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENSG00000271009","RP11-346C20.3",2.0681239493812,-1.00102509525747,5.39793289495217,7.37954675967873e-06,0.113763092847207,-0.986704916459694
"ENSG00000177599","ZNF491",1.81640980667572,-0.561774599736818,4.94444653578525,2.66940309588963e-05,0.205757590631173,-1.36548049920907
"ENSG00000276471","RP11-398A8.5",-1.65624501877713,-0.212771814706995,-4.63208401704167,6.45724764416664e-05,0.33181643227491,-1.54200993970905
"ENSG00000269086","CTC-523E23.5",1.08097390128203,0.789827253406884,4.45964089875833,0.000104921535715694,0.377857397736829,-1.12134996638206
"ENSG00000186081","KRT5",1.94544239254953,-0.43901138685678,4.29572508296257,0.000166069965924206,0.377857397736829,-1.84775628714378
"ENSG00000213057","C1orf220",1.10627059784992,-0.242894701460484,4.26499583181356,0.000180946951351933,0.377857397736829,-1.89845045658131
"ENSG00000178773","CPNE7",1.40018619531306,0.122652783673573,4.25702936281947,0.000185013628492338,0.377857397736829,-1.62771850691407
"ENSG00000268056","CTD-3032J10.2",1.50691394651616,-0.743701683044661,4.23618415324048,0.000196085831726429,0.377857397736829,-2.10931053177956
"ENSG00000282431","TRBD1",1.33776401759745,-0.0547255942255377,4.11492565416851,0.000274692561985183,0.470517837284842,-2.06037213778273
"ENSG00000197632","SERPINB2",-1.0564120328149,0.786297065664573,-4.02564930392034,0.00035164958612866,0.542103001975942,-1.33118075951674
"ENSG00000160602","NEK8",0.697683426391767,2.46222343647771,3.9440551997292,0.000440259926553294,0.608135345736056,-0.537971061611835
"ENSG00000282780","TRBJ1-6",1.1095303371296,-0.0791270292573699,3.9176405730466,0.000473379874729675,0.608135345736056,-2.202466319466
"ENSG00000197429","IPP",0.384334078115816,2.84651710961685,3.83474069972011,0.00059394815331705,0.668964772724525,-0.565332120693542
"ENSG00000272142","RP11-428J1.5",-1.07448491676819,-0.375162214180684,-3.80484001097396,0.000644412622593158,0.668964772724525,-1.95681093627626
"ENSG00000165131","C7orf34",-1.27550242927079,-0.209975697005989,-3.77789580153408,0.000693454557303912,0.668964772724525,-2.34489254158909
"ENSG00000257913","RP11-386G11.5",0.73919896039489,0.899717159498826,3.77744409631598,0.00069430697739961,0.668964772724525,-1.81548215273122
"ENSG00000254884","PRR13P2",1.30796400912206,-0.567421806999712,3.74217155891498,0.000764120726327248,0.676652641350104,-2.46608291799886
"ENSG00000166484","MAPK7",0.561169873584686,2.34274757397301,3.70278880621313,0.000850157396273963,0.676652641350104,-1.06651346066684
"ENSG00000284830",NA,1.22964818465846,-0.766167332291611,3.70108194341891,0.00085409197539178,0.676652641350104,-2.55879687358048
"ENSG00000279880","RP11-855A2.2",1.0946266270419,-0.443299046218101,3.68982568020018,0.000880486605438367,0.676652641350104,-2.47807548908485
"ENSG00000255559","ZNF252P-AS1",1.27125541578973,-0.0753126777347118,3.65912011967841,0.000956585441997406,0.676652641350104,-2.49473482211418
"ENSG00000225507","AC069282.6",-1.41631955795747,-0.948034949294332,-3.65562466486313,0.000965643364666729,0.676652641350104,-2.59454548688152
"ENSG00000237190","CDKN2AIPNL",-0.309251475168539,3.70266464995933,-3.56629932627236,0.00122753055209029,0.822765695261907,-0.94893732829143
"ENSG00000284747",NA,-1.33606422212757,-0.811870554311815,-3.53602290598727,0.00133101835570972,0.842850198441839,-2.68966152857371
"ENSG00000227398","KIF9-AS1",0.810773869657753,0.358072749922118,3.52184181179713,0.00138234891817673,0.842850198441839,-2.2015590735236
"ENSG00000125730","C3",1.18547560081025,-0.20611096183263,3.50987878578334,0.00142713582555773,0.842850198441839,-2.47741506522926
"ENSG00000286942",NA,-1.42480575742449,-0.255707946972076,-3.4967377485579,0.00147795050064138,0.842850198441839,-2.66521769542444
"ENSG00000135372","NAT10",0.341217815651849,4.22116908566672,3.47628343894478,0.00156054213569394,0.842850198441839,-1.13222406528157
"ENSG00000185532","PRKG1",-1.12939415362023,-1.14439689358836,-3.46213311672556,0.00162027040274186,0.842850198441839,-2.45531088841221
"ENSG00000281005","LINC00921",0.42457605117286,3.01271605803477,3.45349428671237,0.0016578137922353,0.842850198441839,-1.38256998377124
"ENSG00000132017","DCAF15",0.630055614444103,2.73835320554224,3.4100696291786,0.00185961139768274,0.842850198441839,-1.55196454086699
"ENSG00000144749","LRIG1",0.436316451623372,3.31805277603218,3.40843938324148,0.00186763099649996,0.842850198441839,-1.36433271816388
"ENSG00000221988","PPT2",0.71828253799973,0.982733654583357,3.40317547554815,0.00189375374929122,0.842850198441839,-2.15300611547764
"ENSG00000171877","FRMD5",0.833926808741751,-0.172283940320998,3.38798783091913,0.00197111277827535,0.842850198441839,-2.63626319679842
"ENSG00000167333","TRIM68",0.475758575848322,2.98106501145909,3.38765432564316,0.00197284520122727,0.842850198441839,-1.47692558571506
"ENSG00000140287","HDC",2.1542011969954,2.44958021292558,3.37813738608773,0.00202290441979321,0.842850198441839,-2.15009532639744
"ENSG00000000003","TSPAN6",1.43242674231066,-0.0312106793175273,3.36817627597246,0.00207660924470737,0.842850198441839,-2.75868729323415
"ENSG00000170017","ALCAM",-0.381453785475508,3.63704775591473,-3.36187485679046,0.00211128893259284,0.842850198441839,-1.40140032465209
"ENSG00000167578","RAB4B",1.17775631305668,-0.208778386177829,3.34684454458696,0.00219627231716509,0.842850198441839,-2.81218563723673
"ENSG00000003987","MTMR7",-0.88660780401446,-0.486057717056128,-3.34086757933988,0.00223097316778854,0.842850198441839,-2.6562018133528
"ENSG00000156398","SFXN2",0.686309854498693,1.93502428880282,3.33787904469672,0.00224852101022746,0.842850198441839,-1.87173172647425
"ENSG00000241112","RPL29P14",1.28478951018478,-0.680759613905984,3.32686778246911,0.00231432830866347,0.842850198441839,-2.88537773362811
"ENSG00000260261","RP11-480A16.1",0.904134649974878,0.678182937312963,3.29716701584638,0.00250118891141801,0.842850198441839,-2.45195490742081
"ENSG00000115355","CCDC88A",-0.323914320860704,5.07906409643855,-3.29454876551379,0.00251833913453016,0.842850198441839,-1.5046639010216
"ENSG00000241560","ZBTB20-AS1",1.02076036951023,0.374580678188347,3.29034018818697,0.0025461431915282,0.842850198441839,-2.77922173006114
"ENSG00000265778","RP11-17M16.2",-1.07603906736052,-0.76448659730708,-3.28838427718884,0.00255916501329941,0.842850198441839,-3.01071930951416
"ENSG00000111145","ELK3",-0.290972001493009,4.33655397916684,-3.28681405959874,0.00256966523915195,0.842850198441839,-1.52931607875113
"ENSG00000149292","TTC12",0.59887443527792,2.43819119794293,3.27110855402944,0.0026769895835894,0.859759821262795,-1.85944360881882
"ENSG00000150990","DHX37",0.664081683528451,1.48978902374008,3.25340009543754,0.00280315663644811,0.87529112792471,-2.18121983789279
"ENSG00000171045","TSNARE1",0.547737467853889,2.6434742367983,3.2418075148296,0.00288881549414348,0.87529112792471,-1.81091363749763
"ENSG00000272758","RP11-299J3.8",-0.97423565192707,-0.164554520724506,-3.24089243135922,0.00289568289596265,0.87529112792471,-2.77508593586283
"ENSG00000100526","CDKN3",-0.639938908041422,0.783720095681439,-3.23315018907949,0.00295441501017486,0.875870419170301,-2.22207767200972
"ENSG00000143373","ZNF687",0.686524623502589,1.15691825047322,3.20806981653691,0.00315260581214838,0.899563848764882,-2.38380342848402
"ENSG00000285533",NA,-0.426359014610549,2.26801396875266,-3.20496992756584,0.00317796740144201,0.899563848764882,-1.89651537710314
"ENSG00000221930","FAM45BP",-0.692298791672456,0.301374813572146,-3.19013023460583,0.00330210448755753,0.899563848764882,-2.58123400557065
"ENSG00000265996","MIR3671",0.871683531164944,0.612991247232319,3.18737284590737,0.00332567562013985,0.899563848764882,-2.52311459681368
"ENSG00000283897",NA,1.01044132387328,-0.332544432293368,3.18646329988852,0.00333348595062949,0.899563848764882,-2.80380996703749
"ENSG00000182472","CAPN12",0.830022038406926,0.789951636762291,3.18057768539524,0.00338445142892859,0.899563848764882,-2.59369549125178
"ENSG00000285572",NA,-1.17219372941061,-1.02300244414938,-3.16097708309604,0.00355960131203473,0.903179622110129,-3.13866885663576
"ENSG00000120162","MOB3B",0.531024350990091,1.73908407094712,3.15732440536808,0.00359318411794092,0.903179622110129,-2.153941840571
"ENSG00000105738","SIPA1L3",0.367341738063948,2.74415768250303,3.13520752382198,0.00380307627587196,0.903179622110129,-1.97988624987587
"ENSG00000180875","GREM2",1.70783838957816,-1.41102243864956,3.1335882633001,0.00381889423756196,0.903179622110129,-3.11336271799972
"ENSG00000154274","C4orf19",1.14935337113514,-0.933991547207314,3.13293999090527,0.00382524454203111,0.903179622110129,-3.13740314039102
"ENSG00000175595","ERCC4",-0.325882846800272,3.24390520439823,-3.12421142770802,0.00391173369189666,0.903179622110129,-1.89289352991382
"ENSG00000105556","MIER2",0.91471486527839,1.0821905440418,3.12346049448178,0.0039192609599202,0.903179622110129,-2.64190733082961
"ENSG00000175662","TOM1L2",0.327784652702021,4.20326612234625,3.11558801318318,0.00399900927021303,0.903179622110129,-1.8993998625593
"ENSG00000261098","RP11-819C21.1",-0.678036331707184,0.519388538893906,-3.10311649931046,0.00412851866156604,0.903179622110129,-2.40693975072026
"ENSG00000138119","MYOF",-0.577370013303755,2.68848395911701,-3.10014677015812,0.00415994120186359,0.903179622110129,-1.99876576129298
"ENSG00000172006","ZNF554",0.638495726178018,1.2484870518128,3.09834422482953,0.00417912475190758,0.903179622110129,-2.38715370637819
"ENSG00000287613",NA,0.962687319307364,-0.180523340824487,3.09605745482786,0.00420358287244106,0.903179622110129,-3.09047791524901
"ENSG00000164663","USP49",-0.639505955730281,0.916979372581292,-3.09479066833515,0.00421719036148597,0.903179622110129,-2.46871910511477
"ENSG00000271122","RP11-379H18.1",-0.547574851828063,1.18972077865776,-3.09149577073466,0.00425277992543337,0.903179622110129,-2.36438760248189
"ENSG00000268471","MIR4453",0.766009690332716,1.65536862454226,3.08928104963371,0.00427686250739747,0.903179622110129,-2.41038420359542
"ENSG00000159164","SV2A",-0.924039816851368,0.0238060772116829,-3.0768676601252,0.00441426428686819,0.91959862495081,-3.06375193389333
"ENSG00000197976","AKAP17A",0.234366641426097,5.94683497149438,3.05583367317671,0.00465671832535369,0.957172929382034,-2.02590744160637
