"","ThreeHrMain","SixHrMain","NineHrMain","TwelveHrMain","FifteenHrMain","EighteenHrMain","TwentyoneHrMain","AveExpr","F","P.Value","adj.P.Val"
"DDIT4",0.387365758704289,1.48929361827615,0.585286845590712,0.432933745392968,0.263693591925482,0.192725260490727,-0.103509544582055,5.03234639801118,36.7919269071323,7.13565143656806e-21,1.16946191393914e-16
"ERGIC1",-0.000567196944371684,0.309190566392446,0.64364115795343,0.535744802583585,0.336486725263555,0.233264396023255,0.155777103159365,7.53613140752368,34.1914290046352,4.95594706080601e-20,4.06115081897748e-16
"NR1D2",0.0101965430972153,-0.147699737146076,-0.353165008188665,-0.48588706639407,-0.358613313502406,-0.206628239834997,-0.103256583412173,5.88992573990311,31.3971676308322,4.52142655811984e-19,2.47005532870087e-15
"SMAP2",0.148006862727175,0.59326577980179,0.700130572630441,0.456763625692103,0.280608598952268,0.17659854315676,0.0671207853592488,9.28824588760895,28.5538336617215,5.00526841409799e-18,2.0507836009663e-14
"PER1",0.154377772535487,0.666404481443627,-0.124703373573993,-0.177854752949097,-0.235234842679484,-0.197039096522881,-0.211511062800863,5.38208254915481,27.6332415101143,1.13133271093842e-17,3.70828235991395e-14
"DAAM2",0.0923842431747545,0.865830599025361,2.32931821852681,1.68226406312452,1.29972274142556,0.502986134650174,0.0226826507899297,1.74244902936877,27.1190630502757,1.79918884825777e-17,4.91448433901609e-14
"BIRC3",-0.0534823278862713,-0.331608099438775,-0.501272524414949,-0.449191083530921,-0.240218301202473,-0.144386168850301,-0.0576383324871226,7.4087511946452,26.677402943072,2.6935031198618e-17,6.30626037591643e-14
"FKBP5",0.200714767672298,0.896471136305459,0.561157271248449,0.25737692154297,0.0457177719179098,0.0189515844322918,-0.0736329689420381,6.78251804832597,25.5238715520768,7.90370296165198e-17,1.46808088450286e-13
"CRISPLD2",0.105402042315819,0.520701120546997,1.14103533642503,0.948427251511288,0.580375088346397,0.299975429280673,0.168837357184505,6.90264817731108,25.50296142036,8.06194884405745e-17,1.46808088450286e-13
"MBOAT2",0.0291422005772373,0.364978041707028,0.55484367995175,0.505016291830545,0.356581478070908,0.256301395022769,0.157550765158527,6.57084110821319,24.6726962853466,1.78775778894906e-16,2.92995624030862e-13
"ABCD2",-0.0178672086589899,-0.390371682246511,-0.528053582627871,-0.482116248972271,-0.203598964669127,-0.150866953474446,-0.0467000564252111,4.77552209206434,24.3075081732576,2.55255864793515e-16,3.49369170945959e-13
"BCL2",0.127930460571812,-0.0436388460192418,-0.318267578216079,-0.384442268683967,-0.178773451171215,-0.0780139574927183,-0.0825382895271551,7.02960200653037,24.3053056399278,2.55807556980384e-16,3.49369170945959e-13
"PCTP",0.060655972896555,0.227657411178151,0.441549149198542,0.394522581655523,0.200132350038575,0.110795683952657,0.0574892677816625,4.95087358403878,23.8385727029171,4.0544037691107e-16,5.11135564399656e-13
"TMCC3",-0.0399833986881135,0.230937607686505,0.613424135726897,0.595416735751891,0.417558445470076,0.308676800637407,0.166341733269373,6.52238738285836,23.5571396161746,5.3681001732875e-16,6.28412812428634e-13
"DUSP1",0.13904939257916,1.0644620894044,0.776255857689712,0.714326004356657,0.490996348463927,0.370074571828902,0.131450093509656,7.66875623656671,23.4348783085148,6.06849581166225e-16,6.63043852382217e-13
"CEBPD",-0.0449432275156023,0.677733547061258,0.66632175649223,0.59198797245454,0.343962485454947,0.225867054975453,0.173520751076377,7.49519394672544,23.1839162441626,7.81622061754851e-16,8.00625248131266e-13
"BACH2",-0.00154906713171643,-0.286156271892817,-0.540195140815727,-0.492588560636905,-0.291634589010104,-0.166502013390058,-0.0910605364113724,6.76717821123521,22.8012312002228,1.15385916659654e-15,1.11238811066769e-12
"CLEC4E",0.176818104124644,0.930063593060478,1.14058473180448,0.859703788102012,0.599393054175824,0.422700628115432,0.297188815346969,5.8268211916808,22.4402017012608,1.67295388212326e-15,1.5120460130476e-12
"MARK3",0.0259278972492951,0.194513274509342,0.358797810450203,0.276028332546066,0.166813624912881,0.137093464184114,0.083603583514928,7.3687608755489,22.3950848256728,1.75293637487976e-15,1.5120460130476e-12
"EMC3",0.0730644460541998,0.337998780170737,0.534713722305293,0.43305007451926,0.279857792851196,0.239095907184622,0.110428884848829,6.02897036860668,22.2770943068857,1.98123937667636e-15,1.55901821460599e-12
"MAP3K3",0.0495167957472638,0.218553313710094,0.378115663440191,0.341767967700149,0.193943103224562,0.0912999587353545,0.064252044271278,7.9073997201984,22.2691624320782,1.99764369435145e-15,1.55901821460599e-12
"REPS2",0.0141491319879052,0.440275488984988,0.747552556447673,0.639565846336767,0.449511862175203,0.335404413849745,0.273285049214989,6.0842673189233,22.1955593898231,2.15669446531002e-15,1.60663934508936e-12
"NELL2",-0.000414460006006756,-0.315824137877378,-0.669093775153283,-0.624274046917683,-0.380810764712074,-0.198353144229442,-0.0795194404318464,5.89776998738236,22.0804623310856,2.43199234720534e-15,1.73295315558036e-12
"FOSL2",-0.0440664582165473,0.139526463427665,0.544929004716144,0.506146880784269,0.411941265787677,0.312676045428015,0.239775563396452,8.48820663414189,21.580326909771,4.11887216391663e-15,2.81267482893457e-12
"MPZL1",-0.00490968861888819,0.346118501526999,0.775274605704929,0.683938807830539,0.457636800545669,0.340240180632841,0.211251654782867,5.94444785982984,21.4563095406594,4.69952960278565e-15,3.08082362640216e-12
"DNAJB6",-0.0396086372835889,0.113763826599852,0.31963907507782,0.318441557207178,0.20198161328051,0.17563753435443,0.150491535846358,6.36443739427314,21.1667726767086,6.40648448465608e-15,4.03830285457802e-12
"CEP68",-0.00425894666393845,-0.219314621704146,-0.41693284998938,-0.411665723476893,-0.21183581127643,-0.181097525721518,-0.0879114244163994,5.23644634327201,20.9029462968304,8.51689562718317e-15,5.16975564570018e-12
"ALS2CR12",0.152285510278699,0.513575922296281,0.690062500008441,0.561232353743454,0.408211354765215,0.3623370365612,0.129033642864619,5.36582717893153,20.8064545299878,9.45717575449505e-15,5.53548762287212e-12
"SYTL3",0.0631219434980155,0.385909466483218,0.565790226261917,0.442952268796668,0.266420637233811,0.243719460183236,0.0858417842296446,5.14273959603999,20.6448170261101,1.1278543925508e-14,6.37393297914312e-12
"CPEB4",0.0359766063671452,0.289400292059392,0.429410421362297,0.370866317771668,0.240384085701213,0.191089542357267,0.122059934930794,7.56211372222162,20.5670965097672,1.22791962454146e-14,6.58525639118387e-12
"TCF7",-0.0351028203396435,-0.376360589181123,-0.563203370581915,-0.545747544889149,-0.349458484819069,-0.219952783823416,-0.127560891049773,8.39101032316812,20.5540370363554,1.24560954375923e-14,6.58525639118387e-12
"RHOH",-0.0206810470910761,-0.257607371945223,-0.370939505280787,-0.364775587150213,-0.178950846945904,-0.088762884696417,-0.065219301368741,6.04192833720759,20.264629464776,1.71276783050797e-14,8.77204749193599e-12
"GABARAPL1",-0.00333278913595469,0.233428912017331,0.533930679702598,0.459462642128501,0.360291249436574,0.256408116665451,0.141293718705361,5.73931323728526,20.2300203479939,1.77960508122964e-14,8.83816596250684e-12
"CCND3",0.0795872232014276,0.417410889476513,0.269813508443797,0.176889711312171,0.0929118778019946,0.037975486287694,-0.0112224276148956,7.89809827329787,20.1558907175243,1.93194323931629e-14,9.31253463210432e-12
"NSFL1C",0.0942975728195679,0.331495846473163,0.347003321932396,0.328377420152682,0.181822687334225,0.137546589763275,0.072241211529168,6.1551323370291,20.0808762534756,2.0997910361323e-14,9.83242151176351e-12
"WIPI1",0.0705617153643705,0.343040100039052,0.404571575095687,0.332687580889869,0.207805189745801,0.148258916738586,0.060190704094929,4.86509629197929,20.0066819884668,2.28058828796934e-14,1.03823781809804e-11
"CD8B",-0.0646470802923567,-0.4024617836181,-0.476718139171782,-0.479426731948007,-0.259088339575493,-0.167896824230101,-0.0985174958317168,5.10304863852114,19.9786392799601,2.35302616385478e-14,1.04226339998422e-11
"TPST1",0.262120433274538,0.746135959377481,1.24317565460952,0.814036335001801,0.523295862157682,0.407441304093074,0.238080474631655,2.96739660178803,19.7439482227734,3.06023130956487e-14,1.31984555085417e-11
"SNN",-0.0463464649116112,0.0926229732902706,0.407194244115981,0.338775207870214,0.153976974039592,0.0725277686380057,0.0866376857922639,7.78292934840391,19.6739146092639,3.31113535532367e-14,1.39144095739486e-11
"ABHD5",0.0414909668880812,0.366806771552689,0.754805863829886,0.629076818042408,0.454641075819962,0.351469829811032,0.231897959002111,6.52239739915068,19.6337808910562,3.46436290328685e-14,1.41889741518251e-11
"LPCAT1",-0.0676024182357113,0.13726136830414,0.306056293093638,0.315889005217176,0.252348877768878,0.139141510829037,0.0481480409043975,7.43430390440653,19.6122322968043,3.5496243835794e-14,1.41889741518251e-11
"PHC2",0.038024402679361,0.568719407478458,0.741828778196956,0.657838056079803,0.412626676822446,0.272774566576174,0.160992783353039,7.96197702770225,19.4980066507303,4.03902426263619e-14,1.57608496762725e-11
"HIP1R",-0.0441113783732501,-0.334454040363161,-0.505699456920027,-0.432275577616331,-0.300694532698038,-0.197885300944817,-0.119009193130097,5.88431597452287,19.4026787501593,4.50037397861237e-14,1.71527044501112e-11
"SCLT1",0.139069310278098,0.400626019515737,0.473729845888457,0.452170815683084,0.30006505717527,0.272415514462293,0.138433077228849,5.63019294771303,19.2351159826026,5.4471085522758e-14,2.00041685752539e-11
"FAIM3",-0.0268619436931368,-0.255797724536972,-0.468370705988177,-0.429960692324511,-0.270373884514044,-0.145824176333677,-0.116507264345633,7.62206449527243,19.2278322765406,5.49263277738986e-14,2.00041685752539e-11
"HAL",0.00250768171369486,0.32235206146429,0.665443506073816,0.589127633936988,0.38233643424714,0.310027395067678,0.162200722150384,6.2627238992187,19.1273195836886,6.16236626774074e-14,2.14808236043838e-11
"CDK19",0.0255834166016196,0.133879539337944,0.400067647667855,0.365840795162856,0.255568173029681,0.193569112815967,0.150790343513543,6.30551557994161,19.1101013394582,6.28526341994733e-14,2.14808236043838e-11
"TAX1BP1",0.0278820732103489,0.146873407993142,0.292387661882919,0.252637134494388,0.145193959096804,0.111872671457018,0.0873046525709316,6.90995953820842,19.1092659142456,6.29129009097824e-14,2.14808236043838e-11
"CASS4",0.0211879203317067,0.182028993778915,0.432534783807577,0.351927263953832,0.268469775413733,0.230750983103297,0.150376832444154,6.00319396795062,19.0854207804814,6.46583561690416e-14,2.16262408011107e-11
"LEF1",-0.0132774101333153,-0.279871954592107,-0.548963173222493,-0.515201832073534,-0.310466540567699,-0.194172754610357,-0.111282477723473,7.38137444163835,19.0465284727123,6.76128629528448e-14,2.21621442186835e-11
"SEC14L1",-0.0255183195276292,0.206638981753502,0.470392140863947,0.445232058350506,0.30085456276852,0.200076041439133,0.137016995782424,9.73133989445668,19.020106374063,6.96989555212926e-14,2.23979643536954e-11
"GCNT4",-0.122280974644376,-0.292417079130796,-0.574369533365643,-0.507713880820858,-0.334192204443796,-0.109634974366975,-0.0837804741931492,3.92402028647868,18.964487141156,7.43093596316736e-14,2.3420309519298e-11
"TBXAS1",0.0761923395945638,0.275862464181375,0.491131365290015,0.386502784195898,0.26559193877404,0.166116995148664,0.12932004123947,7.09070428208225,18.9429808823867,7.61751286272894e-14,2.35553619447669e-11
