"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZNF512B",-0.249938304446779,5.43755626784515,-5.57183021713036,4.54400057709486e-07,0.00626704053607987,6.18340061743838
"DBP",-0.268348209631953,5.05561978868457,-5.33950537391774,1.13150923541995e-06,0.00626704053607987,5.32809484806081
"ZNF414",-0.275461162253166,3.91065440662731,-5.290751864098,1.3679056500242e-06,0.00626704053607987,5.1324840283805
"SPPL2B",-0.220864059359953,5.84022086312936,-5.17395507971422,2.14943565414617e-06,0.00626704053607987,4.72466494551634
"NUBP2",-0.187608755008563,4.9134371017463,-5.16064940815552,2.26245296279643e-06,0.00626704053607987,4.68108208962998
"BCKDHA",-0.219286303604472,4.8887140858102,-5.14290822531116,2.42225362115526e-06,0.00626704053607987,4.61763525834009
"PTGS2",0.442677102003622,5.70806594594834,5.08340215251067,3.04332906740771e-06,0.00626704053607987,4.39966768970065
"FAM20C",-0.546357270372914,3.34228158922935,-5.08204770454412,3.05914480985044e-06,0.00626704053607987,4.3445262020285
"NEIL3",0.395335375795564,5.33892580977392,5.01297035488967,3.98193598720051e-06,0.00682813628020231,4.15195054902214
"SCLT1",0.272415514462293,5.63019294771303,5.00107375004472,4.16629219610856e-06,0.00682813628020231,4.10614693194303
"SLC29A2",-0.327803727173657,3.30049089199034,-4.94118487656806,5.22890410759543e-06,0.00743498738534187,3.87162647071316
"PES1",-0.195468931904851,4.87432718064098,-4.88968861782412,6.35120040239101e-06,0.00743498738534187,3.71929828876617
"ALS2CR12",0.3623370365612,5.36582717893153,4.86888850729037,6.86847412904875e-06,0.00750449483339867,3.64346072840101
"PIDD",-0.198191916015896,4.84217141296226,-4.82486862619366,8.10258829380708e-06,0.00795239653462062,3.49277724727127
"ZNF638",0.154318924136349,7.23980954169386,4.80265650679899,8.80501564683605e-06,0.00795239653462062,3.41586479076358
"BANP",0.197273485997213,5.85311322177633,4.76959906406263,9.9617027786991e-06,0.00795239653462062,3.28928132277922
"CASS4",0.230750983103297,6.00319396795062,4.75660850833527,1.0455729993823e-05,0.00795239653462062,3.24388234851527
"TRA2A",0.182216105605554,6.28709780784029,4.75421240067763,1.05494283957631e-05,0.00795239653462062,3.2367181074091
"VNN3",0.475587042489329,5.4454364440323,4.75103333550637,1.06750090769207e-05,0.00795239653462062,3.23032368385211
"COL8A2",-0.521578541873873,2.24777874677019,-4.81588141120087,8.37994684491633e-06,0.00795239653462062,3.2015473712864
"P2RX4",-0.244084170581359,4.20291772518777,-4.71990648931821,1.19842037363336e-05,0.00853952674064225,3.13960998280675
"C1orf63",0.225060598301995,7.51701303037886,4.6961706539546,1.3086488858881e-05,0.00893643607950836,3.05157503502058
"FOSL2",0.312676045428015,8.48820663414189,4.68103179221534,1.38405008651849e-05,0.00907327874718061,3.00818153762652
"PFKL",-0.136897324234842,7.19487431967162,-4.65510107511973,1.5231484620497e-05,0.00960110774789712,2.90719558911652
"RGS18",0.247578458925348,8.4250030045902,4.61853480292846,1.74267007017178e-05,0.0104638876276105,2.79626841384057
"FAM49A",0.206379796782338,7.0629314254011,4.58581558398838,1.96498630816086e-05,0.0104638876276105,2.66586781700874
"KIF14",0.317239845223535,3.95074019767887,4.57715204197069,2.02832850758005e-05,0.0104638876276105,2.65856201722263
"TSPAN4",-0.351378736285529,3.22494162998141,-4.58292169812997,1.98592743912079e-05,0.0104638876276105,2.64700151486377
"MANBA",0.181150117083352,6.06253110996387,4.57620801282259,2.03534947304802e-05,0.0104638876276105,2.62232676992597
"NR1D2",-0.206628239834997,5.88992573990311,-4.57516895128039,2.0431045462416e-05,0.0104638876276105,2.61909924896258
"IDUA",-0.19786584821346,4.91104903993332,-4.56446378700377,2.12469495318945e-05,0.0105520077538854,2.59523605549341
"ZC3H7B",-0.149395356699682,6.42946912111302,-4.54379504291436,2.29128305774783e-05,0.0110446582451262,2.51600917824485
"IL17RE",-0.755884731306544,0.381264892601193,-4.91513884757948,5.76988790938712e-06,0.00743498738534187,2.46196827072031
"DNA2",0.263545347485228,4.19325325876801,4.51689957120545,2.52716753550279e-05,0.0112974163880339,2.45568435987231
"APEX1",-0.192096446796863,5.30658522974882,-4.51899019527586,2.50801625204925e-05,0.0112974163880339,2.4326838122201
"BPTF",0.118980139843432,8.15710997249038,4.50529432685071,2.63608964293152e-05,0.0112974163880339,2.41400290686408
"TLE2",-0.316891155288376,3.16159751164103,-4.50568848634432,2.63231650848144e-05,0.0112974163880339,2.41000022723605
"TEF",-0.281759991805156,3.49941345797573,-4.49734906112248,2.71327665458147e-05,0.0112974163880339,2.38991657538053
"HIST1H2BC",0.266176927771792,5.57241115174002,4.48492599720719,2.83838380569906e-05,0.0112974163880339,2.31540482312306
"GAPVD1",0.105887285642661,6.90659715210927,4.47936460864772,2.89618889794488e-05,0.0112974163880339,2.30400157119747
"C17orf70",-0.162464558244131,5.55122617767518,-4.47436130938983,2.949168890691e-05,0.0112974163880339,2.27883945437089
"TMEM71",0.247736811790563,6.93288705235383,4.47178315645316,2.9768351763182e-05,0.0112974163880339,2.27839822546104
"AVIL",0.445503271474564,3.87847310668627,4.45946859495033,3.11249761914726e-05,0.0112974163880339,2.26850038929991
"CLPP",-0.187742845114834,3.94005479161771,-4.44451326046905,3.2853357386269e-05,0.0112974163880339,2.21765512313831
"TPCN1",-0.198119751501584,6.32518861918598,-4.45321861795362,3.18362716907257e-05,0.0112974163880339,2.20852928722763
"PKN2",0.218519376413639,7.41667689353812,4.44254374149518,3.30878019784996e-05,0.0112974163880339,2.18942108248442
"DLEU2",0.228080963603004,5.68528228515006,4.4434707978948,3.2977246904892e-05,0.0112974163880339,2.17490491403995
