"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZFP64",0.489580460430277,3.39186126421391,4.18143276176571,8.37815875819539e-05,0.999833409481032,-1.85121863690061
"UBTD2",0.443835933811323,3.11211193122754,4.00808294420566,0.000152810634513958,0.999833409481032,-2.31374958855264
"SNORD49A",-1.13416353490664,0.328416332382273,-3.69331425439999,0.000439368457991208,0.999833409481032,-3.94387039092119
"HIST1H4J",1.26816287145641,-0.292643820913453,3.67909580328781,0.000460317496054962,0.999833409481032,-4.1030122701058
"KCNQ4",1.28516825428064,-0.838847488831515,3.59132717354326,0.000612275691007959,0.999833409481032,-4.23021555191963
"LOC81691",0.980638522211936,0.825780255762548,3.58155129509985,0.000631888822695683,0.999833409481032,-3.88674650474701
"NDN",1.89528840227428,-1.43076057644256,3.53380967496084,0.000736558418633827,0.999833409481032,-4.34697946727774
"SNORA65",-1.81031384523319,-0.977306411083055,-3.52466628277755,0.000758398011184248,0.999833409481032,-4.27376843208405
"NUDT1",0.67417072047296,1.75912974760036,3.5092352746081,0.000796655505692288,0.999833409481032,-3.48701462122873
"MIR3682",-1.64602584656456,-1.60434463662233,-3.47318565420202,0.00089328582952922,0.999833409481032,-4.3674030956571
"CASP6",0.493601843567229,2.77374394440466,3.46275849284397,0.000923242791553193,0.999833409481032,-3.02668960685137
"SORBS2",-2.78843499670242,-1.82762215981092,-3.40897118311223,0.00109348123224377,0.999833409481032,-4.42662666919269
"DCST2",1.05930024986638,0.321598518843148,3.36293876871252,0.00126232611644746,0.999833409481032,-4.0764558233926
"IFITM4P",-2.23797882700723,-1.62017195466073,-3.34042451611937,0.00135359484887344,0.999833409481032,-4.39238555225073
"LOC101928058",-1.66454888866706,-1.61262311484824,-3.33204414502123,0.00138912899851079,0.999833409481032,-4.38061728592892
"RELN",2.15735833227169,-1.76692456656427,3.32398557819226,0.0014241260933895,0.999833409481032,-4.43063014174782
"C4orf50",-2.16419681305446,-1.30442391856028,-3.32306918160227,0.00142815803745493,0.999833409481032,-4.37876947961118
"ZCCHC18",0.652841390464043,1.2112433095574,3.31504788726568,0.00146391176657209,0.999833409481032,-3.81346118710934
"SS18L2",-0.305875938911127,3.48570356112421,-3.27830362452874,0.00163873372001827,0.999833409481032,-2.86117847126582
"WDSUB1",0.36302514888897,2.90659687079175,3.23822752758488,0.00185169818902026,0.999833409481032,-3.21286504032921
"LIN52",0.487864162880956,2.60586652807474,3.23462659622823,0.00187205532321942,0.999833409481032,-3.30316049765486
"NDUFB3",-0.397179659265935,3.66788721254605,-3.22065650962735,0.00195303740803836,0.999833409481032,-2.8693323584865
"TEPP",1.28290162493095,-1.16271638526553,3.21720957058915,0.00197351814622322,0.999833409481032,-4.35603520480911
"MIR6804",-1.44885607249506,-1.09043482499693,-3.21482355113941,0.00198781299192659,0.999833409481032,-4.36336117998512
"PCP2",0.526799495379572,2.29898545572416,3.18523493606695,0.00217333941200524,0.999833409481032,-3.49686322647091
"FBN1",1.04339874508535,0.908350421355494,3.15931418533491,0.0023490745575146,0.999833409481032,-3.98092858998741
"LOC100131655",-0.464379831452314,1.66318944520366,-3.15133662163236,0.00240578079732533,0.999833409481032,-3.76922558813362
"LOC102724733",-0.58267863620634,1.37516591635082,-3.13848070582059,0.00249986442359744,0.999833409481032,-3.83925558891579
"NDUFA9",0.312389273477081,4.19574079599591,3.12459039758836,0.00260537704567563,0.999833409481032,-2.77523633732835
"SNORD31",0.732434333465645,1.04329548332188,3.1238151380338,0.00261138689971636,0.999833409481032,-3.93577979071829
"CNNM4",0.25765512219904,4.08463887837962,3.10820442764173,0.00273519206045799,0.999833409481032,-2.84018122878837
"ESF1",-0.403992720555284,2.7241525769148,-3.09221519691906,0.00286766306149855,0.999833409481032,-3.33370333515255
"LRRC39",1.57425571723199,-1.18699587121715,3.0873103629278,0.00290948415861947,0.999833409481032,-4.37641133526881
"USP5",0.227487689957226,5.29990419508364,3.07206558802046,0.00304312804362902,0.999833409481032,-2.6185512554313
"GSDMA",1.69019677764229,-1.10883931021711,3.06833221577207,0.0030767177806608,0.999833409481032,-4.38559470556332
"AGK",0.331878948451906,3.97577575831903,3.04625144945884,0.0032825490029981,0.999833409481032,-2.94133623698476
"ORC3",-0.259696353793369,4.1843006898779,-3.04301173107396,0.003313805373296,0.999833409481032,-2.87758077903023
"KHDRBS3",2.03493016245709,-1.99350776068603,3.03146173427326,0.00342750612529294,0.999833409481032,-4.43949423151058
"FAM35A",0.256234160533312,4.54219668249023,3.00955012254899,0.00365324213890606,0.999833409481032,-2.82166658270788
"LOC101927609",-1.49068766581062,-0.666820630051441,-2.98585883161382,0.00391280500770712,0.999833409481032,-4.3619649744924
"RP3.510O8.4",-2.21245263791435,-1.98930582849973,-2.97950518724328,0.00398527079492124,0.999833409481032,-4.46908495405593
"STPG1",-0.553774169697888,1.30211392906106,-2.97500782875831,0.00403731535727521,0.999833409481032,-3.9088922042165
"ZNF252P.AS1",0.618157762588561,1.43636650380181,2.97106421130755,0.00408346991313116,0.999833409481032,-3.89527737249299
"LLPH",0.320516790704291,3.01823946736269,2.96630843588954,0.00413978035178686,0.999833409481032,-3.37650088936754
"PARD3B",-1.76828585604103,-0.0412736924514133,-2.94072524483804,0.00445524563690116,0.999833409481032,-4.32464111584798
"SPEF2",-0.444163944651499,2.57332496693586,-2.9308155286778,0.00458331465843052,0.999833409481032,-3.52750591789401
"SERPINB2",0.840395221187594,0.897846843125334,2.9238884293579,0.00467485152901693,0.999833409481032,-4.09819311033892
"CTH",0.715311758758045,0.627264553386391,2.92358169158625,0.00467894369673311,0.999833409481032,-4.12725100098857
"HDHD1",0.284313331462771,3.73098577575891,2.89151513806575,0.00512548685141302,0.999833409481032,-3.18725605615263
"DTD1",-0.322038980519715,3.4972165369111,-2.88816542803211,0.00517433654273129,0.999833409481032,-3.278685995615
"FLJ42351",0.758682091763495,0.703776362272851,2.87988406818913,0.0052969565923437,0.999833409481032,-4.10225050842998
"PTPRVP",-0.810480729079396,0.434772097248395,-2.85619398804969,0.00566269061905866,0.999833409481032,-4.20121594059686
"TRNAC15",-1.02740293025713,-0.529952851206759,-2.85210873480549,0.00572806470809326,0.999833409481032,-4.31948878313405
"RP9P",-0.72071987790385,-0.0474304574116296,-2.85045836247095,0.00575467139670095,0.999833409481032,-4.2719710523186
"MIR7845",1.31689637907583,-0.826035700805483,2.84589170860389,0.00582888787963238,0.999833409481032,-4.39983581050012
"TM4SF1",1.90237697836216,-1.81615309709023,2.82977728666541,0.0060978773367341,0.999833409481032,-4.48575365793046
"C18orf21",-0.324470874353635,2.9644990913518,-2.82395885242258,0.0061977761455147,0.999833409481032,-3.50042321148214
"ACTN1.AS1",-0.9912985033551,0.0385994456998056,-2.82194503358638,0.00623270140220833,0.999833409481032,-4.2775722070363
"GTSF1",-1.01253170468474,-0.349399147480179,-2.81895271286925,0.00628493108339227,0.999833409481032,-4.31848259474706
