"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NR1D2",-0.358613313502406,5.88992573990311,-7.90159512069977,3.05517487533931e-11,5.00712610319359e-07,15.3199590033455
"FOSL2",0.411941265787677,8.48820663414189,6.18496745228194,3.86893726333258e-08,0.000200510116905325,8.49492366773321
"MBOAT2",0.356581478070908,6.57084110821319,6.14443515842141,4.56286064809437e-08,0.000200510116905325,8.35580098997175
"ERGIC1",0.336486725263555,7.53613140752368,6.12721331785605,4.89377306499053e-08,0.000200510116905325,8.28853034789527
"PTGS2",0.524088387176116,5.70806594594834,6.00189825908077,8.13287274426461e-08,0.000266579302811505,7.80582038504061
"TMCC3",0.417558445470076,6.52238738285836,5.85479355934106,1.47109063932016e-07,0.000387881188001622,7.24218819123784
"DCP2",0.227612087278716,8.31801421907655,5.76085186036575,2.14319288753398e-07,0.000387881188001622,6.88923623795634
"GABARAPL1",0.360291249436574,5.73931323728526,5.76195504485998,2.13376538151326e-07,0.000387881188001622,6.88840784102757
"LATS2",0.284038252719894,5.19510043249528,5.71999003659043,2.5228999013718e-07,0.000387881188001622,6.73334542339206
"UBE2B",0.270603892886282,7.1526160125812,5.68296789658068,2.92381419485726e-07,0.000387881188001622,6.59432080061828
"SKA3",0.517638458161532,3.96160908488165,5.64505891158599,3.39938543005758e-07,0.000387881188001622,6.4421634229565
"DPH1",-0.27881761212176,4.06566509482629,-5.62719842807635,3.64912976378539e-07,0.000387881188001622,6.38705060479808
"REPS2",0.449511862175203,6.0842673189233,5.61251303488699,3.86795730843753e-07,0.000387881188001622,6.32223726764014
"LPCAT1",0.252348877768878,7.43430390440653,5.59266766913374,4.18434479423659e-07,0.000387881188001622,6.25777217304943
"MBP",0.221926985508418,8.81049880704201,5.55909973161799,4.77854284451406e-07,0.000387881188001622,6.13307812889998
"VNN3",0.558384965664976,5.4454364440323,5.56046933587715,4.75274787478679e-07,0.000387881188001622,6.13144680319642
"LOC100132815",-0.25789886561811,4.43612047625093,-5.54883951908056,4.97621916448326e-07,0.000387881188001622,6.09769187328046
"POLR3E",-0.20948113829997,5.13500398292362,-5.55055166163261,4.94268143010247e-07,0.000387881188001622,6.09583096823143
"CASS4",0.268469775413733,6.00319396795062,5.52237808233577,5.5239735440223e-07,0.000387881188001622,5.98367432474861
"ZNF500",-0.212517812478256,4.34367674693944,-5.51482245833678,5.69099223239109e-07,0.000387881188001622,5.97193031726802
"CNTLN",0.328667525112549,3.84345814062674,5.51170011981583,5.76145543331794e-07,0.000387881188001622,5.95002007191582
"DPY19L1P1",0.465571844652519,3.32128070634926,5.52098023409078,5.55450504401099e-07,0.000387881188001622,5.94541062428302
"SCLT1",0.30006505717527,5.63019294771303,5.48605332524591,6.37369417862706e-07,0.000387881188001622,5.85045195459923
"NEIL3",0.433269009427517,5.33892580977392,5.47355678976227,6.69478908873376e-07,0.000387881188001622,5.80858346914659
"AMIGO1",-0.344786400310463,3.90506481188375,-5.46832037061057,6.83402389202558e-07,0.000387881188001622,5.79710606295393
"ABHD5",0.454641075819962,6.52239739915068,5.47000860182839,6.78882583387102e-07,0.000387881188001622,5.78933695308144
"KCNE3",0.368007685964127,6.90394236681836,5.46367427213773,6.95994601029449e-07,0.000387881188001622,5.76987349164249
"ALS2CR12",0.408211354765215,5.36582717893153,5.46292703055836,6.98041038383332e-07,0.000387881188001622,5.76932232241021
"CDK19",0.255568173029681,6.30551557994161,5.45859758270735,7.10014988104744e-07,0.000387881188001622,5.7459629588141
"PPM1D",0.249565338309504,5.0825666436883,5.42378804486886,8.13924573509524e-07,0.000430303543072503,5.62529049482305
"WDR43",-0.225246957541733,4.8840981516072,-5.39939450278991,8.95516829342825e-07,0.000442328469306825,5.5380129609888
"AMD1",0.212267531334724,7.30868297699187,5.39129201890502,9.24358524044731e-07,0.000442328469306825,5.50720709527828
"FAM49A",0.241362716697781,7.0629314254011,5.3787480495008,9.70821352119496e-07,0.000442328469306825,5.45647259879879
"TAB1",-0.215339320276985,5.34550329317158,-5.37853852123127,9.71616626703624e-07,0.000442328469306825,5.45264545250786
