"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ZCCHC18",0.875741521952239,1.2112433095574,4.47982469939801,2.89136365790125e-05,0.473865589893436,-3.02209552185632
"LOC101929266",-2.83899257435996,-1.95376862888269,-4.18910169891069,8.15589236809516e-05,0.668334600103558,-4.34928802552856
"RP9P",-1.00857270652478,-0.0474304574116296,-3.99456834760327,0.000160051387918272,0.874360732197522,-3.87330850491088
"SNORA77",2.185060038663,-1.34303092490015,3.76347685090073,0.000348635892891385,0.999989421440371,-4.28888871578459
"GSDMA",2.06987663520571,-1.10883931021711,3.75244448205796,0.000361607575548873,0.999989421440371,-4.23591403160642
"CPA5",2.80253826088065,-1.80060996123957,3.7378075435222,0.000379530515438262,0.999989421440371,-4.34836757127139
"L1CAM",1.14477009157195,0.0593481483956151,3.57620172638027,0.000642872864392417,0.999989421440371,-4.01952970430523
"MAFA",-1.22551752375549,-0.331184123592252,-3.50919973778083,0.000796745686765702,0.999989421440371,-4.0852037960645
"REREP3",-1.21937477104581,0.375469007844946,-3.46112980134558,0.000928007005249145,0.999989421440371,-3.94891362218715
"HIST1H4J",1.21417403538452,-0.292643820913453,3.45785153618957,0.000937667173117293,0.999989421440371,-4.1033905306215
"ZFP64",0.410279739053092,3.39186126421391,3.40938620661938,0.0010920608260352,0.999989421440371,-2.61843035199539
"ZBED6",0.265363553892903,5.80770030087089,3.39572525802363,0.00113974281192784,0.999989421440371,-1.95245298514279
"UACA",-0.803150830768268,1.17058144743807,-3.35027581578326,0.00131291935517709,0.999989421440371,-3.74170730652608
"CIRBP.AS1",-1.39159671551241,-1.15071736576493,-3.31427151044705,0.00146741673161349,0.999989421440371,-4.30534887242342
"LOC100507191",1.08733040873591,0.0825537622818432,3.27725115777002,0.00164401922867912,0.999989421440371,-4.12823545685191
"PLD6",-0.472901093212341,2.9361545445443,-3.24770400165119,0.00179911346375971,0.999989421440371,-2.99239983121651
"HDAC2",0.173705302449155,5.35049162608678,3.21195032902083,0.00200515557411506,0.999989421440371,-2.28171825362572
"EFNA1",1.16250901463621,-0.193033860572736,3.19288202533993,0.0021238949131997,0.999989421440371,-4.1351875464435
"ING2",0.597374991609217,1.6005107486607,3.19039795645331,0.00213983963488368,0.999989421440371,-3.64032913131414
"LOC102723666",-1.26417065382184,-0.834406226391088,-3.18584221772439,0.00216937378258371,0.999989421440371,-4.27303604538476
"SNORD35B",-1.16519241394314,0.0496067532036516,-3.17511696236341,0.00224041818723136,0.999989421440371,-4.12871713152738
"LOC102724135",-1.83923362109375,-1.58298600890296,-3.16052140635649,0.00234060310330329,0.999989421440371,-4.38468681552746
"LOC102724536",-1.85325696851978,-1.52573637582895,-3.14538826625594,0.00244889343629333,0.999989421440371,-4.38230083310815
"CAAP1",0.365346305568551,3.51479994465743,3.14047252173977,0.00248506594393514,0.999989421440371,-2.87142941127933
"LOC102724935",-0.472948313773317,2.16086798210039,-3.1258732179106,0.0025954609226929,0.999989421440371,-3.48389460410198
"RP6.206I17.2",0.631653556674143,1.396931327874,3.11303170731198,0.0026963346129082,0.999989421440371,-3.8050701803575
"WDSUB1",0.349357986337862,2.90659687079175,3.10898487019975,0.00272887462352985,0.999989421440371,-3.18736492282642
"LOC100996442",1.53385168697302,-0.444469161587538,3.0905034656569,0.00288219403655551,0.999989421440371,-4.25757791183803
"RPS14P3",0.801985225745465,0.859283254497333,3.08839176604488,0.00290021498367734,0.999989421440371,-3.94796853725703
"HUS1B",-1.43050236150311,-1.19050410360362,-3.06016975371609,0.00315136355861744,0.999989421440371,-4.36470243725301
"KRTAP5.AS1",1.08002023163631,-0.0584477536300941,3.03089219917284,0.0034332055618982,0.999989421440371,-4.17161365203313
"NOL7",0.260799223972382,3.81849833947738,2.99545173134448,0.00380570814019621,0.999989421440371,-2.93477553722121
"ZNF229",0.742307756170784,0.64839955026878,2.97761747389948,0.00400703963001233,0.999989421440371,-4.03245151427499
"UBTD2",0.334606275620496,3.11211193122754,2.97441687410231,0.0040442007007001,0.999989421440371,-3.2288462831823
"PTGER4P2.CDK2AP2P2",1.81161876510909,-1.12884518062252,2.97262080211673,0.00406519404023997,0.999989421440371,-4.36894083630965
"PCDHGB3",1.76422365786163,-1.48904212270473,2.96612466576017,0.00414197064875449,0.999989421440371,-4.38984398344749
"TEC",0.455982645661933,2.9118056054211,2.96239076449511,0.00418670715226143,0.999989421440371,-3.35371091000371
"IFI27L2",0.47811889281913,2.36485770596553,2.95304249617513,0.00430068198801651,0.999989421440371,-3.53693162261921
"KIAA1279",-0.350298142476445,2.9190550971597,-2.95012794600347,0.00433680004940562,0.999989421440371,-3.30234487745766
"SMIM7",0.207462154618514,4.90496782048213,2.93872816636975,0.00448078537510949,0.999989421440371,-2.74625394030539
"SPEF2",-0.461074998602467,2.57332496693586,-2.92107824762346,0.00471246606256246,0.999989421440371,-3.47483449922978
"ZNF222",-0.525816215778165,1.64908696918639,-2.92100546070458,0.00471344403086176,0.999989421440371,-3.79982476662589
