"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ERGIC1",0.64364115795343,7.53613140752368,11.4762856806367,1.20618646172927e-17,1.97681899212811e-13,29.6645052083608
"SMAP2",0.700130572630441,9.28824588760895,10.4793004033121,6.6632077323023e-16,5.46016557623512e-12,25.6404655181901
"DAAM2",2.32931821852681,1.74244902936877,10.0117693103211,4.52303523930227e-15,1.88541040193054e-11,22.1279960736629
"CRISPLD2",1.14103533642503,6.90264817731108,10.0075839946095,4.60164842743435e-15,1.88541040193054e-11,23.9352892586594
"TPST1",1.24317565460952,2.96739660178803,9.92764447438694,6.39688843453882e-15,2.05663692620266e-11,23.2263711491305
"MARK3",0.358797810450203,7.3687608755489,9.87773589988297,7.8595447000105e-15,2.05663692620266e-11,23.4072271871382
"ANKS1A",0.418508606091304,5.54966842880488,9.85079736163316,8.78422019855917e-15,2.05663692620266e-11,23.3200628607191
"EMC3",0.534713722305293,6.02897036860668,9.76341689416419,1.26055857456744e-14,2.58241180982322e-11,22.9682867866578
"BIRC3",-0.501272524414949,7.4087511946452,-9.7018107485198,1.62669948713828e-14,2.9622197660788e-11,22.7011204712037
"CLEC4E",1.14058473180448,5.8268211916808,9.59158646901951,2.56893193559278e-14,4.210222549243e-11,22.2728182813624
"MBOAT2",0.55484367995175,6.57084110821319,9.49575084442156,3.82469925600804e-14,5.69845419151961e-11,21.8842622448343
"PCTP",0.441549149198542,4.95087358403878,9.47253852584065,4.21214180874974e-14,5.75273267529995e-11,21.7855456495257
"ALS2CR12",0.690062500008441,5.36582717893153,9.37404940712191,6.34568873400544e-14,7.9999609739704e-11,21.3901222534799
"REPS2",0.747552556447673,6.0842673189233,9.31658094104345,8.06216318788659e-14,9.43791374901952e-11,21.1592291136017
"FAM49A",0.421513939210518,7.0629314254011,9.29467288260267,8.83305975195066e-14,9.58533485522616e-11,21.0643434240471
"TBXAS1",0.491131365290015,7.09070428208225,9.28083123280862,9.35782278867647e-14,9.58533485522616e-11,21.0074220813182
"SYTL3",0.565790226261917,5.14273959603999,9.15531345200216,1.58006854124111e-13,1.49567587186351e-10,20.5009409207255
"SIPA1L2",1.03618220361327,5.23468831201568,9.1460079106047,1.64269727826854e-13,1.49567587186351e-10,20.4628678947692
"MAP3K3",0.378115663440191,7.9073997201984,9.07882206073575,2.17521478201296e-13,1.87629447696897e-10,20.1719546262004
"KIF14",0.612290416344441,3.95074019767887,9.05347547345898,2.41843032754641e-13,1.98178273190791e-10,20.0375870255809
"CPEB4",0.429410421362297,7.56211372222162,9.02181152870617,2.76094381758998e-13,2.15471943935629e-10,19.9489672644134
"ABHD5",0.754805863829886,6.52239739915068,8.99055024369505,3.14681351238934e-13,2.34423302975223e-10,19.8305280502465
"TAX1BP1",0.292387661882919,6.90995953820842,8.96765420740909,3.4633353193572e-13,2.46785228473675e-10,19.735876117286
"CASS4",0.432534783807577,6.00319396795062,8.91977142964631,4.23230050801665e-13,2.89013220941187e-10,19.5420517862017
"MPZL1",0.775274605704929,5.94444785982984,8.89773605811079,4.64158330151192e-13,2.99016627201933e-10,19.451975882388
"STS",0.601004889063594,3.44232299540344,8.89254253877684,4.74368924720866e-13,2.99016627201933e-10,19.3309277770497
