"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"PTPRVP",-1.19619135924516,0.434772097248395,-4.20785362760776,7.63613233267785e-05,0.652590707372717,-3.28493779290983
"PLD6",-0.606147982639214,2.9361545445443,-4.12397913235838,0.000102396184012889,0.652590707372717,-1.46073603237922
"ZNF222",-0.724277873771052,1.64908696918639,-4.06812062890167,0.000124281132735367,0.652590707372717,-2.56075250450554
"AIM1L",-1.03768633115566,0.42239020662401,-3.95617267194886,0.000182467278764266,0.652590707372717,-3.37155824349299
"GNAS.AS1",2.44041848779971,-1.7728710472086,3.91893179194705,0.00020707054238563,0.652590707372717,-4.25107813777943
"B3GNT3",-2.26161143554316,-1.7840569154606,-3.87658778649305,0.000238912944306322,0.652590707372717,-4.22366813926711
"AGPAT4",0.457168419132686,4.12939027973987,3.76942296157683,0.000341830200967431,0.800322166236462,-1.2081687500324
"CSNK2A1",0.214226098448583,5.97813895448067,3.62536983284423,0.000548397664671859,0.947605676643657,-1.13357296129523
"E2F6",0.46307078285416,2.6339011628303,3.59716739033276,0.000600836226508062,0.947605676643657,-2.36426467393568
"SNORA77",1.86675042753706,-1.34303092490015,3.57313484867545,0.000649251531563296,0.947605676643657,-4.11476750163933
"MRPL19",0.244542646277125,5.17378959779829,3.50506280593806,0.000807310301402829,0.947605676643657,-1.42884779101598
"CECR2",0.836198012640867,0.312207551888413,3.47354911732259,0.000892258397439389,0.947605676643657,-3.68086058821277
"SNORD29",0.893318212072911,-0.391677308900547,3.46514098118383,0.000916315279632616,0.947605676643657,-3.92616466992161
"DHX36",0.238646905762579,5.4581245878003,3.4221037964065,0.00104937108964728,0.947605676643657,-1.54765161769392
"TMEM260",-0.264809470588788,4.9128148226604,-3.41299952461505,0.0010797678026875,0.947605676643657,-1.6403409110744
"ARL13B",0.456424656616083,2.51637629805974,3.40684862570059,0.00110077295987793,0.947605676643657,-2.67660670637604
"PEX11B",0.249290660031198,4.3860504777615,3.38614789761114,0.00117433674404927,0.947605676643657,-1.81789639903146
"PLK3",-0.387995106408351,5.13097642854439,-3.34845472150036,0.00132035066063999,0.947605676643657,-1.71404574248335
"UBTD2",0.37595972484312,3.11211193122754,3.34094759740116,0.00135140554706948,0.947605676643657,-2.45524838329532
"PROC",1.85842387523268,-1.15045915505611,3.31507392824899,0.0014637943408986,0.947605676643657,-4.17217894105431
"SMC3",0.205810328010279,5.48169555202999,3.29087083500059,0.00157684310830644,0.947605676643657,-1.79076700979369
"STAM",0.225161852202955,4.8479588296182,3.28633139823013,0.00159894066609537,0.947605676643657,-1.8806655718598
"C8orf37",0.724894634593533,1.4165701726768,3.27676059631984,0.0016464883105973,0.947605676643657,-3.37876113904957
"PLEKHH3",1.29875137367298,-0.557031018914604,3.26843459765018,0.00168892990861541,0.947605676643657,-4.04335030793764
"MIR6804",-1.49732240084303,-1.09043482499693,-3.26318331306539,0.00171622473175303,0.947605676643657,-4.21317686760729
"PRRG2",-1.14484016813003,-0.275026079832227,-3.22527047000976,0.0019259344947696,0.947605676643657,-4.02107814071373
"USP30.AS1",-0.57577500896021,1.99581027595637,-3.21078532398412,0.00201222781293366,0.947605676643657,-3.17287581571179
"ZNF257",0.756268819522921,1.28938270875995,3.20158246216422,0.00206892207477608,0.947605676643657,-3.51271342149423
"LOC101927254",2.16808629598746,-2.24510216855881,3.1918362827045,0.00213059370291131,0.947605676643657,-4.35722569696461
"RNF122",-0.32207095381646,4.66145515339717,-3.1775236937082,0.00222428889839447,0.947605676643657,-2.10317690706706
"CA13",-0.553613976372965,2.28383274840045,-3.17398147327423,0.00224806589947261,0.947605676643657,-3.03925464295367
"HUS1B",-1.39542588456094,-1.19050410360362,-3.14658178772361,0.00244018548928639,0.947605676643657,-4.21503305244943
"LOC101929266",-2.10385125372257,-1.95376862888269,-3.14448743687525,0.00245548512995258,0.947605676643657,-4.38274241430042
"AGAP2",-0.209844389987029,7.15410575325379,-3.13658416622675,0.00251403155413006,0.947605676643657,-2.14216277284199
"FBLN2",-0.485511274923551,2.73602974880552,-3.13079425093024,0.00255774776046383,0.947605676643657,-2.87137301707939
