"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"DDIT4",1.48929361827615,5.03234639801118,13.1045120438093,2.20091901192159e-20,3.60708616863829e-16,35.3873262789701
"DUSP1",1.0644620894044,7.66875623656671,9.86714822369868,8.21069794915021e-15,6.72825643443114e-11,23.1602020174856
"FKBP5",0.896471136305459,6.78251804832597,9.6388887295922,2.11126997398725e-14,1.15338678678924e-10,22.3264002123645
"CCND3",0.417410889476513,7.89809827329787,9.01269201993373,2.86832922922913e-13,1.17522619344591e-09,19.7692371526127
"SMAP2",0.59326577980179,9.28824588760895,8.92146277463732,4.20242300142942e-13,1.37747021140854e-09,19.2623643408987
"ZBTB16",0.979592113085032,4.09283766186355,8.74740673502078,8.71765175769764e-13,2.38122657761511e-09,18.6862949328548
"LOC100130872",0.878378234229031,4.30021552508418,8.37339050748405,4.19609196073963e-12,9.82425016350882e-09,17.2144629332585
"TSC22D3",0.763812158845457,8.73114411905957,8.32319287628196,5.18256814825218e-12,1.06171386727131e-08,16.9565446430588
"ID3",-0.675457469367559,3.70627721111873,-8.24527608872598,7.19304209730289e-12,1.30985296591886e-08,16.5828800183058
"PER1",0.666404481443627,5.38208254915481,8.18158646942862,9.40384241445141e-12,1.40108703027677e-08,16.5022589110845
"LOC101928548",0.921960144662479,2.29355263735491,8.19498057775792,8.88845818727944e-12,1.40108703027677e-08,15.8604538166212
"CEBPD",0.677733547061258,7.49519394672544,7.97324062235387,2.25997026034882e-11,3.0865543830714e-08,15.6328482043909
"NSFL1C",0.331495846473163,6.1551323370291,7.87927362480698,3.35602029841235e-11,4.23090897466769e-08,15.2786821034773
"CLEC4E",0.930063593060478,5.8268211916808,7.84230682355008,3.92074672161307e-11,4.58979414432261e-08,15.1275362631802
"IRS2",0.62906853787223,7.15546303839138,7.698011181721,7.1932174534886e-11,7.85930938968164e-08,14.5318441151049
"LTB",-0.376377640715684,7.30793918360597,-7.65802163743041,8.50997753209298e-11,8.71687636084199e-08,14.3696523443024
"TLE2",-0.546582820105905,3.16159751164103,-7.47697472871676,1.82046939775423e-10,1.75503958587024e-07,13.4466680706178
"SCLT1",0.400626019515737,5.63019294771303,7.37070443373168,2.8430191153074e-10,2.45310434844881e-07,13.2209210128589
"ANKS1A",0.31408018482307,5.54966842880488,7.37062897383434,2.8439186418041e-10,2.45310434844881e-07,13.2205946831866
"WIPI1",0.343040100039052,4.86509629197929,7.22103467670839,5.32140080291815e-10,4.36062188795128e-07,12.6133106332684
"CDK5R1",0.472200865519009,4.82344152332058,7.08207849553097,9.5117705552495e-10,7.42325750618971e-07,12.0565465162784
"CNTLN",0.414039092192666,3.84345814062674,7.06244377656198,1.03241974169122e-09,7.69105779389883e-07,11.9309430544568
"ALS2CR12",0.513575922296281,5.36582717893153,6.93963052554542,1.72269644229083e-09,1.22753356490019e-06,11.4874994913777
"PFKFB2",0.446345456744817,4.72620640628057,6.85189003563071,2.4815827784044e-09,1.69350231200738e-06,11.1368488421722
"TBC1D9",-0.291333596950627,5.84833532938763,-6.83942245582556,2.61354207771241e-09,1.69350231200738e-06,11.0852869672189
"IL1R2",0.77474051347577,5.19490851326603,6.83278451637193,2.68662274160668e-09,1.69350231200738e-06,11.0608719406901
"NOG",-0.581449966178562,4.19733132086614,-6.81164331760389,2.9331945994351e-09,1.78044912185711e-06,10.9675737049111
"CCR6",-0.425773647700265,4.17478751860374,-6.78108766001704,3.32984349887225e-09,1.94902875367919e-06,10.8444494354644
"CD8B",-0.4024617836181,5.10304863852114,-6.77114531189901,3.47007150879463e-09,1.9610690330219e-06,10.8147749737564
"TXNIP",0.366413383036676,11.4561376186353,6.75479730732583,3.71351987807433e-09,2.028695909392e-06,10.5707221686045
"IL13RA1",0.506170252389126,7.1078278284365,6.60790842847283,6.82066896007259e-09,3.60593366408483e-06,10.1672711847512
"ABCD2",-0.390371682246511,4.77552209206434,-6.53062169283915,9.38275660080371e-09,4.80543743533038e-06,9.86238756888671
"FDX1",-0.279125240176653,3.97169874912922,-6.51073880383989,1.01838373202267e-08,4.91266355725556e-06,9.77840285312239
"GSAP",0.328135635095514,5.77907475270809,6.50351543216781,1.04913798586823e-08,4.91266355725556e-06,9.74813544529124
"CD28",-0.398511468556743,6.41053819324232,-6.49516453155542,1.08584330178103e-08,4.94330163135814e-06,9.71689035438169
"ALDH16A1",-0.221954821121205,5.85695699127404,-6.47179561723208,1.19547138495492e-08,5.29529203460166e-06,9.62221727375967
"DSP",-0.592825363568004,2.69057292760831,-6.50625584937038,1.03736332468575e-08,4.91266355725556e-06,9.56506043062839
"NUDT16",0.337388080888547,5.4498835325211,6.44329463762174,1.34413702193837e-08,5.79712148751261e-06,9.51079370797193
"BIRC3",-0.331608099438775,7.4087511946452,-6.37354811564219,1.78985318156302e-08,7.52151379298366e-06,9.24532436653073
"PHC2",0.568719407478458,7.96197702770225,6.3426767227784,2.03130746055713e-08,8.3227744927677e-06,9.12620757623685
"N4BP3",-0.530326974112082,3.60909572395869,-6.29979095751975,2.42116706163161e-08,9.67817243245865e-06,8.94173648051427
"MBOAT2",0.364978041707028,6.57084110821319,6.27058507587359,2.72825538458978e-08,1.04914775748772e-05,8.83177261718062
"GFOD1",0.509454831182198,4.24537722929836,6.24982517890444,2.96971243148431e-08,1.04914775748772e-05,8.76446801010836
"NFKBIA",0.397440110361599,7.13824711920807,6.25127240414771,2.95221404083284e-08,1.04914775748772e-05,8.76416959696175
"CXCR4",0.437379007446821,8.01999610877815,6.24972975409446,2.97086981722919e-08,1.04914775748772e-05,8.76415481004228
"DLEU2",0.320004355978944,5.68528228515006,6.24662903127733,3.00872198437507e-08,1.04914775748772e-05,8.73571326979341
"SOCS1",0.820646943741971,3.01211294050553,6.25607178741889,2.89491274234931e-08,1.04914775748772e-05,8.73478381953199
"CD79A",-0.584290723048128,5.80180905623109,-6.22107917471257,3.33937173249065e-08,1.14018673591228e-05,8.63557685372925
"SYTL3",0.385909466483218,5.14273959603999,6.20567499668593,3.55586202727083e-08,1.18368594535908e-05,8.58172021129907
