"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"STAM",0.277810218281876,4.8479588296182,4.0534381170933,0.000130742847565104,0.64722574321697,-0.613867750220659
"INSR",0.404815457234442,4.72723635484661,3.6875878235854,0.000447693864803579,0.965994014093642,-1.31777692153673
"TEC",0.613568758229832,2.9118056054211,4.21107072110019,7.55023881458573e-05,0.64722574321697,-1.52364533349853
"ACAT1",-0.447689981755645,3.13599067591138,-3.99576601491837,0.000159396618314441,0.64722574321697,-1.62902262107343
"UBTD2",0.448737667500563,3.11211193122754,4.03931092048508,0.000137264724725259,0.64722574321697,-1.65634257248059
"NBEAL1",0.278578879342508,4.402604868435,3.39961320062557,0.00112597589848201,0.999949002183599,-1.93028592843341
"APOBEC3F",-0.33676708086113,5.18664949625609,-3.20775379888641,0.00203074065144642,0.999949002183599,-2.07733157427977
"KAT2A",-0.24332059531126,5.35467463940672,-3.07216916779557,0.00304220101062645,0.999949002183599,-2.2889884949269
"PDCL",0.288116162110763,4.146681886621,3.21047710311743,0.00201410279642124,0.999949002183599,-2.30975375695045
"SGMS2",0.541163674473141,4.15839864378284,3.16132250130934,0.00233499735152383,0.999949002183599,-2.36487152839969
"SMIM7",0.209872331110992,4.90496782048213,3.00682611360093,0.00368225105200265,0.999949002183599,-2.44945594946869
"YPEL2",0.190003887480253,6.32072257623565,2.94560392277749,0.00439342017105698,0.999949002183599,-2.4953910440046
"ANKRD6",0.408614956755274,2.58827930528348,3.58266988372633,0.000629614730983503,0.999949002183599,-2.51587261754818
"ZNF614",-0.309335166000724,3.62204769894659,-3.18405262031364,0.00218107957499683,0.999949002183599,-2.52345950608692
"LZIC",0.26096084865291,4.23762855787302,3.03505112584714,0.00339178848387785,0.999949002183599,-2.5402872181472
"TBCA",0.339062830328521,3.42396227666561,3.13267616232862,0.00254346124450995,0.999949002183599,-2.67918869004951
"LENG1",0.41379160296391,2.68644149886715,3.33960149367363,0.00135704629169115,0.999949002183599,-2.76512945498878
"ASNSD1",-0.205823617049923,5.10204120040203,-2.79329227339657,0.00674962774065135,0.999949002183599,-2.76759387906661
"ZNF384",-0.168851602425892,5.88566036892504,-2.7540190115278,0.00752221796513243,0.999949002183599,-2.79150558381932
"SRSF3",-0.138451081263754,7.13396769445504,-2.77317922129593,0.00713569912656686,0.999949002183599,-2.81752025363637
"PLD6",-0.453344580138783,2.9361545445443,-3.14980105879285,0.00241684180471535,0.999949002183599,-2.84529053019645
"ALCAM",0.278153114375955,4.91133955213956,2.75122693603596,0.00758011720770492,0.999949002183599,-2.85088839340043
"GTF3C4",0.24187928411347,4.28581221168354,2.79467452478334,0.00672381291007261,0.999949002183599,-2.87166449115512
"NARS2",-0.338538528606561,3.15209237756513,-3.06498070990779,0.00310716574721488,0.999949002183599,-2.87242984660495
"AGAP2",-0.18167797420412,7.15410575325379,-2.72575512915763,0.00812748455298191,0.999949002183599,-2.88921820849911
"PER1",0.434532280695093,5.38208254915481,2.66742160899294,0.00951973525901139,0.999949002183599,-2.93405221970805
"ATPAF2",0.295024539877141,3.7036413817349,2.8468863472509,0.00581264847470447,0.999949002183599,-2.94984998130619
"ZCCHC8",0.20162237080644,4.85915862274643,2.67186952594925,0.00940637414316522,0.999949002183599,-2.97299778968472
"RNF122",-0.272779386648478,4.66145515339717,-2.68447466445244,0.00909176763769758,0.999949002183599,-2.97892541174346
"ARMC7",0.23699528982001,4.11548241868939,2.75049731526553,0.00759531447970041,0.999949002183599,-2.98195673577951
"ORC3",-0.231040709915231,4.1843006898779,-2.72629087682641,0.00811560893334311,0.999949002183599,-2.98648351524842
"PARP6",-0.162020797272561,5.21041431599916,-2.61477177221919,0.0109593997409266,0.999949002183599,-3.02515483734657
"APBA3",-0.197734311820069,5.02789526152571,-2.62260112172661,0.0107334902238986,0.999949002183599,-3.03010407244787
"SLC39A11",0.252356693149001,4.32132963873779,2.66424321300064,0.00960150202881519,0.999949002183599,-3.04745020117738
"ISYNA1",-0.319108050522074,3.88561920407985,-2.71468919667258,0.00837635859699866,0.999949002183599,-3.07059800066015
"DHX33",0.210684282731641,4.2337014549206,2.65752499475433,0.00977644273461124,0.999949002183599,-3.07744076304339
"ZNF211",-0.220003055053049,4.48242151293592,-2.62809124104759,0.0105776095723764,0.999949002183599,-3.08040092912006
"ZNF736",0.27946917921603,3.92335961310047,2.67612390185241,0.00929909830458565,0.999949002183599,-3.10979802018624
"CNOT6",0.158099604719805,6.33803288942384,2.54500802780282,0.0131711204585232,0.999949002183599,-3.11727263836063
