"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"CHCHD10",-0.300988760761327,3.59632550283011,-4.65752319146683,1.50959952237619e-05,0.247408265722234,1.54469572200171
"THAP4",0.180878410937361,4.10347454166303,3.88515878960337,0.000232110538125948,0.999812467731248,-0.0632583263160811
"NENF",-0.312366498880504,2.39369789738867,-4.09880957349523,0.000111753650316254,0.915765287516545,-0.644663966781803
"SNX14",0.104452716229539,5.70193277343085,3.46731779512261,0.000910028852898083,0.999812467731248,-0.883977790237771
"KRBA1",-0.165715984241864,3.95597849741775,-3.47589541504078,0.000885652801387142,0.999812467731248,-1.0428821046267
"FAM89B",-0.163838178536634,5.4765698068701,-3.37091543736576,0.00123140651931811,0.999812467731248,-1.12740078663137
"POP7",-0.235333213832943,2.86678163198021,-3.61194345486994,0.000572794464580535,0.999812467731248,-1.20071794039573
"DDIT4",0.387365758704289,5.03234639801118,3.32419908540935,0.00142318824967292,0.999812467731248,-1.27294548467222
"TESK2",0.173461975308966,4.04274424070304,3.33074156333467,0.00139473046142002,0.999812467731248,-1.38043226168188
"HADH",-0.196316578253363,3.32142041131207,-3.37572357394032,0.00121311563245225,0.999812467731248,-1.46141783757352
"VHL",-0.0887044226488869,6.85650184867708,-3.21376567453922,0.00199418184044614,0.999812467731248,-1.49481554379726
"ALG11",0.195511416812576,2.75734734461144,3.43158506747816,0.00101857658544032,0.999812467731248,-1.57767550666343
"ANKS1A",0.136159144038308,5.54966842880488,3.16467190191369,0.00231169532930127,0.999812467731248,-1.5986366160548
"SPATA6",0.236064640323984,3.08755894588622,3.3568966618101,0.00128623277856121,0.999812467731248,-1.63591304592994
"STX8",0.211387910055808,2.9364737246129,3.32182184570211,0.0014336633211436,0.999812467731248,-1.710401740655
"SAMD1",-0.157433517206056,4.58457290271483,-3.12382025091532,0.00261134722199643,0.999812467731248,-1.73433174957533
"IRS1",-0.18065445637651,4.00766992045779,-3.08123867171889,0.0029620423022358,0.999812467731248,-1.89609649716454
"ALG10",-0.147026777438676,3.81340937926841,-3.06976828392462,0.00306375657233235,0.999812467731248,-1.9436576882698
"C10orf88",-0.171681080643119,3.06597800533241,-3.14410967954014,0.00245825425048475,0.999812467731248,-1.98688544550238
"CLPP",-0.126975887129362,3.94005479161771,-3.01273290351786,0.00361961663872658,0.999812467731248,-2.0407556303628
"LOC285074",-0.166378597751188,4.49438914172285,-2.98494782664533,0.00392311973746885,0.999812467731248,-2.06327941868679
"RFT1",0.104057505987226,4.76089324800804,2.9339732612729,0.00454214022136817,0.999812467731248,-2.125940786194
"ZNF219",-0.217694102496359,2.79329776331419,-3.11555340691696,0.00267624159067801,0.999812467731248,-2.13960255931064
"PRKCI",-0.150077785803687,4.09285035936773,-2.94798039858014,0.00436359273550287,0.999812467731248,-2.15628745015412
"SLC9A3R2",-0.297542052680146,1.78574686807349,-3.37060272028188,0.00123260511132585,0.999812467731248,-2.18264590005947
"PARD6B",-0.199315219457438,2.72666766855526,-3.07249136662188,0.00303931903202957,0.999812467731248,-2.22343899307513
"MRPL42",-0.132498378677224,4.78129857141077,-2.88674844921852,0.005195129802854,0.999812467731248,-2.22508090049407
"NUP35",0.227133482982587,2.63769996909385,3.10339319599432,0.00277443993737454,0.999812467731248,-2.24556043183255
"KCNK6",0.130398543941305,4.76913959091148,2.87563308533662,0.00536093628466682,0.999812467731248,-2.25265828729879
"SLC37A4",-0.155053885590306,3.59136917044393,-2.93281194556174,0.00455724293236374,0.999812467731248,-2.25498522282682
"CCDC43",0.166072515750141,3.30779829357605,2.9464614652778,0.00438263534372595,0.999812467731248,-2.27882929525185
"MUM1",-0.135347962646724,4.71886740848987,-2.85258033252701,0.00572048263524742,0.999812467731248,-2.30135241150717
"THOP1",-0.147765506231069,3.95580918391337,-2.86096391585738,0.0055872305814633,0.999812467731248,-2.34034047962728
"ZNF137P",0.178625924195654,3.15429098080942,2.95469065185648,0.00428038105853723,0.999812467731248,-2.34434725310513
"MYO1C",-0.13214364120778,4.50786521231451,-2.81852948060704,0.00629235083131343,0.999812467731248,-2.37888210703799
"OCEL1",-0.165215958517445,3.24166484307139,-2.87747242476585,0.00533316617039584,0.999812467731248,-2.44408124322294
"GSAP",0.14019772792076,5.77907475270809,2.77083253735995,0.0071820397754705,0.999812467731248,-2.44481938501879
"LOC100129215",0.2622580269781,1.76577063213204,3.13757091306687,0.00250665122755082,0.999812467731248,-2.49656665982842
"SLC38A6",0.170127113703694,2.96570481129598,2.86575162494994,0.00551242244641294,0.999812467731248,-2.50936497919963
"LAMB2P1",0.404896403030573,0.663614682409827,3.57796318038401,0.00063923626315799,0.999812467731248,-2.51114261980103
"GTF2H5",0.187547802728405,2.70809057664024,2.89434894810884,0.00508449358453718,0.999812467731248,-2.51680414918063
"TMEM238",-0.58993002441164,0.883918621243835,-3.66208753502064,0.000486628440405506,0.999812467731248,-2.52251786084738
"LOC102724792",-0.196866766137239,3.20863968171966,-2.81050302058469,0.00643459773433484,0.999812467731248,-2.53225512071049
"LINC00843",0.179171025199947,3.41023311931279,2.79315738592262,0.00675215175808259,0.999812467731248,-2.54839848225946
"FAM20C",-0.286040616391905,3.34228158922935,-2.77495649605773,0.0071007854565163,0.999812467731248,-2.57642826539173
"KLF2",-0.115341194512018,9.114117883662,-2.7496148846432,0.00761373191588507,0.999812467731248,-2.57952853282966
"STK16",0.119312885946285,4.27820370563841,2.72492735719375,0.0081458645648343,0.999812467731248,-2.58647686237589
"LOC101928465",0.128910519333478,4.20129042437252,2.71818454835622,0.00829700511653398,0.999812467731248,-2.59550792188914
"PTBP1",-0.0704325227571987,7.81542748222405,-2.71019338206957,0.00847944495282244,0.999812467731248,-2.59812157797522
"TLE2",-0.190710907532992,3.16159751164103,-2.76089947777772,0.00738126323550074,0.999812467731248,-2.62012159134938
"UROS",0.134359628642962,4.04608566934159,2.70757653106934,0.00853998022382169,0.999812467731248,-2.63326315602877
"ANXA2R",-0.158054290912529,3.97231307077641,-2.70562025572687,0.00858549209663963,0.999812467731248,-2.63428542346
"LINC00957",-0.185190430592423,3.13624076196545,-2.78110496126883,0.00698120731088169,0.999812467731248,-2.63499609511107
"NDUFAF5",-0.219107692617057,2.31971641102872,-2.90922645556289,0.00487420346502045,0.999812467731248,-2.64668463941751
"OTUD6B",-0.112724718371668,3.60835269187876,-2.7194320940909,0.00826884944177518,0.999812467731248,-2.65360736122595
"MRPL19",-0.0923230787272997,5.17378959779829,-2.64803738985344,0.0100284431356309,0.999812467731248,-2.69758775123312
"SAP30L",-0.0994802895850131,6.05182256013094,-2.64167940877992,0.0102006105333165,0.999812467731248,-2.70586602522353
"TAF1A",-0.22533959644776,2.48273607667857,-2.8232762259472,0.00620959457752846,0.999812467731248,-2.72316332815792
"PIGV",-0.138372033948152,3.73098481919823,-2.67063808424003,0.009437635283523,0.999812467731248,-2.73859530647822
"LRIG2",0.0951038909556692,5.09157816974872,2.62674517932012,0.010615636681096,0.999812467731248,-2.7405904762103
