"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"RALGAPA1P",0.870937634644071,0.559069741545063,4.02958799868769,0.000141934064108849,0.999634683629033,-3.68083432059865
"CPSF4",-0.250732852177052,4.1729634535468,-3.70407533270005,0.000424121227432096,0.999634683629033,-2.01819538527575
"UBTD2",0.39446673976924,3.11211193122754,3.5982142044369,0.000598807388272547,0.999634683629033,-2.7124839667336
"LOC101926907",-1.11022071408649,0.131070093414793,-3.54079972830671,0.00072026617200729,0.999634683629033,-4.07762990715285
"ALG11",-0.393898662540781,2.75734734461144,-3.45682311169159,0.000940717225844793,0.999634683629033,-3.04474221187567
"B3GALT4",-0.274983336386198,4.74322311165881,-3.45609164018002,0.000942892301667036,0.999634683629033,-2.1959124049684
"ZFP14",0.271635258269622,4.45170427078714,3.42154098028597,0.00105122647783302,0.999634683629033,-2.2914149769084
"TTC27",0.327826177279206,3.94711734329768,3.41476612404667,0.00107380528786669,0.999634683629033,-2.50039395367601
"NUF2",1.03241952555107,0.514774828309507,3.41470061845758,0.00107402582156114,0.999634683629033,-3.99149617933974
"FXN",0.315675886015267,3.57356435517021,3.37131468979207,0.00122987785021986,0.999634683629033,-2.67648153446739
"ARL1",0.293020918734187,4.46939633111548,3.35795576213384,0.00128201162894143,0.999634683629033,-2.38580696751762
"POLK",0.268617325988486,5.11896922965615,3.31666848214447,0.00145662095079582,0.999634683629033,-2.30849750884058
"FAM35A",0.280168027692185,4.54219668249023,3.27730478235754,0.00164374953788312,0.999634683629033,-2.4751971130789
"DCXR",-0.352263163807765,4.13134590123187,-3.27203197275981,0.00167046772842799,0.999634683629033,-2.63852586822571
"STAM",0.226472284672471,4.8479588296182,3.27063047374896,0.0016776377256281,0.999634683629033,-2.43547401388197
"SNORA65",-1.69052531606869,-0.977306411083055,-3.2497563339474,0.00178791138440177,0.999634683629033,-4.32667529065067
"TUBB3",2.51433391805748,-2.1621681633533,3.21072753585667,0.00201257922764734,0.999634683629033,-4.45848430113893
"RP11.465B22.5",-1.27987157128202,-0.556063898945154,-3.2052690683487,0.002046033289651,0.999634683629033,-4.24045331703552
"FAM3C",0.354830190985457,3.86383167992963,3.19425645606028,0.00211512063141948,0.999634683629033,-2.75930163381382
"RP11.844P9.2",-1.65231842345749,-1.40492018918267,-3.16051195794398,0.00234066929469849,0.999634683629033,-4.39073585178588
"TRMT61B",0.396156527269118,3.05328189316034,3.15107628395333,0.00240765272962933,0.999634683629033,-3.15752285421541
"SLC25A27",-1.09005382535064,-0.61327071985614,-3.1360279723217,0.00251820052557998,0.999634683629033,-4.31289944051347
"WDR89",0.312426378305047,4.13571512182056,3.13073737687262,0.00255818068448822,0.999634683629033,-2.75692005427627
"PEX13",0.232647239383336,4.34002924672079,3.10453931550701,0.0027650430017466,0.999634683629033,-2.75939435493765
"RRP1",-0.34240569713499,3.40161883656765,-3.08820434373563,0.00290181948611188,0.999634683629033,-3.06107096132619
"PDGFRA",0.994769872796057,0.454343724212752,3.08538271851049,0.00292607538230415,0.999634683629033,-4.17745015495598
"LOC101927376",-1.90286090274181,-1.56871653899587,-3.07651042690617,0.00300358282979593,0.999634683629033,-4.42397248911672
"PEX11A",-0.725144160553791,1.04466534623629,-3.0569161248855,0.0031815855053384,0.999634683629033,-3.97684465120559
"LCNL1",1.59193077026173,-0.361662289447463,3.05517007490155,0.00319791509415669,0.999634683629033,-4.33008617043779
"CHMP6",-0.191360775663979,4.89993736349827,-3.04256553085367,0.00331813188966098,0.999634683629033,-2.7239434951078
"SRPRB",0.357167508123139,4.36061566780397,3.04061124633421,0.00333714333144818,0.999634683629033,-2.8263573020854
"CNIH1",0.260048836817183,4.61386173977269,3.03445657728279,0.00339768074492097,0.999634683629033,-2.79494686234069
"NOL7",0.259125532505229,3.81849833947738,3.03191006543749,0.00342302578917306,0.999634683629033,-2.99962572884793
"RP11.13A1.1",0.85399342652664,0.77884881283015,3.02599371314265,0.00348259075140823,0.999634683629033,-4.07312419952163
"NBEAL1",0.247273022030833,4.402604868435,3.01782314914807,0.00356643638118683,0.999634683629033,-2.86440653697965
"PARD3B",-1.81161060021822,-0.0412736924514133,-3.00347335444747,0.00371824950772127,0.999634683629033,-4.31428889321807
"ZMYM1",0.277674955648166,4.08957550522209,3.00017977652493,0.00375393057838735,0.999634683629033,-2.95570056435143
"C12orf43",0.308306113301672,3.3273846102641,2.99948529188756,0.00376149477822317,0.999634683629033,-3.2009538658174
