"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"NR1D2",-0.48588706639407,5.88992573990311,-10.7319272718126,2.38761564582495e-16,3.91306328194251e-12,26.8123218842472
"ERGIC1",0.535744802583585,7.53613140752368,9.61687339045329,2.3130917447815e-14,1.8954630302612e-10,22.3412598304645
"NR1D1",-0.667047473131778,3.40015532335279,-8.75243942752419,8.5355070032955e-13,4.17148728382194e-09,18.7036401845599
"BIRC3",-0.449191083530921,7.4087511946452,-8.68042193061667,1.15475949959382e-12,4.17148728382194e-09,18.5560663383558
"MBOAT2",0.505016291830545,6.57084110821319,8.65726843933721,1.27264850931171e-12,4.17148728382194e-09,18.4680336088883
"PCTP",0.394522581655523,4.95087358403878,8.43425226285449,3.24855274652279e-12,8.66569699254236e-09,17.5554600839153
"CRISPLD2",0.948427251511288,6.90264817731108,8.40322704676663,3.70125565609839e-12,8.66569699254236e-09,17.4289221678455
"SCLT1",0.452170815683084,5.63019294771303,8.32712277986916,5.0975950457594e-12,1.04430606506188e-08,17.11731768232
"TMCC3",0.595416735751891,6.52238738285836,8.29871477533556,5.74469735706455e-12,1.04610938872145e-08,17.0013671271005
"CEP68",-0.411665723476893,5.23644634327201,-8.25206733966437,6.99040843214508e-12,1.14565803794426e-08,16.8108071459887
"MAP3K3",0.341767967700149,7.9073997201984,8.22902352660893,7.70216261742816e-12,1.14755221033664e-08,16.7116051615746
"PKN2",0.401531026511816,7.41667689353812,8.10620728597771,1.29144293012705e-11,1.6471735846875e-08,16.2146342931538
"EPHX2",-0.631603284601965,4.13596774895696,-8.08991139840902,1.38312086987319e-11,1.6471735846875e-08,16.1327770946707
"TCF7",-0.545747544889149,8.39101032316812,-8.08583274224969,1.40706755663097e-11,1.6471735846875e-08,16.1207205271232
"BACH2",-0.492588560636905,6.76717821123521,-8.0518516479758,1.62339570330006e-11,1.77372214542565e-08,15.9914791936566
"BCL2",-0.384442268683967,7.02960200653037,-8.00251178212677,1.99804231387638e-11,1.92772504709159e-08,15.7903135309419
"CD8B",-0.479426731948007,5.10304863852114,-7.99067157039617,2.10012391650554e-11,1.92772504709159e-08,15.7418901291018
"REPS2",0.639565846336767,6.0842673189233,7.98874550710037,2.11721586720657e-11,1.92772504709159e-08,15.7303738909369
"ABCD2",-0.482116248972271,4.77552209206434,-7.94845626805261,2.50841048729252e-11,2.16370207769669e-08,15.5706391926642
"NELL2",-0.624274046917683,5.89776998738236,-7.91519057140605,2.88530470830633e-11,2.33527458095627e-08,15.4295791128772
"DNAJB6",0.318441557207178,6.36443739427314,7.90653730920845,2.99229765086837e-11,2.33527458095627e-08,15.3943305983483
