"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"TXNDC12",-0.315378050610367,5.27537415731387,-4.10868362851687,0.00010798841578161,0.603620466348512,1.1326546996403
"ERCC6",0.256491419240644,4.81835191609242,3.94282535687501,0.000190943670329899,0.603620466348512,0.624306828906422
"NDUFB3",-0.462129074258759,3.66788721254605,-3.7900696163832,0.000319171349589994,0.603620466348512,0.120421002747777
"PPIP5K1",0.371553248155017,3.87588266392627,3.68649488565709,0.000449299841595591,0.603620466348512,-0.153875980399954
"TTLL1",0.746719433554115,1.68114744839807,3.88402986031903,0.000232995780031168,0.603620466348512,-0.307639479129161
"AGAP6",0.445513600261398,4.27541547314913,3.58744684759697,0.000619990412850119,0.603620466348512,-0.400422241837923
"SDHAP3",0.504986328514514,2.60058189849206,3.59550677610234,0.000604068090427932,0.603620466348512,-0.618086271596267
"SMARCD3",-0.429059941614863,4.37656932359848,-3.49135384597289,0.000843276524865333,0.603620466348512,-0.657584754320676
"ZFP14",0.279672736993081,4.45170427078714,3.45827538967359,0.000936412854374005,0.603620466348512,-0.746694237207381
"SMC3",0.215735437869234,5.48169555202999,3.43662449256631,0.0010025586907271,0.603620466348512,-0.808196552013873
"ZBTB47",-0.358117610924921,4.66386077676588,-3.43449052824465,0.00100931222987249,0.603620466348512,-0.809673876252698
"RBM12B",0.201738551186832,5.91276597310665,3.43479608177807,0.00100834258608431,0.603620466348512,-0.814445685331042
"CTDSP1",-0.237305063455716,8.29136282456071,-3.40721876546476,0.00109949810182007,0.603620466348512,-0.885297263488229
"LOC100507387",0.978410874704589,0.749150268686891,3.8788777487356,0.000237077029805451,0.603620466348512,-0.899702739919242
"AC074138.3",0.75688833646908,1.38957398779184,3.64633949140246,0.00051226249285999,0.603620466348512,-1.02093574178025
"FDXACB1",0.5099848549706,2.22491524935901,3.45742355375373,0.00093893532429482,0.603620466348512,-1.03183883189437
"C7orf13",0.789456013436,1.2698000659719,3.60663623310379,0.000582720011072678,0.603620466348512,-1.04929710049684
"GSTM2",0.524634667585088,3.17381338071997,3.37018868283393,0.00123419374092298,0.603620466348512,-1.05181312079927
"NDUFAF7",0.345291214875846,3.19385475988978,3.34458717999391,0.00133626460561557,0.603620466348512,-1.10315061264023
"BDP1",0.219400598493237,6.05335784951698,3.32399796629399,0.00142407166197891,0.603620466348512,-1.11297578574136
"AGPAT4",0.409488688672123,4.12939027973987,3.29519632361366,0.001556054591191,0.603620466348512,-1.17794881778031
"ZNF418",0.486569944362697,2.79941533042632,3.3153596185428,0.00146250667013234,0.603620466348512,-1.22846940670954
"ALMS1",0.249054732891289,6.20969169168488,3.27415637083254,0.00165965431891565,0.603620466348512,-1.24438954798234
"FAM133B",0.367026222905209,3.45904562978118,3.27206056099257,0.00167032177271145,0.603620466348512,-1.25910002222594
"PARP15",0.31755111851703,5.98664757682674,3.26234393386962,0.0017206258439594,0.603620466348512,-1.27610807490314
"MTR",0.239889110981263,6.44969989077657,3.25534685415268,0.00175772844141111,0.603620466348512,-1.29236389182918
"KLHDC4",0.328329152123367,4.61291852769674,3.24832007564367,0.00179574389280486,0.603620466348512,-1.29920038592111
"PCP2",0.547849992182935,2.29898545572416,3.30575479784821,0.00150638784506685,0.603620466348512,-1.35255721544221
"WDSUB1",0.362450738862475,2.90659687079175,3.24463415046371,0.00181599247352195,0.603620466348512,-1.38330562963827
"RBM42",-0.260183063979994,5.28191278068335,-3.21640136016104,0.00197834937101874,0.603620466348512,-1.39263267035367
"ARF5",-0.237630878095763,6.3110872433061,-3.21409229096949,0.00199221343724776,0.603620466348512,-1.40150912326196
"C19orf52",0.359806086966279,3.21018884182811,3.20756480169268,0.00203190008638449,0.603620466348512,-1.43859863930535
"PDCD11",0.251081338138635,5.40316316786297,3.19152507337064,0.00213259105797057,0.603620466348512,-1.45766154537603
"PTK7",0.524972193384217,2.53098831492352,3.23374750419586,0.00187705689373382,0.603620466348512,-1.47737059202866
"ARHGDIA",-0.216984001346866,7.99423394537627,-3.17482328720579,0.00224239380084347,0.603620466348512,-1.48390285811181
"LSP1",-0.325634155687846,9.8863059928983,-3.16789185439984,0.00228949920032995,0.603620466348512,-1.51379012614722
"METTL15",0.406298263445792,3.3090746328906,3.16932584675184,0.00227967858065254,0.603620466348512,-1.52176915113106
"ABCA5",0.368812467473578,4.7078987361619,3.15576996709174,0.00237411149172223,0.603620466348512,-1.53611739333602
"TSSC4",-0.278308768570214,4.93021001885916,-3.13599222881501,0.00251846866315985,0.603620466348512,-1.5931241175791
"ARHGDIB",-0.231194988892293,9.36829031542644,-3.11669052065343,0.00266722682877949,0.603620466348512,-1.62895609582804
"PELO",-0.38162123870324,3.93119997936753,-3.11416546314132,0.00268728342769434,0.603620466348512,-1.63214809385123
"SBDS",0.274340537782646,4.28313480906679,3.11460121251276,0.00268381223511383,0.603620466348512,-1.63348983874953
"TRIP11",0.201357464644726,5.74247238157874,3.10878538058079,0.00273048813211664,0.603620466348512,-1.67274223135652
"FAM179B",0.260035386342524,4.4094446484706,3.0969524241095,0.00282780396523343,0.603620466348512,-1.67924810466014
"RNF167",-0.203310894174805,6.64402246257864,-3.09939396380552,0.00280746324354763,0.603620466348512,-1.69170335681025
"NRM",-0.374548219171297,3.08272363849157,-3.08776088465499,0.00290561918932446,0.603620466348512,-1.72120800949569
"ACAT1",-0.351275513117341,3.13599067591138,-3.08359041829963,0.00294158080819564,0.603620466348512,-1.72954232169767
"ARF4",-0.225413728726734,5.72228129915917,-3.08452895177125,0.00293345190153581,0.603620466348512,-1.73473353428887
"MAP2K5",0.260175732482736,4.31901736897297,3.06914010812922,0.00306941988951065,0.603620466348512,-1.74562444539333
"ALG9",0.279591431829392,3.65287401739359,3.06722058546552,0.00308678584108949,0.603620466348512,-1.74775088636034
"MIR3671",-0.555556904409798,2.4277157831493,-3.10753855469272,0.0027405928825187,0.603620466348512,-1.7688307752319
"TAPSAR1",-0.256563730183856,6.19659159792654,-3.06441483330052,0.00311233427392289,0.603620466348512,-1.7846607267689
"RIOK1",0.316593259000117,3.56809050750905,3.04503983897376,0.00329420619838403,0.603620466348512,-1.80215892304746
"ATG3",-0.324150012859199,6.12405867650509,-3.05084522203935,0.00323869908452934,0.603620466348512,-1.81946673294406
"ZNF619",-0.239338833688792,4.26530091069395,-3.03659763271058,0.00337650635146865,0.603620466348512,-1.8250941713522
"ZCCHC18",0.64222649838403,1.2112433095574,3.22937733181706,0.0019021075523063,0.603620466348512,-1.84782758650203
"UNC119",-0.308960526323951,5.97899915612233,-3.03575866769594,0.00338478879289228,0.603620466348512,-1.85757546734363
"FAM3C",0.344557381280714,3.86383167992963,3.01629575193158,0.00358231708172195,0.603620466348512,-1.8683441228359
"LAPTM5",-0.256218204238992,10.2081907974492,-3.00316051031372,0.00372162512491678,0.603620466348512,-1.90710916020169
"RAB1B",-0.22755602195415,7.3807788902283,-3.00509485072674,0.00370079893652386,0.603620466348512,-1.91397687292239
"FAM73A",0.271307160433888,4.72677817224307,3.0020005097424,0.00373416649841393,0.603620466348512,-1.92017470427216
"TTC3",0.22352364132291,7.03707817234123,2.99218527790747,0.00384186603127499,0.603620466348512,-1.95220462581646
"ZNF780B",0.258935012495551,5.64475805299929,2.99516015920407,0.00380892279915185,0.603620466348512,-1.95608147349991
"SLC38A7",0.323984199568291,3.52823200551594,2.97261722727976,0.00406523592522069,0.603620466348512,-1.9720715739893
