"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"LOC155060",-0.316297503326856,3.65978674862818,-5.06105285166994,3.31485007074444e-06,0.0303852819992673,4.32379952569498
"MYL5",-0.409550722209428,2.66655580511348,-4.98345418807015,4.45477844811559e-06,0.0303852819992673,3.96252171374482
"NOC4L",-0.28275747281787,3.79219095862223,-4.92485274920915,5.56201391163597e-06,0.0303852819992673,3.84747071434997
"FAM83H",-0.302837598836601,3.5942258864313,-4.73744413245597,1.12284524383331e-05,0.0460057767529603,3.20036782796666
"FAM13B",0.112396777210508,6.65292750207367,4.6577765545498,1.50818904964009e-05,0.0476660962390227,2.88012089280863
"C12orf66",-0.276178054306047,3.17897739819008,-4.60946526340476,1.80171483080824e-05,0.0476660962390227,2.76285715879635
"CES4A",-0.319079228577879,2.86865657248938,-4.57613492398828,2.03589403669021e-05,0.0476660962390227,2.63745496839003
"TEF",-0.282629523037332,3.49941345797573,-4.36128174321152,4.43112031705997e-05,0.0603692427717535,1.94578280788663
"CIRBP",-0.153443874407315,8.22484182756725,-4.36781913058172,4.3286322952726e-05,0.0603692427717535,1.93872451189281
"PAPOLA",0.131174139323353,8.31699455074425,4.33957414185407,4.788578656616e-05,0.0603692427717535,1.8477817374157
"TNPO2",-0.150981968833372,5.9729067073778,-4.35519176238533,4.52870709382606e-05,0.0603692427717535,1.84295732609709
"CCDC130",-0.167165013499661,5.24854274915556,-4.34023036830803,4.777374338329e-05,0.0603692427717535,1.80371221413909
"DCP2",0.177286347376453,8.31801421907655,4.3099714241625,5.32134973089167e-05,0.0622940005282739,1.74955768294757
"DPH1",-0.210736569483112,4.06566509482629,-4.18184509894807,8.3660607908633e-05,0.0900566588939666,1.33477610114388
"FUS",-0.145678847160302,7.64460332446901,-4.16766598906439,8.79191251634307e-05,0.0900566588939666,1.26486542845407
"AD000090.2",-0.301827034142957,2.67581715270981,-4.1048385108556,0.000109439890075575,0.0955094142992098,1.13245385289579
"ZNF512",-0.147708505091475,5.2862299564861,-4.1345922597942,9.86811161906195e-05,0.0951344007792979,1.12552452676074
"ATG4A",0.22984141922517,3.02692336401034,4.04898031261563,0.000132767902145494,0.0955094142992098,0.961680328506734
"CBL",0.171959811208819,8.59564629097937,4.04557646179825,0.000134334470523109,0.0955094142992098,0.906238338227588
"MAP2K1",0.156095028226233,5.76593828887947,4.06632082722254,0.000125056358467447,0.0955094142992098,0.895755372980207
"ZNF414",-0.216070007162117,3.91065440662731,-4.03929004855059,0.000137274588107103,0.0955094142992098,0.888324082359984
"ZNF638",0.134038920003657,7.23980954169386,4.03333949204772,0.000140114616201887,0.0955094142992098,0.81611524825156
"TNNT3",-0.330012163273046,2.62687941764205,-3.9878662247199,0.000163763456714585,0.0955094142992098,0.771566660849501
"TRUB2",-0.232867941190217,3.28114312259438,-3.98770096564544,0.000163856025264015,0.0955094142992098,0.764973069530546
"CACNA1F",-0.53962258214924,1.16734796502555,-4.02930274666877,0.000142073335483135,0.0955094142992098,0.691911826006791
"RFWD2",0.246423486327907,6.8788325907354,3.99533260455012,0.000159633267625699,0.0955094142992098,0.682673736093539
"HSPH1",0.260309897227539,5.50469818474844,3.97276763505465,0.000172431662351959,0.0955094142992098,0.600573131294134
"ZNF580",-0.181944577799172,5.17398086883,-3.96796198065243,0.000175281932987625,0.0955094142992098,0.596243515930943
"C16orf58",-0.158096661005089,5.82279237153249,-3.95915695345546,0.000180622127233513,0.0955094142992098,0.553636211536537
"AMD1",0.161120181941734,7.30868297699187,3.93589011812762,0.000195495983065478,0.0955094142992098,0.511039589947436
"PIGO",-0.180197550755003,5.03767071974858,-3.93193258973875,0.000198140221256522,0.0955094142992098,0.486993044150697
"SSPN",0.505592471894238,1.14253798631167,3.94923052534413,0.00018682984265463,0.0955094142992098,0.486959061364298
"LOC101929715",-0.477674934386904,0.995964894454135,-3.95520846235843,0.000183067300018857,0.0955094142992098,0.42779875844535
"ROCK2",0.144697859792192,6.07629333288751,3.91685789070619,0.000208530371098107,0.0976458357693393,0.420084530217467
"GAPVD1",0.0956525546108047,6.90659715210927,3.90657217668001,0.000215917678164682,0.0982965229844716,0.404445697471995
"CTF1",-0.85145682580682,-0.822323237036871,-4.38420359640893,4.08176105080427e-05,0.0603692427717535,0.364682342364135
"PPP1R37",-0.179064067642491,4.62293286962797,-3.87663670883663,0.000238873580078984,0.103023660629328,0.33737895354302
"ZNF137P",0.237990053254103,3.15429098080942,3.83649344651801,0.00027335266917595,0.114871202439094,0.314937224108537
"LTBP4",-0.174599124028376,5.37419290427753,-3.87883125515822,0.000237114169888885,0.103023660629328,0.308495636952633
"PIDD",-0.162005967611226,4.84217141296226,-3.80566538817572,0.000303015499793488,0.12260752575897,0.102947387061092
"ZFYVE16",0.208964474494726,6.68837385328475,3.80201576647584,0.000306724544274683,0.12260752575897,0.0722407559235654
"BAI1",-0.287899563558349,2.27732118343708,-3.70508486730564,0.000422717020647728,0.134368647963105,-0.0608114271384821
"SCAMP5",-0.572401697795285,1.82567760053328,-3.71934075375993,0.000403355379429298,0.134368647963105,-0.072210117213328
"VPS8",0.158199261380549,6.79907543851686,3.75328915163021,0.000360598346221305,0.134368647963105,-0.0739902100035916
"PPP2R3C",0.217660977562776,4.7841790225737,3.7397122596935,0.000377151067366072,0.134368647963105,-0.0851797491505462
"DBP",-0.194441337829063,5.05561978868457,-3.73445298021072,0.000383756067911274,0.134368647963105,-0.127213950636995
"CTBP1.AS2",-0.159544889333162,4.16249260999642,-3.70811462165187,0.000418529381626988,0.134368647963105,-0.141699235094594
"SPRYD3",-0.122103718878348,5.96682064709805,-3.72786496579084,0.000392185709483938,0.134368647963105,-0.164460351522152
"CHORDC1",0.178451818612957,4.90611591568278,3.70026900081842,0.00042945574866561,0.134368647963105,-0.220120353738549
"TCEA2",-0.211859267186197,3.02291404478883,-3.65177390258628,0.000503274585121386,0.134368647963105,-0.226341962322703
"IDUA",-0.165933759381753,4.91104903993332,-3.69383700249051,0.000438615856088229,0.134368647963105,-0.241888882532877
"NUDT15",0.322631668703179,1.78524259630157,3.64423316048829,0.000515787068266233,0.134368647963105,-0.256064851509683
"SNRPA1",-0.212614487577833,4.02796141294282,-3.66560441017735,0.000481073149684356,0.134368647963105,-0.26158951880332
"LOC100132815",-0.173209134470505,4.43612047625093,-3.6622336045946,0.00048639649582106,0.134368647963105,-0.308825981013566
"LOC102723566",-0.251923914693388,3.74380077835011,-3.635585200532,0.000530501433337432,0.134368647963105,-0.328076757803331
"SLC39A13",-0.161664219007772,4.90255594309726,-3.66227865937943,0.000486324974369002,0.134368647963105,-0.335189396848975
"FAM160B2",-0.149813258774928,5.58482280941968,-3.66966405542593,0.000474735637783244,0.134368647963105,-0.337872862230155
"STX6",0.127680708812269,5.99218830870708,3.66830290807472,0.000476851605645406,0.134368647963105,-0.345163800560158
"GPAA1",-0.146338653733094,5.6004552763276,-3.66610779304899,0.000480282962393706,0.134368647963105,-0.348016955442015
"FSD1L",0.27234457738185,2.65663901985294,3.60304504999806,0.000589528801064253,0.137059169052091,-0.351656162194375
"GALNT12",-0.287996366197201,2.39350230790818,-3.60083102361874,0.000593764171255016,0.137059169052091,-0.353627458475023
"XRCC3",-0.241153960508895,2.92915223781582,-3.60468876008934,0.000586403031284897,0.137059169052091,-0.356427441353175
"RC3H1",0.135530783452134,7.99443787002875,3.63418789830653,0.000532916109439371,0.134368647963105,-0.38074559839614
"SUPT20H",0.128353466435204,6.26932249500792,3.63910353115901,0.000524467460968864,0.134368647963105,-0.43096412634157
"EYA3",0.116261266096709,5.58781240520076,3.63485168046004,0.000531767726602561,0.134368647963105,-0.44168733083562
"LOC101926967",-0.236728092097921,3.29558147445268,-3.5785139795699,0.000638103131553446,0.141322597608506,-0.458553548463219
"PPM1D",0.172053672627887,5.0825666436883,3.62205949384879,0.000554319271238612,0.137059169052091,-0.45962371916931
"IL23A",-0.369882031360875,2.05006773581292,-3.55814301519094,0.000681307425727218,0.148879298669912,-0.473518607569887
"SEC24B.AS1",-0.585990345815409,0.174618907218516,-3.71354837742863,0.000411117963843206,0.134368647963105,-0.494948779788519
