"","Within Variation (SD)","Total Variation (SD)","Rs","Average Expression","subject","response","time:response","time","Residuals","repeatability","gen.variance","res.variance","Symbol"
"A1BG",0.535316646219366,0.830113512882882,0.644871620461011,1.95916027027058,0.175963686415544,0.0579605535700452,0.025824346138584,1.2088903802273e-11,0.740251413863738,0.162956596122026,0.103574215746255,0.53201966760104,"A1BG"
"A1BG.AS1",0.30852128710813,0.471629271880403,0.654160599230927,1.34780478461609,0.225831770683043,0.0439548115389487,0.0449506155462554,5.19315469523396e-07,0.685262282916283,0.23879144853459,0.0475995281811544,0.15173561750041,"A1BG.AS1"
"A2M",0.666837354349969,0.878703281302077,0.7588879756564,-0.719568598976496,0.146655000568737,4.8716211588475e-11,0,0,0.853344999382547,0.160255803815253,0.123375069408411,0.646488277011426,"A2M"
"A2M.AS1",0.56566732653631,0.909336884092554,0.622065745304944,-1.17598793473426,0.362604190763192,0,0,0.0259662357968571,0.611429573439951,0.394971096121915,0.326844943440284,0.500671162546868,"A2M.AS1"
"AAAS",0.26582600179185,0.395318933854526,0.672434277811929,4.19431005975599,0.122818929583218,0.0885427833062058,0,0,0.788638287110576,0.152989600467027,0.021624920853012,0.11972403872985,"AAAS"
"AACS",0.200276840388542,0.285428306479486,0.701671263298253,2.25095240191925,0,0,0,0,1,0.225631734626864,0.0188800735925671,0.0647964252997091,"AACS"
"AAED1",0.377080698631468,0.541191622103351,0.696760044373817,0.436920459535041,0,0.0806236456374307,0,4.22451467342104e-11,0.919376354320324,0,0,0.283707883270869,"AAED1"
"AAGAB",0.0982747584006661,0.200872468993526,0.489239560269623,3.7307420526948,0.552426906055888,6.40479382791881e-11,0,3.79834223765445e-11,0.447573093842081,0.573802061575956,0.0240904835786407,0.0178934777763879,"AAGAB"
"AAK1",0.190583342657416,0.296808556564913,0.642108653682748,5.25935570981576,0.390991819613942,0,6.81609343735998e-14,0,0.60900818038599,0.396532500229387,0.0360497611793439,0.0548627394567698,"AAK1"
"AAMDC",0.595301522245376,0.73248525237619,0.81271468649261,0.877783643902528,0.00620419510721835,0.103009479094526,0.0272403061083417,0.0194104342164591,0.844135585473455,0.0497827075935383,0.0227033186474437,0.433344970907432,"AAMDC"
"AAMP",0.193329562976389,0.288899587914395,0.669192934375786,5.08958534991015,0.180768145809196,0.026746652907202,1.56417966420653e-11,1.23313839269732e-11,0.792485201255629,0.183476135270244,0.0146909870582939,0.0653793013018541,"AAMP"
"AANAT",0.902884706788947,1.04680096554344,0.862518030177993,-1.47472128946331,4.87251532488689e-11,4.68283611196788e-10,0.172292274105299,5.63077194973218e-09,0.82770771974692,0,0,1.4275771858919,"AANAT"
"AAR2",0.159698561678964,0.277495598143565,0.57549944124282,3.91739709231343,0.47006349665031,0.00898144608178025,5.49013486574977e-12,4.54162370620583e-13,0.520955057261966,0.467157297042976,0.0354489214449665,0.0404332742723047,"AAR2"
"AARS",0.174356137772184,0.294641882188478,0.591756122643321,4.1279588589716,0.234329278420229,5.35674365803209e-12,8.910537238072e-12,0.0106337424053673,0.755036979160136,0.276660720000415,0.0241478662622918,0.063135454124699,"AARS"
"AARS2",0.155747739928584,0.242304154542475,0.642777835248723,2.98907955357075,0.305173558717365,0,1.09298968725069e-09,0.008206069886174,0.686620370303471,0.335873930227351,0.0199641225519658,0.0394752109457314,"AARS2"
"AARSD1",0.362254411336194,0.551494240396416,0.656859826996205,1.88884457972961,0.144894060348575,0.0911905397873842,0,0,0.763915399864041,0.145118480646273,0.0399395695083992,0.235280852663413,"AARSD1"
"AASDH",0.294941718947499,0.399227384807385,0.738781281473962,1.69833933010104,0.0696458836578706,0,1.60999561642406e-10,0,0.93035411618113,0.0691420760494271,0.0112528794271542,0.151497215306911,"AASDH"
"AASDHPPT",0.49519436365371,0.742616031787204,0.666824230096352,2.31102998112036,1.12212045799834e-12,0.0746340039152594,0,0,0.925365996083618,0.00186992766079902,0.000953580852751387,0.509002431212401,"AASDHPPT"
"AASS",0.570248966839389,0.961419608785045,0.593132240728913,-0.325882035250253,0.409740068768573,2.21816731005416e-10,1.5636875118493e-09,0,0.590259929445923,0.412612001049442,0.390215432269273,0.555504593509895,"AASS"
