"","GeneID","Time","Time_response","Response","AveExpr","F","P.Value","adj.P.Val"
"DEFA1B","ENSG00000240247",-0.229809442235993,0.487387302423573,-2.68317861805827,2.84393441596214,17.0651013618694,4.06322050029901e-08,0.000320267937218386
"DEFA1","ENSG00000206047",-0.226280080020503,0.495821083766272,-2.68712797803633,2.83761107165485,17.0482458740727,4.11787768843955e-08,0.000320267937218386
"LCN2","ENSG00000148346",0.0369342865389446,0.35926409399481,-2.0414570149684,3.10804808122802,15.7101804934715,1.21241189726618e-07,0.000628635568732512
"LTF","ENSG00000012223",0.027395049201548,0.120610019017937,-2.01580845695544,3.37202070925312,15.0154185787638,2.15700776831172e-07,0.000838806395902221
"CEACAM8","ENSG00000124469",-0.198488002141992,0.0619224716734093,-1.75087699550306,0.338247437151138,14.0375635385525,4.94492970354354e-07,0.0015383676307724
"TUBB2B","ENSG00000137285",-0.141676988016446,0.640717330244237,-1.60074847433875,0.993132219325366,12.5610690358395,1.80833719801327e-06,0.00412768308481795
"GLRX5","ENSG00000182512",-0.160783923855495,0.280155999112039,-1.13152745554492,4.67817237902975,12.5311588070347,1.85752372830123e-06,0.00412768308481795
"DEFA4","ENSG00000164821",-0.232597357530701,0.603277033821698,-2.45120684283302,0.119665886260013,11.953864026511,3.13242928809991e-06,0.00609061719704926
"KLHDC8A","ENSG00000162873",-0.115488093637509,0.317089123846699,-1.57713764779042,-0.345927566203794,11.4114486316953,5.15992109616614e-06,0.00847120463172779
"AHSP","ENSG00000169877",-0.135943223096205,0.935022294709635,-2.39532623359203,4.09752848917613,11.353330598123,5.44596890500019e-06,0.00847120463172779
"CAMP","ENSG00000164047",-0.115681617980726,0.692748619040238,-1.68890779579174,2.92125882924598,10.9414439152284,8.00399787042774e-06,0.011089823334674
"FAM104A","ENSG00000133193",-0.106540763581842,0.29855709666769,-0.701282546302366,5.20924204899986,10.7723525432088,9.38769589393562e-06,0.011089823334674
"KLF1","ENSG00000105610",-0.171271225018644,0.425007447314219,-1.71738969807077,3.22134366279983,10.6692252545418,1.03506645250742e-05,0.011089823334674
"ELANE","ENSG00000197561",0.10734701829912,0.717688104073706,-1.73180873297659,0.287142259005788,10.6678013302969,1.03646518249546e-05,0.011089823334674
"TUBB2A","ENSG00000137267",-0.0672720181969659,0.416752393133113,-2.3033996296924,2.57172273554605,10.5954040502929,1.11021435033543e-05,0.011089823334674
"TRIM10","ENSG00000137394",-0.0668201435861018,0.667942674846132,-1.1940096578106,1.40452737816576,10.5584817311104,1.14989029392316e-05,0.011089823334674
"HBE1","ENSG00000213931",-0.0938761610414053,0.877893588944941,-1.96778592453569,2.62275871434957,10.5032410866279,1.21200255023759e-05,0.011089823334674
"TMCC2","ENSG00000133069",-0.0426057838954348,0.154222777716675,-0.973327705829325,3.38639252912632,10.4374174082995,1.29055812434757e-05,0.0111525731245702
"FOSB","ENSG00000125740",0.862623736618082,-0.621639102557477,-0.02012870031395,0.855180480455612,10.2850566500271,1.49319700608731e-05,0.0122245681208885
"GMPR","ENSG00000137198",-0.0756453798269561,0.371050880041745,-1.52820611216596,4.81797987087912,10.207411437702,1.60882425166047e-05,0.0125126306172893
"RBM38","ENSG00000132819",-0.0189061283719774,-0.012121582721246,-0.919977130105582,7.4827746928866,10.1307192228323,1.73211868395379e-05,0.012830050537572
