"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneID"
"DEFA1B","ENSG00000204936",-2.68317861805827,2.84393441596214,-7.08928573590336,1.80995423157808e-09,1.42776915170555e-05,11.3910865597248,"ENSG00000240247"
"DEFA1","ENSG00000174950",-2.68712797803633,2.83761107165485,-7.08567252467136,1.83576875821993e-09,1.42776915170555e-05,11.3772779349959,"ENSG00000206047"
"LCN2","ENSG00000164142",-2.0414570149684,3.10804808122802,-6.82686401737932,5.05648439335402e-09,2.62178715795406e-05,10.4467044329171,"ENSG00000148346"
"LTF","ENSG00000181274",-2.01580845695544,3.37202070925312,-6.70593114612179,8.10984450096788e-09,3.15371578031389e-05,10.0103903837429,"ENSG00000012223"
"CEACAM8","ENSG00000188032",-1.75087699550306,0.338247437151138,-6.43519324962768,2.32735071181357e-08,7.24038806445201e-05,8.61237462297641,"ENSG00000124469"
"GLRX5","ENSG00000167657",-1.13152745554492,4.67817237902975,-5.99048218025437,1.2964154305047e-07,0.000336095700358345,7.39307587097492,"ENSG00000182512"
"TUBB2B","ENSG00000168906",-1.60074847433875,0.993132219325366,-5.94147874634362,1.56433935412483e-07,0.000347618552191596,7.07494110705856,"ENSG00000137285"
"DEFA4","ENSG00000177455",-2.45120684283302,0.119665886260013,-5.89759147421884,1.85046681731968e-07,0.000359800141792595,6.69378042226427,"ENSG00000164821"
"KLHDC8A","ENSG00000104313",-1.57713764779042,-0.345927566203794,-5.79737106122463,2.71286217268947e-07,0.000468873012179829,6.23862455039675,"ENSG00000162873"
"AHSP","ENSG00000173137",-2.39532623359203,4.09752848917613,-5.67265870913167,4.35769435347586e-07,0.00067783935668317,6.24559476978608,"ENSG00000169877"
"TUBB2A","ENSG00000151224",-2.3033996296924,2.57172273554605,-5.60873307117893,5.55055876003566e-07,0.000775635066535876,6.01723939813321,"ENSG00000137267"
"TMCC2",NA,-0.973327705829325,3.38639252912632,-5.57128693171497,6.39365164199194e-07,0.000775635066535876,5.88662411518243,"ENSG00000133069"
"KLF1","ENSG00000144036",-1.71738969807077,3.22134366279983,-5.56763604262493,6.48232456764152e-07,0.000775635066535876,5.87455468830565,"ENSG00000105610"
"CAMP","ENSG00000177324",-1.68890779579174,2.92125882924598,-5.54787557431677,6.98376250779802e-07,0.000775945898634273,5.80506041210329,"ENSG00000164047"
"RBM38","ENSG00000203896",-0.919977130105582,7.4827746928866,-5.51082805203196,8.02923398618373e-07,0.000832631564367253,5.6678881440748,"ENSG00000132819"
"GMPR","ENSG00000137992",-1.52820611216596,4.81797987087912,-5.47468945036875,9.19743354785033e-07,0.000869338173200681,5.53126068271114,"ENSG00000137198"
"ELANE","ENSG00000120903",-1.73180873297659,0.287142259005788,-5.45898385377718,9.7559874008944e-07,0.000869338173200681,5.30217162038377,"ENSG00000197561"
"BCAM",NA,-1.90887034615368,0.848253075175012,-5.43073959721264,1.0845906789378e-06,0.000869338173200681,5.30044220128533,"ENSG00000187244"
"FAM104A","ENSG00000113300",-0.701282546302366,5.20924204899986,-5.42630070355221,1.1027786384234e-06,0.000869338173200681,5.35707072932394,"ENSG00000133193"
"HBE1","ENSG00000261439",-1.96778592453569,2.62275871434957,-5.41215359884758,1.16277534319134e-06,0.000869338173200681,5.32668748946775,"ENSG00000213931"
"TSPAN5","ENSG00000006062",-1.08821854467476,4.1290521762401,-5.40966699148262,1.17364844983699e-06,0.000869338173200681,5.30570124389459,"ENSG00000168785"
"EPB42","ENSG00000103249",-1.63339158510287,5.1167801435956,-5.3647830584274,1.38806388814538e-06,0.000981424262731884,5.1394218911991,"ENSG00000166947"
"SMIM5",NA,-1.23697607936153,2.63046095277965,-5.33791613176693,1.53442233029418e-06,0.00100055591928876,5.06718541834957,"ENSG00000204323"
"SLC6A9",NA,-1.68201692390462,-0.0333057720714311,-5.33628707189864,1.54376998154486e-06,0.00100055591928876,4.82696411959346,"ENSG00000196517"
"OSBP2","ENSG00000164151",-1.26996184823331,4.80063490280969,-5.32404804623621,1.61581531256564e-06,0.00100509651352539,4.9967668294399,"ENSG00000184792"
"TRIM10","ENSG00000127603",-1.1940096578106,1.40452737816576,-5.31358783303144,1.68000703000066e-06,0.00100509651352539,4.95760596589397,"ENSG00000137394"
"DCAF12","ENSG00000204536",-1.05025488314941,6.93819237060966,-5.27839459494121,1.9149737546576e-06,0.0011032376575444,4.84139604296854,"ENSG00000198876"
"VMO1","ENSG00000221630",-1.5914338845594,-0.184051287416537,-5.26105279305469,2.04237253327436e-06,0.0011346108841101,4.54870274739533,"ENSG00000182853"
"UBB","ENSG00000055732",-1.21262268988121,9.45573522909447,-5.21424618521398,2.42936048463018e-06,0.00125954702174067,4.63574941308576,"ENSG00000170315"
"SELENBP1","ENSG00000265313",-1.71603870600183,5.47068600939336,-5.21200569110414,2.44959242781094e-06,0.00125954702174067,4.60021443637708,"ENSG00000143416"
"KRT1","ENSG00000182518",-2.23844008933283,3.8654910847758,-5.19930214752101,2.5674804625594e-06,0.00125954702174067,4.57086812328411,"ENSG00000167768"
"SLC6A8",NA,-1.24053680778057,4.92527758139141,-5.19681970835078,2.59116070046296e-06,0.00125954702174067,4.54820512223613,"ENSG00000130821"
"FBXO9","ENSG00000060566",-0.565955538198492,5.15142915761249,-5.17159083122286,2.84434209667329e-06,0.00131089203310886,4.45876866212389,"ENSG00000112146"
"SMOX",NA,-1.05968377238574,3.88927750961253,-5.16959890065166,2.86533777728712e-06,0.00131089203310886,4.46501197919632,"ENSG00000088826"
"MRC2","ENSG00000171657",-1.17062372097655,2.96150709440533,-5.15713779255996,3.00018394668314e-06,0.00131445333875852,4.43606009515515,"ENSG00000011028"
