"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneID"
"FOSB","ENSG00000236126",0.862623736618082,0.855180480455612,5.25768072827096,2.06809650471203e-06,0.0321692411307957,-0.509567112944112,"ENSG00000125740"
"DNAJB1","ENSG00000128536",0.273396059576317,5.85815600791383,4.51714107096137,3.01630276760586e-05,0.196654376453874,0.394052166673663,"ENSG00000132002"
"DUSP1","ENSG00000110318",0.47033603362652,6.6909856741892,4.45175153706375,3.79275557288088e-05,0.196654376453874,0.193382604641624,"ENSG00000120129"
"IRAK1BP1","ENSG00000135930",-0.622084081478988,-1.21960883354689,-4.15829765894869,0.000104130891808289,0.404939005519483,-2.97355381564889,"ENSG00000146243"
"DDIT4","ENSG00000175305",0.484688481698993,4.07630900627736,4.04064266285854,0.000154735199001992,0.481381204095198,-0.662694532022433,"ENSG00000168209"
"PER1","ENSG00000104613",0.33883249477842,3.73682561039815,3.90147203299899,0.000245463339966683,0.636363708863626,-0.977566467958666,"ENSG00000179094"
"G0S2","ENSG00000205279",0.527869928356655,0.418423804646251,3.77611937039469,0.000369398926930571,0.820857186915004,-2.4401992698825,"ENSG00000123689"
"RTKN","ENSG00000226673",0.531642641733576,-0.0871647305039471,3.68514402306199,0.000494842752906412,0.962159877682406,-2.81489546096905,"ENSG00000114993"
"SCAMP5","ENSG00000234722",0.498306632671885,1.21407723093134,3.61864679855496,0.0006112983446503,0.999951210736324,-2.2674258570466,"ENSG00000198794"
"TSC22D3","ENSG00000172469",0.284768804124611,7.86434974549488,3.60037216274552,0.000647624509236261,0.999951210736324,-1.50271897196262,"ENSG00000157514"
"PACSIN1","ENSG00000147896",0.39560130816797,1.4569356687608,3.55047658012924,0.000757579490642581,0.999951210736324,-2.27593534316061,"ENSG00000124507"
"MIR24.2","ENSG00000122694",0.554659853355818,-1.17142140072432,3.4972589826924,0.000894343378313778,0.999951210736324,-3.41943550338855,NA
"EMC2","ENSG00000258289",-0.397045241515033,2.06471898927568,-3.47905025770984,0.000946303056699036,0.999951210736324,-2.08092873517566,"ENSG00000104412"
"DUSP2","ENSG00000099814",0.549082898495981,3.10167284736629,3.46537094511672,0.000987210016528406,0.999951210736324,-1.85040105611729,"ENSG00000158050"
"RPL36A.HNRNPH2","ENSG00000242385",-0.488660375856333,6.394410198516,-3.45021081175661,0.00103450432041963,0.999951210736324,-1.65513537802317,NA
"LAMP5","ENSG00000234545",0.531205371684382,-0.0803884324641952,3.39750548325612,0.00121619954017037,0.999951210736324,-3.05463018046945,"ENSG00000125869"
"SLC35F2",NA,-0.275969535869992,0.983323646334309,-3.37586258722801,0.00129923715798133,0.999951210736324,-2.61650239757043,"ENSG00000110660"
"UQCRB","ENSG00000206562",-0.546500822731216,5.03829967409461,-3.32567558977237,0.00151289547747296,0.999951210736324,-1.85670611802557,"ENSG00000156467"
"HSPA1B","ENSG00000125868",0.411150500893432,5.10234819725085,3.25983626881362,0.00184376791362137,0.999951210736324,-1.97766188927349,"ENSG00000204388"
"ELMO1.AS1","ENSG00000175264",0.462282593582708,-0.142922902814533,3.24364915248354,0.00193497754263156,0.999951210736324,-3.2602241271689,NA
"ZNF816.ZNF321P","ENSG00000263734",-0.285949410105171,0.138531925241426,-3.24211381459817,0.00194384581101346,0.999951210736324,-3.10640440631628,NA
"RPL36A","ENSG00000246100",-0.670655507368333,5.81040576241877,-3.23081851570752,0.00201027416699324,0.999951210736324,-2.01735642888687,"ENSG00000241343"
"TTC27","ENSG00000008735",0.19330742352072,2.13878879328524,3.175811373913,0.00236541786713212,0.999951210736324,-2.508280122119,"ENSG00000018699"
"MGC16275","ENSG00000106128",-0.274957528739161,1.06448799235375,-3.16662875512051,0.00243015770069289,0.999951210736324,-2.81869371951097,"ENSG00000246731"
