"","ID","logFC","AveExpr","t","P.Value","adj.P.Val","B","GeneID"
"AANAT","ENSG00000094914",-1.67893754621577,-1.47472128946331,-3.93670105959105,0.000218565937213511,0.967016641566613,-4.21843198328463,"ENSG00000129673"
"SGOL1","ENSG00000204020",-1.4973602769468,-1.5625970821707,-3.70206822100929,0.000468778556975744,0.967016641566613,-4.26669425539015,NA
"CDCA7","ENSG00000103544",-1.35803345262176,-0.818755011911663,-3.5524584370462,0.000752892135144623,0.967016641566613,-4.21598020348789,"ENSG00000144354"
"LOC101928068","ENSG00000169018",-0.912758896247938,-0.821567234802597,-3.54076775656748,0.000780946271391725,0.967016641566613,-4.20557202479652,NA
"CSNK1G2.AS1","ENSG00000099625",-1.65465913338125,-1.77639714524382,-3.38844363595832,0.00125033664019537,0.967016641566613,-4.33163819005901,NA
"MIR6840","ENSG00000167195",-0.931017866355982,-1.04656055270715,-3.22202295154879,0.00206347418834715,0.967016641566613,-4.29232868256605,NA
"ATP6V1G2","ENSG00000234906",-0.814114557503715,-0.336173360337567,-3.2136183937832,0.00211554383084485,0.967016641566613,-4.19847978672493,"ENSG00000206445"
"NRIP2",NA,-0.494727784067587,1.41684348389491,-3.19326830633523,0.00224678208016569,0.967016641566613,-3.88927710442245,"ENSG00000053702"
"SYP",NA,0.700517923527413,0.0610383631127872,3.18715177441088,0.00228769868591598,0.967016641566613,-4.134899744785,"ENSG00000102003"
"MLT2B5.ERVL.LTR",NA,-0.775556754331704,0.0728408983376185,-3.01217675753632,0.00380107187196344,0.967016641566613,-4.19558246117724,NA
"SH3GL1P1","ENSG00000113368",-0.726239048575792,0.351743903419034,-2.97851386542839,0.00418301582010811,0.967016641566613,-4.16210900778769,"ENSG00000266777"
"TBC1D31",NA,-0.489192072263643,1.98127421716954,-2.9054379965789,0.00513810359292711,0.967016641566613,-3.93625565438798,"ENSG00000156787"
"LTR64.ERV1.LTR","ENSG00000207934",-0.46013231835805,1.11161728980613,-2.86038685165571,0.00582375247364079,0.967016641566613,-4.08073471419803,NA
"SLC16A4",NA,-1.08839989952314,-1.25073525432124,-2.8463644541461,0.00605384153185099,0.967016641566613,-4.37743331283332,"ENSG00000168679"
"FOXD2","ENSG00000237957",-0.923198953991118,-0.690278228083977,-2.78976776866809,0.00707041097617925,0.967016641566613,-4.34106501985829,"ENSG00000186564"
"SETSIP","ENSG00000238120",-0.507609529214942,0.433022763008494,-2.78070442559008,0.0072470981234154,0.967016641566613,-4.20624396418651,"ENSG00000230667"
"FSD1L","ENSG00000150281",-1.05047475483414,-1.21952541497585,-2.7125396326376,0.00871172679054969,0.967016641566613,-4.39528047795634,"ENSG00000106701"
"BTBD19","ENSG00000196433",-1.24001476010274,-0.886241271556483,-2.69763824064875,0.00906606099526234,0.967016641566613,-4.37471732464465,"ENSG00000222009"
"ZNF445","ENSG00000199032",-0.41176570365532,3.59967240428675,-2.68686232161388,0.00933046331397551,0.967016641566613,-3.84805186536729,"ENSG00000185219"
"PI4K2A","ENSG00000137809",-0.306035327726128,3.34709295939837,-2.66960942233045,0.0097685051316895,0.967016641566613,-3.87860405866403,"ENSG00000155252"
"XRCC3","ENSG00000207768",-0.284642468567102,4.26814434153253,-2.66691818927967,0.00983850379280832,0.967016641566613,-3.81214409380929,"ENSG00000126215"
"PPIL3","ENSG00000163507",0.433088985824121,2.20924629858695,2.65869276188125,0.0100552958954669,0.967016641566613,-3.99720979109271,"ENSG00000240344"
"MZF1.AS1","ENSG00000113196",-0.572957315309071,0.492803512819644,-2.65793663922751,0.0100754418264371,0.967016641566613,-4.23724352572322,NA
