"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1766085",1.69330046507387,7.33355491879203,6.9664321063357,2.7344752451947e-09,2.83243273280543e-05,10.8161399904825,"REL"
"ILMN_1792951",1.1569549565883,7.11617569410975,6.95527292527887,2.85743529160700e-09,2.83243273280543e-05,10.7760567650276,"ZHX2"
"ILMN_1893697",1.51720952404606,6.02215998000867,6.61459017108954,1.09097193422043e-08,7.20950619863998e-05,9.5540237790699,NA
"ILMN_2389347",1.16562971717683,7.0769069012628,6.37260631578432,2.8117372454147e-08,0.000139356727225866,8.689314637392,"NR3C1"
"ILMN_1655482",1.21599386998412,7.1219831834709,6.28387019858129,3.97354105127839e-08,0.000157550902683188,8.37323471090982,"TRIM27"
"ILMN_2204876",1.37347535446865,7.08706487738444,6.13840881121564,6.99231998718638e-08,0.000196582829469205,7.85655899734981,"FLVCR2"
"ILMN_1902202",-0.967350516843724,5.30406950951051,-6.10731170066921,7.88781584008953e-08,0.000196582829469205,7.74636497712931,NA
"ILMN_1784070",-1.17444958383819,5.40168327357088,-6.10584592351593,7.93272451830335e-08,0.000196582829469205,7.7411733687528,NA
"ILMN_1691444",1.14910394620499,7.40823379018804,6.0488697120217,9.88948820490733e-08,0.000217843448513653,7.5395462827804,"UHRF2"
"ILMN_1680018",-1.09857923130338,6.1749132333953,-6.01981005572204,1.10647432795245e-07,0.000219358535516572,7.43684641894609,"RIPK4"
"ILMN_1755049",1.50350209485816,7.62942646986193,5.80842617763085,2.49555389162844e-07,0.000444776475762555,6.69286221359569,NA
"ILMN_1808584",1.26811374778035,7.28929730693258,5.78862441528212,2.69221574232064e-07,0.000444776475762555,6.62346858821251,"COX20"
"ILMN_1775467",-1.23410545560769,5.47734574113536,-5.73793093506792,3.26830782409275e-07,0.000498416943174144,6.44607281777844,"OR2T12"
"ILMN_1727023",0.76226719505613,7.41082701490537,5.60894816164878,5.34268238665686e-07,0.000736468071438218,5.99646683794532,"AMMECR1L"
"ILMN_1865151",-0.917610090924553,5.31458018432781,-5.59787052727705,5.57226787973431e-07,0.000736468071438218,5.9579763960412,NA
"ILMN_1769926",1.03483552728554,6.73225119603333,5.5782207051024,6.00372763399653e-07,0.000743899377149883,5.88975123809644,"DBN1"
"ILMN_1743427",0.885435629467178,7.59951170973366,5.49415435227318,8.25353532012066e-07,0.000955209238951177,5.5986169828955,"SCYL3"
"ILMN_1875581",-0.840526596147439,5.38966288138359,-5.48103519349562,8.67276988707248e-07,0.000955209238951177,5.55329614823862,NA
"ILMN_2242937",1.16665070336825,7.01019247933075,5.43776780212467,1.02098918941876e-06,0.00101517278137264,5.40405015090274,"ARSB"
"ILMN_1902927",-1.0341470891718,5.34083848610887,-5.42713460854682,1.0627023024439e-06,0.00101517278137264,5.36742553248063,NA
"ILMN_1825237",-1.1202957173561,5.5271013752921,-5.42399406980508,1.07534065113874e-06,0.00101517278137264,5.35661245115564,NA
"ILMN_1754198",0.89943095105014,5.34581839671005,5.40758353447875,1.14383008306585e-06,0.00103074688167184,5.30014042832982,NA
"ILMN_2222991",1.34635967199126,6.65906399982001,5.32041821075204,1.58631738850576e-06,0.0013016048252052,5.00106807673906,"ETF1"
