"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1788122",1.02403133290376,4.80128053920602,8.86995375318987,1.54100650863598e-12,3.61889968488072e-08,17.5992178072292,"GSTA5"
"ILMN_1826321",-1.23622354391326,4.85610835115906,-6.97320073469101,2.69077051331652e-09,3.15950273673626e-05,10.838965305395,NA
"ILMN_1875581",-0.987922538143995,5.38966288138359,-6.4757202246409,1.8957595387406e-08,0.00012579748070592,9.05582508823009,NA
"ILMN_1777444",1.24909494296361,6.32615544453931,6.37843914861248,2.77132706943862e-08,0.00012579748070592,8.70858790260518,"STX5"
"ILMN_1792951",1.0561814708181,7.11617569410975,6.3622641330403,2.95168864261543e-08,0.00012579748070592,8.65091710143389,"ZHX2"
"ILMN_1902202",-0.990338150351754,5.30406950951051,-6.28431639290571,3.99829243799811e-08,0.00012579748070592,8.37328340373519,NA
"ILMN_1833691",-0.815043756094676,5.08458265561174,-6.28288577919276,4.02060267943162e-08,0.00012579748070592,8.36819242951597,NA
"ILMN_1691444",1.19357469596604,7.40823379018804,6.26648444356928,4.2853851373163e-08,0.00012579748070592,8.30983901247417,"UHRF2"
"ILMN_1741506",-0.735023139544272,4.97458365911857,-6.03567223787983,1.04810766426531e-07,0.000263948519423979,7.49130365252888,NA
"ILMN_1669393",-0.963857641796132,4.98509554667262,-6.0175720969999,1.12395043188545e-07,0.000263948519423979,7.42734707701404,"GGT1"
"ILMN_2389347",1.09044176017147,7.0769069012628,5.97177456711959,1.34101680527644e-07,0.000267515899110979,7.26568977646547,"NR3C1"
"ILMN_1766085",1.459440632466,7.33355491879203,5.94815568724745,1.46870899599539e-07,0.000267515899110979,7.1824159666926,"REL"
"ILMN_1834182",-0.979577776318351,5.06433184282352,-5.94601107666467,1.48088344764211e-07,0.000267515899110979,7.17485798533016,NA
"ILMN_1705342",-0.857439130550188,5.09211255232896,-5.86717318187182,2.00501780924982e-07,0.000318969080712407,6.89741862068238,"VPS13D"
"ILMN_1784879",-0.822026413636608,5.12310797606205,-5.85602479852425,2.09264647461927e-07,0.000318969080712407,6.85825079718711,NA
"ILMN_1733037",-1.08320276408708,5.3616744175569,-5.84617884203331,2.1731839939527e-07,0.000318969080712407,6.82367254249489,NA
"ILMN_1808584",1.26956884277735,7.28929730693258,5.72980550757443,3.39198339484719e-07,0.000468572576732891,6.41599547799856,"COX20"
"ILMN_1817772",-0.882239959860951,4.94891841434066,-5.6918971699294,3.91955599654411e-07,0.000500627918996447,6.2836208152557,NA
"ILMN_1657144",-1.1214936057405,5.91492105662837,-5.68327846393553,4.05038769414601e-07,0.000500627918996447,6.25355511612024,"IBA57"
"ILMN_1784070",-1.08735674361619,5.40168327357088,-5.66838672151298,4.28669240099924e-07,0.00050334342172533,6.20163353109476,NA
"ILMN_1800837",1.17839426914785,7.47608458767259,5.63049855019204,4.95110340153854e-07,0.000553674820389195,6.06969011862144,"CFDP1"
"ILMN_1687303",1.05621108994969,6.8775490246206,5.58856966308151,5.80535746081694e-07,0.00061969552095375,5.92394575399462,"ACAD10"
"ILMN_1764230",-0.941193681968435,8.26989275885065,-5.54097777461102,6.9522646004902e-07,0.00065080149406904,5.75887329171025,"GNPTG"
"ILMN_1716973",0.934949011560569,7.47578108756054,5.53783420103651,7.03544702218087e-07,0.00065080149406904,5.747983477759,"POLM"
"ILMN_1851033",-0.845029641675077,5.10139479447952,-5.53649329026537,7.07122717967181e-07,0.00065080149406904,5.74333888261289,NA
"ILMN_2203588",-0.964087739212224,5.0393213488076,-5.51138882119687,7.77524524525106e-07,0.00065080149406904,5.65644110625842,"MYL5"
"ILMN_2367239",0.861207838899397,6.91739383632414,5.51019647393532,7.8103509044769e-07,0.00065080149406904,5.65231662430827,"RCAN1"
"ILMN_1824196",-1.39848551204715,5.26070398850497,-5.50747731696665,7.89099574325758e-07,0.00065080149406904,5.64291165658541,NA
