"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2389347",1.42230036043741,7.0769069012628,7.7758486475605,1.11727747173504e-10,2.21500258771471e-06,13.7792976852502,"NR3C1"
"ILMN_1791884",-1.37676942631152,6.69617545339927,-7.11923263167958,1.49658591349722e-09,1.48349078675412e-05,11.4085665841438,"SNHG11"
"ILMN_1792951",1.13504149358653,7.11617569410975,6.82353563071316,4.80062777199369e-09,2.46311533679064e-05,10.3406244770195,"ZHX2"
"ILMN_1655482",1.31872232342649,7.1219831834709,6.8147382260174,4.96971568583232e-09,2.46311533679064e-05,10.3088837064508,"TRIM27"
"ILMN_1865151",-1.0499879065532,5.31458018432781,-6.40543997306017,2.47351181890632e-08,9.80747436196356e-05,8.83606801851013,NA
"ILMN_1680727",1.54037851849192,6.59102956501835,6.34719689681192,3.1046981079893e-08,0.000102584399984813,8.62732273335749,"GLRX2"
"ILMN_1685781",1.17333142719446,7.3529402901644,6.19575355597045,5.59735464352251e-08,0.000158525079725477,8.08585808403306,"GON7"
"ILMN_1685678",1.23355948128226,6.42098274162408,6.08561907830801,8.57896064080338e-08,0.000201111042641069,7.6934474737315,"EEF1B2"
"ILMN_1681154",-1.20613571893004,5.54869502377119,-6.0564675983236,9.60318697064435e-08,0.000201111042641069,7.58979415659295,"ZBTB39"
"ILMN_1690638",-1.10772646767758,5.3471875767411,-6.04228834257446,1.01443148873175e-07,0.000201111042641069,7.53941142705651,"RPS3A"
"ILMN_1717357",1.16970404479953,6.60240597524439,5.94244894071958,1.49118303952679e-07,0.000268751852351078,7.18531976317832,"AIFM1"
"ILMN_1805812",0.843031155098692,8.07094089084314,5.8852393385952,1.85837286262904e-07,0.00030583610988336,6.98297462981546,"TOR1A"
"ILMN_1742109",-1.39622270671769,6.0252046359905,-5.85614464276623,2.07813467773496e-07,0.00030583610988336,6.88023390432115,"DNAJC19"
"ILMN_1766085",1.41750593565355,7.33355491879203,5.83178181589145,2.28180206882595e-07,0.00030583610988336,6.79429089698515,"REL"
"ILMN_1824196",-1.47597082653292,5.26070398850497,-5.82812645262623,2.31401848587662e-07,0.00030583610988336,6.78140319624331,NA
"ILMN_1690920",1.56381728664878,6.90100255756699,5.80353894069985,2.5427284807061e-07,0.000315059950812491,6.69476374684259,"SP100"
"ILMN_1669718",1.13753920544258,6.90561999306262,5.71441691272571,3.57539337134485e-07,0.000388834091919764,6.38145773963397,"PSENEN"
"ILMN_1784070",-1.09694389809767,5.40168327357088,-5.70290161510087,3.73601779792762e-07,0.000388834091919764,6.34106312774125,NA
"ILMN_2401730",1.11078187970983,6.33309121919498,5.69700540542223,3.82100345134884e-07,0.000388834091919764,6.32038771151341,"C1GALT1C1"
