"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2389347",1.23972580621294,7.0769069012628,6.77769654127213,5.74923691578069e-09,0.000113978621855352,10.1287083741685,"NR3C1"
"ILMN_1792951",1.04937960712684,7.11617569410975,6.30856156346139,3.60925000429266e-08,0.000295355049091842,8.45352886788216,"ZHX2"
"ILMN_1687303",1.15641668959317,6.8775490246206,6.12849660015394,7.26622240770291e-08,0.000295355049091842,7.81467330188234,"ACAD10"
"ILMN_1798329",0.907522851490931,5.48124429813983,6.07213922584663,9.03835606230874e-08,0.000295355049091842,7.61535921772411,NA
"ILMN_1701940",1.16962098275081,6.67462896520174,6.06653734622655,9.23636929536427e-08,0.000295355049091842,7.5955657347127,"MIGA2"
"ILMN_2242937",1.28412844442036,7.01019247933075,5.98533244672237,1.26397632945814e-07,0.000295355049091842,7.30902801721051,"ARSB"
"ILMN_2046896",0.952001629877896,6.82292455315111,5.98527560219323,1.26425353681689e-07,0.000295355049091842,7.30882769954404,"ESRRA"
"ILMN_1691444",1.13200899779867,7.40823379018804,5.95888210386398,1.39969316594537e-07,0.000295355049091842,7.21585932045302,"UHRF2"
"ILMN_1865151",-0.976549945660843,5.31458018432781,-5.95743247954136,1.4075349698029e-07,0.000295355049091842,7.21075557069722,NA
"ILMN_1777444",1.16702175357212,6.32615544453931,5.94268790625679,1.48981109251875e-07,0.000295355049091842,7.15885818360911,"STX5"
"ILMN_1728514",1.03372063556491,6.7097612969399,5.90170577220181,1.74436314826461e-07,0.00031438181285769,7.01475132885879,"BAG5"
"ILMN_1784070",-1.12491153536023,5.40168327357088,-5.84830256403894,2.14164706193284e-07,0.000353817941690154,6.82728903208197,NA
"ILMN_1727023",0.783765329551804,7.41082701490537,5.76713668496508,2.92299074734577e-07,0.000430421186718774,6.54310617612995,"AMMECR1L"
"ILMN_2204876",1.28811553007676,7.08706487738444,5.75691416228277,3.03954431982993e-07,0.000430421186718774,6.5073801605239,"FLVCR2"
"ILMN_2367239",0.895812868955489,6.91739383632414,5.72848715735107,3.38837394623275e-07,0.000447830089893762,6.40811253403087,"RCAN1"
"ILMN_1902202",-0.899830919973202,5.30406950951051,-5.68103061970461,4.06097955963043e-07,0.000503180748560458,6.24266231166657,NA
"ILMN_2182335",1.17140666007391,7.07707703001612,5.5772044199802,6.02691839010675e-07,0.000702845041669802,5.88192109466621,"ARID2"
"ILMN_1685678",1.11833502214726,6.42098274162408,5.51717290490518,7.56573010358765e-07,0.000759377127143386,5.67416123356726,"EEF1B2"
"ILMN_1669718",1.09779304556347,6.90561999306262,5.51475247290474,7.63530662714163e-07,0.000759377127143386,5.66579761696035,"PSENEN"
"ILMN_1775753",1.20055790847702,6.78129842209906,5.49323040946408,8.28239462268654e-07,0.000759377127143386,5.59147550279721,"FBXW2"
"ILMN_1651606",-0.977107314901579,5.274176144739,-5.47923843097656,8.73179877659805e-07,0.000759377127143386,5.54320153718069,NA
"ILMN_1910965",1.04692188671394,5.73275852618312,5.47331892474356,8.92908933553917e-07,0.000759377127143386,5.52278921662721,NA
"ILMN_1869758",0.924969035189444,4.96047575257544,5.46852824051695,9.09197119406886e-07,0.000759377127143386,5.50627410314163,NA
"ILMN_2310896",1.07406810305591,7.64082457136452,5.46560017260693,9.1929639603739e-07,0.000759377127143386,5.49618212552387,"NLRP3"
"ILMN_1824196",-1.37361659504916,5.26070398850497,-5.42396304144959,1.0754662536547e-06,0.000852844739148173,5.35284586888843,NA
"ILMN_1750178",-1.2786770395802,5.92417328033898,-5.39778993336483,1.18673395028721e-06,0.000883050129934745,5.26291176647577,"WASHC2C"
"ILMN_1808115",1.16886504322366,6.94980173480737,5.39424734603858,1.20264078225665e-06,0.000883050129934745,5.25074907361389,"ATP7A"
"ILMN_2190676",1.09505217245442,5.30652462658106,5.35410639380352,1.39823313423151e-06,0.000989998995933562,5.11310478046108,"LRTM2"
"ILMN_1876729",-0.906721584516499,5.38512588867088,-5.33971134821367,1.47575071270306e-06,0.00100885371997718,5.06382136352668,"MORF4L2-AS1"
"ILMN_1887831",-1.0669563767836,5.59107446560516,-5.20337864041574,2.45459846326671e-06,0.00162208048447542,4.5991899932751,NA
"ILMN_1785661",1.32631074486247,7.19073276166373,5.17714140937825,2.70581452166571e-06,0.00173041202877493,4.51023030145816,"ABHD17B"
"ILMN_2390739",-0.95063913757394,6.44825968881362,-5.15856653881678,2.89877925744069e-06,0.0017512129402351,4.44734368349748,"ZNF3"
"ILMN_2400219",0.951324269846734,6.55496134503457,5.15706023089154,2.91500766848718e-06,0.0017512129402351,4.44224738440577,"SRI"
"ILMN_1743783",1.24252293275567,6.4834187400836,5.10632526515593,3.51695011113633e-06,0.00205069223391993,4.27089976339496,"CCDC43"
"ILMN_2187830",1.21363747320776,7.33870610635538,5.06197596974843,4.14200101184818e-06,0.00234614771599686,4.12161266784148,"CCNH"
"ILMN_2181883",1.09147445880863,7.1186207882581,5.00356032808522,5.13408698124691e-06,0.00272352605010931,3.92570241060321,"GSKIP"
"ILMN_2174729",1.14514483055951,6.41973160224465,4.99935886866004,5.21381750172335e-06,0.00272352605010931,3.91164440083872,"ZNF318"
"ILMN_1685781",0.946697201783162,7.3529402901644,4.99901597999486,5.22037780096615e-06,0.00272352605010931,3.91049729663044,"GON7"
"ILMN_1661484",0.83227801750879,6.87183178956031,4.97239037934695,5.75529429833619e-06,0.00292247102235221,3.82151421999548,"ZBTB45"
"ILMN_1816603",0.995543669135417,6.14973964940234,4.96576510032645,5.89653674118983e-06,0.00292247102235221,3.79940042909057,NA
"ILMN_1693226",1.18382713577299,6.62357723497526,4.9258963569952,6.82109538852719e-06,0.00329824917262321,3.66656576726969,"SMIM12"
"ILMN_1701924",-0.982814604565124,5.3547891577948,-4.90975192012809,7.23464563158475e-06,0.00341492499157542,3.61289371496767,"LINC00924"
"ILMN_1685813",-0.961801224338733,5.46477917037623,-4.88191406938888,8.00615692414795e-06,0.00354732858199001,3.5205093920949,NA
"ILMN_2401730",0.951362366901487,6.33309121919498,4.87937068992239,8.08053621885206e-06,0.00354732858199001,3.51207912609555,"C1GALT1C1"
"ILMN_1692242",-1.11699867297886,5.32042069335999,-4.87905312898942,8.08987044853603e-06,0.00354732858199001,3.51102666339835,NA
"ILMN_1724181",0.79865712845397,7.22662682245038,4.86158959252719,8.61976910930717e-06,0.00354732858199001,3.45319086149333,"IL15"
"ILMN_2392080",1.26852563418926,7.25708800787543,4.85769327517775,8.74255333182909e-06,0.00354732858199001,3.44029832100362,"DCAF6"
"ILMN_1750102",0.915577160656524,5.22903565812445,4.85682967444297,8.76999882764318e-06,0.00354732858199001,3.4374413093685,"EME1"
"ILMN_1663511",-0.815753102634685,5.51693884415412,-4.85011055882864,8.98643494575689e-06,0.00354732858199001,3.41521972106494,NA
"ILMN_1775498",0.773824728010101,8.3438684948065,4.84231126639127,9.24422779782165e-06,0.00354732858199001,3.38944126757451,"UBALD2"
"ILMN_2361570",0.63244250420157,8.74429945728184,4.84113400563994,9.28376381310896e-06,0.00354732858199001,3.38555160276089,"SNX14"
"ILMN_2306955",1.15901252226076,6.76532532540477,4.84051944282073,9.30446841177708e-06,0.00354732858199001,3.3835212412926,"PXYLP1"
"ILMN_1826447",1.03861008446575,5.3725703211379,4.80991638411817,1.03946684756257e-05,0.00388819438734491,3.28254877219577,NA
"ILMN_1665738",1.17286659804657,7.47330369033972,4.79842790302166,1.08354024091964e-05,0.00397799727337626,3.24471094480326,"FLI1"
"ILMN_2342841",1.06904695334151,7.22896167372669,4.79273545784363,1.10605034257725e-05,0.00398680873483526,3.22597640603255,"AFTPH"
"ILMN_1859672",-0.852635667074186,5.44397406156892,-4.78604646808617,1.13308608050561e-05,0.00401132706178995,3.20397384162866,NA
"ILMN_1766190",-0.705723723543446,5.25097980213753,-4.76951584470663,1.20270241989909e-05,0.00418308341657884,3.14965313774499,NA
"ILMN_1808584",1.04134018009649,7.28929730693258,4.75345938144099,1.27431811018032e-05,0.00435575112660774,3.0969655843292,"COX20"
"ILMN_1736234",-1.01377429681146,6.93234269628107,-4.74455873005204,1.31579586813315e-05,0.00442129713317621,3.06779115586041,"CHTOP"
"ILMN_1733374",0.923257304272412,7.35653441179648,4.73906704070486,1.34204277463185e-05,0.00443433300117941,3.04980206061945,"RMDN1"
"ILMN_1827968",0.818058940823096,5.48893134331818,4.72702942279481,1.40137790583644e-05,0.00455447819396843,3.01040131903176,NA
"ILMN_1772064",0.960479341592389,6.69335652281509,4.71515154936262,1.46243519499495e-05,0.00467625447431853,2.97156514980066,NA
"ILMN_1690638",-0.862521382043878,5.3471875767411,-4.70477418750443,1.51790061285512e-05,0.00474377024940376,2.93766921017189,"RPS3A"
"ILMN_1765746",1.05622129280005,5.73317587910359,4.69954077076114,1.54664660681489e-05,0.00474377024940376,2.92058724947571,"SFT2D3"
"ILMN_2222991",1.18693170003398,6.65906399982001,4.69040566436444,1.5981029259336e-05,0.00474377024940376,2.89078968616454,"ETF1"
"ILMN_2115991",0.930218752113553,5.15131824454649,4.68963812344326,1.60250169284721e-05,0.00474377024940376,2.88828720144943,"TNNT1"
"ILMN_1815745",0.888607171677322,6.46604895994302,4.68145786966186,1.65012330265863e-05,0.00474377024940376,2.86162734647917,"SOX4"
"ILMN_1658022",0.810523971219106,5.57388929071471,4.67733427277881,1.67465002676257e-05,0.00474377024940376,2.84819597007902,NA
"ILMN_1743427",0.75258868117114,7.59951170973366,4.66983509644416,1.72016978681285e-05,0.00474377024940376,2.82378281628416,"SCYL3"
"ILMN_1795754",1.19792880877038,6.23935518444709,4.66937119140319,1.72302500747851e-05,0.00474377024940376,2.8222731579325,"CLIC2"
"ILMN_1800837",0.979697229520097,7.47608458767259,4.66905635771362,1.72496536577468e-05,0.00474377024940376,2.82124865068447,"CFDP1"
"ILMN_1685012",1.097867477067,7.43774867827942,4.66788818347075,1.73218362494242e-05,0.00474377024940376,2.81744753169886,"EAF1"
"ILMN_2311826",0.837927462469068,6.59986248402221,4.6655435721507,1.74676029360139e-05,0.00474377024940376,2.80981965643804,"USP6NL"
"ILMN_1803925",1.16284899475336,6.71792137818548,4.64274585479141,1.89488429635878e-05,0.00507649745612336,2.73573771516818,"MTMR3"
"ILMN_1799113",0.917026252072895,6.70055390048644,4.63282575074501,1.96310195462401e-05,0.00518913283338946,2.70355177541873,"CEP83"
"ILMN_1766085",1.12454536440277,7.33355491879203,4.62650846272852,2.00778675042037e-05,0.0052374174114584,2.68307106974697,"REL"
"ILMN_1876673",-0.943152195982638,5.32078758369845,-4.62048906985725,2.0512867907491e-05,0.00528139748397416,2.66356765440766,NA
"ILMN_1653579",1.26781926634733,5.77231560484545,4.61156516189262,2.11747319004087e-05,0.00538191102468721,2.63467407906107,NA
"ILMN_2206645",0.861369953990326,6.94621032762997,4.59996134232127,2.2066578684481e-05,0.00553759395468146,2.59714080047545,"ECD"
"ILMN_2333865",0.911365789750684,6.60306793939892,4.57515805860344,2.40974614871636e-05,0.00597165217478774,2.51705533022566,"DNAJB12"
"ILMN_1803744",-0.902730913308546,7.48976179682252,-4.55669669766821,2.57262204614871e-05,0.00626669542963768,2.457573896845,"SELENOS"
"ILMN_1714083",0.818143442484002,7.89550793226757,4.55245135647278,2.61156711143214e-05,0.00626669542963768,2.44391111763858,"KLHL8"
"ILMN_1664276",0.804827766531459,5.78997222346543,4.55114832333182,2.62363541316483e-05,0.00626669542963768,2.43971873138894,"TBX22"
"ILMN_1741131",1.36232098465481,6.15803708171321,4.52201690508982,2.90807719034657e-05,0.00686340836888343,2.34613481234163,"CHRNB1"
"ILMN_1915971",0.946038928965474,5.65887236396818,4.50711209227751,3.06500534671782e-05,0.00691723823458468,2.29836068226292,NA
"ILMN_1653203",0.959196555455728,6.21305706128879,4.50667332578742,3.06974773656901e-05,0.00691723823458468,2.29695541971488,"EFEMP2"
"ILMN_1680727",1.09370156279513,6.59102956501835,4.50664501099896,3.07005402108221e-05,0.00691723823458468,2.29686473650348,"GLRX2"
