"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1691444",1.32501839153101,7.40823379018804,6.97488129152578,2.6448989494e-09,5.24351216718549e-05,10.790879880606,"UHRF2"
"ILMN_1792951",1.08307272580479,7.11617569410975,6.51111468342034,1.63639397785871e-08,0.000162207553055245,9.13984744474395,"ZHX2"
"ILMN_1727023",0.849780500871888,7.41082701490537,6.25289243599074,4.48262032662521e-08,0.000296226493251149,8.22524413506062,"AMMECR1L"
"ILMN_1701940",1.16422795137145,6.67462896520174,6.03856501437307,1.02913520441559e-07,0.000510065135688477,7.47028221484303,"MIGA2"
"ILMN_1743427",0.947785163044649,7.59951170973366,5.88103505807108,1.8886457344959e-07,0.000748848033727626,6.91848863541728,"SCYL3"
"ILMN_1767837",1.23107284719472,7.2020283047792,5.75687952032273,3.03994700769791e-07,0.000869234172330524,6.48579266681556,"GOLT1B"
"ILMN_1808584",1.26061120760158,7.28929730693258,5.75437718207339,3.06917488338647e-07,0.000869234172330524,6.47709346763514,"COX20"
"ILMN_2389347",1.03755020424625,7.0769069012628,5.67238367990231,4.19702795817063e-07,0.000902216236918608,6.19255434077902,"NR3C1"
"ILMN_1865151",-0.928458615228036,5.31458018432781,-5.66405183354595,4.33237662272263e-07,0.000902216236918608,6.16369702136582,NA
"ILMN_1766085",1.36865597002739,7.33355491879203,5.63080746080753,4.91671001034694e-07,0.000902216236918608,6.0486624989568,"REL"
"ILMN_1655482",1.07904058170885,7.1219831834709,5.57613909233654,6.05132321077163e-07,0.000902216236918608,5.85987812671898,"TRIM27"
"ILMN_1775467",-1.19907668377811,5.47734574113536,-5.57506586337966,6.07600769612908e-07,0.000902216236918608,5.85617686632056,"OR2T12"
"ILMN_1685813",-1.09765251863863,5.46477917037623,-5.57146855133848,6.15947394259002e-07,0.000902216236918608,5.84377215727515,NA
"ILMN_2342841",1.24075900194298,7.22896167372669,5.5625523693449,6.37126220270391e-07,0.000902216236918608,5.81303553219606,"AFTPH"
"ILMN_1824196",-1.39773117006016,5.26070398850497,-5.51918361762153,7.50840720957621e-07,0.000992361152865655,5.66372264513467,NA
"ILMN_1737124",1.28916386060401,7.11175201835926,5.49113946567578,8.34807322120988e-07,0.00103437844756554,5.56734313884922,"PRP4K"
"ILMN_2204876",1.21453638763033,7.08706487738444,5.42807036115786,1.05896498703181e-06,0.00123494005105327,5.3511064516417,"FLVCR2"
"ILMN_2046896",0.856705717973556,6.82292455315111,5.3861460643762,1.23981089857652e-06,0.00130884648268341,5.20777271524006,"ESRRA"
"ILMN_1677719",-1.40760763276913,5.45908558148864,-5.38303583323835,1.25437998340403e-06,0.00130884648268341,5.19715252355719,"CHST1"
"ILMN_1660504",-1.08906827670691,5.52277819844306,-5.36100650467995,1.36251202696791e-06,0.00135059004673194,5.12198459455011,NA
"ILMN_1788022",-1.36583352780124,5.612963239336,-5.31667924780434,1.6086697810696e-06,0.00151866087665261,4.97102057766952,"CDKAL1"
"ILMN_1878071",-0.858657864947556,5.11293774739493,-5.30046945731584,1.70921655413431e-06,0.00154023719025967,4.91591347980992,NA
"ILMN_1902202",-0.836778872765271,5.30406950951051,-5.28295515588971,1.82481356139665e-06,0.00157290995020385,4.85643168235568,NA
"ILMN_2385173",1.08939491773644,5.22313672364535,5.24522740449701,2.10059376788957e-06,0.00173517797701712,4.72851703395504,"U2AF2"
"ILMN_1777444",1.01564876006682,6.32615544453931,5.17186897757409,2.75926544457859e-06,0.00213787456301692,4.48066657818826,"STX5"
"ILMN_1653579",1.41824012993757,5.77231560484545,5.15870593547707,2.89728194567603e-06,0.00213787456301692,4.43631846902077,NA
"ILMN_2206645",0.964951701026306,6.94621032762997,5.15311742807552,2.9579099491893e-06,0.00213787456301692,4.41750173789428,"ECD"
"ILMN_1729115",-1.16625990108128,5.57643838319166,-5.14004901196042,3.10459436484787e-06,0.00213787456301692,4.37352731688565,"UBE2S"
"ILMN_1693438",1.02449515621019,6.28303826470833,5.13808210274697,3.12728183240811e-06,0.00213787456301692,4.36691213412749,"FBXL12"
"ILMN_1815745",0.970430548462744,6.46604895994302,5.11252876733578,3.43725776903483e-06,0.00227145450903719,4.28105048054058,"SOX4"
"ILMN_1687303",0.952277806362227,6.8775490246206,5.04665087525337,4.3823875177888e-06,0.00272956148201674,4.06039604479527,"ACAD10"
"ILMN_2109526",1.22216156353952,6.71495681657121,5.04519958902403,4.40584955483155e-06,0.00272956148201674,4.05554664827575,"CSNK2A3"
"ILMN_2187830",1.20333047905425,7.33870610635538,5.01898639676867,4.85147588268624e-06,0.00291456089012893,3.968044500286,"CCNH"
"ILMN_1783161",0.957479403636948,5.31090971636412,4.98733815739799,5.44870152501994e-06,0.00317707375686824,3.86262424093197,"DAB2IP"
"ILMN_1717357",0.980052232152647,6.60240597524439,4.97896059665546,5.61850370333365e-06,0.00318248102624542,3.8347602836557,"AIFM1"
"ILMN_1681154",-0.98232156189957,5.54869502377119,-4.93261132839766,6.65599079673714e-06,0.0036049981382503,3.68092253651378,"ZBTB39"
"ILMN_1841999",-0.765691691070115,5.29359437695448,-4.92686341921875,6.79707266666901e-06,0.0036049981382503,3.66188302174582,NA
"ILMN_1787648",-0.849199852482324,5.10523191817096,-4.92154072924956,6.93032848796077e-06,0.0036049981382503,3.64425964852287,NA
"ILMN_1664488",-0.94180067560083,5.20051833448489,-4.91522381203821,7.0917996162301e-06,0.0036049981382503,3.62335395883831,"WDFY4"
"ILMN_1691926",0.989827493217306,6.68584414324475,4.87555634953704,8.19335392108324e-06,0.00406083103713688,3.49231501660203,"HSD17B10"
"ILMN_1773716",1.00413702553049,7.07256954827617,4.86489006756232,8.51708369832458e-06,0.00411832156876304,3.45715094245508,"MRPL9"
"ILMN_1745583",1.19079176782865,6.79967940500074,4.84269066142116,9.23152170100555e-06,0.00434732378763958,3.38406332358307,"EXOC1"
"ILMN_2048119",-0.862697821237208,6.1742733961603,-4.83559744553335,9.47192883190273e-06,0.00434732378763958,3.36073837462332,"TBX19"
"ILMN_2242937",1.03636346739485,7.01019247933075,4.83049800426783,9.64853703183564e-06,0.00434732378763958,3.34397814448171,"ARSB"
"ILMN_1685781",0.901816903491905,7.3529402901644,4.76202644635903,1.23560335927936e-05,0.00540242795667027,3.11963329980506,"GON7"
"ILMN_1707819",-0.820898801635169,5.18797424117927,-4.75417103516019,1.27105748202207e-05,0.00540242795667027,3.09397982020073,NA
"ILMN_1736234",-1.01537599874015,6.93234269628107,-4.75205484520568,1.28077737182095e-05,0.00540242795667027,3.08707198041756,"CHTOP"
"ILMN_1828892",-0.823152285686877,5.51136516278904,-4.73125388021003,1.38026868338161e-05,0.00557628099340242,3.01924036335549,NA
