"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1792951",1.4035733962512,7.11617569410975,8.43787045121889,8.21476204139205e-12,1.62857657470597e-07,15.9880187120837,"ZHX2"
"ILMN_2389347",1.36195285965841,7.0769069012628,7.4459232356231,4.11678435351299e-10,4.08076249041975e-06,12.4740912615997,"NR3C1"
"ILMN_1691444",1.39175146712285,7.40823379018804,7.32616341971847,6.60898549480824e-10,4.36743791448578e-06,12.0470031395293,"UHRF2"
"ILMN_1800837",1.39537546936153,7.47608458767259,6.65010220536346,9.49089244409467e-09,4.70392356760442e-05,9.63608447545436,"CFDP1"
"ILMN_1701940",1.21075565257842,6.67462896520174,6.27989279590988,4.03554490498053e-08,0.000160009355482478,8.32250495015775,"MIGA2"
"ILMN_1865151",-1.01553219213973,5.31458018432781,-6.19524325648188,5.60845848739306e-08,0.000185312815854279,8.02351742454801,NA
"ILMN_1660504",-1.22674104104161,5.52277819844306,-6.03870927217524,1.02856160421697e-07,0.000291303340051449,7.47238495607283,NA
"ILMN_1875581",-0.913766967267238,5.38966288138359,-5.95863227790946,1.40104151616038e-07,0.000315584041032272,7.19144253033097,NA
"ILMN_1655482",1.15193619746537,7.1219831834709,5.95284048760396,1.43266399459796e-07,0.000315584041032272,7.17115109476733,"TRIM27"
"ILMN_1766085",1.41528127619067,7.33355491879203,5.82262931199298,2.36331670365107e-07,0.000459284450903033,6.71604997107935,"REL"
"ILMN_1728514",1.01642491630891,6.7097612969399,5.80296125394839,2.54836265318203e-07,0.000459284450903033,6.64749914580213,"BAG5"
"ILMN_1775753",1.23746942100483,6.78129842209906,5.6621214239211,4.36434596272719e-07,0.00070866943233636,6.15821887854437,"FBXW2"
"ILMN_1685678",1.1443747655076,6.42098274162408,5.64563688365327,4.6470126710581e-07,0.00070866943233636,6.10114471056477,"EEF1B2"
"ILMN_1876852",-0.867967901512367,5.31491759994402,-5.60765633058194,5.36896693845108e-07,0.000760284068248519,5.96980822493539,NA
"ILMN_1727153",-1.35083101545472,6.06783536887981,-5.48585736981462,8.51628622620342e-07,0.00112556916289655,5.55023712040326,NA
"ILMN_1784070",-1.04739383247096,5.40168327357088,-5.44529577966937,9.92437830552778e-07,0.0012296924994193,5.411085074993,NA
"ILMN_1776076",-0.825228235068821,6.99829097859964,-5.33155050673869,1.52156126674815e-06,0.00177440894784012,5.02250625390943,"POFUT1"
"ILMN_1767837",1.13450010691704,7.2020283047792,5.30527535084334,1.67877794659477e-06,0.00184898737729118,4.9331036938263,"GOLT1B"
"ILMN_1685813",-1.03453484808601,5.46477917037623,-5.25109565504717,2.05515122338026e-06,0.00214342486329867,4.7491999619245,NA
"ILMN_1677719",-1.36659380065481,5.45908558148864,-5.2261889088611,2.25493751676348e-06,0.00214342486329867,4.66486450858273,"CHST1"
"ILMN_1841999",-0.811157246677876,5.29359437695448,-5.21941273818193,2.31252042404198e-06,0.00214342486329867,4.64194298714134,NA
"ILMN_1727023",0.708299481500599,7.41082701490537,5.21184054676133,2.37857992396321e-06,0.00214342486329867,4.61634049670748,"AMMECR1L"
"ILMN_1764557",-0.966463004041444,5.85032034757998,-5.1980200164556,2.50396863624787e-06,0.00215831209624408,4.56964366968977,"FITM1"
"ILMN_1793632",0.981455295615311,6.98763327579203,5.10846922516854,3.48920493398931e-06,0.00277895646967297,4.26809784209561,"TMEM222"
"ILMN_1805812",0.731343416136066,8.07094089084314,5.10554208659429,3.52713924026002e-06,0.00277895646967297,4.25827202394693,"TOR1A"
"ILMN_1723895",1.0137188986249,7.43907353475552,5.09667564257608,3.64453307498095e-06,0.00277895646967297,4.22852129973586,"GTF3C5"
"ILMN_1824196",-1.28285323642219,5.26070398850497,-5.06556819933363,4.08755447934583e-06,0.00300132472418634,4.12428833156263,NA
"ILMN_1794863",1.23526242680471,5.70375814591772,5.04231240332067,4.45289206289936e-06,0.00314702307771419,4.04651448314323,"CAMK2N1"
"ILMN_1683854",0.859111238839496,6.51391669305933,5.0332684374103,4.60346377067902e-06,0.00314702307771419,4.01630413671896,"ZNF484"
"ILMN_1681154",-0.997928054917186,5.54869502377119,-5.0109774838818,4.99624207544128e-06,0.00330168330485411,3.94192883063203,"ZBTB39"
"ILMN_1673370",1.16212542100841,6.80836059847794,4.99746534985181,5.25014639417228e-06,0.00335755329885373,3.89690415662988,"FBXL5"
"ILMN_2326591",1.1745467842929,6.21890159782513,4.98852655518253,5.42502554435718e-06,0.00336097285677753,3.86714351676815,"ANXA6"
"ILMN_1678236",-0.923605271436078,6.14520493086546,-4.96545662562731,5.90319517987315e-06,0.00345068555003729,3.79042747477378,NA
"ILMN_1680727",1.20488334337722,6.59102956501835,4.96477438908428,5.91794747547378e-06,0.00345068555003729,3.78816082971616,"GLRX2"
"ILMN_1685781",0.938664984963428,7.3529402901644,4.95660201683853,6.09749666700774e-06,0.00345379632638367,3.7610183364056,"GON7"
"ILMN_2294442",1.06615402306591,5.72086422154376,4.93569364061173,6.581522018545e-06,0.00358214214731668,3.69165402869429,"SNURF"
"ILMN_1743783",1.19995855251131,6.4834187400836,4.93140087180455,6.68546075413453e-06,0.00358214214731668,3.67742651735651,"CCDC43"
"ILMN_1816114",-0.866145685040336,5.49985903674968,-4.89569696055118,7.614600601972e-06,0.00392206661487348,3.5592789713447,NA
"ILMN_1672103",-0.773936102349816,5.27369471445539,-4.89207855784427,7.71554088171832e-06,0.00392206661487348,3.54732401761939,NA
"ILMN_1808905",1.11329821952823,6.73070514674306,4.86114129241094,8.63380993207297e-06,0.00427913204758367,3.4452516945831,"AKAP3"
"ILMN_1858947",-0.916155116438488,5.32383027226889,-4.83665912965275,9.4355596038396e-06,0.00452595419273882,3.36465956217223,NA
"ILMN_1750178",-1.14470069834775,5.92417328033898,-4.83222402138835,9.58840232509612e-06,0.00452595419273882,3.35007722344897,"WASHC2C"
"ILMN_1773716",0.993554115361438,7.07256954827617,4.81361748896167,1.0256454447538e-05,0.00472870254470792,3.28895911978945,"MRPL9"
"ILMN_1775467",-1.03262905232007,5.47734574113536,-4.80117331694283,1.07284461811502e-05,0.00477060014919141,3.2481364002196,"OR2T12"
"ILMN_1670844",1.00318102545143,5.60580259721831,4.79860170503703,1.08286005908506e-05,0.00477060014919141,3.23970568541031,"OPN3"
"ILMN_1877209",0.945310015120317,5.90250203410056,4.76679549244429,1.21455265315506e-05,0.0052141559971393,3.13558655946916,NA
"ILMN_1757882",1.20016598129036,6.10511572860153,4.75648726980351,1.26050141452723e-05,0.0052141559971393,3.10190362976158,"PPP1R16A"
"ILMN_1725528",0.854852472292251,7.43783971750068,4.75605964239114,1.2624438227626e-05,0.0052141559971393,3.10050697929035,"ZNF407-AS1"
"ILMN_1651606",-0.844304953170937,5.274176144739,-4.73453435085995,1.3640911067189e-05,0.00551900126340862,3.03027231204675,NA
"ILMN_1735910",0.91291949995317,5.5159690077318,4.7261674296394,1.40572379457204e-05,0.00557369484547813,3.00300811085057,"VMO1"
"ILMN_2242937",1.01118320963239,7.01019247933075,4.71313263131207,1.47306854727879e-05,0.00572619293133372,2.96057394262987,"ARSB"
"ILMN_1828892",-0.817626955901827,5.51136516278904,-4.69949579796994,1.5468959220287e-05,0.00589495093206755,2.91623320621887,NA
"ILMN_2310896",0.922497146730803,7.64082457136452,4.69430248422414,1.57595157326396e-05,0.00589495093206755,2.89936135072508,"NLRP3"
"ILMN_1802627",0.92555416345213,6.04511879804988,4.67611937633335,1.6819437385645e-05,0.00606743122216767,2.84035182131576,"PSMG3"
"ILMN_1895915",0.912099338215051,5.76583603106981,4.67589864852628,1.68327221800364e-05,0.00606743122216767,2.83963610047906,NA
"ILMN_2124523",1.18371832619029,6.25039190248641,4.66462509169913,1.75250315615546e-05,0.00614440567575119,2.80310046263864,"METTL14"
"ILMN_1865059",0.948898124103351,5.38492682030558,4.66238078577848,1.76661348558798e-05,0.00614440567575119,2.79583161722619,NA
"ILMN_1820203",-0.783369771596985,5.31273244455497,-4.64987197741786,1.84731343112897e-05,0.00631430840898826,2.755346027231,NA
"ILMN_1744713",-0.99994966839495,8.26193505570528,-4.64414520209651,1.88544950821262e-05,0.00633542991530767,2.73682676677104,"PARK7"
"ILMN_1803925",1.15774702179006,6.71792137818548,4.62237591515739,2.03755322739726e-05,0.00673241545552511,2.66652057168641,"MTMR3"
"ILMN_2141030",-1.26718670270071,5.86337249085421,-4.60925080767174,2.134975521323e-05,0.00693867044429977,2.62420208922546,NA
"ILMN_1669718",0.91637927559439,6.90561999306262,4.60342219931712,2.17968191769058e-05,0.00696970871261544,2.60542637509499,"PSENEN"
"ILMN_2046896",0.731333222905801,6.82292455315111,4.59792374167769,2.22269209714352e-05,0.00699442394061432,2.58772386544797,"ESRRA"
"ILMN_1700955",0.802957327549248,7.21660308659856,4.59034761144765,2.28331253017521e-05,0.00707291732980057,2.56334766507351,"DYNLT2B"
"ILMN_1687544",-0.733764235054024,5.18409723892252,-4.58020656495791,2.36698470878311e-05,0.0072193033617885,2.53074700577088,"ZNF567"
"ILMN_1695588",1.14971530360768,8.88065881944652,4.5689714984195,2.46317464555554e-05,0.00737140384378152,2.49466720711156,"HNRNPC"
"ILMN_2041046",0.751263625414188,7.08716433628223,4.56577641458095,2.4912184490964e-05,0.00737140384378152,2.48441394967193,"CKS1B"
"ILMN_1854015",1.10058189524532,5.9810371694125,4.5553183353651,2.58520413554702e-05,0.00753701058635583,2.45087589799014,NA
"ILMN_1713746",0.838725095048221,6.71168959976905,4.54806611502851,2.65239858779138e-05,0.0076208408699948,2.42763920993952,"EGLN1"
"ILMN_1685012",1.06440025365901,7.43774867827942,4.52559299762823,2.87160569454171e-05,0.00813279755632706,2.35574084452852,"EAF1"
"ILMN_1680993",-0.931760848300521,5.20326720234393,-4.51488601221679,2.98215454203293e-05,0.0083269315205356,2.32154338209157,"TRIM10"
"ILMN_2204876",1.00707875683621,7.08706487738444,4.50088972797264,3.1329311947727e-05,0.00862643901894011,2.27689647065646,"FLVCR2"
"ILMN_1676905",0.926551851865102,6.64464295855325,4.48935616467463,3.26273258621875e-05,0.00884410101445384,2.24015372797011,"TIGD7"
"ILMN_1846776",-0.840078982805981,6.80255977763402,-4.48417459514379,3.32273732451869e-05,0.00884410101445384,2.22366096418898,NA
"ILMN_2397776",1.08580137573287,6.16643773778714,4.48133631187085,3.35605969931589e-05,0.00884410101445384,2.21463056922614,"ASB6"
"ILMN_2223805",-0.828162465444947,6.01018359358476,-4.47843781222365,3.39042460074901e-05,0.00884410101445384,2.20541134395183,"CEP41"
"ILMN_2064355",-1.20217932187825,5.51040220468677,-4.46880330492862,3.50713082105819e-05,0.00902972318538684,2.17478704414682,"MCF2L2"
"ILMN_2100285",0.963885163738789,6.4250075244503,4.45796457999142,3.6430980741221e-05,0.00917725443282054,2.1403720392872,"CFAP58"
"ILMN_2306955",1.06650312794973,6.76532532540477,4.45416164840046,3.69200876033604e-05,0.00917725443282054,2.12830634048316,"PXYLP1"
"ILMN_1704195",0.697127097592252,7.48282396691024,4.4532902509441,3.70330569798559e-05,0.00917725443282054,2.12554231045938,"FCSK"
"ILMN_1859672",-0.790987218221697,5.44397406156892,-4.43999908549671,3.87983912510222e-05,0.00949602600680883,2.0834151022463,NA
"ILMN_1669303",0.982268840088562,6.37757384510495,4.42937386918045,4.02682422568062e-05,0.00956504051303078,2.04978078812185,NA
"ILMN_2383871",0.914973917047066,5.91391038124236,4.42810423413369,4.04474589099274e-05,0.00956504051303078,2.04576430147491,"ZNF74"
"ILMN_1726512",1.01327322046987,6.7320112619979,4.42753692612979,4.05277883023751e-05,0.00956504051303078,2.0439698017481,"ZSCAN2"
"ILMN_1735093",0.900902021843399,6.53748596280943,4.41274367826408,4.26780908026369e-05,0.00995403706073267,1.99721483052805,"TIMELESS"
"ILMN_1880761",-0.73878880092548,5.14225530490182,-4.39583784037729,4.52713659660178e-05,0.0103474530395576,1.9438748780422,NA
"ILMN_1813246",1.10271358488112,6.6352962826206,4.39301892591035,4.57184133357525e-05,0.0103474530395576,1.93499046281459,"THOC3"
"ILMN_1721563",0.932073917853016,6.4715114854318,4.38965470497471,4.62575558483304e-05,0.0103474530395576,1.92439100177404,"TMEM127"
"ILMN_1700419",0.671677170118258,7.44770158970775,4.38844685258918,4.64526265079763e-05,0.0103474530395576,1.92058644760218,"TMEM208"
"ILMN_1656129",1.10159431377259,6.56898829780348,4.37275063033474,4.90614259065246e-05,0.0108071418732983,1.8711918878811,"SLC39A10"
"ILMN_1722953",0.863120181643426,6.53632573279518,4.35971575505317,5.13355584177663e-05,0.0110814421647708,1.8302378580995,"USP47"
"ILMN_1902927",-0.830654068166354,5.34083848610887,-4.35921687376804,5.14245992009541e-05,0.0110814421647708,1.82867161918224,NA
"ILMN_2182335",0.911134247161958,7.07707703001612,4.33801695317865,5.53501224557176e-05,0.0117990986847807,1.76219574046189,"ARID2"
"ILMN_1680018",-0.791096278889606,6.1749132333953,-4.33491658954257,5.59480534129099e-05,0.0117996825416057,1.75248740640255,"RIPK4"
"ILMN_1893566",-0.812382943296024,5.70471342888523,-4.33152459585405,5.66094088732015e-05,0.0118134897990655,1.74186980183515,NA
"ILMN_1779410",1.08145430094527,7.09953476942966,4.32556367661732,5.77900684035032e-05,0.0119163004672778,1.72322091700835,"VAPA"
"ILMN_1709114",-1.15010506162515,6.0309762515363,-4.32300468202746,5.83042191841588e-05,0.0119163004672778,1.71521894085897,"TAB1"
"ILMN_1714349",1.07737933953212,6.21294228575738,4.31464158362909,6.00156678799672e-05,0.0120322954814337,1.68908392573076,"GLCE"
"ILMN_1670165",-0.970067727482447,5.32469843153306,-4.31427710735498,6.00913531763692e-05,0.0120322954814337,1.68794549482567,NA
"ILMN_2181883",0.940486409633172,7.1186207882581,4.31139771560053,6.06925371068535e-05,0.0120322954814337,1.67895348204982,"GSKIP"
"ILMN_1658579",-0.959176098225761,5.11448708220588,-4.30404680726055,6.22539040598094e-05,0.0122196400790666,1.65601100152403,NA
"ILMN_2367638",1.01691603025505,6.46874612750069,4.30047208616747,6.30272032149846e-05,0.0122501402327164,1.64486121624225,"CAMKK2"
"ILMN_1671935",1.21583915780939,5.44833535173812,4.29582111409422,6.40472786726535e-05,0.0123232723171333,1.63036147066992,NA
"ILMN_1693226",1.03175411742856,6.62357723497526,4.29312160093168,6.46466744505354e-05,0.0123232723171333,1.62194914459704,"SMIM12"
"ILMN_1726729",1.10108597810037,6.10112143574413,4.28449992043151,6.6597672767253e-05,0.0125742748820075,1.59509970604962,"C2orf76"
"ILMN_1748454",-0.731793186283363,5.69362387989407,-4.28078504134414,6.74558016039431e-05,0.0126161440263979,1.58353927943885,"SPATA31C1"
"ILMN_1917109",-0.756451375684315,5.34645900007555,-4.26347741659257,7.15971734047496e-05,0.0132655510537305,1.52974596114752,NA
"ILMN_1812570",-0.854042899739896,5.33722976032653,-4.2581603173861,7.29182004894596e-05,0.0133852159694772,1.51324219292051,"SHC1"
"ILMN_1902202",-0.673653845004792,5.30406950951051,-4.25307470059813,7.42037979186052e-05,0.013496241226939,1.49746670821824,NA
"ILMN_2353642",1.11482130723521,8.03636163677171,4.24353713683047,7.66742744757806e-05,0.0137110176576341,1.46790724507296,"ATP6V0B"
"ILMN_1735006",0.785286978201461,6.53039712069434,4.24175513508063,7.7144611684721e-05,0.0137110176576341,1.46238809656738,"ATG2B"
"ILMN_1757845",1.04735430433555,6.16127948665031,4.24056808235221,7.74594692385884e-05,0.0137110176576341,1.45871225853175,"SPIRE1"
"ILMN_1701077",-0.783100367661643,5.35497419193824,-4.23538708205754,7.88483279429693e-05,0.0138333460307024,1.44267488356512,"N6AMT1"
"ILMN_1777444",0.829233739289768,6.32615544453931,4.22260964618159,8.23774262174935e-05,0.0143257234628229,1.40316629271754,"STX5"
"ILMN_1802535",-0.819331146623096,6.20971536197419,-4.21885140294626,8.3444235238069e-05,0.0143621252500775,1.39155725216344,NA
"ILMN_1772588",-0.688320596510187,5.1896146683952,-4.21678795545026,8.40356382854473e-05,0.0143621252500775,1.38518562025153,"CCDC170"
"ILMN_2342841",0.939938026492779,7.22896167372669,4.2139162304019,8.48654597449043e-05,0.0143799806789977,1.37632081530907,"AFTPH"
"ILMN_1691926",0.854751620878681,6.68584414324475,4.21021816529522,8.59457554865789e-05,0.0144396152756053,1.36490974736134,"HSD17B10"
"ILMN_1798926",1.03066111780303,6.1370074433773,4.19851932359783,8.94516642940085e-05,0.014779232687298,1.32884490821573,"SOCS2"
"ILMN_1653203",0.893604795513204,6.21305706128879,4.1984980792823,8.9458154979862e-05,0.014779232687298,1.32877946414282,"EFEMP2"
"ILMN_1867071",-0.725743011374411,5.44395791466571,-4.18976558407093,9.2165118951338e-05,0.0150167318796281,1.30189317613814,NA
"ILMN_1761259",0.88339258248469,6.88524950700558,4.18898581096901,9.24106577207885e-05,0.0150167318796281,1.29949376449064,"EXT2"
"ILMN_1695362",0.697016895477921,7.62847253707163,4.18639853293776,9.32298952790123e-05,0.0150266884057432,1.29153420927475,"ZNF32"
"ILMN_2142695",0.708335353667425,7.47996905757475,4.17471313369611,9.7018337928988e-05,0.0155111979793725,1.25561694935203,"RNF4"
"ILMN_1789240",0.713659272848169,6.5921860443609,4.17110973060602,9.82163187605113e-05,0.0155771081554171,1.24455179621922,"MLST8"
"ILMN_1897340",-1.01709635486187,5.50338327753474,-4.16800915431872,9.92585732979186e-05,0.0156174699653273,1.23503470209959,NA
"ILMN_1767459",0.800112207282644,6.3196624393388,4.1641890885699,0.000100557398961486,0.0156972475150508,1.22331426375561,"POLR3B"
"ILMN_1676737",0.923168420446997,7.10628796519542,4.16007188237992,0.00010197565552266,0.0157942763338807,1.21068847591495,"SEPTIN2"
"ILMN_1783285",0.848076604182429,6.35863064808767,4.15223100343149,0.000104730293157215,0.0159935585882541,1.1866618671067,"CTPS1"
"ILMN_1764230",-0.70559692731591,8.26989275885065,-4.15182241089662,0.000104875794021338,0.0159935585882541,1.18541048134208,"GNPTG"
"ILMN_2392080",1.0826505241356,7.25708800787543,4.14590295120242,0.000107005782747535,0.0161938140684724,1.16728839033197,"DCAF6"
"ILMN_1651236",0.651573403077665,5.26504994815573,4.1400432842509,0.0001091554167858,0.0163939858922613,1.1493627992633,NA
"ILMN_2142979",0.855237389211566,7.25208866441219,4.13125653330809,0.000112457279345511,0.0166057765692584,1.12250797623854,"PTBP2"
"ILMN_1668012",0.911797312876829,6.28352525831519,4.12942865670243,0.000113156182503327,0.0166057765692584,1.11692526424828,"SLC25A13"
"ILMN_1876673",-0.8428837097915,5.32078758369845,-4.12927519528783,0.000113215050329569,0.0166057765692584,1.11645662112214,NA
"ILMN_1755983",1.03062921567004,6.25778063041918,4.12745368598872,0.000113916046074105,0.0166057765692584,1.11089477087578,"NFATC3"
"ILMN_1685136",0.77646341399109,5.23781583441543,4.12492372447761,0.000114896647501463,0.0166264674212884,1.10317187498541,NA
"ILMN_1689002",-1.04024849503419,5.24665219807451,-4.11905585429836,0.000117202507128169,0.0168372442305504,1.08526946214856,"DTX1"
"ILMN_2238383",-0.951153199502584,5.42852943301333,-4.11254839017492,0.000119811992421041,0.0170882931636485,1.06543158257789,"MFSD2B"
"ILMN_1791149",0.733261524223905,7.38370026108061,4.11022488167462,0.000120757245072105,0.0171000884539605,1.05835246762479,"ARL6IP4"
"ILMN_2367070",-1.10894113996832,6.2128512550838,-4.10512552948837,0.0001228570917608,0.0171613583112178,1.04282359039817,"ACOT9"
"ILMN_1708105",-1.0952874726888,6.02844171553263,-4.10276760645942,0.000123839937289491,0.0171613583112178,1.03564657894217,"EZH2"
"ILMN_1775498",0.655060442338359,8.3438684948065,4.09912793593341,0.000125371973969148,0.0171613583112178,1.02457254107506,"UBALD2"
