"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1788122",0.828521871386728,4.80128053920602,7.17649006097088,1.20748130338435e-09,2.83564909286781e-05,11.5636380650515,"GSTA5"
"ILMN_1792951",1.13430273974452,7.11617569410975,6.83285385748712,4.67432369199705e-09,2.95730549293409e-05,10.3300986925551,"ZHX2"
"ILMN_1826321",-1.20909682764803,4.85610835115906,-6.82018630722617,4.91299421554635e-09,2.95730549293409e-05,10.2846690053125,NA
"ILMN_1862928",-1.0932357954924,5.0882291899017,-6.8138375909949,5.03714102015686e-09,2.95730549293409e-05,10.2619023600146,NA
"ILMN_1833691",-0.874797714817046,5.08458265561174,-6.74350803989952,6.6401573050891e-09,3.11874908305425e-05,10.0097858618571,NA
"ILMN_1851033",-1.00550960002492,5.10139479447952,-6.58793121481523,1.22220741543137e-08,4.7837198239984e-05,9.45276943970959,NA
"ILMN_1886127",-1.01331474533949,5.00474007536182,-6.26847627699313,4.25232726426829e-08,0.000142659504962967,8.31335778147959,NA
"ILMN_2389347",1.13771487299304,7.0769069012628,6.23066448051764,4.92538637217654e-08,0.000144584716955242,8.17899803031329,"NR3C1"
"ILMN_1669393",-0.976780657507086,4.98509554667262,-6.0982532841163,8.22929266515634e-08,0.000190338009442883,7.70953157161384,"GGT1"
"ILMN_1817772",-0.944285475767647,4.94891841434066,-6.09219268188035,8.42450814300749e-08,0.000190338009442883,7.68808511733325,NA
"ILMN_2046896",0.962361838322527,6.82292455315111,6.0708234768113,9.15018828059794e-08,0.000190338009442883,7.61249739534305,"ESRRA"
"ILMN_1690638",-1.10386184442316,5.3471875767411,-6.03548647466821,1.04885966550361e-07,0.000190338009442883,7.48761006505135,"RPS3A"
"ILMN_1730791",-0.758098433786047,4.99949616159167,-6.01138224170267,1.15111569916535e-07,0.000190338009442883,7.40250058451235,"AFDN-DT"
"ILMN_1784879",-0.842530429371797,5.12310797606205,-6.00209312750094,1.19310832150975e-07,0.000190338009442883,7.36971927806497,NA
"ILMN_1653579",1.65151567322658,5.77231560484545,5.99721793141261,1.21575121003375e-07,0.000190338009442883,7.3525186617769,NA
"ILMN_1766085",1.42907001584272,7.33355491879203,5.82437596508927,2.36260780087727e-07,0.000335270770409622,6.74457647332723,"REL"
"ILMN_1767837",1.2549436776543,7.2020283047792,5.81735513207013,2.42701545603968e-07,0.000335270770409622,6.7199637674516,"GOLT1B"
"ILMN_1808584",1.28282021421123,7.28929730693258,5.7896114656812,2.69897573695699e-07,0.000352126367814988,6.62277034377632,"COX20"
"ILMN_1727023",0.779798895953245,7.41082701490537,5.77162500983564,2.89118198369301e-07,0.000357350093184456,6.55981675633906,"AMMECR1L"
"ILMN_1701940",1.08266523969261,6.67462896520174,5.6301071349069,4.95847277293018e-07,0.000582223872997462,6.06617023026573,"MIGA2"
"ILMN_1779711",-0.849179381912802,4.84863665569973,-5.60765977429916,5.39973417815019e-07,0.000600552205596965,5.98815601305474,"DTL"
"ILMN_1775990",-0.947039771434401,5.11597096905098,-5.59684196329792,5.62602134352462e-07,0.000600552205596965,5.95058892820278,NA
"ILMN_1865151",-0.904690298666121,5.31458018432781,-5.54548174962421,6.83477375681788e-07,0.000697860116978744,5.77249730826958,NA
"ILMN_1771251",-0.748723733190778,5.04158071267987,-5.50208178738767,8.05345691184057e-07,0.000757937364155229,5.62236180751487,NA
"ILMN_1685781",1.03882526571221,7.3529402901644,5.5015824803552,8.06865700216348e-07,0.000757937364155229,5.62063646470356,"GON7"
"ILMN_2326591",1.29139045304307,6.21890159782513,5.41983241479999,1.09798777961026e-06,0.000991736346783358,5.33876332472522,"ANXA6"
"ILMN_2242937",1.16474586314334,7.01019247933075,5.40157067231204,1.17599985885467e-06,0.00102285854390159,5.27596754963006,"ARSB"
"ILMN_1834182",-0.883172499930168,5.06433184282352,-5.36083361030005,1.37024657141425e-06,0.00112071769018076,5.13611910752964,NA
"ILMN_1875581",-0.8174325432186,5.38966288138359,-5.35817763844637,1.38395558743152e-06,0.00112071769018076,5.1270125761925,NA
"ILMN_1705342",-0.778093646014902,5.09211255232896,-5.3242381998057,1.57149430434599e-06,0.00123016574144204,5.01076840505997,"VPS13D"
"ILMN_1717357",1.04786209639938,6.60240597524439,5.31475771441735,1.62821078916381e-06,0.00123344845718461,4.97833883763039,"AIFM1"
"ILMN_1692948",1.29860662828259,6.73724505685666,5.30410701900321,1.69433431802592e-06,0.00124342959764127,4.94192828417151,"CCDC90B"
"ILMN_1775753",1.15932072932035,6.78129842209906,5.2925989392658,1.76875390244799e-06,0.00125870959530571,4.90261292018596,"FBXW2"
"ILMN_1784070",-1.01040766662813,5.40168327357088,-5.26725146503657,1.94420399714874e-06,0.00134287313732474,4.81611488164853,NA
"ILMN_1691444",0.997568216565987,7.40823379018804,5.23741474382579,2.1727624238722e-06,0.0014374237047346,4.71447130697038,"UHRF2"
"ILMN_1841999",-0.811075697885032,5.29359437695448,-5.23363859668823,2.20351104455994e-06,0.0014374237047346,4.70162084786545,NA
"ILMN_1859439",-0.656864388637721,4.89621322343702,-5.21934251654253,2.32384888480276e-06,0.00146284185331253,4.65299837920874,NA
"ILMN_1655482",1.02660880062133,7.1219831834709,5.21438639305273,2.36705801506881e-06,0.00146284185331253,4.63615246390708,"TRIM27"
"ILMN_1660337",-0.86314379001785,5.11688037744993,-5.17502840559199,2.73943406019634e-06,0.00164956075563207,4.5025664864997,"PPT2"
"ILMN_1775467",-1.11119358761635,5.47734574113536,-5.16418440915723,2.85177990332525e-06,0.00167427998124226,4.46582132706644,"OR2T12"
"ILMN_1812600",-0.791001656933536,5.08832014669439,-5.12722442058676,3.26978403914279e-06,0.00187286849695681,4.34078234639433,NA
"ILMN_1880761",-0.862026360202253,5.14225530490182,-5.09532447535362,3.67854391056974e-06,0.00202056557289477,4.23311602402567,NA
"ILMN_1707548",-0.689443884941366,5.01457503944802,-5.09376796960778,3.69972405188532e-06,0.00202056557289477,4.22786873584524,"RAD18"
"ILMN_1718107",-0.977114224214082,5.12615586827063,-5.08543463927629,3.81517321792542e-06,0.00203626199658547,4.19978519630287,"MAGEA12"
"ILMN_1811227",-0.807495993367716,5.16289648566225,-5.04825022481909,4.37492835247063e-06,0.00228312927620934,4.07467523489342,"LOC100288208"
"ILMN_1681154",-1.0093141312386,5.54869502377119,-5.02652790153322,4.73843850527276e-06,0.00234899290691799,4.00174396529887,"ZBTB39"
"ILMN_1815745",0.955728526601742,6.46604895994302,5.02340516273153,4.79307537446996e-06,0.00234899290691799,3.99126910932124,"SOX4"
"ILMN_2142979",1.04752818080542,7.25208866441219,5.02294311674378,4.80121186901991e-06,0.00234899290691799,3.98971943559492,"PTBP2"
"ILMN_1814737",0.989426507545387,7.46846559330247,5.00985368246442,5.03742774412139e-06,0.00239917358653561,3.94584026663929,"LNPEP"
"ILMN_1751551",-0.864919671793823,5.10818722736599,-5.00605429286702,5.10810250923099e-06,0.00239917358653561,3.93311171165063,NA
"ILMN_1761363",1.24310853081194,6.49248614670947,4.98154760799737,5.58791207807575e-06,0.00257306916159865,3.85109746454561,"VAMP4"
"ILMN_2181883",1.08336135238807,7.1186207882581,4.95647875789201,6.12440976264256e-06,0.00264941504258241,3.76735946215594,"GSKIP"
"ILMN_1797656",1.04363238495138,5.34210755691705,4.95412798134179,6.17723504156663e-06,0.00264941504258241,3.75951537337417,"ASCC3"
"ILMN_1721580",-0.82385989701554,5.21243778873767,-4.95383542335443,6.18384040870088e-06,0.00264941504258241,3.75853926333221,"TBX15"
"ILMN_2311826",0.889256009051823,6.59986248402221,4.95290104097762,6.20498327976633e-06,0.00264941504258241,3.75542187527456,"USP6NL"
"ILMN_1687303",0.933822642323833,6.8775490246206,4.94099421909893,6.48069177984785e-06,0.00271772438853477,3.7157168076389,"ACAD10"
"ILMN_1741506",-0.598988076736192,4.97458365911857,-4.91861481778549,7.03176808531036e-06,0.00286347980704902,3.64118925729636,NA
"ILMN_1736176",-0.939984289524582,6.10192085777444,-4.91125297430347,7.22289217712295e-06,0.00286347980704902,3.61670169473185,"PLK1"
"ILMN_1877209",0.972472873956117,5.90250203410056,4.91065132314416,7.23873500364882e-06,0.00286347980704902,3.61470106637595,NA
"ILMN_2342841",1.09282039462289,7.22896167372669,4.9077357035994,7.31599337518911e-06,0.00286347980704902,3.60500731845185,"AFTPH"
"ILMN_1745702",-1.02429750807284,5.7914296572549,-4.8979489633333,7.58127662716862e-06,0.00289427270047782,3.57248520664986,"ACO2"
"ILMN_1703411",-1.05904542060801,5.35184653894689,-4.89578636136608,7.64115599683295e-06,0.00289427270047782,3.56530214781409,NA
"ILMN_1685813",-0.958982414073182,5.46477917037623,-4.88290091090997,8.00765874962078e-06,0.00298495012819197,3.52252919073578,NA
"ILMN_2392080",1.27783077089811,7.25708800787543,4.87787493220895,8.15523368825294e-06,0.00299246106148332,3.50585765359114,"DCAF6"
"ILMN_1859672",-0.863635951730526,5.44397406156892,-4.86913203584446,8.41831790104873e-06,0.00302144609600212,3.476873072569,NA
"ILMN_1660504",-0.990757605337663,5.52277819844306,-4.86674611452324,8.49154498109946e-06,0.00302144609600212,3.46896682433426,NA
"ILMN_1680726",0.944196417464436,5.44985882377917,4.86019283251352,8.69589801774933e-06,0.00304797714998247,3.44725911282151,"SYTL5"
"ILMN_1653904",-0.799177061577672,5.06074199044462,-4.84251279751877,9.27153941118421e-06,0.00320195340488603,3.3887525795387,NA
"ILMN_1680665",-0.855531159727025,5.70662797313321,-4.83340186429966,9.58257916685337e-06,0.0032614099877447,3.35863633741065,"LINC00029"
"ILMN_1687544",-0.773929817887199,5.18409723892252,-4.82421732179482,9.90646209832135e-06,0.00328597223699692,3.32830002471646,"ZNF567"
"ILMN_1777444",0.944576910925947,6.32615544453931,4.82343346393728,9.93459499347561e-06,0.00328597223699692,3.32571204680994,"STX5"
"ILMN_1875138",-0.596969763761491,5.05618641495063,-4.80292170806391,1.0699197650677e-05,0.00345227963310466,3.25805162056991,NA
"ILMN_1830367",0.998221836128617,5.91876024526309,4.8002959677351,1.08011397944249e-05,0.00345227963310466,3.24939883132919,NA
"ILMN_1789786",-0.897997471631698,5.52067537333826,-4.7949291937074,1.10124647015699e-05,0.00345227963310466,3.23171936796905,NA
"ILMN_1662488",-0.971197256193381,4.98392788997122,-4.79274255647515,1.10997217465582e-05,0.00345227963310466,3.22451838518739,"MED23"
"ILMN_1685678",0.970517902521403,6.42098274162408,4.78407871443088,1.14521460453588e-05,0.00345227963310466,3.19600014672369,"EEF1B2"
"ILMN_2206645",0.893994854855442,6.94621032762997,4.78377119943152,1.14648540658727e-05,0.00345227963310466,3.19498831027421,"ECD"
"ILMN_1669718",0.949220117338361,6.90561999306262,4.7837329131359,1.14664372075525e-05,0.00345227963310466,3.19486233628836,"PSENEN"
"ILMN_1682335",-0.625426200648902,4.92867405395674,-4.75964315769947,1.25061294409188e-05,0.00368449698741745,3.11568251859188,NA
"ILMN_1694323",0.992673935549956,6.46486590061756,4.75863674472155,1.25515141795859e-05,0.00368449698741745,3.11237820003111,"GLE1"
"ILMN_1733426",-0.726175470871048,4.97193024197491,-4.74548999615217,1.315936965616e-05,0.00378819226026822,3.0692408753262,"KIR3DL3"
"ILMN_2379393",0.914604583796025,6.47313261433342,4.74293541957302,1.3280778313741e-05,0.00378819226026822,3.06086457595561,"ASL"
"ILMN_2204876",1.07510036046512,7.08706487738444,4.74068395659033,1.33886883666438e-05,0.00378819226026822,3.05348374236044,"FLVCR2"
"ILMN_1685012",1.11152149158452,7.43774867827942,4.72034489889285,1.4403160377339e-05,0.00402671212263605,2.98687463849166,"EAF1"
"ILMN_1707585",0.800333252478502,7.77724515756982,4.71413608680509,1.47275396710735e-05,0.00405284684596989,2.96656540934556,"SLC46A2"
"ILMN_2387919",0.767138612887907,7.36432072053316,4.71198085564558,1.48417998958189e-05,0.00405284684596989,2.95951824101519,"PRKAG2"
"ILMN_1704195",0.732644377346263,7.48282396691024,4.67597947020035,1.68835235671619e-05,0.00455738698219804,2.84200566781778,"FCSK"
"ILMN_1659297",-0.715495370660277,4.87434845924581,-4.65938638297333,1.79145432372827e-05,0.00478074015209485,2.78797527310496,"FZD6"
"ILMN_1824196",-1.18107511362653,5.26070398850497,-4.65127764420675,1.84404914769017e-05,0.00486580339150066,2.76160207429153,NA
"ILMN_2125451",0.864735084116469,6.64644280237351,4.63687209177673,1.94122728015237e-05,0.00505433326931868,2.71479853885328,"TRIM49"
"ILMN_1809662",0.958484028522245,6.36673514364795,4.63437925754952,1.95854338063362e-05,0.00505433326931868,2.70670582012228,"MZT1"
"ILMN_1902202",-0.727669601489782,5.30406950951051,-4.61751978719306,2.0796756531295e-05,0.00530859815631447,2.6520238632551,NA
"ILMN_1663171",-0.742715857915043,5.05364542647498,-4.613461836915,2.10990513883911e-05,0.00532785078284921,2.63887551278363,"MATN3"
"ILMN_2262462",-1.2097398645589,5.47162607029116,-4.59935532696176,2.21836229390615e-05,0.00554212979894597,2.59320843914251,"CACTIN"
"ILMN_1715747",-0.857767903166501,5.29877741734814,-4.59585919777568,2.24607171817733e-05,0.00555228928733436,2.58190006469638,NA
"ILMN_2361643",1.32315361165311,5.58401769350792,4.59072576843814,2.28737050747246e-05,0.00555719724978819,2.56530275775344,"RRAGB"
"ILMN_1798163",0.67572388457943,7.61641449628992,4.58752538849421,2.31349149058684e-05,0.00555719724978819,2.55495956238605,"UPF3B"
"ILMN_1666477",-0.932581479211129,5.10487800829589,-4.58529025920331,2.33190650376274e-05,0.00555719724978819,2.54773784913801,"RPL35"
"ILMN_2296045",-1.04619602380838,5.38749874772288,-4.5742048118256,2.42537111201487e-05,0.00555719724978819,2.51194415069857,"PPM1A"
"ILMN_1746164",1.13290905371825,5.54139521557293,4.57179064086316,2.44620472370969e-05,0.00555719724978819,2.50415424267109,"SCD5"
"ILMN_1892511",-0.708626527598744,5.16347995025139,-4.57176952098253,2.44638774976129e-05,0.00555719724978819,2.50408610245886,NA
"ILMN_1729650",-1.04846285471002,5.60300780428621,-4.57139854906657,2.44960479008934e-05,0.00555719724978819,2.50288923893135,"PEX7"
"ILMN_1742922",1.36643753261496,6.62338095086856,4.57098324900531,2.453211132886e-05,0.00555719724978819,2.50154941200544,"PRIM2"
"ILMN_2293992",-1.03749947001388,6.71786802385221,-4.57008477026398,2.46103097418656e-05,0.00555719724978819,2.49865095892161,"RAB28"
"ILMN_1653203",0.967277262094636,6.21305706128879,4.55223406120305,2.62152592631979e-05,0.00575074008864499,2.44111896569926,"EFEMP2"
