"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1788122",0.954376450493656,4.80128053920602,8.26661715028578,1.63782736784714e-11,3.84627379065222e-07,15.4360011717996,"GSTA5"
"ILMN_1839083",1.0539153318166,5.47578356751058,6.93886649712139,3.08025739966354e-09,3.61683823868493e-05,10.6948166506902,NA
"ILMN_1669393",-1.07563271826162,4.98509554667262,-6.71540811770662,7.41458007047445e-09,5.8041332791674e-05,9.89512162632103,"GGT1"
"ILMN_1875581",-1.00212855363235,5.38966288138359,-6.56883904545687,1.31707656714192e-08,7.73255652569023e-05,9.37157235636163,NA
"ILMN_1792951",1.04779413937892,7.11617569410975,6.31174022265008,3.59362366193088e-08,0.00016878531615357,8.45613270157048,"ZHX2"
"ILMN_1862928",-0.992432846564326,5.0882291899017,-6.1855605756234,5.86776634376165e-08,0.000229664374694831,8.00865333864609,NA
"ILMN_1865151",-0.991719040416312,5.31458018432781,-6.07894198433659,8.86746408657105e-08,0.000297490752298621,7.63168908086871,NA
"ILMN_1826321",-1.06778186755739,4.85610835115906,-6.02306705773548,1.1003678721535e-07,0.000301118623092874,7.43460374400371,NA
"ILMN_1851033",-0.914144505817616,5.10139479447952,-5.98932235413614,1.25332901059445e-07,0.000301118623092874,7.31574473015992,NA
"ILMN_1687303",1.13083353949759,6.8775490246206,5.98340812075014,1.28222884982487e-07,0.000301118623092874,7.2949264316887,"ACAD10"
"ILMN_1902202",-0.925322898789002,5.30406950951051,-5.87175386460205,1.9700747264691e-07,0.000401234765645456,6.90268989300302,NA
"ILMN_1691444",1.11641064698253,7.40823379018804,5.86135913872477,2.0502542955823e-07,0.000401234765645456,6.866253301901,"UHRF2"
"ILMN_1859439",-0.732183759880003,4.89621322343702,-5.81781855428205,2.42271107093256e-07,0.000421396083509089,6.71378597404869,NA
"ILMN_1784070",-1.11420606961938,5.40168327357088,-5.80835215961922,2.5121551563308e-07,0.000421396083509089,6.68067106601688,NA
"ILMN_2204876",1.30228764902008,7.08706487738444,5.74247241616056,3.23185788732645e-07,0.000505979670839829,6.4505605980356,"FLVCR2"
"ILMN_1685781",1.07829033584753,7.3529402901644,5.71058811932914,3.65001023123562e-07,0.000535730251689609,6.33941731842706,"GON7"
"ILMN_2389347",1.03379103607592,7.0769069012628,5.6615284212736,4.40005455034515e-07,0.000606972099159062,6.16870244954522,"NR3C1"
"ILMN_1730791",-0.712130021709976,4.99949616159167,-5.64687324957442,4.65231552753497e-07,0.000606972099159062,6.11777851406132,"AFDN-DT"
"ILMN_1892503",-0.825135697569901,5.02033253390917,-5.57164368481856,6.19007320025143e-07,0.000728691596539868,5.85691345090749,NA
"ILMN_1834182",-0.91779177531859,5.06433184282352,-5.57097169213703,6.20585587242265e-07,0.000728691596539868,5.85458745772765,NA
"ILMN_1811227",-0.887183794903416,5.16289648566225,-5.54643716979722,6.810103765211e-07,0.000761564175343881,5.76971750217153,"LOC100288208"
"ILMN_1816114",-0.973599485476041,5.49985903674968,-5.51568969150416,7.64990589436167e-07,0.000816592681923589,5.66350151356756,NA
"ILMN_1886127",-0.885462967549802,5.00474007536182,-5.47757114141497,8.83401048061971e-07,0.000901990878812492,5.5320531969016,NA
"ILMN_2242937",1.17336349910537,7.01019247933075,5.44153541582402,1.01188858984431e-06,0.000990132985162661,5.40802855077367,"ARSB"
"ILMN_1814737",1.0680470938096,7.46846559330247,5.40794048386864,1.14818732446508e-06,0.00107856124510951,5.29262135190403,"LNPEP"
"ILMN_1775990",-0.912099904346103,5.11597096905098,-5.39035336565893,1.2266013901024e-06,0.00110790411712172,5.23229037792471,NA
"ILMN_2203588",-0.935256772454847,5.0393213488076,-5.34657117916281,1.44546581791814e-06,0.00125723404696258,5.08236014191898,"MYL5"
"ILMN_1701940",1.02206900418169,6.67462896520174,5.31499283605365,1.62678011021625e-06,0.00136440371815423,4.97445733030232,"MIGA2"
"ILMN_1817772",-0.819962765694932,4.94891841434066,-5.29010695258243,1.78528786452148e-06,0.00144571380035939,4.8895651683615,NA
"ILMN_1766085",1.29426410785357,7.33355491879203,5.27495551560832,1.88914030408069e-06,0.00147881903003437,4.83794230316484,"REL"
"ILMN_1793213",-0.880801376011577,4.98229968168848,-5.2640275926446,1.96771226942903e-06,0.00148706089498015,4.80073923694692,"SOX30"
"ILMN_1680727",1.27463352222338,6.59102956501835,5.25615329726027,2.02631360242569e-06,0.00148706089498015,4.77394752940521,"GLRX2"
"ILMN_1772064",1.06015696963602,6.69335652281509,5.20661023703412,2.43645066816533e-06,0.00173386689367256,4.60568488056649,NA
"ILMN_2326591",1.23833592331891,6.21890159782513,5.1971680306291,2.52340453516317e-06,0.00174293035599329,4.57367680970986,"ANXA6"
"ILMN_2311826",0.929777139561516,6.59986248402221,5.17859212143154,2.70347208398619e-06,0.00181395252629519,4.51076389415911,"USP6NL"
"ILMN_1681670",-1.41154982346039,5.6476246291074,-5.15838964741714,2.91365900036944e-06,0.00190067688790766,4.44242949766014,"SLC25A4"
"ILMN_1659297",-0.790317198209401,4.87434845924581,-5.14663454519394,3.0432669300461e-06,0.00193156974554602,4.40271050020767,"FZD6"
"ILMN_1751551",-0.887208182726672,5.10818722736599,-5.13505759742314,3.17644315843171e-06,0.0019630418719108,4.36362421219944,NA
"ILMN_1693438",1.02139005883275,6.28303826470833,5.11787873858253,3.38467847013691e-06,0.00203809715878706,4.30568138372107,"FBXL12"
"ILMN_1808584",1.1314498928158,7.28929730693258,5.10644843269634,3.53060314549952e-06,0.00204418651924281,4.2671658122463,"COX20"
"ILMN_1833691",-0.661482886158556,5.08458265561174,-5.09913901866909,3.62713980412378e-06,0.00204418651924281,4.24255199045389,NA
"ILMN_1778136",1.21667242695375,6.47247869273956,5.09699617659818,3.65592887958602e-06,0.00204418651924281,4.23533852910261,"ZMYND15"
"ILMN_1698304",-0.792505529663837,5.03261768576028,-5.07882592201999,3.90923859718056e-06,0.00213498974921368,4.17421542511678,"PGAM1"
"ILMN_1707585",0.859540467305913,7.77724515756982,5.06287939736074,4.14569206824264e-06,0.00221266892115023,4.1206373997359,"SLC46A2"
"ILMN_1703684",-0.86739814703516,6.16796943164629,-5.04359781099487,4.45040508743429e-06,0.00232251806829571,4.05593567519534,"NAP1L2"
"ILMN_1824196",-1.27615913265101,5.26070398850497,-5.02573492207786,4.75225466438162e-06,0.00242612931605083,3.99607518566743,NA
"ILMN_1677719",-1.31334931158648,5.45908558148864,-5.01676319265311,4.91135021295447e-06,0.00243242234174906,3.96603947555887,"CHST1"
"ILMN_1721580",-0.833771307900089,5.21243778873767,-5.01343232631471,4.97173702963528e-06,0.00243242234174906,3.95489340217956,"TBX15"
"ILMN_1669718",0.991844237544296,6.90561999306262,4.99854336963396,5.25069186965088e-06,0.00246983130959962,3.90510417981491,"PSENEN"
"ILMN_1771251",-0.680146718783177,5.04158071267987,-4.9981357719495,5.25854051609525e-06,0.00246983130959962,3.90374193493609,NA
"ILMN_2046896",0.790409634208732,6.82292455315111,4.98610519720551,5.49545357482018e-06,0.0025304947402172,3.86355292673598,"ESRRA"
"ILMN_1865862",-0.85036486927281,5.02685333983716,-4.97834864291319,5.65371802557309e-06,0.00255330604062612,3.83766090377105,NA
