"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1792951",1.14989004054071,7.11617569410975,6.9128007278736,3.37799705209841e-09,6.6968791557851e-05,10.5572383009524,"ZHX2"
"ILMN_2389347",1.16993478940098,7.0769069012628,6.39614254692299,2.56495474836816e-08,0.000254251139431994,8.7226044931053,"NR3C1"
"ILMN_2204876",1.37600509170894,7.08706487738444,6.14971484689756,6.69238972129644e-08,0.00039639751856499,7.85308684600773,"FLVCR2"
"ILMN_1701940",1.16701909331619,6.67462896520174,6.05304198349053,9.73123811112386e-08,0.00039639751856499,7.51345375460659,"MIGA2"
"ILMN_1704195",0.946462821616156,7.48282396691024,6.04606200353088,9.99741534842346e-08,0.00039639751856499,7.48896848696478,"FCSK"
"ILMN_1685781",1.12346309854181,7.3529402901644,5.93242482598086,1.54987478560361e-07,0.000512104460409858,7.09109504950421,"GON7"
"ILMN_1691444",1.0824048318874,7.40823379018804,5.69776635557879,3.80992892688501e-07,0.00101951151881677,6.27459402001276,"UHRF2"
"ILMN_1653579",1.560902064332,5.77231560484545,5.67762438390627,4.11404395991633e-07,0.00101951151881677,6.20486859678087,NA
"ILMN_1655482",1.09262523970584,7.1219831834709,5.64634029125074,4.63458972960949e-07,0.00102089712655009,6.09669484892004,"TRIM27"
"ILMN_2242937",1.20128976616164,7.01019247933075,5.5992207372747,5.54377142194582e-07,0.00109905268440076,5.93405424097858,"ARSB"
"ILMN_1767837",1.18053133348353,7.2020283047792,5.52053168284662,7.47021577834625e-07,0.00132373973738769,5.66325449530144,"GOLT1B"
"ILMN_2400219",1.01193308697377,6.55496134503457,5.48561625574472,8.52404400222388e-07,0.00132373973738769,5.54343477972741,"SRI"
"ILMN_1657144",-1.08235362925504,5.91492105662837,-5.48080651964231,8.68026057303401e-07,0.00132373973738769,5.5269459312549,"IBA57"
"ILMN_2311826",0.976577232006131,6.59986248402221,5.43753944293612,1.02186782626429e-06,0.00144231591503758,5.3788033822855,"USP6NL"
"ILMN_1875581",-0.831179522327063,5.38966288138359,-5.42008335592082,1.09128568603096e-06,0.00144231591503758,5.31913201699868,NA
"ILMN_1796813",1.09290566397138,5.28527060523992,5.29728918440634,1.72965721110869e-06,0.00214315338813936,4.90102012768968,"EED"
"ILMN_1753010",1.19777477553006,6.555929788265,5.26137419569172,1.97787584656651e-06,0.00230655227401065,4.77929790428343,"GATB"
