"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.30572792630138,5.05636014858666,-11.1813403663269,2.31479724066113e-16,4.5890855296107e-12,24.301447906351,"OTOF"
"ILMN_2413377",0.921756720355045,5.12051764953163,5.36129468433715,1.36103987527559e-06,0.00598065108421481,5.01139140601398,"RSPH10B"
"ILMN_1862479",0.773512967213295,5.61972032408683,5.32057644241299,1.58537821885663e-06,0.00598065108421481,4.87647339154433,NA
"ILMN_1755221",-0.922290533678511,6.6377633984571,-5.31112421986913,1.64245286081996e-06,0.00598065108421481,4.8451974890917,"LMAN2L"
"ILMN_1910550",0.715555377373456,7.57963613566462,5.27858379325572,1.8548449822913e-06,0.00598065108421481,4.73765467326218,NA
"ILMN_2405391",0.693527443710574,5.28946347022785,5.27249331835781,1.89749929337375e-06,0.00598065108421481,4.71754862563695,"SLC22A6"
"ILMN_1683678",-1.11585998546789,5.5694266039072,-5.22501992794072,2.26476967341246e-06,0.00598065108421481,4.56107493622429,"SPATS2L"
"ILMN_1909895",1.01564033979018,6.47775837297907,5.20026999068776,2.48312132374301e-06,0.00598065108421481,4.47967525485466,NA
"ILMN_1699723",-0.902503852429648,6.10051233603258,-5.17622317190391,2.71504967253131e-06,0.00598065108421481,4.40070684853588,"RARB"
"ILMN_1753567",1.00128456673226,7.56844655399724,5.13301515704441,3.18648001653595e-06,0.00608428144843973,4.2591148348769,"ZNF451"
"ILMN_1755548",0.806633774732706,5.11975451435354,5.09622283957671,3.65063020203121e-06,0.00608428144843973,4.13885900584492,"HK1"
"ILMN_1678290",-0.82252231054162,6.30050347864214,-5.09384647257716,3.68279331053099e-06,0.00608428144843973,4.13110189737939,"HMG20A"
"ILMN_1786273",-0.760092179587779,6.41956420599152,-5.03737795262675,4.53443558442267e-06,0.00625188956630636,3.94714015187954,"C1orf122"
"ILMN_2391419",-1.16437644924858,7.25269991904837,-5.03399167022197,4.5912411853838e-06,0.00625188956630636,3.9361310968701,"SYNE2"
"ILMN_1663327",0.774151527540446,5.16165843994992,5.02587218526338,4.73030736416622e-06,0.00625188956630636,3.90974466750928,"SOX6"
"ILMN_1800512",-1.66044937496397,6.46678535959831,-4.99937605166066,5.21348896173966e-06,0.00625725380321949,3.82374354229813,"HMOX1"
"ILMN_1733441",0.919310149072354,6.90205440976506,4.98545977475399,5.48633062887002e-06,0.00625725380321949,3.77863924843674,NA
