"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.89277833976665,5.05636014858666,-16.2084293585501,1.06349822725346e-23,2.10838523552997e-19,36.0327060879588,"OTOF"
"ILMN_1683678",-1.36625596831587,5.5694266039072,-6.39750036213105,2.5513936172922e-08,0.00025290689231409,8.34037522611987,"SPATS2L"
"ILMN_1910550",0.788162968243194,7.57963613566462,5.81420306822948,2.44090765661763e-07,0.00161303314308148,6.39397293826055,NA
"ILMN_2224444",1.29630739254615,5.67608793648583,5.66097949585665,4.38336695280437e-07,0.00217250624598367,5.88792756711466,"SNX25"
"ILMN_1774733",-1.09220693426038,5.45430758167104,-5.04433102931199,4.41994994108993e-06,0.0175251015164216,3.8868341413239,"SOCS1"
"ILMN_1679693",0.829214891853244,5.84846208095077,4.98008574569491,5.59540026022381e-06,0.0184881350264895,3.68245883503302,"TMEM87B"
"ILMN_1775357",1.1943436635148,6.1977901199189,4.92179964195864,6.92378767163902e-06,0.0194220583463604,3.49783942217881,NA
"ILMN_1652660",1.09760760653915,6.01413730694195,4.88777153448227,7.8374005937394e-06,0.0194220583463604,3.39042022937685,NA
"ILMN_1686662",0.833886278759483,9.03196052415669,4.84745850854985,9.07329447628087e-06,0.0199864514435854,3.26351818350062,"ANP32A-IT1"
"ILMN_1751773",-0.779244333281854,6.67311700330434,-4.78331870486667,1.14429580648923e-05,0.022685664363649,3.06243405892472,"POLD3"
"ILMN_1721204",0.71412732726329,12.3967218601778,4.66822144417994,1.73012137470958e-05,0.0276184313793274,2.70424556920708,NA
"ILMN_1744862",0.841684112539929,7.70877866989013,4.66622600579794,1.74250522981636e-05,0.0276184313793274,2.69806682276791,"TGFBR2"
"ILMN_1739864",0.961193589576589,5.9795042756281,4.65542641002606,1.81104468061163e-05,0.0276184313793274,2.66464547037445,NA
"ILMN_1655645",0.809100905631944,6.17388786538488,4.63429057297084,1.95288007031823e-05,0.027654176710042,2.59932964359461,"AK2"
"ILMN_1793671",-0.95350512332597,6.00548825530169,-4.59200652997662,2.26990236155725e-05,0.0282386887248363,2.46903440310675,"TFDP2"
"ILMN_1892652",-0.908264127028777,5.35690584211909,-4.58677360213693,2.31246668016717e-05,0.0282386887248363,2.45294471345557,NA
"ILMN_2328666",0.972277950383147,6.55898826964189,4.5737884142158,2.4214764606417e-05,0.0282386887248363,2.41305302086901,"CD83"
"ILMN_2274531",1.26818519825631,6.42234070023161,4.50407575403305,3.09797017182173e-05,0.0341206992535366,2.19972888684864,"ZNF586"
"ILMN_1708569",-0.777653933917607,5.59077257569645,-4.46721304246534,3.52676638297361e-05,0.0367990229170799,2.08751228632207,"PMCHL2"
"ILMN_1818872",1.08731445571358,7.48329960667423,4.44842428497212,3.76700962830926e-05,0.0373404829406155,2.03047535379582,NA
"ILMN_1663511",-0.643815578667213,5.51693884415412,-4.42001510822525,4.1607632069075e-05,0.0392795859890197,1.94444127154188,NA
"ILMN_2104409",-0.939202439154427,6.04423620623582,-4.40162011001535,4.43676176558553e-05,0.0398837501073255,1.88886885738871,"RPL29P2"
"ILMN_1724666",0.882293716093554,7.57098138259459,4.38957015129466,4.62711854965189e-05,0.0398837501073255,1.85252325259466,NA
"ILMN_1863695",-0.659617768098158,5.25590178494572,-4.34019945812478,5.49329329066034e-05,0.0443802215654323,1.70409596985409,NA
"ILMN_2270299",-1.05244068261968,5.42558585394356,-4.32506612111708,5.78896910031049e-05,0.0443802215654323,1.65875814658366,"TP53BP2"
"ILMN_1779515",0.91257104456944,7.01949476114338,4.31655347740235,5.96201661656876e-05,0.0443802215654323,1.63328836171185,"CSAD"
"ILMN_1670844",0.777900123486357,5.60580259721831,4.29663640211265,6.38673154836573e-05,0.0443802215654323,1.57379057781044,"OPN3"
"ILMN_1678300",0.799008155281033,6.76993850200404,4.29467784422906,6.43004677213043e-05,0.0443802215654323,1.56794697636633,"KPNA2"
"ILMN_1796749",-0.770114151518342,5.61057796515419,-4.29190149852615,6.49193657199262e-05,0.0443802215654323,1.55966560610512,"KIF1C"
"ILMN_1773148",0.738241881514017,6.56470391477876,4.28072352551256,6.74701014641909e-05,0.0445864920509195,1.52634981202168,"MSANTD2"
"ILMN_1880930",0.792932913037812,5.63398261187284,4.26515987013231,7.1184022071155e-05,0.0455233302438919,1.48003284376556,NA
"ILMN_1840036",-0.66060997122145,5.83880363429839,-4.21499248700129,8.45535364159453e-05,0.0523835581076911,1.33130046080849,NA
"ILMN_1798329",-0.543794964105278,5.48124429813983,-4.20134843736611,8.85913571179439e-05,0.0528990771049581,1.2910006083668,NA
"ILMN_2394750",0.747114561625272,7.10789365580787,4.19438881217921,9.07222507726898e-05,0.0528990771049581,1.27046941700449,"EXOC4"
"ILMN_1735813",-0.812410774395877,5.62707686164064,-4.15512414551475,0.000103705607447414,0.058741819075571,1.15495858769453,NA
"ILMN_1882935",-0.515485537447235,5.3593551100062,-4.11823867818535,0.000117527153503752,0.064707466770461,1.04695155495155,NA
"ILMN_1724181",-0.584527478073228,7.22662682245038,-4.10858448046346,0.000121428929385389,0.064707466770461,1.01876423050455,"IL15"
"ILMN_1745817",-0.904475144811036,5.36144051157874,-4.1023150431936,0.00012402944450328,0.064707466770461,1.00047771708393,"NELL1"
"ILMN_1850677",1.00310191375386,7.44668017794007,4.09258649445175,0.000128171577522084,0.0651538852403926,0.972130474865017,NA
"ILMN_1704856",-0.760817231170733,5.44726108834735,-4.02570857294097,0.000160483213228846,0.0795394925565468,0.778217779808734,NA
"ILMN_1866427",-0.607097749770761,5.36486227619565,-4.01047517308321,0.000168873334144703,0.0815216174746788,0.734285687504023,NA
"ILMN_2412768",0.736847064505045,5.11983657036686,4.00375672084859,0.000172706579265398,0.0815216174746788,0.71493848242714,"HIPK1"
"ILMN_2325394",-0.846448599139884,5.23738244903453,-3.99393150247717,0.000178463737021031,0.0822800834056267,0.686676092434536,"MSH5"
"ILMN_1652872",-0.676004254163425,6.06044242793648,-3.9760992875311,0.000189388304046247,0.0829103191474131,0.635477252251971,"UBOX5"
