"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.85438897142923,5.05636014858666,-16.0305330536676,1.94587870689514e-23,4.56970155527255e-19,34.980200884115,"OTOF"
"ILMN_2349061",-1.35469278114445,8.07638309525085,-6.06640358612852,9.30784887583652e-08,0.00109292761500072,7.1406760215974,"IRF7"
"ILMN_1724666",1.15530992533075,7.57098138259459,5.7154990236602,3.58228339422976e-07,0.00280421144100306,5.99048386920696,NA
"ILMN_1805201",-0.722868342444854,4.97785112198346,-5.60276904507127,5.50090293721336e-07,0.00322958011443796,5.62375236420465,"PML"
"ILMN_1733627",-0.977430757932851,5.59408092048457,-5.51348160540241,7.71400458240198e-07,0.00362311367226256,5.33444861191646,"NEDD4L"
"ILMN_1695226",0.761706373884775,5.09893815181225,5.27318723591748,1.90164151719681e-06,0.00744302489830833,4.5617455868141,"DIAPH3"
"ILMN_2193443",-0.747663061779378,4.90772679591983,-5.2131149677281,2.37826948890218e-06,0.00797875438248267,4.37007444341889,"TRIM16L"
"ILMN_1683678",-1.05079139857078,5.5694266039072,-4.85586493936433,8.83348792812669e-06,0.0223052406391322,3.24493620082751,"SPATS2L"
"ILMN_1800796",0.894701000627605,6.36128534127054,4.85524613441034,8.85333397637872e-06,0.0223052406391322,3.24301148182348,NA
"ILMN_1662675",0.728955910887319,5.15331300113848,4.83584866057527,9.49805852458362e-06,0.0223052406391322,3.1827240472249,"ADAM2"
"ILMN_1661288",-0.668307043024778,5.09125784665956,-4.7956477612364,1.09839372446806e-05,0.0234497074776436,3.05806765465724,NA
"ILMN_2184262",-0.940081805948959,4.95603229155645,-4.73494686807347,1.36675492029753e-05,0.0267473937902227,2.87060007389849,"OAS3"
"ILMN_1792432",-0.566909172192926,5.02098969182644,-4.67749833200332,1.67920959423097e-05,0.0303342754699385,2.69404304397621,NA
"ILMN_1652872",-0.786697011955771,6.06044242793648,-4.63266091264689,1.97056726278666e-05,0.0330548582852014,2.55684891050837,"UBOX5"
"ILMN_1723323",-0.723507127097387,5.26194667394943,-4.59400499483055,2.26090432805288e-05,0.0353967181599959,2.43900704078565,"HCG4"
"ILMN_1871107",-0.600935229638004,5.29662630194556,-4.55812504385895,2.56746432104289e-05,0.0355316492587841,2.32999925619375,NA
"ILMN_1722506",0.557271909020625,4.93271616511388,4.55761234587572,2.57212586186054e-05,0.0355316492587841,2.32844424625889,"KIR2DL1"
"ILMN_1698213",-1.05060489820115,5.82112374072587,-4.52185180102653,2.91843871504074e-05,0.0380758971022316,2.22016818152671,"RBM3"
"ILMN_1841622",0.980916120078142,7.36650008148063,4.47926831535865,3.39031689000383e-05,0.0405503766275943,2.0917177792018,NA
"ILMN_1874706",-0.621096986703161,5.42173357437709,-4.4507839029941,3.7465724030998e-05,0.0405503766275943,2.00609614024048,NA
"ILMN_1740052",0.861889715042917,5.46147226780035,4.44619249608177,3.80730591826891e-05,0.0405503766275943,1.99231758483295,"SPEG"
