"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.79830248371792,5.05636014858666,-15.545685317312,8.71492706485692e-23,2.046613471911e-18,35.2348571016224,"OTOF"
"ILMN_2193443",-0.90543763012333,4.90772679591983,-6.31320537717433,3.57318736304341e-08,0.00036769119414269,8.14949042371524,"TRIM16L"
"ILMN_1683678",-1.35093630366275,5.5694266039072,-6.24287964404054,4.69712818271193e-08,0.00036769119414269,7.91108673162225,"SPATS2L"
"ILMN_1679693",0.955242258835279,5.84846208095077,5.74359877181554,3.21798664515956e-07,0.00188927995937318,6.2300906545401,"TMEM87B"
"ILMN_1840036",-0.838019313472987,5.83880363429839,-5.353404421671,1.40893339303142e-06,0.00661747836038999,4.93710755417269,NA
"ILMN_1805201",-0.682978086558902,4.97785112198346,-5.29358979657647,1.7622216793183e-06,0.00689733565285183,4.7410551689371,"PML"
"ILMN_1871107",-0.668892914575252,5.29662630194556,-5.07358762677615,3.98541268196805e-06,0.0121182264329046,4.0258423306444,NA
"ILMN_2104409",-1.08525523255208,6.04423620623582,-5.06403043738004,4.12816434437219e-06,0.0121182264329046,3.99499740793227,"RPL29P2"
"ILMN_1863695",-0.757262004014213,5.25590178494572,-5.00043052879298,5.21450250007687e-06,0.0136063751902006,3.79024519942982,NA
"ILMN_1732716",1.24552318168515,6.42218426444331,4.91294829689781,7.17843303820143e-06,0.0160991888079291,3.51011017176306,NA
"ILMN_1893948",-0.772558858122439,5.28540111576398,-4.87972322855099,8.10065614989234e-06,0.0160991888079291,3.40419204905932,NA
"ILMN_1821270",0.879114140014011,7.79095443037615,4.87548084059851,8.22646336634088e-06,0.0160991888079291,3.39068708448384,NA
"ILMN_2328666",1.0503330404871,6.55898826964189,4.84742445193672,9.10798196079221e-06,0.0164532191051726,3.30148581563594,"CD83"
"ILMN_2096743",1.07270648184973,5.37290485487742,4.80963583789257,1.04427886996337e-05,0.017226531842238,3.1816537470757,"TBC1D22A"
"ILMN_1912531",-0.760428286142741,5.85746996503912,-4.78706139455907,1.13295997981501e-05,0.017226531842238,3.11024127230785,NA
"ILMN_1804772",-0.64822581589545,5.15243273954447,-4.7772717158816,1.17366934711211e-05,0.017226531842238,3.07931336495395,NA
"ILMN_2200562",0.946152176143383,5.61265553654848,4.7321983553867,1.38031485428154e-05,0.0190678317870281,2.9372408050451,"SMG1P5"
"ILMN_1685441",1.01781714856721,5.54252126725864,4.57845390548517,2.38912197386899e-05,0.0311700780190774,2.45681949423473,"ASAP3"
"ILMN_1774733",-0.987298756434549,5.45430758167104,-4.54890031229068,2.65260957643335e-05,0.03233329824657,2.36524554702854,"SOCS1"
"ILMN_1699172",0.811357702582593,5.84790973605024,4.53343667913486,2.80155029047711e-05,0.03233329824657,2.31743376844897,"AFG3L1P"
"ILMN_1865077",-0.585885783394974,4.99437164892821,-4.52449805978326,2.89132712986702e-05,0.03233329824657,2.28982930982677,NA
"ILMN_2184262",-0.894929413331874,4.95603229155645,-4.50752604293317,3.06956310513604e-05,0.0327661908913703,2.23748240372245,"OAS3"
"ILMN_1700831",-0.827564341868412,5.45310264949764,-4.4920102702529,3.24183610134882e-05,0.0331005560887285,2.18970378811165,"SLC27A2"
"ILMN_2395506",-0.786524955474285,5.34394906227964,-4.418777917388,4.1903645409957e-05,0.041002717033643,1.96520438950058,"SOX6"
"ILMN_1661288",-0.613608905347429,5.09125784665956,-4.40314403972998,4.42532411495301e-05,0.0415697246062226,1.91749734314933,NA
"ILMN_1805457",-0.63843687706428,5.04974272373637,-4.38146363663749,4.77245357288701e-05,0.0431062691175687,1.85146973272655,"NHLH1"
"ILMN_2372681",-0.832257003103618,5.91571281159494,-4.3624822330157,5.09797326738324e-05,0.0441858299435481,1.79378766536234,"MAGEA6"
"ILMN_1910550",0.587136737981837,7.57963613566462,4.35301546823284,5.26828154666729e-05,0.0441858299435481,1.76506363424009,NA
"ILMN_1775004",-0.817371083275828,5.55091593001447,-4.31758395262915,5.95609502572497e-05,0.0454437674330821,1.65782177484865,"KCNQ3"
"ILMN_1766560",0.823555476172218,6.30888780515381,4.31524034400173,6.00454140798937e-05,0.0454437674330821,1.65074311986402,"ANKHD1-EIF4EBP3"
"ILMN_2050109",-0.751456469116284,8.19196226439538,-4.29601246014319,6.41671304539002e-05,0.0454437674330821,1.59273722075712,"GABARAP"
"ILMN_1902563",0.961541539606592,6.59431809837636,4.28471821874584,6.67147452318646e-05,0.0454437674330821,1.55872384953575,NA
"ILMN_1725528",0.668393585438436,7.43783971750068,4.28439860752369,6.6788247638837e-05,0.0454437674330821,1.5577619534324,"ZNF407-AS1"
"ILMN_2302075",0.744772897709848,5.37296129343901,4.28085222294252,6.76091128067629e-05,0.0454437674330821,1.54709116937524,"MSI2"
"ILMN_1895548",-0.892628889797679,6.07613785045781,-4.28034068799853,6.77283197137572e-05,0.0454437674330821,1.54555235824626,NA
"ILMN_1859002",-0.624743919640768,5.1296790638018,-4.26791481465708,7.06874167175674e-05,0.0461117581720932,1.50820021627095,NA
"ILMN_2395214",0.844676156341238,5.99541016818979,4.25309341833411,7.4381071160708e-05,0.0466961291381934,1.46371693390743,"FMNL3"
"ILMN_1806508",-0.682414105793575,5.67882223073195,-4.22729204063215,8.12618307672843e-05,0.0466961291381934,1.38646231694056,"B4GALT2"
