"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.12944104337598,5.05636014858666,-9.67174284573847,6.76924731736869e-14,1.34200328066834e-09,19.0946933787212,"OTOF"
"ILMN_1819590",1.21506953111118,5.26841092329583,7.39053083891193,5.12449746757505e-10,5.07965811473377e-06,11.6702102291616,NA
"ILMN_1775357",1.47528576271838,6.1977901199189,6.07954072227887,8.78317254468756e-08,0.00058042131899477,7.27063392150722,NA
"ILMN_1794299",0.921343362999528,5.18603081075009,5.61770237477765,5.16788123787095e-07,0.00256133113851979,5.74116568041716,"ZSWIM3"
"ILMN_2151168",-1.17200877183242,5.42671796974112,-5.51610763698234,7.59627433838952e-07,0.00301192277517144,5.40812262024251,"SLC30A6"
"ILMN_1882935",-0.652350823542529,5.3593551100062,-5.21166201201893,2.38015964127013e-06,0.00786444414803006,4.41978075398065,NA
"ILMN_1724666",1.02498843047109,7.57098138259459,5.09950205668377,3.60669999882856e-06,0.0102146896395394,4.05988444293948,NA
"ILMN_1724986",0.753027705932216,6.91867404357264,4.93167947367954,6.67866656291037e-06,0.0165505705762123,3.52627868044838,"WDR53"
"ILMN_2217513",1.04004360690851,5.80334439327318,4.86949912248636,8.37568699856775e-06,0.0184497771940673,3.33018452103652,"GLB1L"
"ILMN_1673804",0.71984031468057,6.96476868792295,4.71577151414895,1.45918500467187e-05,0.026494321926741,2.8494546524236,"ZNF426"
"ILMN_1774027",1.03911260810152,6.09671941101424,4.70168644799008,1.53479713385127e-05,0.026494321926741,2.80571262729406,"ZNF37A"
"ILMN_1737205",1.35400805939087,6.03226534973169,4.68943084707051,1.60369161725545e-05,0.026494321926741,2.76769519682955,"MCM4"
"ILMN_1678300",0.86382753571359,6.76993850200404,4.64308274495557,1.89260868746147e-05,0.0273206839926745,2.62428903822687,"KPNA2"
"ILMN_1655645",0.809050202221261,6.17388786538488,4.63400015883768,1.95490251445675e-05,0.0273206839926745,2.59625559390061,"AK2"
"ILMN_1792435",0.80333964761639,6.73780726655863,4.60918048281446,2.13550955670779e-05,0.0273206839926745,2.5197668337844,"STAG1"
"ILMN_1770373",0.755394661136711,6.23006178775608,4.60017947872377,2.2049480145412e-05,0.0273206839926745,2.49207051341107,"TMEM39A"
"ILMN_1719949",-0.854641653717477,5.96975586009931,-4.54186594788454,2.71119216360175e-05,0.0316172850843557,2.31319985461177,NA
"ILMN_1663511",-0.657741044216532,5.51693884415412,-4.51561821283555,2.97446441932702e-05,0.0319481410864682,2.23301089829581,NA
"ILMN_1899986",-0.662487586982205,5.32123659455654,-4.50740302744745,3.06186471951019e-05,0.0319481410864682,2.20795479498457,NA
"ILMN_1669070",0.891580342917564,5.46871889547387,4.42815324565901,4.04405262697421e-05,0.0390656134496873,1.96729401917664,"MIPEP"
"ILMN_1684591",0.680598397625277,7.06496127904154,4.42157804011224,4.1380977676844e-05,0.0390656134496873,1.94741372955218,"ZSCAN32"
