"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.75298386352926,5.05636014858666,-15.1539219655698,2.98875646644722e-22,7.01879568580465e-18,35.1708037635311,"OTOF"
"ILMN_2193443",-1.13031557419976,4.90772679591983,-7.88117714962853,7.47727233949649e-11,8.77981318103677e-07,13.6975890756466,"TRIM16L"
"ILMN_1840036",-0.914083416809652,5.83880363429839,-5.83931435308461,2.23114153296505e-07,0.00143335416984561,6.64517760438245,NA
"ILMN_1821479",-0.834976409101986,5.74657783714933,-5.81581083195029,2.44141401779187e-07,0.00143335416984561,6.56517349976195,NA
"ILMN_2357809",1.21919924842065,6.21371249061758,5.50289848999898,8.02865542679107e-07,0.00377089888085523,5.50711519903434,"G3BP1"
"ILMN_1661357",-0.815944954570936,5.70341998096651,-5.45009661341987,9.79787139054795e-07,0.00383488686226047,5.33003371608838,NA
"ILMN_1821270",0.952426552364132,7.79095443037615,5.28206429264648,1.83969449789639e-06,0.00611425894182573,4.76975029225924,NA
"ILMN_1802831",-0.869250424912197,6.50846162202043,-5.24472204732651,2.11445421179229e-06,0.00611425894182573,4.64595388574828,"MTMR12"
"ILMN_1807262",-1.00813707216067,5.66001681568264,-5.21710877705199,2.34322647233996e-06,0.00611425894182573,4.55458832422492,NA
"ILMN_1683678",-1.10989979179572,5.5694266039072,-5.12901370578319,3.24822807660422e-06,0.00644545146102859,4.26414958812366,"SPATS2L"
"ILMN_2347805",0.922619628860282,7.26618984756995,5.12829911642217,3.25682011319422e-06,0.00644545146102859,4.26180036764055,"EXOC1"
"ILMN_1686531",-0.819023471757022,6.07535706235702,-5.12526616208093,3.29353677109279e-06,0.00644545146102859,4.2518307208477,"GGT1"
"ILMN_1880340",-0.967395792478578,7.11656365464104,-5.07916899221304,3.90429993752573e-06,0.00705296767175802,4.10055111894641,NA
"ILMN_1871107",-0.652129898236905,5.29662630194556,-4.94643927398535,6.35314994419293e-06,0.0101351902730673,3.66765832806737,NA
"ILMN_2313889",0.814325953354111,12.7137628962184,4.94129091307944,6.47367799761579e-06,0.0101351902730673,3.65095099346266,"ZNF682"
"ILMN_1750457",0.753274364118375,5.26806636953248,4.90177007428252,7.47659717041642e-06,0.0109371067538273,3.52291543502048,"ZNF268"
"ILMN_1804772",-0.662982071898329,5.15243273954447,-4.88602185002656,7.91734009602558e-06,0.0109371067538273,3.47200405034889,NA
"ILMN_1721204",0.74508422990881,12.3967218601778,4.85602075783175,8.82849745327024e-06,0.0112269510795259,3.37518900658324,NA
"ILMN_2130078",0.701784970819609,14.282871117935,4.84817333299546,9.08329375366176e-06,0.0112269510795259,3.349902925781,"CDKN2AIPNL"
"ILMN_1912531",-0.760384086069232,5.85746996503912,-4.7867831454863,1.13409774677406e-05,0.0130261239644726,3.15264484107935,NA
"ILMN_1686662",0.820987892401541,9.03196052415669,4.77936891685847,1.16482968512147e-05,0.0130261239644726,3.12888909125247,"ANP32A-IT1"
"ILMN_1733783",-0.775374591347974,6.07226667969605,-4.76055772518922,1.24650256936849e-05,0.0133058483359316,3.06868307220883,"ANAPC1"
"ILMN_1687544",0.65622259119873,5.18409723892252,4.72330325548749,1.42510668633354e-05,0.0145509588790682,2.9497334802935,"ZNF567"
"ILMN_1775357",1.15148477212407,6.1977901199189,4.70715018895871,1.51010540158802e-05,0.0147763813545387,2.89827778852907,NA
"ILMN_2184262",-0.926842128313294,4.95603229155645,-4.66826206494401,1.73556322633831e-05,0.0161445612775227,2.77470084806579,"OAS3"
"ILMN_1811836",1.02285805330035,5.41114568688224,4.66001734453094,1.78742374900184e-05,0.0161445612775227,2.74855652976528,"DYNC2LI1"
"ILMN_1798329",-0.599986662514887,5.48124429813983,-4.64380066001335,1.89387991286019e-05,0.0164725466198551,2.69719003204471,NA
"ILMN_1698085",-0.76355620598388,5.63600224518738,-4.63349536979084,1.96471929524808e-05,0.0164783814034307,2.66458761228295,"NOP9"
"ILMN_1900186",-0.74878035147344,5.08166059635804,-4.60648463957199,2.16288633995652e-05,0.0168732435356344,2.57928269356723,"NUDT16"
"ILMN_1735148",0.738771024522074,7.66600393152766,4.60297496100622,2.19002529572369e-05,0.0168732435356344,2.56821430251473,"SEC24B"
"ILMN_1859160",0.831534761639061,5.86343862605961,4.59821686868116,2.22734861865384e-05,0.0168732435356344,2.55321466903016,NA
"ILMN_1656840",0.964659227019435,5.76879361914327,4.57936819676757,2.38139145952822e-05,0.0169790080876403,2.49386174009278,"VPS13D"
"ILMN_2404629",0.690411050401621,6.83518340873895,4.57883335451094,2.38591069192698e-05,0.0169790080876403,2.4921791219749,"EFL1"
"ILMN_1727153",0.973490169088351,6.06783536887981,4.5611009821946,2.54056870977351e-05,0.0171855813561098,2.43644189690366,NA
"ILMN_1724704",0.799081280414519,6.19936007502239,4.55704317209608,2.57731055136683e-05,0.0171855813561098,2.42370061767905,"GRIPAP1"
"ILMN_1792432",-0.55155830851389,5.02098969182644,-4.55084023089032,2.63447849097238e-05,0.0171855813561098,2.40423346521148,NA
"ILMN_1814966",0.697251021896698,5.3275801731295,4.54115253749675,2.72624283637955e-05,0.0173035369647398,2.37385342411288,"PIAS3"
"ILMN_1880761",-0.663184815835023,5.14225530490182,-4.52642409020346,2.87174886523521e-05,0.0175668171041707,2.32772123470828,NA
"ILMN_2412761",0.900694400881661,5.79012291492584,4.51579261247508,2.9814524181858e-05,0.0175668171041707,2.2944632719447,"MAFG"
"ILMN_1910550",0.608796622310792,7.57963613566462,4.51360124906503,3.0045665758322e-05,0.0175668171041707,2.2876125053428,NA
"ILMN_1906541",-0.792236631386433,6.10580811938031,-4.50583687093681,3.08787689265998e-05,0.0175668171041707,2.26335113794329,NA
"ILMN_1778681",1.13756767890354,5.94841963255529,4.50092471709866,3.14174041208981e-05,0.0175668171041707,2.24801187739699,"EBF1"
"ILMN_1708611",0.737056830123562,6.20081291604218,4.48193840264496,3.35866444640418e-05,0.0183088925516618,2.18879450479759,"RDX"
"ILMN_1756578",-0.699420487782903,5.88985056657254,-4.47592301227475,3.43038354740725e-05,0.0183088925516618,2.17005662289715,"CHRNA6"
