"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-1.69720278967206,5.05636014858666,-14.6717144233475,1.39835459542522e-21,3.2838959318966e-17,31.7770901746469,"OTOF"
"ILMN_1683678",-1.33121528552602,5.5694266039072,-6.15174585605088,6.68975182974949e-08,0.000785510659849185,7.36905498076537,"SPATS2L"
"ILMN_1804772",-0.745172386940449,5.15243273954447,-5.49174513000381,8.3739683049953e-07,0.00655514238915032,5.22574881063178,NA
"ILMN_2184262",-1.02116744038686,4.95603229155645,-5.14335406029642,3.08043678218445e-06,0.017410042993339,4.11698770747547,"OAS3"
"ILMN_1805201",-0.648876457946811,4.97785112198346,-5.02927672882179,4.69084987451733e-06,0.017410042993339,3.758653673442,"PML"
"ILMN_1874635",0.818877221698694,5.3836218837044,5.01517597876118,4.94003524987485e-06,0.017410042993339,3.71454345242576,NA
"ILMN_1805823",0.622351626762297,4.98918744136712,5.00174166243507,5.18950353233577e-06,0.017410042993339,3.67255659729215,"BANF2"
"ILMN_1656886",0.832390685286234,5.91198019702421,4.88650609204442,7.90341604799604e-06,0.0211832776814389,3.31400675725945,"LIN37"
"ILMN_1863695",-0.738891622224283,5.25590178494572,-4.87912533000972,8.11827197806805e-06,0.0211832776814389,3.29114270355694,NA
"ILMN_1661288",-0.674015552233149,5.09125784665956,-4.83661096773085,9.47187524096828e-06,0.0213651953743901,3.15968739236506,NA
"ILMN_1882935",-0.597766320607426,5.3593551100062,-4.79833251387323,1.08779895328858e-05,0.0213651953743901,3.04169422358638,NA
"ILMN_2394750",0.859436629561326,7.10789365580787,4.79733289092163,1.09173200686715e-05,0.0213651953743901,3.03861760260128,"EXOC4"
"ILMN_1899986",-0.69063967935803,5.32123659455654,-4.72003472193085,1.44191985981016e-05,0.0260477276829091,2.80145558174446,NA
"ILMN_1679693",0.760999031405897,5.84846208095077,4.57566974420196,2.41281358622837e-05,0.040473224470705,2.3626498554439,"TMEM87B"
"ILMN_1774027",1.00686204191587,6.09671941101424,4.53770763317727,2.75961851076732e-05,0.0432045874045731,2.2482026794176,"ZNF37A"
"ILMN_1723323",-0.702316308892207,5.26194667394943,-4.45945106849993,3.63448428645909e-05,0.0533451431145033,2.01357773820749,"HCG4"
"ILMN_1724666",0.88057242944843,7.57098138259459,4.35632963105871,5.20804019084779e-05,0.071944479906982,1.70719318256243,NA
"ILMN_1915053",-0.690169501858252,5.13087713126281,-4.31182102054903,6.07591109662717e-05,0.0737075129304574,1.57597483940615,NA
