"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-1.38939704158099,8.86934953997528,-9.64796200619159,7.59221055654421e-14,1.78295472709884e-09,20.5634574796637,"DDIT4"
"ILMN_1778523",-0.66012531023814,8.909204401071,-7.57352138770412,2.51873729520816e-10,2.95750133203342e-06,13.1348880264035,"KLF9"
"ILMN_2137789",0.692633785207904,7.74541894520299,7.39637167160401,5.06974406829941e-10,3.43659136886143e-06,12.4886543939254,"KLF4"
"ILMN_1893697",0.640302056002937,6.02215998000867,7.35996264605545,5.85350258705746e-10,3.43659136886143e-06,12.3557808649016,NA
"ILMN_1817678",0.625350421645787,6.15036479355587,7.03117099323794,2.14142656571745e-09,8.81906991035961e-06,11.1558380590428,NA
"ILMN_2376403",-0.530132445361418,12.1851003384611,-7.00893333987373,2.33750819206975e-09,8.81906991035961e-06,11.0747189504365,"TSC22D3"
"ILMN_1748124",-0.4978432416436,11.8317036367821,-6.97912235804038,2.62874677961664e-09,8.81906991035961e-06,10.9659894517075,"TSC22D3"
"ILMN_1783806",0.536864170432267,6.40320626639447,6.75873914897152,6.25463408536597e-09,1.83604783575918e-05,10.1629669034116,"DTNBP1"
"ILMN_1651279",-0.50156135157986,6.23180108710988,-6.58296834489203,1.24619318312799e-08,3.25173341250862e-05,9.52393606590502,NA
"ILMN_1709583",0.728112234682892,6.93342219151343,6.5385605746164,1.48277362564986e-08,3.48214558247612e-05,9.36275698873143,NA
"ILMN_1751020",-0.632957827280022,6.31048748171744,-6.41318635661397,2.42007330761168e-08,5.16663650508661e-05,8.90841636879936,"PACSIN1"
"ILMN_1766085",0.585167252744986,7.33355491879203,6.36687849263393,2.89907841328262e-08,5.67349645479409e-05,8.74089620787141,"REL"
"ILMN_2064355",-0.637904593608172,5.51040220468677,-6.33753973281946,3.25016749989334e-08,5.87130258211502e-05,8.63485209655495,"MCF2L2"
"ILMN_1719949",-0.513117888652553,5.96975586009931,-6.3080862154358,3.64509784986831e-08,6.11439127902196e-05,8.52846647151745,NA
"ILMN_1912710",-0.355659781393033,5.41652109462993,-6.15853816880332,6.5159490608061e-08,0.00010201369849598,7.98953493475546,NA
"ILMN_1716276",-0.793101336802395,8.42306565838468,-6.10904991964599,7.89257915119859e-08,0.000115843330491717,7.81168780643805,"CCL4"
"ILMN_1899960",0.534008564972724,7.97002145881426,6.03954004449002,1.03257098927174e-07,0.000142640571247397,7.56234640371362,NA
"ILMN_1689623",-0.532601820899269,6.66717667869256,-6.00197649693352,1.19364510154623e-07,0.000155730897581731,7.42783566187963,NA
"ILMN_1781285",-0.536301326031553,12.0023812396708,-5.97154383146846,1.34220939652057e-07,0.000158393614060887,7.31898617382799,"DUSP1"
