"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1899960",0.649425699995758,7.97002145881426,7.35979137189574,5.78651159792915e-10,1.06637076540023e-05,12.2840546683508,NA
"ILMN_1651652",0.757386562800537,6.08826031319592,7.09791146340736,1.62798039150514e-09,1.06637076540023e-05,11.3369567782423,"RTN3"
"ILMN_1661599",-1.02568197727839,8.86934953997528,-7.05491671993659,1.9289860121763e-09,1.06637076540023e-05,11.1814844478511,"DDIT4"
"ILMN_1741392",-0.759325122767793,8.37435938633143,-7.02723354399841,2.15156774860072e-09,1.06637076540023e-05,11.0813917193945,"SLC25A20"
"ILMN_1684982",-1.1494696402329,7.27938746191138,-6.68958978143214,8.12798430022921e-09,3.22274577504088e-05,9.86205945616442,"PDK4"
"ILMN_1661809",0.851293015271381,6.73909056919593,6.56722347129128,1.31358140014137e-08,4.34029187630044e-05,9.42124412247771,"PRRG4"
"ILMN_1655414",0.412514278617069,9.93715466485305,6.28276021757564,3.99074877030407e-08,0.000113023706244683,8.40010995751003,"TNFSF14"
"ILMN_1743619",0.529832974537334,6.62710979657167,6.20148771185763,5.47407276753243e-08,0.000120764505164009,8.10954808703458,"NEDD9"
"ILMN_1673778",0.574122099171118,6.65037868526074,6.20109761778866,5.48237350050985e-08,0.000120764505164009,8.10815491493644,NA
"ILMN_2396903",0.724120419950886,7.52772532420493,6.10800576858136,7.86663896088649e-08,0.000151454295586607,7.77612023819447,"KCNJ15"
"ILMN_1778523",-0.533728998252426,8.909204401071,-6.07582045584939,8.91053131920756e-08,0.000151454295586607,7.66153286381535,"KLF9"
"ILMN_1737124",0.540779711507021,7.11175201835926,6.06847282241506,9.16747312504054e-08,0.000151454295586607,7.63538935671179,"PRP4K"
"ILMN_1701402",0.615992588646441,7.35681330241856,5.90911594040869,1.69534361996364e-07,0.000258539902044455,7.06993349883227,"IKBIP"
"ILMN_2138765",-0.545431230201647,8.92244223573434,-5.87697625475568,1.91833416024091e-07,0.000264605699057597,6.95627352425129,"PLIN2"
"ILMN_1891939",0.618275687290847,8.27135165546263,5.86585616698345,2.0020607747107e-07,0.000264605699057597,6.91697995161929,NA
"ILMN_2414762",0.4796627210425,7.90104310192315,5.81634955704489,2.42090620202938e-07,0.000291365491534194,6.74224988913007,"TLR10"
"ILMN_2389347",0.403250164148995,7.0769069012628,5.80812161170566,2.49846827545084e-07,0.000291365491534194,6.71324303740809,"NR3C1"
"ILMN_1662865",0.56470881165545,9.05863338573368,5.6614956159693,4.37475986380948e-07,0.000481831190555683,6.19800598963503,"CPPED1"
"ILMN_1802205",0.498983830519928,8.03443779664915,5.61096178439335,5.3019649711528e-07,0.000517319969406829,6.02121288772726,"RHOB"
"ILMN_1689046",0.555603538113631,9.01959429193008,5.60999462647456,5.32148345010435e-07,0.000517319969406829,6.01783339162903,"RBM47"
"ILMN_2137789",0.523633763997181,7.74541894520299,5.5980918313773,5.5675873191967e-07,0.000517319969406829,5.97625486356692,"KLF4"
"ILMN_1703955",-0.381341004012373,7.66414557701749,-5.59002423572045,5.74075123679709e-07,0.000517319969406829,5.94808696214163,"FBXO32"
"ILMN_1685825",0.364137078746628,5.05706617082553,5.53608103920401,7.0433154734981e-07,0.000607103170704782,5.76003306278179,"ZNF136"
"ILMN_1737314",0.582473945261256,11.6319177553598,5.44223465154877,1.00395152381003e-06,0.000779870821672292,5.43411350061862,"BCL6"
