"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1730504",0.494994995552003,6.76556785518776,5.45622142868007,9.57439604031733e-07,0.0135898791147941,5.26017790438827,"AGPAT4"
"ILMN_1790689",0.578482688564867,9.89585420312246,5.40581995031783,1.15737345552666e-06,0.0135898791147941,5.09453064070662,"CRISPLD2"
"ILMN_1761069",-0.389505491507302,7.26044015653438,-5.20652332947248,2.43723740768626e-06,0.0162257866891273,4.44384026180811,"UVRAG"
"ILMN_1827968",0.335624757126176,5.48893134331818,5.1648458951116,2.84479893621273e-06,0.0162257866891273,4.30870434624253,NA
"ILMN_1784879",-0.26802753613418,5.12310797606205,-5.09738225054006,3.65072545411136e-06,0.0162257866891273,4.0907007806205,NA
"ILMN_1684742",-0.29811396583195,4.84222544065333,-5.06288696654194,4.14557656850467e-06,0.0162257866891273,3.979598788608,"TCEA2"
"ILMN_2072603",-0.30123862843946,7.95577575966094,-4.97070744680546,5.81399632954328e-06,0.0171495413622198,3.68398223238033,"MRPL14"
"ILMN_1701482",-0.365724309390617,6.02391651441585,-4.96938802945661,5.84211935350701e-06,0.0171495413622198,3.67976476260449,"POFUT2"
"ILMN_1778136",0.441243156195283,6.47247869273956,4.93479684180305,6.62891088880539e-06,0.0172970381458562,3.56933882905704,"ZMYND15"
"ILMN_1798329",0.272433183223941,5.48124429813983,4.8749847674131,8.24129869325093e-06,0.0182375049435749,3.37906619895702,NA
"ILMN_1817678",0.432700399964108,6.15036479355587,4.86509706507142,8.5425206259293e-06,0.0182375049435749,3.34769486427306,NA
"ILMN_1711030",0.524945982443615,6.29973274747281,4.82650590841824,9.82476938158213e-06,0.0192270736797562,3.22548529331007,"OPLAH"
"ILMN_1851033",-0.271126092654879,5.10139479447952,-4.74225391464842,1.33133520379726e-05,0.0240500584045961,2.9599919695002,NA
"ILMN_1714083",0.316989780654629,7.89550793226757,4.7119041813162,1.48458807205866e-05,0.0247612297728564,2.86481004635543,"KLHL8"
"ILMN_1757845",0.436876998008093,6.16127948665031,4.69424030011002,1.58158084905828e-05,0.0247612297728564,2.80952718592976,"SPIRE1"
"ILMN_1701924",-0.344800837774201,5.3547891577948,-4.61402765131078,2.10566456265288e-05,0.0309058916183376,2.55956772099966,"LINC00924"
"ILMN_1913678",0.302403708990462,9.66639687170181,4.59125546434623,2.28307504193006e-05,0.0310166014030455,2.48893597163321,"IRAK3"
"ILMN_1899960",0.404851831589679,7.97002145881426,4.5788008083651,2.38618596531472e-05,0.0310166014030455,2.45036910546024,NA
"ILMN_1889752",-0.336251270503993,5.32065810771641,-4.55464348706435,2.59928184959932e-05,0.0310166014030455,2.37569308727474,"SMIM13"
"ILMN_2138005",0.232966862196916,5.04944737381897,4.53541835119611,2.78201782892823e-05,0.0310166014030455,2.31638666011906,"CHL1"
"ILMN_1733221",0.3067987055044,8.52500765873833,4.5243917094556,2.8924119690304e-05,0.0310166014030455,2.28242096681346,"SEMA4D"
"ILMN_1714065",0.347339161914208,7.08433409773107,4.52309607133519,2.90566015528446e-05,0.0310166014030455,2.27843236710989,NA
"ILMN_2379393",0.32355777066697,6.47313261433342,4.47936369622157,3.38918121810506e-05,0.0346050137939041,2.14410122423387,"ASL"
"ILMN_1761387",0.460093269583087,6.76379232590047,4.44433420170042,3.83215804599135e-05,0.0374976664800253,2.03692638933192,NA
"ILMN_2310896",0.326040385776984,7.64082457136452,4.42250211387641,4.13620847783698e-05,0.0381381609215825,1.97032407615115,"NLRP3"
