"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1761387",0.669146438287995,6.76379232590047,6.51916185725156,1.58565150598199e-08,0.00031435541106093,9.06661155037127,NA
"ILMN_1798977",0.762334990079144,6.60184408201777,5.68077521517583,4.06493483581086e-07,0.00335045111245537,6.16054276992333,"ADGRG3"
"ILMN_1661599",-0.797787310855221,8.86934953997528,-5.56024964544392,6.42711748197711e-07,0.00335045111245537,5.74946525592687,"DDIT4"
"ILMN_2246956",-0.353959357830633,9.14417220241758,-5.54692072141466,6.76005268591248e-07,0.00335045111245537,5.7041432705857,"BCL2"
"ILMN_1741392",-0.580337122403272,8.37435938633143,-5.44208060119365,1.00453441502318e-06,0.0039829789555669,5.34868950849408,"SLC25A20"
"ILMN_1899960",0.462254898528237,7.97002145881426,5.30817893390572,1.66064710809214e-06,0.00410181624606205,4.8975485627976,NA
"ILMN_1796543",-0.41746201880061,5.53335759327505,-5.29180273708561,1.76548758696634e-06,0.00410181624606205,4.84260740070942,NA
"ILMN_1756006",0.4990778685672,7.62800705908868,5.28426743643683,1.81589191914098e-06,0.00410181624606205,4.81734467704414,"ATG2A"
"ILMN_2385173",0.410600630865532,5.22313672364535,5.27753665434615,1.86211078005339e-06,0.00410181624606205,4.79478870332608,"U2AF2"
"ILMN_1743619",0.442532536346778,6.62710979657167,5.24843847501877,2.07560678128379e-06,0.00411489044389512,4.69738044581349,"NEDD9"
"ILMN_1661809",0.666065297361741,6.73909056919593,5.20651988544761,2.4261038681206e-06,0.00418409984402518,4.55735914071951,"PRRG4"
"ILMN_1778523",-0.449334117607278,8.909204401071,-5.18300380365599,2.64757739316682e-06,0.00418409984402518,4.47896875681411,"KLF9"
"ILMN_1733221",0.346924861678974,8.52500765873833,5.17339667490147,2.74367202886897e-06,0.00418409984402518,4.44697740741075,"SEMA4D"
"ILMN_1751607",-0.481147347207584,6.6441063340458,-5.09545271677287,3.66102315141231e-06,0.00518427028405351,4.1881709740509,"FOSB"
"ILMN_1683859",-0.304937371738691,7.75095851387969,-5.05983069105294,4.1748553630494e-06,0.00531196722324744,4.07034421407023,"SLC7A1"
"ILMN_1817678",0.445612114485353,6.15036479355587,5.05262541132,4.28708577916565e-06,0.00531196722324744,4.04654684995069,NA
"ILMN_1651652",0.526221274089933,6.08826031319592,4.99700039083892,5.25910496078193e-06,0.00613304446161775,3.86324098984694,"RTN3"
"ILMN_1698191",-0.302951470741036,5.3400456163752,-4.95705770216197,6.08734604705486e-06,0.00655580184781098,3.73207288893616,"SCML2"
"ILMN_1685813",-0.365197346819616,5.46477917037623,-4.94840330382805,6.28298789954142e-06,0.00655580184781098,3.70370426889039,NA
"ILMN_1815758",0.626063450754984,6.10791769689097,4.92963796273185,6.72860966476173e-06,0.00666973433019507,3.64225660567561,"GAB2"
"ILMN_1827968",0.317676229648097,5.48893134331818,4.90028228794996,7.48854330951328e-06,0.00706954148148099,3.54630847786057,NA
"ILMN_1777444",0.359374192859505,6.32615544453931,4.88521326114406,7.91067275639218e-06,0.00707302672936052,3.49714121993986,"STX5"
"ILMN_2112988",0.331300622993613,11.4122635334309,4.86909217114072,8.38807837945121e-06,0.00707302672936052,3.44460621929557,"NCF1C"
"ILMN_1742001",-0.523498448111621,7.76756755541057,-4.86342378519343,8.56255442646419e-06,0.00707302672936052,3.4261502945917,"CD160"
"ILMN_2215355",0.539692492391371,6.38462236887423,4.77572439955645,1.17607892724244e-05,0.0085142175436228,3.14169509458968,NA
"ILMN_1806508",-0.333791159873314,5.67882223073195,-4.77168061369759,1.19335322802837e-05,0.0085142175436228,3.12862925184334,"B4GALT2"
"ILMN_2174127",0.388647039221882,5.87552602918024,4.74707769028204,1.30392526873585e-05,0.0085142175436228,3.04923264545386,"DCBLD2"
"ILMN_1661196",0.316227611676472,9.67367686194561,4.74427829733944,1.31712392320149e-05,0.0085142175436228,3.04020936359558,"CSF2RA"
"ILMN_1845312",0.615371779323508,6.25731816509249,4.74359746230225,1.32035363141057e-05,0.0085142175436228,3.03801516056896,NA
"ILMN_1660986",-0.340881885537475,5.93770482042043,-4.74068695521033,1.33424782547697e-05,0.0085142175436228,3.02863661194857,"PER3"
"ILMN_1770030",0.353308509693037,7.68468330964829,4.73846260136021,1.3449626939364e-05,0.0085142175436228,3.02147066510623,"TRAPPC14"
"ILMN_2249720",0.502766456559835,6.90376908009556,4.73120038485403,1.38053404214891e-05,0.0085142175436228,2.9980845157551,"LAT2"
"ILMN_1669376",0.314969800449432,7.61638712022842,4.71957297230919,1.43940945880362e-05,0.0085142175436228,2.96067240863408,"DRAM1"
"ILMN_1737124",0.414713335675281,7.11175201835926,4.71557896843196,1.46019367709042e-05,0.0085142175436228,2.94783025177913,"PRP4K"
"ILMN_1818872",0.493532818210549,7.48329960667423,4.66799496634773,1.73152258080738e-05,0.00972959698550585,2.79518338522267,NA
"ILMN_2382657",0.325901743367099,10.2642058335457,4.66235332163914,1.76678684226084e-05,0.00972959698550585,2.77712892649085,"ARHGAP9"
"ILMN_2363106",0.255257959075379,10.2210302250966,4.63123590152983,1.97425538449948e-05,0.0105782737831627,2.6777153951306,"RBM23"
"ILMN_1655414",0.29863573933001,9.93715466485305,4.60873014810857,2.13893241394798e-05,0.0111590355543471,2.60599435849767,"TNFSF14"
"ILMN_1716815",0.488687384511397,8.61823797811833,4.55415889629885,2.59583424612815e-05,0.0131954907511514,2.43272743655011,"CEACAM1"
"ILMN_1664122",0.484404357266553,5.82435547330551,4.5201004156301,2.92780814787572e-05,0.0143164668964177,2.32505833494697,"PTPN6"
"ILMN_1694486",0.616145890502445,6.44350059584189,4.51611866992217,2.96921935527159e-05,0.0143164668964177,2.31249473998899,"TCIRG1"
"ILMN_2131861",-0.254630592871245,7.66533856378216,-4.50773362325278,3.05829976114796e-05,0.0143164668964177,2.28605391453045,"SOCS2"
"ILMN_1787186",0.481424697562621,7.65464486841598,4.50064308820477,3.13565359244591e-05,0.0143164668964177,2.26371262890956,"CCN3"
"ILMN_1695414",0.474270293960051,6.74835784088071,4.4968846414544,3.17742518760343e-05,0.0143164668964177,2.25187681913328,"ASF1B"
"ILMN_1774733",-0.419966666226506,5.45430758167104,-4.48411530190023,3.32343014209736e-05,0.0146415561260178,2.21169854607668,"SOCS1"
"ILMN_1670998",0.493690343292524,7.85133822417893,4.46257671290852,3.58462531237313e-05,0.015409552204023,2.14404777563566,NA
"ILMN_1684982",-0.755642623945031,7.27938746191138,-4.45601278952237,3.66812139736225e-05,0.015409552204023,2.12346115888994,"PDK4"
"ILMN_1762284",0.385717158881007,6.66058616871605,4.44939155924015,3.75426203945423e-05,0.015409552204023,2.10270912859184,"ASPRV1"
"ILMN_1709583",0.493962918311736,6.93342219151343,4.44275524645707,3.84257189701707e-05,0.015409552204023,2.08192430750586,NA
"ILMN_1765941",0.663170760163461,8.58066494140138,4.43429052058259,3.95814829979085e-05,0.015409552204023,2.05543404355565,"ADGRG3"
"ILMN_2389347",0.303803509820266,7.0769069012628,4.43385957910057,3.96412187846242e-05,0.015409552204023,2.05408605202514,"NR3C1"
"ILMN_2053490",-0.342364235468517,5.46533625966661,-4.41494022222899,4.23519374601499e-05,0.0161466761566821,1.99496694169695,"FAM53B"
"ILMN_2256894",0.359042824759723,5.34489572515579,4.4054299008048,4.37817680071901e-05,0.0163768594479725,1.9652943553759,"BTN2A2"
