"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-1.17684296848631,8.86934953997528,-8.20211177745427,2.0774076432812e-11,4.11846065280497e-07,15.0666109942775,"DDIT4"
"ILMN_1792951",0.427665301302748,7.11617569410975,6.86332255407235,4.10474098322242e-09,4.06882449961923e-05,10.3405542023415,"ZHX2"
"ILMN_2141030",-0.663824419248987,5.86337249085421,-6.44578220236593,2.11283752365894e-08,0.000139623346355128,8.86526954795196,NA
"ILMN_1748124",-0.429091152657887,11.8317036367821,-6.03013506910375,1.06321102946619e-07,0.000431933361443108,7.40718521700915,"TSC22D3"
"ILMN_1810785",-0.434289198243212,9.64084272438172,-5.97819501969234,1.29925793907515e-07,0.000431933361443108,7.22609902280566,"RNF11"
"ILMN_1778523",-0.518134586881112,8.909204401071,-5.97660722695816,1.30723842050878e-07,0.000431933361443108,7.22056794171365,"KLF9"
"ILMN_2320964",0.370657924517835,10.5859276377595,5.81466592329998,2.43658088863146e-07,0.000604399103313334,6.65801458754246,"ADAR"
"ILMN_1835601",0.426189370794313,5.75466276030217,5.81441376594457,2.43893711299202e-07,0.000604399103313334,6.65714120044539,NA
"ILMN_2052208",-0.457673933819775,8.48141466456555,-5.73783040877629,3.26956346793949e-07,0.000720212175021117,6.39227976123622,"GADD45A"
"ILMN_2414762",0.46034638119168,7.90104310192315,5.65623266602239,4.46331635926411e-07,0.000818733024724907,6.1109904939674,"TLR10"
"ILMN_1673804",0.371785451142941,6.96476868792295,5.63082825045777,4.91632129853782e-07,0.000818733024724907,6.02361786259848,"ZNF426"
"ILMN_1861896",0.592858663420174,6.30874156171947,5.62872710816223,4.95576105760347e-07,0.000818733024724907,6.01639592407986,NA
"ILMN_1729980",-0.322919148527816,9.14302848505564,-5.47247282716837,8.95764563695959e-07,0.00136604095963634,5.48133448551571,"RNF216"
"ILMN_1781285",-0.479029283337526,12.0023812396708,-5.37760092945505,1.28024445490118e-06,0.00173647250750702,5.15853294739685,"DUSP1"
"ILMN_1694075",-0.396367659737729,8.09914840607502,-5.36927839938887,1.32087277861792e-06,0.00173647250750702,5.13029517599806,"GADD45A"
"ILMN_1726107",-0.700260138382652,7.00208222210424,-5.3534953385191,1.40144061135498e-06,0.00173647250750702,5.07678066109679,"UBE2V1"
"ILMN_1883445",-0.513561733239068,6.10969180209771,-5.25841287424584,1.99984135670509e-06,0.00233216793509873,4.75542714947037,NA
"ILMN_1661776",0.561786456371928,5.82059688757358,5.2382744294289,2.15571705857081e-06,0.00237428281589813,4.68759977091544,"CENPJ"
"ILMN_1679614",0.476614266611306,6.07680566649469,5.20701892658444,2.4216070548424e-06,0.00252675578222372,4.58249800259364,"SGSM3"
"ILMN_2369666",0.600046582547149,6.28253879553362,5.18981841615664,2.58142859760711e-06,0.00255884109737805,4.52474724899334,"CR2"
"ILMN_1750321",0.373155785339791,9.15880239554807,5.1722593409661,2.75527268504278e-06,0.00260110861814157,4.46585861292787,"TRANK1"
"ILMN_1719949",-0.418247003822682,5.96975586009931,-5.13861873228558,3.12107592639426e-06,0.00281251501094392,4.35322576278751,NA
"ILMN_1726512",0.439460954901582,6.7320112619979,5.12611790784516,3.26883483666953e-06,0.00281759350595537,4.31143571897704,"ZSCAN2"
"ILMN_1737205",0.624134509290145,6.03226534973169,4.99735709130534,5.25223092062985e-06,0.00433856158339528,3.88309504196951,"MCM4"
"ILMN_1817678",0.438232557816584,6.15036479355587,4.96895143941293,5.82818891887088e-06,0.00462175381266461,3.78913526466575,NA
"ILMN_2064355",-0.498376033546665,5.51040220468677,-4.94551820126382,6.34956847554454e-06,0.00482537907805466,3.71177444626887,"MCF2L2"
"ILMN_1757845",0.456689329761721,6.16127948665031,4.93610003297027,6.57176469646789e-06,0.00482537907805466,3.68072099653218,"SPIRE1"
"ILMN_2137789",0.453659689451687,7.74541894520299,4.91440073175923,7.11310852756311e-06,0.00503633487710495,3.60926047140804,"KLF4"
"ILMN_1655608",0.422620682804576,6.30493671360524,4.90408182554282,7.38563924962573e-06,0.00504897579737345,3.57532054864806,"KLHL18"
"ILMN_1706502",0.376517681633232,10.2996994338127,4.86021396944914,8.66292492103327e-06,0.00557688972967441,3.43134507586742,"EIF2AK2"
"ILMN_1717119",-0.44667603565369,5.82676260375408,-4.85838965862316,8.72048330995746e-06,0.00557688972967441,3.4253686430458,NA
"ILMN_1773312",0.335474308294782,5.21528400822749,4.84876299816223,9.03046782826432e-06,0.00559465702172938,3.39384646464671,"PATJ"
"ILMN_1739810",0.469184293750123,5.80504706008952,4.83007936473345,9.66317802395391e-06,0.00580522740378444,3.33273853857857,"RAI1"
"ILMN_2153495",0.325353040485547,5.31614002131629,4.80463276294217,1.05951423043141e-05,0.00612301786144792,3.24966354298725,"WNT7B"
"ILMN_1661809",0.613942006561438,6.73909056919593,4.79908092845394,1.08098675990253e-05,0.00612301786144792,3.23156215602426,"PRRG4"
"ILMN_1678236",-0.333134998275547,6.14520493086546,-4.78107679839322,1.1535900428756e-05,0.00630713444645926,3.17291952816877,NA
"ILMN_1773363",0.46620218200644,5.67820339677828,4.76998254042021,1.20068082094127e-05,0.00630713444645926,3.13682850630579,"CIITA"
"ILMN_2373831",0.318995564738875,8.61438802876158,4.76808213138986,1.20893371483204e-05,0.00630713444645926,3.13064969345325,"BTN3A3"
"ILMN_1738047",-0.350187627026383,8.11112610353696,-4.76047138310743,1.24254425738272e-05,0.00631626664169548,3.10591499051509,"FAM170B"
"ILMN_2404629",0.310429662222693,6.83518340873895,4.74139009469686,1.33087814065929e-05,0.0065961647846426,3.04397335727109,"EFL1"
"ILMN_2064694",0.287715235850921,8.11287119625179,4.71220724672383,1.47796762382257e-05,0.00705672921537241,2.94944122871382,"STIM1"
"ILMN_2067101",0.460795193268322,5.56489798617218,4.70901422043294,1.49499433566528e-05,0.00705672921537241,2.93911295196588,"GDNF"
"ILMN_2276952",-0.725689328827123,9.86010054392161,-4.69342159791043,1.58093256262987e-05,0.00714399291232756,2.88871911757505,"TSC22D3"
"ILMN_2184373",-0.599325670564095,9.79619210408229,-4.69260706742105,1.58555202089489e-05,0.00714399291232756,2.88608858603615,"CXCL8"
"ILMN_2382500",0.412673880113305,6.45024320892586,4.64208727824906,1.8993405303908e-05,0.00836765022555504,2.72331800526323,"MS4A14"
"ILMN_1773117",0.293242716317872,7.76254268273228,4.61787527178785,2.07046082192422e-05,0.00892323604231471,2.64558014681486,"BCOR"
"ILMN_1763907",0.366407889874953,6.0664725082061,4.60183218121799,2.19203527825577e-05,0.00924619135987674,2.59416875881957,"CENPW"
"ILMN_1700884",-0.367013516931586,6.0965886627629,-4.58962456892218,2.28918151691399e-05,0.00945479657767081,2.55510152045608,NA
"ILMN_1754178",0.245791374677518,10.7932220091719,4.57954280296347,2.37256432774937e-05,0.0095992015913533,2.52287229429635,"GDI2"
