"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.358210912511136,5.05636014858666,-7.09158459884792,1.66914143021204e-09,3.30907288539537e-05,10.7358408214468,"OTOF"
"ILMN_1792951",0.35594195402827,7.11617569410975,5.71228115440075,3.60465987638845e-07,0.00322366125026756,6.09066087221138,"ZHX2"
"ILMN_1661599",-0.800706239943187,8.86934953997528,-5.58059338143171,5.94992761929581e-07,0.00322366125026756,5.65487989970221,"DDIT4"
"ILMN_1702933",-0.387705263179527,6.29560392913671,-5.55710262955658,6.50423455287276e-07,0.00322366125026756,5.57739443825473,"ADM2"
"ILMN_1816603",0.401625405733703,6.14973964940234,5.34785598680218,1.43138620804054e-06,0.00567544631488075,4.89091502688542,NA
"ILMN_1736752",-0.458955725472532,6.13356551507271,-5.23508298869392,2.1814930241882e-06,0.00640878269554668,4.52400575995155,"COMTD1"
"ILMN_1743619",0.440576924883371,6.62710979657167,5.22524491159976,2.2628740917441e-06,0.00640878269554668,4.49210854674437,"NEDD9"
"ILMN_1774733",-0.475477628762331,5.45430758167104,-5.07682319171131,3.92147528578761e-06,0.00971790594259241,4.0132096595657,"SOCS1"
"ILMN_2389347",0.344139912380422,7.0769069012628,5.02254910735392,4.78840784961934e-06,0.0105477984020782,3.83923055548261,"NR3C1"
"ILMN_1756006",0.469488863960472,7.62800705908868,4.97097721988447,5.7851399535675e-06,0.0114690399579476,3.67451459368268,"ATG2A"
"ILMN_1761387",0.499075959838091,6.76379232590047,4.86224953923672,8.59914015628637e-06,0.0154979957816707,3.32926179511681,NA
"ILMN_1689329",-0.5134058795986,6.05460440081607,-4.73503575906862,1.36163480325259e-05,0.0224953416454021,2.92899812971294,"SCD"
"ILMN_1677723",0.543890002512068,6.24527563146097,4.65875851446569,1.78962157242019e-05,0.0272917289794079,2.69103558984575,"ANGPT1"
"ILMN_1751386",0.336651503993446,5.24265397769339,4.61818205518995,2.0682013281221e-05,0.0292872080928718,2.5651015451401,NA
"ILMN_1729650",-0.390371891394432,5.60300780428621,-4.57267360176118,2.43106533739709e-05,0.0321305802092649,2.42441682446035,"PEX7"
"ILMN_1677038",-0.455070353353275,6.12470232473209,-4.50473880224723,3.09074228108457e-05,0.0382962285765635,2.21553032634939,"CPED1"
"ILMN_1793632",0.321022759184187,6.98763327579203,4.46055348497837,3.61016257532425e-05,0.0395483539215184,2.08041492859128,"TMEM222"
"ILMN_2396903",0.521411029962971,7.52772532420493,4.45653023770189,3.66147110903736e-05,0.0395483539215184,2.06814197118683,"KCNJ15"
"ILMN_1692754",0.252048201489302,12.0149443957305,4.44451815668095,3.81891762830063e-05,0.0395483539215184,2.03152894437356,"VMP1"
"ILMN_1790689",0.470885192550548,9.89585420312246,4.43201818168382,3.98974566673578e-05,0.0395483539215184,1.99347669627546,"CRISPLD2"
"ILMN_1787186",0.468792538706643,7.65464486841598,4.38255018866701,4.74164820764524e-05,0.0429806308494348,1.8433724067489,"CCN3"
"ILMN_1798977",0.587468354374514,6.60184408201777,4.377702336455,4.82234276889097e-05,0.0429806308494348,1.82870441823966,"ADGRG3"
"ILMN_2172124",0.410027342103852,5.75493279348111,4.35182160099282,5.27622333484443e-05,0.0429806308494348,1.75052717535534,"ZNF630"
"ILMN_2153495",0.294326047087506,5.31614002131629,4.34644337951626,5.37561831636313e-05,0.0429806308494348,1.73430882247581,"WNT7B"
"ILMN_1735148",0.300631692867434,7.66600393152766,4.34407280532078,5.42000389021876e-05,0.0429806308494348,1.7271632342162,"SEC24B"
"ILMN_1733221",0.288221521062363,8.52500765873833,4.29800346819434,6.35666551759311e-05,0.0464432166797306,1.58866763461277,"SEMA4D"
"ILMN_1716973",0.266094689812965,7.47578108756054,4.27082714926398,6.98092695011559e-05,0.0464432166797306,1.50730386607243,"POLM"
"ILMN_1888658",0.299042046471074,5.42822523133069,4.24793717471402,7.55248064723814e-05,0.0464432166797306,1.43896901878975,NA
"ILMN_1770030",0.316473344013587,7.68468330964829,4.24444094550305,7.6436788406563e-05,0.0464432166797306,1.42854742649094,"TRAPPC14"
"ILMN_1803739",0.458533002326812,7.29623201531501,4.235816271287,7.87323658539556e-05,0.0464432166797306,1.40285705910665,"RPGRIP1"
"ILMN_1658243",-0.364644934489507,6.00696184231389,-4.23581273859276,7.87333196734866e-05,0.0464432166797306,1.40284654154989,"PSD3"
"ILMN_1861896",0.444852150677436,6.30874156171947,4.22352158134483,8.21205637420928e-05,0.0464432166797306,1.36627960900666,NA
"ILMN_1899960",0.367776269240698,7.97002145881426,4.22325918230299,8.21943934331162e-05,0.0464432166797306,1.36549953204857,NA
"ILMN_1805228",0.4371869709105,9.43814631600501,4.21980465108032,8.31723883561012e-05,0.0464432166797306,1.35523192784603,"LRG1"
"ILMN_2370976",-0.450638500834085,6.26073434998818,-4.21596370880467,8.42730075612158e-05,0.0464432166797306,1.34382074641056,"MYOF"
"ILMN_1674334",-0.384462753130894,5.78817680302862,-4.21574629357587,8.43357276403683e-05,0.0464432166797306,1.3431749754538,"ARMCX6"
"ILMN_1751086",-0.319505717512479,6.65778152320888,-4.19852220805725,8.94507830524694e-05,0.0479286965950056,1.29206864660072,"ATL3"
"ILMN_1688725",-0.292073215818865,6.8068369461277,-4.18598318279892,9.33620649949363e-05,0.0487079720664371,1.25492971237607,"UTP14A"
"ILMN_1778136",0.368183720147218,6.47247869273956,4.1514565316601,0.000105006250426743,0.0533781773002611,1.15295742142778,"ZMYND15"
"ILMN_1778523",-0.35792461773443,8.909204401071,-4.12860849520682,0.000113471140376398,0.0545735339138647,1.08571468132877,"KLF9"
"ILMN_1818872",0.435841454004778,7.48329960667423,4.12233115681484,0.000115909975136109,0.0545735339138647,1.06727367322853,NA
"ILMN_1803811",0.342345447141125,9.00458838608922,4.12103053496299,0.000116421581984649,0.0545735339138647,1.0634546345406,"TRIB1"
"ILMN_1752455",0.360750902904905,7.25055135922484,4.11613019810276,0.000118368825134738,0.0545735339138647,1.04907129003133,"DOCK5"
"ILMN_1860918",0.312695474454042,5.47220543879981,4.10404285388523,0.00012330744084802,0.0555584094275454,1.01363077793842,NA
"ILMN_1656886",0.301104642815588,5.91198019702421,4.07738954127339,0.000134910537249726,0.0582073107691269,0.935674530348373,"LIN37"
"ILMN_1686662",0.303373019545046,9.03196052415669,4.07706399090061,0.000135058577320547,0.0582073107691269,0.93472399770144,"ANP32A-IT1"
