"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-1.19498508063369,8.86934953997528,-8.32855484224426,1.26267059855824e-11,2.50324446164171e-07,15.7486521511647,"DDIT4"
"ILMN_2414762",0.567293649037332,7.90104310192315,6.97028368205188,2.69327252145531e-09,2.66970638689258e-05,10.8626060266472,"TLR10"
"ILMN_1899960",0.570176115502195,7.97002145881426,6.54746300052473,1.41931305182961e-08,9.37929375084068e-05,9.33988504539382,NA
"ILMN_1778523",-0.557886156961079,8.909204401071,-6.43513581593534,2.20260049965192e-08,0.000109166387263998,8.93680818748339,"KLF9"
"ILMN_1817678",0.56199968878957,6.15036479355587,6.37229962208634,2.81510400942923e-08,0.000111618873973869,8.71169976023245,NA
"ILMN_2174127",0.514271096944837,5.87552602918024,6.28149607405077,4.01043658598779e-08,0.000132511508862013,8.38693798761521,"DCBLD2"
"ILMN_2379718",0.405526024596648,11.1414760200279,6.03966106742393,1.02478499684403e-07,0.000254076372455113,7.5256896979129,"RAB24"
"ILMN_1694027",-0.496312478681166,10.6857009992872,-6.03953695971164,1.02527666060071e-07,0.000254076372455113,7.5252492735564,"SESN3"
"ILMN_2172269",-0.304180307323992,10.4971789166158,-5.98961457682857,1.24326639701552e-07,0.000273863959120363,7.34823227436367,"TMEM183BP"
"ILMN_1759117",-0.619780648472299,7.99926784320077,-5.9571776820279,1.40891779840355e-07,0.000279317953533503,7.23337429217959,"XK"
"ILMN_1810785",-0.430862527528629,9.64084272438172,-5.93102528606113,1.55824916593238e-07,0.00028083899740554,7.14086354840848,"RNF11"
"ILMN_1721204",0.38947279581502,12.3967218601778,5.88594535806744,1.85333650785127e-07,0.000306186635567929,6.98160283442163,NA
"ILMN_1748124",-0.415640899511196,11.8317036367821,-5.84111499100194,2.2015442563119e-07,0.000335735499087565,6.82348901199862,"TSC22D3"
"ILMN_1663347",-0.289667320353177,5.05636014858666,-5.73461119150654,3.31002696995748e-07,0.000468723461995765,6.44898274215788,"OTOF"
"ILMN_1651606",-0.380856189470546,5.274176144739,-5.70127017361138,3.75934397378993e-07,0.000496859961869235,6.33208723627694,NA
"ILMN_1743619",0.478345957659101,6.62710979657167,5.67318586170665,4.18421939878034e-07,0.000518450934880127,6.2337553567487,"NEDD9"
"ILMN_1859874",0.754442753843733,7.02509538306495,5.63525906461442,4.83416570518835e-07,0.000551752950345594,6.10116072413978,NA
"ILMN_1655414",0.362978138098758,9.93715466485305,5.60170156429752,5.49178771835941e-07,0.000551752950345594,5.98403715682005,"TNFSF14"
"ILMN_1661809",0.714566271986159,6.73909056919593,5.58564380895158,5.83699013890669e-07,0.000551752950345594,5.92805834240336,"PRRG4"
"ILMN_2137789",0.515509230921536,7.74541894520299,5.58440390578108,5.86451919054712e-07,0.000551752950345594,5.92373774069147,"KLF4"
"ILMN_1680302",0.437809917265538,5.68087218828202,5.57385838285809,6.10389886181166e-07,0.000551752950345594,5.88700110669319,NA
"ILMN_1702933",-0.388817224375417,6.29560392913671,-5.57304072241343,6.12285745654632e-07,0.000551752950345594,5.8841534799365,"ADM2"
"ILMN_1730678",0.336186021363319,13.3921471796715,5.53868844183147,6.97412689125238e-07,0.000589884221679013,5.76462099216819,"DGKB"
"ILMN_1750497",0.649078663894062,7.83887962594301,5.53243895160262,7.14109524352904e-07,0.000589884221679013,5.74289740493234,"HCAR2"
"ILMN_1735910",0.399050281375435,5.5159690077318,5.5148907043017,7.63131615250851e-07,0.000602154887515369,5.68193575666442,"VMO1"
"ILMN_1789786",-0.387321781224177,5.52067537333826,-5.50583572816976,7.89711327889008e-07,0.000602154887515369,5.65050082658243,NA
"ILMN_1784203",-0.427237103421025,9.20103686477388,-5.47434314561402,8.89464138383242e-07,0.000653097279386954,5.54128827211303,"ACRBP"
"ILMN_1707925",0.702594113790418,6.20685843224575,5.4432580333007,1.00008773996044e-06,0.000708097837311275,5.43366859657536,"ABHD12B"
"ILMN_1685397",-0.351066682557352,7.95445459238886,-5.40839281699358,1.14035394347339e-06,0.000779569549288274,5.31317951683103,"ITGA3"
"ILMN_1799765",0.394735820315704,9.75053740567161,5.38386987539415,1.25045665310128e-06,0.000826343438257762,5.2285727362417,NA
"ILMN_1686805",0.374484411754576,9.24677468636143,5.35222285422461,1.40814326210371e-06,0.000885652114085512,5.11956287051662,"CRK"
"ILMN_1805668",0.264726049427192,14.5797040234373,5.34819805570166,1.42955196220612e-06,0.000885652114085512,5.10571363266126,NA
"ILMN_1715991",-0.404198686569694,11.1673202128567,-5.29905282658866,1.71829216209786e-06,0.00100704867587197,4.93687328984208,"CAVIN2"
"ILMN_1696466",0.484088106909423,8.03396133335348,5.29205155640103,1.76384691791174e-06,0.00100704867587197,4.91286091700627,"ROPN1L"
"ILMN_1796543",-0.417314194059531,5.53335759327505,-5.28992889147998,1.77789173546124e-06,0.00100704867587197,4.90558281290874,NA
"ILMN_1680388",-0.365333507450271,8.76622233923883,-5.2694955031754,1.91884741921834e-06,0.0010566986135001,4.83557042771134,"LINC00989"
"ILMN_1742001",-0.566295258786284,7.76756755541057,-5.2610162283351,1.98051839059199e-06,0.00105808091340475,4.80654339580671,"CD160"
"ILMN_1686662",0.390996808969459,9.03196052415669,5.25464991183806,2.02809960703055e-06,0.00105808091340475,4.784759784889,"ANP32A-IT1"
"ILMN_1761387",0.535109859472216,6.76379232590047,5.21330995086176,2.36561740079788e-06,0.00119243583241756,4.64352136039612,NA
"ILMN_1835601",0.38179617884711,5.75466276030217,5.20876659578883,2.40592349542004e-06,0.00119243583241756,4.62802186736195,NA
"ILMN_1742145",-0.384121437325496,6.270789773797,-5.17776884380709,2.69952188320597e-06,0.00130531759352581,4.52239737857614,"ESPL1"
"ILMN_1721106",0.278974040552812,10.3098296837523,5.15359156005392,2.9527181959284e-06,0.00139375329129239,4.4401647184766,"DGLUCY"
"ILMN_1714148",0.314865302737477,7.31732925811611,5.14681926255901,3.02773201952432e-06,0.00139592528574581,4.41715460227829,"NAIF1"
"ILMN_1916564",-0.340804213686948,5.19074417196373,-5.13681255690636,3.14201193914348e-06,0.0014156906066709,4.3831744446566,NA
"ILMN_1751020",-0.504238684925683,6.31048748171744,-5.12999662711422,3.22226804536685e-06,0.00141958808887551,4.36004267769267,"PACSIN1"
"ILMN_1673778",0.466616262105055,6.65037868526074,5.10683908949054,3.51028098477647e-06,0.00147072665431568,4.28153258666207,NA
"ILMN_1799113",0.378421314765311,6.70055390048644,5.10355097443742,3.55317429448439e-06,0.00147072665431568,4.27039530106073,"CEP83"
"ILMN_1709583",0.567367371877979,6.93342219151343,5.10296274201026,3.56090186164703e-06,0.00147072665431568,4.26840315027632,NA
"ILMN_2396903",0.595450796212807,7.52772532420493,5.08935240317892,3.74438121635091e-06,0.0015149460737583,4.22233244938663,"KCNJ15"
"ILMN_1854814",0.558116503047155,6.34229005905573,5.06699545399747,4.06611752570779e-06,0.00161221559894314,4.14675136822963,NA
"ILMN_1762899",0.734248580994272,6.39445090492388,5.01796023113694,4.86979203092362e-06,0.00189301229437374,3.98140878572455,"EGR1"
"ILMN_2117987",-0.33279227577922,9.59885930028672,-5.00956221971871,5.02226083810704e-06,0.00191473694452831,3.95315141463225,"TFDP1"
"ILMN_1812640",0.255552100856818,13.7232491184985,4.95821881748335,6.06155644459585e-06,0.00226736521724741,3.78078279628332,"AHR"
"ILMN_1891939",0.512060274299948,8.27135165546263,4.92264281804923,6.90252872372489e-06,0.002534122813849,3.6617488613847,NA
"ILMN_1792242",0.413329493739391,6.80538652249019,4.90955969086459,7.23971477642476e-06,0.00257516142537479,3.61805810873404,"C8orf44"
"ILMN_1718971",-0.406691011646845,5.88177250641073,-4.90825921034236,7.27410036928061e-06,0.00257516142537479,3.61371768582586,"TTC7B"
"ILMN_1672135",-0.317630109452217,7.18846280864501,-4.89959393260568,7.50733594334686e-06,0.00257771832177484,3.58480843961689,"ZNF615"
"ILMN_2356284",-0.238347643805051,13.3163249118357,-4.89835158036767,7.54137012171202e-06,0.00257771832177484,3.58066533707468,"PFDN5"
"ILMN_1775467",-0.393362766540979,5.47734574113536,-4.88235060659895,7.99345830409776e-06,0.00268593747252099,3.52734118287643,"OR2T12"
"ILMN_1755049",0.471188432122019,7.62942646986193,4.8593896639095,8.68888617580003e-06,0.0028421232363962,3.45094429408134,NA
"ILMN_1690920",0.489280310874077,6.90100255756699,4.84727101553342,9.0794662269705e-06,0.0028421232363962,3.4106809006465,"SP100"
"ILMN_2044471",-0.403077275435843,7.25144970020612,-4.84331860120829,9.21052928788885e-06,0.0028421232363962,3.39755806534192,"NCR3"
"ILMN_1789830",0.336288843890994,12.5936762943522,4.83636443070584,9.44564113395429e-06,0.0028421232363962,3.3744793249743,"CFLAR"
"ILMN_1739985",0.412565725764216,9.68583720988554,4.83184776528327,9.6014798031533e-06,0.0028421232363962,3.35949713616244,"TAGAP"
"ILMN_1795673",-0.414820632315685,5.61413712575042,-4.83079239184788,9.63825447977767e-06,0.0028421232363962,3.35599718892136,"STPG3"
"ILMN_1673682",-0.26414103108508,9.94876937866032,-4.82672713029832,9.78120172600446e-06,0.0028421232363962,3.34251843024348,"GATAD2A"
"ILMN_1664772",0.354346098567215,7.113821244949,4.82473980609758,9.85183519203362e-06,0.0028421232363962,3.33593095612588,"ATP2B4"
"ILMN_1804743",0.392004215479528,8.13380681816463,4.82389058643997,9.88217014378067e-06,0.0028421232363962,3.3331163472978,"USP32"
"ILMN_1664122",0.51655375469581,5.82435547330551,4.820094630179,1.00188864982168e-05,0.0028421232363962,3.32053770947179,"PTPN6"
"ILMN_1657683",-0.450016141644055,6.42914948035249,-4.81964397926334,1.00352396745389e-05,0.0028421232363962,3.31904465954142,"C1orf198"
"ILMN_1818872",0.50818874970678,7.48329960667423,4.80661556446641,1.05194703477223e-05,0.00293730281188161,3.27590506160656,NA
"ILMN_2415634",-0.485436954446051,4.98033115505013,-4.77843507905888,1.16463654910516e-05,0.00320679438694581,3.18275928938834,"TTN"
"ILMN_1905548",-0.451551078570645,9.18303988044027,-4.77011384512288,1.20011264381027e-05,0.00325921002240254,3.15529849879904,"MBNL3"
"ILMN_1692223",-0.45657130045858,8.97547906546967,-4.75353325264891,1.27397926991531e-05,0.0034077169319773,3.10064099726965,"LCN2"
"ILMN_1760303",-0.38248549372417,8.73193325480958,-4.74783306268348,1.30038602266382e-05,0.0034077169319773,3.08186899089076,"PIK3R1"
"ILMN_1713561",-0.458979787917622,5.8094151031424,-4.74655855234681,1.30636311137591e-05,0.0034077169319773,3.07767304418407,"LAMP5"
"ILMN_1711174",-0.338136255573235,5.66159927228412,-4.73519608543281,1.36085030728517e-05,0.00350374770674396,3.04028660198838,"SPRR1B"
"ILMN_1851771",0.471823068413471,5.96732417905134,4.72635521775782,1.40477590752228e-05,0.0035704720982858,3.01122344931087,NA
"ILMN_1651652",0.497129211796467,6.08826031319592,4.72074199193215,1.43338092421198e-05,0.00359706035727881,2.99278275987602,"RTN3"
"ILMN_1683859",-0.284206193301713,7.75095851387969,-4.7158379153593,1.4588373123334e-05,0.00360291442700547,2.97667945639075,"SLC7A1"
"ILMN_2409706",0.462953490478047,6.60295325589537,4.71332334276757,1.4720608755987e-05,0.00360291442700547,2.96842524545719,"WDR20"
"ILMN_1798581",0.302918227118972,13.9137909765518,4.70629950335156,1.5096210651036e-05,0.00364978507508279,2.94537915685552,"MCM8"
"ILMN_1677843",0.402701855482431,10.0044390508568,4.70185675158635,1.53386044205488e-05,0.00366370882695639,2.93080957342875,"RAB24"
"ILMN_2124064",0.421092943643526,6.93176031112037,4.68446267471301,1.63247230537535e-05,0.0038131109226032,2.87382457990498,"REL"
"ILMN_1893697",0.402212223609569,6.02215998000867,4.68107193768366,1.65240382732717e-05,0.0038131109226032,2.86272680357007,NA
"ILMN_2376403",-0.352314549968923,12.1851003384611,-4.68078334536413,1.65411116945208e-05,0.0038131109226032,2.86178241125827,"TSC22D3"
