"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1823231",-0.634913438116973,5.98119411335771,-5.54690933357587,6.79794445541916e-07,0.0152322120382148,5.35482782272173,"TOX-DT"
"ILMN_1697642",-0.582095283133265,6.56305838101391,-5.30906514060973,1.66322985380791e-06,0.0152322120382148,4.59950644177068,"BCAP29"
"ILMN_1805300",-0.81609925464336,6.65556912365223,-5.208308759567,2.42112466725477e-06,0.0152322120382148,4.28220314816179,"AIDA"
"ILMN_1739235",0.415816941393061,4.89628825960572,5.18968438400724,2.59448339945747e-06,0.0152322120382148,4.2237432886785,"OMG"
"ILMN_1681367",0.438041003167196,5.09428538783179,4.92186910629284,6.94886990534475e-06,0.0326374521714232,3.39044753398689,"ZFP69"
"ILMN_2109197",0.50777416841335,7.48358769014541,4.81487808413853,1.02467789227204e-05,0.0401058927035278,3.06178000828428,"EPB41L3"
"ILMN_2343036",-0.598258726037334,6.76802412255052,-4.7676079489156,1.21525678031252e-05,0.0407701288983703,2.91741732286164,"ZMYM5"
"ILMN_1659024",0.626580050193905,6.25664989521326,4.66786099572676,1.73805166442154e-05,0.0497542450911046,2.61459165961126,"TMCC2"
"ILMN_1669848",0.458549013553489,5.26241775478747,4.64189632597055,1.90677996005766e-05,0.0497542450911046,2.5361802710956,"FAM25A"
"ILMN_1804279",-1.08632594517998,7.54913677616975,-4.57851600430763,2.38859614254357e-05,0.0560937918114931,2.34552629403617,"PTPRC"
"ILMN_1717197",-0.751619871879089,9.14060921951888,-4.54583736247685,2.68148466137656e-05,0.057247259807061,2.24765192346589,"CD3G"
"ILMN_1683604",0.360325434571063,5.01160450067793,4.44702194794219,3.79626380687591e-05,0.0722701844820117,1.95352692162025,"TARM1"
"ILMN_1658569",-0.350605263687404,5.33056666461468,-4.43203621385961,4.00064894509518e-05,0.0722701844820117,1.90916916984619,"LGALS7"
"ILMN_2405391",-0.302262336826946,5.28946347022785,-4.39995391979737,4.47481702421099e-05,0.0750618592832649,1.81443082642192,"SLC22A6"
"ILMN_1664276",-0.349787431204911,5.78997222346543,-4.36229183876796,5.1013452000452e-05,0.0771660683992633,1.70361345438982,"TBX22"
"ILMN_1713139",-0.41979583975669,5.41523222498712,-4.33630618749641,5.5824573755287e-05,0.0771660683992633,1.62740798646488,"DLGAP2"
"ILMN_1729058",-0.627357773329717,5.79724919716432,-4.32774021121501,5.75049525127468e-05,0.0771660683992633,1.60233366326917,"SCAMP1"
"ILMN_2385220",-0.462444544205198,8.29080520812127,-4.31960508856665,5.91461944807843e-05,0.0771660683992633,1.57854192628207,"DFFA"
"ILMN_1680993",0.401098707259846,5.20326720234393,4.23669481689638,7.86857375492527e-05,0.0917318805239876,1.33727492788671,"TRIM10"
