"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-1.23334250862029,8.86934953997528,-6.92281590887032,3.28114514335110e-09,7.70544125464571e-05,10.1772304623095,"DDIT4"
"ILMN_1778523",-0.682730926054425,8.909204401071,-6.33156275096086,3.32671286023516e-08,0.000390622624048813,8.17479619921667,"KLF9"
"ILMN_2137789",0.672618139498926,7.74541894520299,5.80595276600023,2.53534034051976e-07,0.00198466441855887,6.41004079308487,"KLF4"
"ILMN_1685825",0.447555363861376,5.05706617082553,5.60146317746819,5.52823108277462e-07,0.00297604032582289,5.73099639381647,"ZNF136"
"ILMN_1651652",0.726600132850879,6.08826031319592,5.52554467740903,7.3701739115869e-07,0.00297604032582289,5.48032054691835,"RTN3"
"ILMN_1703955",-0.463878540724295,7.66414557701749,-5.51729701089153,7.60357773587863e-07,0.00297604032582289,5.45313832193542,"FBXO32"
"ILMN_2396903",0.796978798195714,7.52772532420493,5.42227542519105,1.08794621396695e-06,0.00341119307403592,5.14072837304288,"KCNJ15"
"ILMN_1709583",0.744563409921812,6.93342219151343,5.40474714428532,1.16204839858148e-06,0.00341119307403592,5.08325684860371,NA
"ILMN_1741392",-0.703626743150487,8.37435938633143,-5.29561912807136,1.74891736190794e-06,0.00456350836967179,4.72662313621406,"SLC25A20"
"ILMN_1684982",-1.11399060483879,7.27938746191138,-5.24826628654474,2.08673036793669e-06,0.00490047759606252,4.5725318772932,"PDK4"
"ILMN_1655414",0.418486052652838,9.93715466485305,5.19098389585304,2.58200107049012e-06,0.00551233755812637,4.38669225038204,"TNFSF14"
"ILMN_1660986",-0.454095035488348,5.93770482042043,-5.12447172984156,3.30322111783816e-06,0.00646440372760927,4.17171651985112,"PER3"
"ILMN_1661809",0.804418762488295,6.73909056919593,4.98954306565099,5.42670491396559e-06,0.00980313370765907,3.73844807927843,"PRRG4"
"ILMN_1719986",-0.564783453344905,10.7311784364858,-4.84859098579757,9.06955354776018e-06,0.0143460253496984,3.29023052289953,"PIK3IP1"
"ILMN_2188333",-0.534702165304801,8.93534877709975,-4.83843831892207,9.40939775762348e-06,0.0143460253496984,3.25813023090457,"CD69"
"ILMN_1802205",0.524217011364434,8.03443779664915,4.82793303058513,9.77416136923755e-06,0.0143460253496984,3.2249420360646,"RHOB"
"ILMN_1899960",0.522362440715481,7.97002145881426,4.77548464411719,1.18125355982029e-05,0.0163179756463645,3.05966477892466,NA
"ILMN_1799765",0.433716614515625,9.75053740567161,4.74334541520252,1.32612193946236e-05,0.0173014709035189,2.95873671627514,NA
"ILMN_1662865",0.58283072930409,9.05863338573368,4.7217925358437,1.43285380895942e-05,0.0177100730787384,2.8912057118042,"CPPED1"
"ILMN_2376403",-0.439826851532273,12.1851003384611,-4.70044691529472,1.54681492136255e-05,0.0181627008066391,2.82444647548334,"TSC22D3"
"ILMN_1737314",0.611715515542061,11.6319177553598,4.63258272882647,1.97111605298671e-05,0.0220427092325428,2.61302569092767,"BCL6"
"ILMN_1716815",0.615934030920338,8.61823797811833,4.56739491149674,2.48458748253374e-05,0.0264588836532821,2.41116375864874,"CEACAM1"
"ILMN_1746492",-0.422610237595447,6.52760455942085,-4.54998352113708,2.64247063043993e-05,0.0264588836532821,2.35745564902113,"IFT27"
"ILMN_2138765",-0.518674506830638,8.92244223573434,-4.54324588059163,2.70615408835233e-05,0.0264588836532821,2.3366963329048,"PLIN2"
"ILMN_1673778",0.5138260086654,6.65037868526074,4.53190965001381,2.81669260488866e-05,0.0264588836532821,2.3017987071014,NA
"ILMN_1680757",-0.562663242220509,5.69875917780471,-4.49625297780111,3.19381574361017e-05,0.0288475265088236,2.19228365850254,"LRRC26"
"ILMN_1750497",0.661153342566304,7.83887962594301,4.47947815653388,3.38781886151497e-05,0.0294664956088213,2.14089517903363,"HCAR2"
"ILMN_2379718",0.373432009461972,11.1414760200279,4.46849789833111,3.52096734023708e-05,0.0295308560779027,2.10730466214195,"RAB24"
"ILMN_1779558",-0.482418904040975,5.68004637623637,-4.45597467096356,3.67904539639241e-05,0.029792655892717,2.06903939635717,"GAS6"
"ILMN_1803560",0.361213107390413,9.7801828652519,4.43365121968518,3.97811812753384e-05,0.0298708359417524,2.00095026753523,"LAT2"
"ILMN_1738263",-0.365215002526823,7.21523425156799,-4.42957925662197,4.03516391250062e-05,0.0298708359417524,1.98854716162476,"PIGU"
"ILMN_1689046",0.539860265863741,9.01959429193008,4.4270997335078,4.0702893465171e-05,0.0298708359417524,1.9809971520011,"RBM47"
"ILMN_1889841",0.547770399299308,8.03460354349675,4.38097893702549,4.78050887130153e-05,0.034019839495044,1.84091857601691,NA
"ILMN_1876430",0.475872194440762,5.3352998347215,4.36298172410072,5.08913743172199e-05,0.0346969508568067,1.78644304396882,NA
"ILMN_1661172",-0.442453707853708,6.02978442576649,-4.35594443369614,5.21500740115858e-05,0.0346969508568067,1.7651706815554,"ABHD17C"
"ILMN_1653115",-0.323016309230888,10.2429213094493,-4.35025908847411,5.31889895607666e-05,0.0346969508568067,1.74799684229313,"ECH1"
"ILMN_2316878",0.591943758413103,6.45820779409147,4.32745199155067,5.7562337481179e-05,0.0365349711731894,1.67921014149966,"PTPRO"
"ILMN_1717248",0.383533488295206,6.88643816450062,4.29818111541248,6.36888680418538e-05,0.0393597204498656,1.59118244832941,"DOCK8-AS1"
"ILMN_1674983",-0.377165171897134,10.3633281569924,-4.28582295986791,6.64612866407814e-05,0.0400199193710798,1.55410382227205,"LINC00857"
"ILMN_2367671",0.610363633718476,7.45291242182606,4.27725039245563,6.84528208863407e-05,0.0401886511423706,1.52841371178631,"LIMK2"
"ILMN_1751607",-0.496648592372414,6.6441063340458,-4.23281570525369,7.97387722939864e-05,0.044081975461311,1.39565717821078,"FOSB"
"ILMN_2384181",0.855725605718267,8.14344240073401,4.22957288183312,8.06295421002069e-05,0.044081975461311,1.38599547049715,"DHRS9"
"ILMN_1728049",-0.28053524747926,5.12509947946292,-4.22926146234912,8.07155912466518e-05,0.044081975461311,1.38506781691429,"S100A16"
"ILMN_1748124",-0.369184660119645,11.8317036367821,-4.18351867656449,9.43691916434463e-05,0.0502216597778613,1.24918078631562,"TSC22D3"
"ILMN_1724544",0.399730532658356,9.8243451167068,4.17756770204622,9.63019872120541e-05,0.0502216597778613,1.23155703197303,"PPP4R1"
"ILMN_1675756",0.58785189421318,8.6661242846586,4.17131745231571,9.83732051516616e-05,0.0502216597778613,1.21306065791499,"KCNJ15"
"ILMN_1774733",-0.482645999344621,5.45430758167104,-4.15582923342609,0.000103693110589095,0.0518112555122192,1.16728702110944,"SOCS1"
"ILMN_2249018",-0.582834042756506,5.65250645479914,-4.12648863898176,0.000114543733503737,0.0556719577312082,1.08081329126516,"LRRC26"
"ILMN_1664330",0.493690993359153,6.70760010845488,4.12234720008915,0.000116161042787822,0.0556719577312082,1.06863287858073,"CEACAM1"
"ILMN_1815054",0.778994552652132,7.95600131379718,4.09643472651245,0.000126792695548243,0.059551993245099,0.992565525096216,"ADGRG3"
"ILMN_1797895",0.574818483865084,11.8184098328927,4.07914039573525,0.000134404950637167,0.0618895266816317,0.941936361316837,"FFAR2"
"ILMN_1810591",0.381184359303438,5.19848423566843,4.0672971063245,0.000139870427509269,0.0631676369159169,0.907329972996172,"PUS10"
"ILMN_1763628",0.314508806347443,4.97161064532512,4.03844792211799,0.000154096319632618,0.0657812527153033,0.823254561493791,NA
"ILMN_1810289",0.525132341340205,7.68103598725987,4.03184424456243,0.000157543749105492,0.0657812527153033,0.80405413802997,"MYOF"
