"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-0.898946118870629,8.86934953997528,-5.14767624143536,3.03155636208995e-06,0.0711930696073203,4.01282134145335,"DDIT4"
"ILMN_1736752",-0.485008890242418,6.13356551507271,-4.54104034091261,2.72732362208035e-05,0.141925025604776,2.18078163028125,"COMTD1"
"ILMN_1733221",0.371413763630528,8.52500765873833,4.51682242169574,2.97065004858709e-05,0.141925025604776,2.10948103411911,"SEMA4D"
"ILMN_1761387",0.565533543940481,6.76379232590047,4.50492480965812,3.09780952814503e-05,0.141925025604776,2.07451197239936,NA
"ILMN_1756006",0.513849556544929,7.62800705908868,4.46916782719058,3.51269983974716e-05,0.141925025604776,1.96965358697134,"ATG2A"
"ILMN_1717324",-0.448978498179949,5.77891129731948,-4.43177475556072,4.00430817967527e-05,0.141925025604776,1.86038470771259,NA
"ILMN_1778523",-0.466760825017009,8.909204401071,-4.4160524047053,4.23043424984428e-05,0.141925025604776,1.81456166137278,"KLF9"
"ILMN_2231928",0.403037744465714,10.2275553410316,4.35594599911616,5.21497906850852e-05,0.153085710556068,1.64005161647149,"MX2"
"ILMN_1816603",0.397240030527054,6.14973964940234,4.27287469910203,6.94915407601358e-05,0.153156682138692,1.40067057426583,NA
"ILMN_1751386",0.375927524814998,5.24265397769339,4.26844057833938,7.05597108674525e-05,0.153156682138692,1.38795353693538,NA
"ILMN_1750321",0.368536143655844,9.15880239554807,4.20108694569452,8.88797161337012e-05,0.153156682138692,1.19555854922047,"TRANK1"
"ILMN_1732923",0.543080091688525,8.42172852113844,4.19979073172317,8.92739454661771e-05,0.153156682138692,1.19187037430276,"SIPA1L2"
"ILMN_1667319",0.428936652941009,7.29082631079892,4.19531422849163,9.06484831633789e-05,0.153156682138692,1.17913743165772,"PLPPR2"
"ILMN_1770030",0.377643484429391,7.68468330964829,4.16762029035128,9.96185918835139e-05,0.153156682138692,1.10051231848072,"TRAPPC14"
"ILMN_1692754",0.285803372938359,12.0149443957305,4.14194906555427,0.000108696240725024,0.153156682138692,1.02785874924978,"VMP1"
"ILMN_1812043",0.352108029761759,5.42823810068551,4.11761630481128,0.000118035551002222,0.153156682138692,0.959199292969046,NA
"ILMN_2396903",0.592786250892739,7.52772532420493,4.11444638803275,0.00011930787471373,0.153156682138692,0.950269675807204,"KCNJ15"
"ILMN_1702933",-0.350221827038311,6.29560392913671,-4.10874526247857,0.000121629582838801,0.153156682138692,0.934218365963827,"ADM2"
"ILMN_1839243",0.296502550306032,5.1821944820964,4.0885968669591,0.000130189549169367,0.153156682138692,0.877581247297511,NA
"ILMN_1732089",-0.264837112259338,9.51042942774147,-4.07534644242097,0.000136132955123904,0.153156682138692,0.840411253967253,"MRI1"
"ILMN_1844823",0.398668721058335,6.01989963802699,4.07355426311557,0.000136956665172566,0.153156682138692,0.835388560301317,NA
"ILMN_1788017",0.506767245968612,9.06601653647733,4.05594492495939,0.000145310220399588,0.153568629335478,0.786097371162121,"HSH2D"
"ILMN_1805228",0.516622453895111,9.43814631600501,4.04126066944303,0.000152650132240806,0.153568629335478,0.745077784855833,"LRG1"
"ILMN_1803811",0.406895689655395,9.00458838608922,4.02038195292753,0.000163704938389974,0.153568629335478,0.686886805153856,"TRIB1"
"ILMN_2364110",0.350483305790686,8.54664045844038,4.01821756020271,0.00016489412629142,0.153568629335478,0.680863388484239,"GBA1"
"ILMN_2154115",0.358574758452437,8.67845835719797,3.99957441375588,0.000175487897634741,0.153568629335478,0.62905038381435,"PSD4"
"ILMN_1672307",0.508212327128536,5.42585955814212,3.99651099642697,0.000177290243437325,0.153568629335478,0.620548604241846,"BMX"
"ILMN_1804935",0.496032360329794,9.48343759537573,3.97656016199549,0.000189472016098627,0.153568629335478,0.565263727408778,NA
"ILMN_1657796",-0.465205277239598,6.21914915952411,-3.97629482165181,0.000189639339581368,0.153568629335478,0.564529438090043,"STMN1"
"ILMN_2382657",0.336609326087757,10.2642058335457,3.95681404667272,0.000202320363795249,0.155664671116844,0.51069032366247,"ARHGAP9"
"ILMN_1799015",-0.443224674440944,5.75949723274662,-3.95213623993446,0.000205484789840835,0.155664671116844,0.497783182826002,"PXMP2"
"ILMN_1721457",-0.289218830010211,8.27396563072624,-3.93536935915365,0.000217223199652509,0.159414675644985,0.4515865682141,"RANBP1"
"ILMN_2057836",0.521377333814743,5.41547205780851,3.90995667050666,0.000236252684380725,0.164599964849916,0.3817701501699,"RNU2-1"
"ILMN_1680831",-0.276704024561178,7.80926784287346,-3.89910345628013,0.000244859390371987,0.164599964849916,0.352027627652906,"BAZ1B"
"ILMN_1799232",0.359376192650123,5.24803677592069,3.87708530366575,0.000263255137486172,0.164599964849916,0.291826709378213,"ATP9A"
"ILMN_2188333",-0.419972661852551,8.93534877709975,-3.87697291573657,0.000263352356808647,0.164599964849916,0.291519902008874,"CD69"
"ILMN_1688801",-0.325354338387227,5.16931086682381,-3.8680272382813,0.000271202280690831,0.164599964849916,0.267114780801873,"JPH3"
"ILMN_1718982",0.444441861020583,8.46442661514385,3.86290845669137,0.000275794645268942,0.164599964849916,0.253163927279218,"BEST1"
"ILMN_1737126",0.309336047028676,5.66478766202436,3.85812354396298,0.000280154938566136,0.164599964849916,0.240132206868699,NA
"ILMN_1810420",0.476704806012786,10.5088312965802,3.85585330269586,0.000282246795763989,0.164599964849916,0.233952314695365,"DYSF"
"ILMN_1778226",0.458049987780413,7.55256032154021,3.83286048186065,0.000304295516060453,0.164599964849916,0.17147635537049,"EXTL3"
"ILMN_1818872",0.503512671168945,7.48329960667423,3.82724865518515,0.000309922721092199,0.164599964849916,0.156259445130873,NA
"ILMN_1774733",-0.434757304598936,5.45430758167104,-3.81904126175106,0.000318332715365565,0.164599964849916,0.134026842338002,"SOCS1"
"ILMN_1793632",0.332709263100649,6.98763327579203,3.81630999023778,0.000321179635595206,0.164599964849916,0.12663414889853,"TMEM222"
"ILMN_1803560",0.30325342339687,9.7801828652519,3.79736389365564,0.000341610840575796,0.164599964849916,0.0754346765107643,"LAT2"
"ILMN_1699632",0.393888726911857,5.30157244693752,3.7894249603266,0.000350537499466965,0.164599964849916,0.054023322073852,"RANBP3"
"ILMN_1677723",0.544313877139938,6.24527563146097,3.78802851747237,0.000352130628283503,0.164599964849916,0.0502597213583957,"ANGPT1"
"ILMN_1799030",0.394448157041526,11.3949464368455,3.78618071204796,0.000354249361776113,0.164599964849916,0.045280842385516,"CMTM2"
"ILMN_1733116",-0.32912855212681,5.22766102114044,-3.78572049252945,0.000354778956643746,0.164599964849916,0.0440410025698732,"UBXN7"
"ILMN_2399503",0.294728047603741,10.9989664475007,3.78300000945439,0.000357925068631627,0.164599964849916,0.0367137120595231,"UBN1"
"ILMN_1711311",-0.358305506286107,5.10181150055741,-3.77784065234736,0.000363965201687296,0.164599964849916,0.0228257996182268,"PODXL"
"ILMN_1699648",0.330899114633497,6.34435137327753,3.76574654951918,0.000378509070934302,0.164599964849916,-0.00968684463361935,"ZNF516"
"ILMN_1678170",0.490621725238769,11.2320275720384,3.75963621084461,0.000386067172581465,0.164599964849916,-0.0260907508773593,"MME"
"ILMN_1765994",0.360188918483307,9.7143387718474,3.75432897848919,0.000392748971725631,0.164599964849916,-0.0403262978279981,"ZBP1"
"ILMN_1787127",0.357647431142264,9.47495058371864,3.75110402931949,0.000396863113288043,0.164599964849916,-0.048970942945779,"SLC43A2"
"ILMN_2251804",-0.269510524970149,4.87228588873134,-3.7496330373255,0.000398753364149523,0.164599964849916,-0.0529126034878526,"SMC4"
"ILMN_1835657",0.242843379731288,5.0683737730596,3.74904262356801,0.000399514477791059,0.164599964849916,-0.0544944236185474,NA
"ILMN_1722506",0.239894258270676,4.93271616511388,3.74058663884484,0.000410569014798122,0.166237978336536,-0.0771338059658113,"KIR2DL1"
"ILMN_1717915",-0.334114956748189,5.72344779454295,-3.72698630712852,0.000428965240753226,0.170742707014386,-0.113484651064564,"TRIM54"
"ILMN_1856192",0.243468060909673,4.93438750329794,3.70670726093247,0.000457866682279346,0.175839382928884,-0.167544327020273,NA
"ILMN_2044617",-0.247050608954462,7.82686367542823,-3.7012198387192,0.000466001846628589,0.175839382928884,-0.182143253560561,"MTERF3"
"ILMN_1871449",0.32322407751501,5.57378590464949,3.69659118819599,0.000472971138254509,0.175839382928884,-0.194447698798709,NA
"ILMN_2400183",-0.296985880106947,7.58668687154231,-3.69379559802694,0.000477228560253213,0.175839382928884,-0.201874937380992,"DPH5"
"ILMN_1671338",0.252578012089043,5.30088595834104,3.69000179562996,0.000483064782762165,0.175839382928884,-0.21194895821752,NA
"ILMN_1847529",0.27864198197047,5.12869485613741,3.68554377231947,0.000490009994658546,0.175839382928884,-0.223779024306384,NA
"ILMN_1738095",-0.319226552560895,7.6793024120416,-3.68223088080241,0.000495232884824316,0.175839382928884,-0.232564891634753,"PER2"
"ILMN_1790689",0.476623487145475,9.89585420312246,3.67294984166449,0.000510149511714715,0.175839382928884,-0.257153798855036,"CRISPLD2"
"ILMN_1714643",0.583873525645572,7.97152927620825,3.672862593484,0.000510291753883875,0.175839382928884,-0.257384779020398,"MGAM"
"ILMN_1661439",0.301226343862544,9.88744005026718,3.66898847767985,0.000516646117445624,0.175839382928884,-0.267637837530909,"FLOT1"
"ILMN_1842378",-0.259357404858176,5.02032228757438,-3.66105147178189,0.000529901288471455,0.177774312263766,-0.288623693771945,NA
"ILMN_1748916",-0.321038948253478,7.39224267126137,-3.64662659920722,0.000554827140292322,0.181651012724762,-0.326695204155597,"TIMM21"
"ILMN_2331266",0.282315411877619,11.386800277344,3.64320461891227,0.000560902400157579,0.181651012724762,-0.335713786826849,"NUMB"
"ILMN_1872542",-0.292264244653083,5.56652045171919,-3.63862292195731,0.000569136047243961,0.181651012724762,-0.347780933988625,NA
"ILMN_1798977",0.602710141238481,6.60184408201777,3.63329831355069,0.000578849667214372,0.181651012724762,-0.361793423416263,"ADGRG3"
"ILMN_2364022",0.287206673922805,11.1906732638617,3.62047890479654,0.000602888943251606,0.181651012724762,-0.395479513634291,"SLC16A3"
"ILMN_1657455",0.424660327982387,6.60234346469962,3.61477277699128,0.000613892783472948,0.181651012724762,-0.410450909716531,"CEACAM4"
"ILMN_1777139",-0.321078902565109,7.33450123049274,-3.61118099785417,0.000620917193738538,0.181651012724762,-0.419867568752184,"MAK16"
"ILMN_2226751",0.263361799076859,5.21058521532186,3.60466961873256,0.00063384726530096,0.181651012724762,-0.43692433225634,"ZC3HAV1L"
"ILMN_1779071",-0.426806885039251,6.31039518752205,-3.59184416975972,0.000660070057040107,0.181651012724762,-0.470466972889593,"FEZ1"
"ILMN_1791847",0.439506908595129,6.64317643139981,3.58866317492015,0.000666732109638598,0.181651012724762,-0.478775161658554,"DAPK2"
"ILMN_2362858",0.276527318599767,10.336288074346,3.58469213563326,0.000675138705606454,0.181651012724762,-0.489140580687002,"PILRA"
"ILMN_2347234",-0.291064556757633,7.54255995211433,-3.58276334329678,0.000679258255100189,0.181651012724762,-0.494172720448277,"PRMT1"
"ILMN_1654268",0.475186553436173,7.77600722705397,3.58138728579217,0.000682211886775276,0.181651012724762,-0.49776179885337,"HMGB2"
"ILMN_1674334",-0.398787751849458,5.78817680302862,-3.579150369522,0.000687039428011458,0.181651012724762,-0.50359442071847,"ARMCX6"
"ILMN_1690136",0.327332796440796,7.44674894972806,3.57840844090829,0.00068864777457947,0.181651012724762,-0.505528467892746,"NIPBL"
"ILMN_1685005",0.266070344219413,10.7290240426517,3.57719939353251,0.000691276423267534,0.181651012724762,-0.50867967332562,"TNFRSF1A"
"ILMN_1667883",0.366711043324278,8.08178968959063,3.57263944928798,0.000701276663016701,0.181651012724762,-0.520558706998261,"THOC5"
"ILMN_1816157",0.274780558292745,5.58774101196794,3.57204327297057,0.000702594252719189,0.181651012724762,-0.522111118067549,NA
"ILMN_2337336",0.231763111522674,4.89240313506305,3.56717525306034,0.000713441461466999,0.181651012724762,-0.534781306917652,"NECTIN2"
"ILMN_2105539",-0.26642504558905,5.09362010052276,-3.56622667161352,0.000715573626648563,0.181651012724762,-0.537248998191671,"FZD10"
"ILMN_2072603",-0.26193680103735,7.95577575966094,-3.56428488653428,0.000719957191403815,0.181651012724762,-0.542299221643269,"MRPL14"
"ILMN_1706825",0.37842779750801,8.29015354277561,3.56003445947216,0.000729641890651354,0.181651012724762,-0.553347966848886,"PKN2"
"ILMN_1678633",0.418369028090884,5.7376630393124,3.55779101732569,0.000734803501089005,0.181651012724762,-0.559176437997442,NA
"ILMN_1696704",0.367192154175329,7.07945477517714,3.55515135992825,0.000740921210872425,0.181651012724762,-0.566031416408909,"TLE4"
"ILMN_2212590",-0.353098001989156,7.20166891172039,-3.55459898527196,0.000742207521633571,0.181651012724762,-0.567465497343433,"TMEM170A"
"ILMN_1689160",0.282641249428113,11.2212482774633,3.54206725120948,0.000771967541790778,0.181651012724762,-0.599964011484309,"DPEP2"
"ILMN_1770055",0.429938559160227,5.82281813184815,3.54073311171191,0.000775201853333517,0.181651012724762,-0.603419705101351,NA
"ILMN_1742001",-0.464960563502636,7.76756755541057,-3.54021536208925,0.000776460485763422,0.181651012724762,-0.604760567977154,"CD160"
"ILMN_1728478",0.314976238811119,9.9228423004892,3.53186731874337,0.000797024615298764,0.181651012724762,-0.626363681000721,"CXCL16"
"ILMN_1810100",-0.215579637075376,8.40960378976391,-3.53168448319374,0.000797480747477652,0.181651012724762,-0.626836474271819,"PBX3"
"ILMN_1684742",-0.251887049280924,4.84222544065333,-3.52768742053718,0.000807514744783363,0.181651012724762,-0.637168701858096,"TCEA2"
"ILMN_1733426",0.245198000152515,4.97193024197491,3.52756815020486,0.000807815990944828,0.181651012724762,-0.637476900023224,"KIR3DL3"
"ILMN_1729650",-0.366982780691376,5.60300780428621,-3.52257887488317,0.00082051378086645,0.181651012724762,-0.65036360623866,"PEX7"
"ILMN_1724066",0.298139968575051,9.39186530166817,3.52202613087808,0.000821932142334604,0.181651012724762,-0.651790588868439,"PLCB2"
"ILMN_1888658",0.299749198548811,5.42822523133069,3.51985769188495,0.000827518977656769,0.181651012724762,-0.657387374696303,NA
"ILMN_1714667",0.365644873799467,6.24281061585542,3.51778684796416,0.00083288805114133,0.181651012724762,-0.662730286102116,"FAM209B"
"ILMN_1651964",0.317203152751156,7.75630542109896,3.51765991163296,0.00083321823354828,0.181651012724762,-0.66305772711246,"ABCC5"
"ILMN_1683859",-0.257876197883658,7.75095851387969,-3.51459772514292,0.000841221294882138,0.181651012724762,-0.67095464316785,"SLC7A1"
