"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1661599",-1.36491222245205,8.86934953997528,-7.81595923456266,9.6717091557159e-11,2.27130417812832e-06,13.4981468798328,"DDIT4"
"ILMN_1778523",-0.699425102938407,8.909204401071,-6.61730321440291,1.08937002461145e-08,0.000127913828289877,9.3374858662353,"KLF9"
"ILMN_1680302",0.576798621698161,5.68087218828202,5.99439446140547,1.22905905602943e-07,0.00096210742905984,7.18639342203975,NA
"ILMN_2379718",0.484278087885401,11.1414760200279,5.91184876267621,1.68885438782775e-07,0.000991526411093671,6.90370985288302,"RAB24"
"ILMN_1810785",-0.507568879682358,9.64084272438172,-5.69558523018112,3.86485584223028e-07,0.00181524549197872,6.16687552181583,"RNF11"
"ILMN_1748124",-0.483660532906807,11.8317036367821,-5.59135664602037,5.74431636534189e-07,0.00224832542539482,5.81398706221133,"TSC22D3"
"ILMN_1737089",-0.481189867168518,6.18074255720328,-5.51447528089318,7.68509378255715e-07,0.00257823917699389,5.55473648864398,"CAPN5"
"ILMN_1759117",-0.69958668499293,7.99926784320077,-5.39024570595767,1.22709729544371e-06,0.00360214411077502,5.13787307070305,"XK"
"ILMN_1784203",-0.513291864238374,9.20103686477388,-5.34488371698572,1.45463018107657e-06,0.00364502955295785,4.98633090856583,"ACRBP"
"ILMN_2172269",-0.328456417349935,10.4971789166158,-5.31251828227647,1.64189963787529e-06,0.00364502955295785,4.87843886957667,"TMEM183BP"
"ILMN_1694027",-0.539123236433985,10.6857009992872,-5.28353248055704,1.82964223500763e-06,0.00364502955295785,4.78198157577698,"SESN3"
"ILMN_1799765",0.473123196877164,9.75053740567161,5.27875388614075,1.86255981244653e-06,0.00364502955295785,4.76609518607383,NA
"ILMN_2188333",-0.562888584031496,8.93534877709975,-5.19629964779376,2.53155310649734e-06,0.00439940957164646,4.49268970413739,"CD69"
"ILMN_2174127",0.516142476915932,5.87552602918024,5.18676823731609,2.62271052644569e-06,0.00439940957164646,4.46117394589193,"DCBLD2"
"ILMN_1750497",0.742892503285912,7.83887962594301,5.13487269626503,3.17861598285414e-06,0.00492429637170488,4.28991493400044,"HCAR2"
"ILMN_1821531",-0.491543784341629,5.58694238874952,-5.12026288883115,3.35499667634467e-06,0.00492429637170488,4.24180525146235,NA
"ILMN_1859874",0.829065481476729,7.02509538306495,5.05236776018223,4.30917810640431e-06,0.00565875157993941,4.01884508656814,NA
