"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1691364",0.662172819210098,11.8729648771411,5.36744695798392,1.33668987888121e-06,0.0313908251156463,4.69240698311831,"STAT1"
"ILMN_1683178",0.427305381475254,8.07914738638308,5.12954890024981,3.24180762848079e-06,0.0337715362944637,3.95516313796461,"JAK2"
"ILMN_1777325",0.490543738691517,10.5819485742465,4.99423982203859,5.3341434846182e-06,0.0337715362944637,3.54027875426165,"STAT1"
"ILMN_1791759",0.816032475131406,6.2048508740837,4.97362580431538,5.75226303772164e-06,0.0337715362944637,3.47738503524138,"CXCL10"
"ILMN_1706502",0.466619924939333,10.2996994338127,4.89786962622476,7.58346521390343e-06,0.0356180194166616,3.24700433767643,"EIF2AK2"
"ILMN_1690105",0.610636133377722,9.86170533223762,4.83739149247475,9.44513943189948e-06,0.0369682757364546,3.06396741600293,"STAT1"
"ILMN_1674228",-0.617063600978368,7.2877799447316,-4.76112282211592,1.24396943799612e-05,0.0382303199186548,2.83431347319398,NA
"ILMN_1823231",-0.543511441312451,5.98119411335771,-4.74837750428251,1.30234440192999e-05,0.0382303199186548,2.79606779690176,"TOX-DT"
"ILMN_2109197",0.492728666734444,7.48358769014541,4.67221179505771,1.71124214208464e-05,0.0446520116274618,2.56832955234264,"EPB41L3"
"ILMN_2239772",-0.360254375141428,8.58080373639232,-4.59966904250254,2.21589222672582e-05,0.0489021264012057,2.3527715732939,"ABHD17A"
"ILMN_2377669",-0.315129513898504,12.0162281823622,-4.57051376258462,2.45729424609871e-05,0.0489021264012057,2.26652222121923,"CD247"
"ILMN_2137789",0.518438981274615,7.74541894520299,4.56542330576248,2.50199330173451e-05,0.0489021264012057,2.25148635064097,"KLF4"
"ILMN_1799848",1.02429607370673,6.08906637317668,4.52926315732015,2.84312475443067e-05,0.0489021264012057,2.14487931363418,"ANKRD22"
"ILMN_1701621",0.508378364361763,9.39062053059534,4.52215663358134,2.91530305576937e-05,0.0489021264012057,2.12396966239139,"SCO2"
"ILMN_1713124",-0.562787247499741,8.1385046892948,-4.47311799545206,3.46433403822294e-05,0.0494599318662931,1.98006311188762,"AKR1C3"
"ILMN_2391051",0.867727774841655,8.05612680737552,4.46723619432971,3.53658929278087e-05,0.0494599318662931,1.96284786310096,"FCGR1BP"
"ILMN_1774077",0.350552793782318,12.0871667586366,4.45494347320739,3.69236537870936e-05,0.0494599318662931,1.92690039092772,"GBP2"
"ILMN_2337655",0.541170324400255,9.96983366425046,4.44741806933867,3.79100142051301e-05,0.0494599318662931,1.90491519098808,"WARS1"
"ILMN_2415634",-0.542804127706516,4.98033115505013,-4.37791010222954,4.83181770759091e-05,0.0597212668658236,1.70262659558507,"TTN"
"ILMN_1812968",-0.362686849018266,4.85567344367602,-4.34833997512816,5.35441951248565e-05,0.0613485320012498,1.61700239794813,"SOX18"
"ILMN_1841178",0.372244623211624,5.66730286313993,4.33487127321945,5.61026974430993e-05,0.0613485320012498,1.57808960786545,NA
"ILMN_1713058",0.441666265642422,8.77589205524962,4.32790685915605,5.74717979912917e-05,0.0613485320012498,1.55799023897823,"PSTPIP2"
"ILMN_1884255",-0.359645629494062,5.36671716494647,-4.24959040097936,7.52810122252437e-05,0.0768651865694619,1.33300563877973,NA
"ILMN_1744146",-0.440092218417044,6.18281820368627,-4.23696796167787,7.8612098710609e-05,0.0769219385883309,1.2969258669404,"PTTG2"
"ILMN_1676924",-0.302127369638999,11.9970844012176,-4.21428905654412,8.49592405582021e-05,0.0798073122107527,1.23223004621976,"CD247"
"ILMN_1694730",0.422617631799745,5.61711338812588,4.18876750312171,9.26956405216754e-05,0.0802271956441201,1.15962568769669,"RNPEPL1"
"ILMN_2078697",0.449320229169363,8.99698947125334,4.17791360815457,9.61886008881621e-05,0.0802271956441201,1.12881332239179,"ALPK1"
"ILMN_1655608",0.437680439889724,6.30493671360524,4.17327801745695,9.77189146034004e-05,0.0802271956441201,1.11566558593273,"KLHL18"
"ILMN_1696066",0.300820261047468,6.98604559009234,4.16923970861106,9.90712260977467e-05,0.0802271956441201,1.10421772964237,"CARS1"
"ILMN_2405391",-0.283818202356981,5.28946347022785,-4.13146746988001,0.000112628201783945,0.0842279965064512,0.997405600650291,"SLC22A6"
"ILMN_1653579",-0.514784879734007,5.77231560484545,-4.11539869390363,0.000118924257526043,0.0842279965064512,0.952113116294426,NA
"ILMN_1661172",-0.409743446239248,6.02978442576649,-4.11533304981803,0.000118950662632354,0.0842279965064512,0.951928268921765,"ABHD17C"
"ILMN_1736752",-0.438286991737186,6.13356551507271,-4.10359263596387,0.000123765424296691,0.0842279965064512,0.918892237802376,"COMTD1"
"ILMN_1813817",-0.334309924069096,7.17526775165611,-4.09687848079878,0.000126602958912758,0.0842279965064512,0.900020832812933,"MRPL55"
"ILMN_2053490",-0.383327664914403,5.46533625966661,-4.0862930318633,0.000131204608379492,0.0842279965064512,0.87030016691598,"FAM53B"
"ILMN_1672331",0.487195601776851,6.58290421958986,4.08498431634061,0.000131784621357701,0.0842279965064512,0.866628405354345,"TAB2"
"ILMN_2398408",-0.4165576369972,5.62470800151252,-4.08228739918304,0.000132987692398736,0.0842279965064512,0.859063757318158,"TCEAL1"
"ILMN_1810289",0.520252626596262,7.68103598725987,4.07500120866902,0.000136291256482931,0.0842279965064512,0.838639249180995,"MYOF"
"ILMN_1727271",0.492040080384451,9.39913102972585,4.03200324999929,0.00015745987372785,0.0948150685801238,0.718489166288328,"WARS1"
"ILMN_1800697",-0.372979435153148,5.4597928900117,-4.00629112976717,0.000171597739413926,0.0983626157126478,0.64695649120676,"LDB2"
"ILMN_1676480",0.470721307451234,7.7956703727542,4.0048322684811,0.00017243554603019,0.0983626157126478,0.642905005549181,NA
"ILMN_1794015",0.428478768968461,5.83422805770273,3.98009942276102,0.000187253711757305,0.0983626157126478,0.574335949946901,NA
"ILMN_1707077",0.37955988979942,8.23163955564448,3.97808759962995,0.00018851157625174,0.0983626157126478,0.568768234041389,"SORT1"
"ILMN_1690241",0.564019911959484,5.52695916651167,3.97669541524476,0.000189386780187626,0.0983626157126478,0.564916237505465,"BATF2"
"ILMN_2379560",-0.389323555405959,6.98892485855264,-3.97499340961071,0.000190462072076497,0.0983626157126478,0.560207973337604,"CDC14B"
"ILMN_1681053",-0.307229638560192,5.03161188713088,-3.97152625045606,0.000192670768301048,0.0983626157126478,0.550620057329104,"MGAM2"
"ILMN_2396903",0.570326711113971,7.52772532420493,3.95855786635995,0.000201152756469141,0.100507900700453,0.514797251458975,"KCNJ15"
"ILMN_1653443",-0.456531466432624,6.24866180177305,-3.93969623462117,0.000214133657982013,0.102856401094123,0.462806867315266,"CDK2"
"ILMN_1759948",-0.333488822731198,8.2063462974466,-3.93902148089501,0.000214612657707888,0.102856401094123,0.460949429426322,"RNF5P1"
"ILMN_1688801",-0.327043992748957,5.16931086682381,-3.88811496517884,0.000253880020544304,0.119242368049249,0.321311287616769,"JPH3"
"ILMN_1673778",0.430832167808419,6.65037868526074,3.8766068757649,0.000263669232796548,0.121411926725375,0.289881134910894,NA
"ILMN_2066858",0.382501135669631,11.2849114446444,3.85466143837368,0.000283351004472839,0.123980977402567,0.230086941444879,"TNFSF13B"
"ILMN_1714567",-0.260941560919216,11.7068207328614,-3.85373341781725,0.000284213644539254,0.123980977402567,0.227562507706743,"AHNAK"
"ILMN_1749960",0.294788075877677,5.21360381565273,3.85279709157341,0.000285086560200078,0.123980977402567,0.22501582069787,"FAM78B"
"ILMN_1797001",0.379098102267398,7.27018965042575,3.84128961818682,0.000296027125593517,0.124388257649563,0.193744932845391,"RIGI"
"ILMN_1839243",0.27852386671941,5.1821944820964,3.84068132859883,0.000296616523095534,0.124388257649563,0.192093383289303,NA
"ILMN_2407529",0.483543145520165,5.63958151018349,3.81062091284696,0.000327188210798945,0.134801542849165,0.110658757313185,"RNF135"
"ILMN_1858833",-0.320106558291066,5.13405542081472,-3.80365159941301,0.000334695905406812,0.135517217975407,0.0918297771153007,NA
"ILMN_1729208",-0.388783516246237,7.28533421715978,-3.79150983970994,0.000348171818917246,0.137242480711831,0.059072710540069,"BEX3"
"ILMN_2109708",0.434208290601303,12.5829350483429,3.78772333371784,0.000352479719308249,0.137242480711831,0.0488692307220804,"TYMP"
"ILMN_2049642",-0.28566140800869,9.91043684242868,-3.78423880751801,0.000356489155315181,0.137242480711831,0.0394845823575727,"RPA1"
