"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1783182",0.459384644111861,5.32825131259937,5.51367201944416,7.66656826744543e-07,0.0151989715902106,1.22279544968604,"FBN1"
"ILMN_1872408",0.362998762528508,5.31323727319717,4.63641610054532,1.93813991751237e-05,0.192118119323414,-0.230751388751583,NA
"ILMN_1680302",0.419396813929356,5.68087218828202,4.40305669180473,4.41458183959958e-05,0.291730283233539,-0.611073394964798,NA
"ILMN_1670304",0.416728573509298,6.26398996940835,4.16375909759402,0.000100704621391529,0.430878817349453,-0.995608771012221,"FAM156A"
"ILMN_1688801",-0.349781941375672,5.16931086682381,-4.14135511352752,0.000108670571840972,0.430878817349453,-1.03127092887784,"JPH3"
"ILMN_1651507",0.468452117943936,5.64748196389845,4.05035669733519,0.000147752393077516,0.454371995432877,-1.1754494736098,"PYROXD1"
"ILMN_1759787",-0.468566965332631,5.59902190904928,-3.99592697293909,0.000177279712648867,0.454371995432877,-1.26114661074052,"THBD"
"ILMN_2348975",0.329471960926994,6.8583052173191,3.98582411139902,0.000183353138131804,0.454371995432877,-1.27700639231351,"NASP"
"ILMN_1681515",0.305641252308799,5.38649568859405,3.92421760292604,0.000224958626603046,0.495533863600598,-1.37338996203113,"CRLF1"
"ILMN_2392143",-0.337074505207254,6.6526308734291,-3.87824346505747,0.000261777786132147,0.518974461006981,-1.44493690914798,"TRAF6"
"ILMN_1780222",0.332098784138911,5.29817903754479,3.83003355544503,0.000306580803432624,0.55254222073198,-1.51959961612039,"SLC6A7"
"ILMN_1713139",-0.365983498620144,5.41523222498712,-3.77660153194522,0.00036481979421918,0.575817275995144,-1.6018976703732,"DLGAP2"
"ILMN_2405391",-0.259839173379643,5.28946347022785,-3.76598970806624,0.000377585099013209,0.575817275995144,-1.61818418126542,"SLC22A6"
"ILMN_1884255",-0.312066729532698,5.36671716494647,-3.67727607917974,0.00050237281032831,0.668431265022415,-1.75355330801879,NA
"ILMN_2376723",0.362145031267906,6.0541188708466,3.64297760707385,0.000560473537514512,0.668431265022415,-1.80550187071302,"CDKN2B"
"ILMN_1724806",0.362381843749862,5.71048469440751,3.63721587162557,0.00057084250129462,0.668431265022415,-1.81420673789164,"RAPSN"
"ILMN_1842319",-0.353002840566212,5.81984505857532,-3.6255078014483,0.000592479238652302,0.668431265022415,-1.83187574836442,NA
"ILMN_2053490",-0.340223933995238,5.46533625966661,-3.61792962050985,0.000606898500398662,0.668431265022415,-1.84329811614837,"FAM53B"
"ILMN_1729775",0.322249892047202,6.84999464681479,3.54925246398444,0.000753738121158219,0.703724326979731,-1.94629770948169,"OPA1"
"ILMN_1682875",0.288784608463067,5.17130220506733,3.54083876516805,0.000773895756576035,0.703724326979731,-1.95885121422302,NA
"ILMN_1723277",-0.340873748770823,5.27408546681529,-3.53872010302826,0.000779051915741019,0.703724326979731,-1.96201004711944,"MFAP3L"
"ILMN_1899739",-0.300605330090682,5.2888540641443,-3.53795175451296,0.000780929896270067,0.703724326979731,-1.96315539424778,NA
"ILMN_1878733",0.328788522734051,5.31719352345578,3.49281621145641,0.000899125766478992,0.761999273948167,-2.030222910911,NA
"ILMN_1802181",0.318369344504732,5.38632087783725,3.48457311804609,0.000922470747780883,0.761999273948167,-2.04242539405301,"TUBBP5"
"ILMN_1782685",0.31886317656603,7.0634348888292,3.46653373386136,0.000975582932115033,0.773637265167221,-2.06907922748587,"DDB1"
"ILMN_1671209",0.315056247600048,5.25111046668319,3.42536079581217,0.00110787877754521,0.844757567878224,-2.12965096340352,"SYTL2"
"ILMN_1799015",-0.378548900403413,5.75949723274662,-3.40482374967306,0.00118005807785779,0.851439055569527,-2.15972524441968,"PXMP2"
"ILMN_1746164",0.379450761958765,5.54139521557293,3.37014163494298,0.0013121565465586,0.851439055569527,-2.21029938732442,"SCD5"
"ILMN_1722239",0.326658208636945,5.23545121307605,3.3667973596364,0.00132560847324847,0.851439055569527,-2.21516169139223,"TIMM8A"
"ILMN_1872542",-0.270673754456117,5.56652045171919,-3.35511759794535,0.00137361882860789,0.851439055569527,-2.23212306714736,NA
"ILMN_1656310",0.671701500230614,5.75132592496728,3.35481347375963,0.00137489063579209,0.851439055569527,-2.23256429931796,"IDO1"
"ILMN_1854985",-0.255801432913317,5.24649059111412,-3.35140298448745,0.00138922927365093,0.851439055569527,-2.23751087966415,NA
"ILMN_2062754",0.294945384622514,6.80062926349864,3.34482716807497,0.00141727560321788,0.851439055569527,-2.2470408930526,"SRA1"
"ILMN_1695562",0.359061059227798,5.63124403078835,3.33142899655096,0.00147608326029024,0.860686783389825,-2.26642724935041,"ZNF471"
"ILMN_1806906",0.302778254715639,6.16755711530336,3.31088862765835,0.00157073170286504,0.879134368458113,-2.29606662688806,"SSR3"
"ILMN_1804735",-0.410268928179855,6.04349085448442,-3.28226293337568,0.00171222182111107,0.879134368458113,-2.33720679742407,"CBS"
"ILMN_2089329",0.352483541638025,5.45214891606012,3.27180516020134,0.00176684489056437,0.879134368458113,-2.35218764057274,"SPRY2"
"ILMN_1732809",0.298016627296077,6.91025108695692,3.26502490836466,0.00180313226564966,0.879134368458113,-2.36188632122579,"ALG9"
"ILMN_1655906",-0.245911386658157,5.32029024838688,-3.25837942993571,0.0018393785449588,0.879134368458113,-2.37138141764587,"FBXW7"
"ILMN_1733407",0.334737865942234,5.94010514178406,3.25599170053041,0.00185256859165036,0.879134368458113,-2.37479039987581,"QTRT2"
"ILMN_1693428",-0.389599757948016,5.74403662824485,-3.2534994845099,0.00186643077748244,0.879134368458113,-2.37834707870168,"TNNC2"
"ILMN_2080760",-0.346025680099295,5.37161636323316,-3.24654562399392,0.00190562758137692,0.879134368458113,-2.3882630265517,"SNX22"
"ILMN_1864157",0.270733819525386,5.26851393430055,3.24633556330648,0.00190682359867333,0.879134368458113,-2.38856238146442,NA
"ILMN_1774387",-0.284927629147255,5.82720146578003,-3.22699972686981,0.00201999128343143,0.910143799864276,-2.41607123973108,"ZHX3"
"ILMN_1773276",0.393008132177356,5.31752267652077,3.21759417997346,0.00207729520748467,0.915163944186304,-2.42941902324522,"WHAMMP3"
"ILMN_1728934",0.291147912635872,6.09139596351691,3.18747519574133,0.00227124626388983,0.953042749157546,-2.47201348266637,"PRC1"
"ILMN_1737089",-0.278751998068782,6.18074255720328,-3.18246661436323,0.00230510313889343,0.953042749157546,-2.4790745098422,"CAPN5"
"ILMN_1860918",0.294013217681438,5.47220543879981,3.1821156629453,0.00230749316315572,0.953042749157546,-2.47956903794334,NA
"ILMN_1654331",0.257149785879677,5.17221099090146,3.16502475725934,0.00242673917219155,0.981838858953011,-2.50361404039575,"HOXB4"
"ILMN_1672122",-0.26137819520251,5.46153653890941,-3.14894990778973,0.00254414890999614,0.986724057195464,-2.52616134631602,"P4HTM"
"ILMN_1768016",-0.477243007649215,5.84787176369935,-3.13765284153245,0.00262982497907717,0.986724057195464,-2.54196723318514,"TNFRSF17"
"ILMN_1729208",-0.319106143656497,7.28533421715978,-3.13491109146773,0.00265102197381227,0.986724057195464,-2.54579826319442,"BEX3"
"ILMN_1801156",-0.331553103376397,6.35672725025989,-3.13124333628999,0.00267962838038229,0.986724057195464,-2.55092013593865,"RLF"
"ILMN_1879586",0.265626174293739,5.32030289227677,3.13021862176286,0.00268767208517302,0.986724057195464,-2.55235048222018,NA
"ILMN_1751463",-0.268245437933192,5.83767288059991,-3.12168607016346,0.0027555334398499,0.993244553545894,-2.56424998388452,"CDC14C"
"ILMN_1899842",-0.251799217280562,5.25946385665673,-3.09927852266316,0.00294145958318631,0.999907580979607,-2.59540852300849,"ELK4"
"ILMN_1854905",-0.23163501646586,5.20971577624248,-3.09727431714131,0.00295864889770253,0.999907580979607,-2.59818898411433,NA
"ILMN_2113102",0.297473276851205,5.9104275651873,3.0938717415951,0.00298804675943193,0.999907580979607,-2.60290698088353,"PHKG1"
"ILMN_1799232",0.28456920064942,5.24803677592069,3.07201422357511,0.00318350111637241,0.999907580979607,-2.63314089160681,"ATP9A"
"ILMN_1674228",-0.395895427911192,7.2877799447316,-3.068794142505,0.00321328513903608,0.999907580979607,-2.63758417248853,NA
"ILMN_1664236",0.397510845978413,7.08491172752718,3.06442631045098,0.00325410123370829,0.999907580979607,-2.64360673161419,"ADAM28"
"ILMN_1884193",-0.31972225835716,6.26511503371607,-3.05740278656611,0.00332075030368069,0.999907580979607,-2.65328027097505,NA
"ILMN_1867355",-0.262941632537643,6.02228763006184,-3.04468557672589,0.0034446817040591,0.999907580979607,-2.67076171312071,NA
"ILMN_1717229",0.333812535930842,6.0608561801193,3.03475274184873,0.00354446524132865,0.999907580979607,-2.68438500989869,"PRXL2C"
"ILMN_1844115",-0.25058573587919,5.56819924275159,-3.03277396913439,0.00356466283889254,0.999907580979607,-2.6870957530796,NA
"ILMN_1658634",0.228659738240107,5.3022707026326,3.02710276142719,0.00362314556673076,0.999907580979607,-2.69485884913429,NA
"ILMN_2251047",0.32984470608089,5.37524385094319,3.02264603588056,0.00366973043583493,0.999907580979607,-2.70095327868521,"SMARCC2"
"ILMN_1658422",-0.246006041475148,5.53585410253966,-3.01467699335284,0.00375442243522211,0.999907580979607,-2.71183702638889,"FAHD2A"
"ILMN_2403047",0.327533531614901,5.15468167987695,3.00667357362079,0.00384130920854847,0.999907580979607,-2.72275002563214,"ARL13B"
"ILMN_1752793",-0.356724941206255,6.29022746999054,-2.99329050422551,0.00399079265537949,0.999907580979607,-2.74095857978019,"SAP18"
"ILMN_1715901",-0.356774679347077,5.47013487016715,-2.99274748447255,0.00399697074336713,0.999907580979607,-2.74169633815602,"FBXL17"
"ILMN_1676440",-0.386289218555262,6.65171456712036,-2.99053108096792,0.00402227978355351,0.999907580979607,-2.74470673548871,NA
"ILMN_2047430",-0.324894362916089,5.89337897388461,-2.98754588039281,0.00405660335746052,0.999907580979607,-2.74875916374848,"MARCHF5"
"ILMN_2270900",0.249640455841622,6.24712661458622,2.98396041383553,0.00409818881061417,0.999907580979607,-2.75362315001893,"ZNF197"
"ILMN_2403911",-0.301848328743062,5.94113569049394,-2.97326895235893,0.00422455738416174,0.999907580979607,-2.76810552835107,"ARFIP1"
"ILMN_2115125",0.305184118578099,5.42319612242594,2.97309334666342,0.0042266628840807,0.999907580979607,-2.76834313003869,"CCN2"
"ILMN_1688180",0.354553056230902,5.82193777742913,2.97052423232979,0.00425757810902238,0.999907580979607,-2.77181824962447,"ASPSCR1"
"ILMN_1711823",0.249533039556887,9.25807193584933,2.95721092672674,0.00442117599781374,0.999907580979607,-2.78979654864947,"FAAP100"
