"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.86476509308214,5.05636014858666,-10.4725953611034,3.22781046567315e-15,6.39913424819702e-11,23.6684919125867,"OTOF"
"ILMN_1719949",-1.27434293145167,5.96975586009931,-9.57748693907938,9.72499873632206e-14,9.63990499737924e-10,20.5370788523737,NA
"ILMN_1851599",2.01251643385695,5.7666414945023,8.36938485625043,1.07530084386381e-11,7.1059464098667e-08,16.173212999305,NA
"ILMN_1860051",0.894809399360856,5.10353946643906,8.28551476850193,1.49575652333658e-11,7.4133432687869e-08,15.8658113449639,NA
"ILMN_1783806",1.01475483461224,6.40320626639447,7.81443189606864,9.59291224314722e-11,3.80358970440787e-07,14.132147442073,"DTNBP1"
"ILMN_1690105",1.28676758720852,9.86170533223762,7.70109450060802,1.5013025755869e-10,4.96055392683505e-07,13.7136909804004,"STAT1"
"ILMN_1774077",0.805638847612424,12.0871667586366,7.64196132601781,1.8966264688621e-10,5.37151710645586e-07,13.49522324065,"GBP2"
"ILMN_1691364",1.19759471197457,11.8729648771411,7.33723854715587,6.32596126977188e-10,1.56765227716534e-06,12.3685028526504,"STAT1"
"ILMN_1802831",-0.846945899216984,6.50846162202043,-7.25248828372977,8.84223055097261e-10,1.94774689636702e-06,12.0550409283821,"MTMR12"
"ILMN_2132599",2.00563978399973,6.14199185208545,7.17939194149775,1.18018305058397e-09,2.33971289778272e-06,11.78471695294,"ANKRD22"
"ILMN_2141030",-1.19980989274756,5.86337249085421,-7.12666817562345,1.45329799129624e-09,2.40160083666163e-06,11.5897727308214,NA
"ILMN_1782487",1.53664620240933,6.20579763630547,7.12568632298743,1.45894168686397e-09,2.40160083666163e-06,11.5861427597479,"GBP1"
"ILMN_1661599",-1.66680997926215,8.86934953997528,-7.10632319796554,1.57482022076173e-09,2.40160083666163e-06,11.5145594012002,"DDIT4"
"ILMN_1817678",1.01272328236398,6.15036479355587,7.02429276377075,2.17666888341334e-09,3.04113839120757e-06,11.211384081433,NA
"ILMN_1799848",2.09056342588493,6.08906637317668,7.00866827491463,2.31501401205516e-09,3.04113839120757e-06,11.1536553082672,"ANKRD22"
"ILMN_1777325",0.910274792272153,10.5819485742465,6.99384257616044,2.45438659567824e-09,3.04113839120757e-06,11.0988838006437,"STAT1"
"ILMN_2211724",0.723865762432315,14.2787459110821,6.97349588282304,2.65938353981254e-09,3.10131051039904e-06,11.0237256530167,"FOXK1"
"ILMN_2115974",-1.5368167661255,7.71407707859313,-6.88939965524992,3.70416540296004e-09,4.07972661742682e-06,10.7132216058174,"GSDMA"
"ILMN_2409078",-1.34586421779571,6.02140478000601,-6.76601327926095,6.0195195092229e-09,5.98480264930423e-06,10.2581343107515,"SNHG10"
"ILMN_1701914",1.15071517879114,5.02549708856052,6.76524914045984,6.03763192868018e-09,5.98480264930423e-06,10.2553180282929,"CD274"
"ILMN_1693830",1.06350909976468,7.48449163248865,6.72048675095629,7.19903593652100e-09,6.79623273531089e-06,10.0903937873133,"LACTB"
"ILMN_2261600",1.65612670764667,9.23240458378439,6.58003556291426,1.24925502663254e-08,1.0830232473786e-05,9.57363040537099,"FCGR1A"
"ILMN_1751020",-1.05705753394732,6.31048748171744,-6.57856607134208,1.25647085446193e-08,1.0830232473786e-05,9.5682300934841,"PACSIN1"
"ILMN_2159322",0.775754055918923,8.22534874804535,6.49373456329057,1.75156438872568e-08,1.44686516693694e-05,9.256730441994,"SLK"
"ILMN_1744647",0.84130384299252,6.60291403674689,6.47495469433103,1.88508546825335e-08,1.47196930578452e-05,9.18784157608229,"CAND1"
"ILMN_2270299",-1.1130599670542,5.42558585394356,-6.46887388659602,1.93045154856986e-08,1.47196930578452e-05,9.16554153356766,"TP53BP2"
"ILMN_2190851",-1.51247862943595,7.83452043678275,-6.4569412284239,2.02265480981514e-08,1.48515302239205e-05,9.12178941771516,"PPID"
"ILMN_1762594",0.843883048084936,8.58127352552886,6.43110940790112,2.23752781492349e-08,1.58424960467351e-05,9.02711331674781,"NOD2"
"ILMN_2095653",-1.54976098981014,7.0854040072632,-6.40955278213507,2.43410199577593e-08,1.66400248504338e-05,8.94814756642822,"AFMID"
"ILMN_1654389",1.38731260599441,5.53596613883094,6.32985443087187,3.32187045509895e-08,2.19520272574455e-05,8.65654296646525,"FCGR1A"
"ILMN_2064355",-1.02632699297483,5.51040220468677,-6.23005819349379,4.89885831592869e-08,3.04754974828359e-05,8.29223229463924,"MCF2L2"
"ILMN_1701114",1.54942292463877,8.82282510959262,6.22899632677163,4.91912191400125e-08,3.04754974828359e-05,8.28836120965361,"GBP1"
"ILMN_2112730",-1.1791085789832,7.44004659825434,-6.21098246504698,5.27583870927826e-08,3.1634010783642e-05,8.22270861113729,"SLC9A4"
"ILMN_2359096",-1.22260246565383,7.04363271478436,-6.20379396266873,5.42525279517693e-08,3.1634010783642e-05,8.19651914578527,"SS18"
"ILMN_1713058",0.836450647014703,8.77589205524962,6.19287519444237,5.66027306473138e-08,3.20614038595142e-05,8.15674987246078,"PSTPIP2"
"ILMN_1651279",-0.76077282951613,6.23180108710988,-6.15186719693162,6.63675512853665e-08,3.65482417842331e-05,8.00750203726003,NA
"ILMN_1680388",-0.694676952149698,8.76622233923883,-6.12934573166187,7.24234745588886e-08,3.88052806251342e-05,7.92561486991817,"LINC00989"
"ILMN_2391051",1.5714233365156,8.05612680737552,6.09778660246505,8.18421581826597e-08,4.25239020056885e-05,7.81096476491406,"FCGR1BP"
"ILMN_1840920",0.867229178643011,8.34499583606804,6.09213246386857,8.36535777161086e-08,4.25239020056885e-05,7.79043631346021,NA
"ILMN_2130078",0.623637000613659,14.282871117935,6.07772841556831,8.84498753515852e-08,4.31372509930952e-05,7.73815675894989,"CDKN2AIPNL"
"ILMN_1682180",0.613928921209451,8.39171688766426,6.0755113004728,8.92119692669308e-08,4.31372509930952e-05,7.73011193338716,"VCPIP1"
"ILMN_1880930",0.790014591674404,5.63398261187284,6.00964724036299,1.15076114296211e-07,5.43186658552946e-05,7.49139876368932,NA
"ILMN_1689623",-0.859980664029676,6.66717667869256,-5.99280368156474,1.22806153963659e-07,5.62577307738194e-05,7.43043996343176,NA
"ILMN_2176063",1.68514746448909,7.95887158700011,5.98850602220066,1.24859528577455e-07,5.62577307738194e-05,7.41489211837442,"FCGR1A"
"ILMN_2258409",0.951097451567728,5.08711687075045,5.97329565290608,1.32403950984402e-07,5.83312961836839e-05,7.35988427969774,"P2RY14"
"ILMN_1687201",1.04586320338437,5.97237504628996,5.94792377242101,1.46006286293848e-07,6.29255353429465e-05,7.26819599626843,"APOL6"
"ILMN_1778373",-0.891703979394475,5.44807711674585,-5.89205663284695,1.81030303043929e-07,7.63601225073595e-05,7.06661477458085,NA
"ILMN_1766560",0.788683182285898,6.30888780515381,5.8365020187066,2.24085666166208e-07,9.15752507154918e-05,6.86660133111987,"ANKHD1-EIF4EBP3"
"ILMN_1899960",0.830505907853076,7.97002145881426,5.83389294121425,2.26339837834003e-07,9.15752507154918e-05,6.85721900655177,NA
"ILMN_2327795",0.725455102052312,8.58174243576113,5.81889501263789,2.39739720842203e-07,9.40799705246388e-05,6.80330577805755,"RERE"
"ILMN_2148785",1.5115214896208,9.36252477479884,5.81642392502017,2.42021613959979e-07,9.40799705246388e-05,6.79442618432014,"GBP1"
"ILMN_2055310",0.835895955954503,11.3466457843479,5.80522696413622,2.52633573673893e-07,9.63165499631716e-05,6.75420270852763,"MBD4"
"ILMN_1692145",0.770767053126938,13.1767113990071,5.79212888298939,2.65632759330531e-07,9.82383399517249e-05,6.70717408473503,"ZNF14"
"ILMN_1682993",-1.05431252732103,11.9048587648776,-5.78831124851897,2.69544603654381e-07,9.82383399517249e-05,6.69347185916289,"NKG7"
"ILMN_1784780",0.760483593201175,7.29526570418987,5.7854247112272,2.7254016127843e-07,9.82383399517249e-05,6.68311302122829,"CIC"
"ILMN_2151168",-0.86697894533643,5.42671796974112,-5.77065908975152,2.88386256624366e-07,0.000100825468054955,6.63014436429031,"SLC30A6"
"ILMN_1771135",-0.650761173186719,7.28630313490333,-5.7693006250688,2.89889113701509e-07,0.000100825468054955,6.62527286624292,"ZKSCAN2"
"ILMN_1789786",-0.662283413330762,5.52067537333826,-5.7589976922064,3.01542154611102e-07,0.000103070227847674,6.58833570307477,NA
"ILMN_2258234",-0.827412746079062,6.55413246367993,-5.71856037580005,3.51928347318691e-07,0.000118253889586323,6.44352767247702,"KLHL5"
"ILMN_2170949",0.803438254175774,9.70875842232259,5.70823342645863,3.66077756055236e-07,0.000120958191896584,6.40658900700088,"SNX10"
"ILMN_2227495",0.742723862724239,13.718603791788,5.67119316152109,4.21610860716059e-07,0.000137023529732719,6.27424501383101,"ZNF549"
"ILMN_1660624",0.928925605836336,6.01959246004702,5.66578349287126,4.30389573878684e-07,0.000137620537131369,6.25493577306504,"LIMK2"
"ILMN_1796423",-1.02274952308334,7.88012787349734,-5.65283592083626,4.52140949434892e-07,0.000142280862262646,6.20874112453964,"CLIC3"
"ILMN_2277252",-1.00386319415427,5.7301730050052,-5.62057652545006,5.11173240853097e-07,0.000157402307870917,6.09377172832918,"PPFIBP1"
"ILMN_1740633",-0.913089497671549,9.71681078993037,-5.61806664237093,5.16073140560384e-07,0.000157402307870917,6.0848344017658,"PRF1"
"ILMN_1754187",-0.805555565279742,6.23852761873213,-5.60835433192835,5.35474906469682e-07,0.000160132080307243,6.05026081557041,"DMRTB1"
"ILMN_1872419",1.03951077238745,11.3944266372259,5.60556558134133,5.41177774556634e-07,0.000160132080307243,6.04033661068199,NA
"ILMN_1780026",0.874396655421504,6.627353887309,5.59367891029942,5.66165761193255e-07,0.000165062297289063,5.9980516608668,"ZNF430"
"ILMN_1881538",-0.823120498026163,6.52666787290911,-5.58229591417661,5.91161661454656e-07,0.000169851883164327,5.9575823365071,NA
"ILMN_1711174",-0.649840237257679,5.66159927228412,-5.56678597586631,6.26981873173513e-07,0.000177570223366641,5.90247869334896,"SPRR1B"
"ILMN_2114568",1.24988979788607,9.96624023477901,5.53996028860508,6.94062172044781e-07,0.000193542946839209,5.80727723845436,"GBP5"
"ILMN_1677691",0.951171292188908,11.3484282332698,5.53661655451029,7.02905027612764e-07,0.000193542946839209,5.79542009501798,"CPM"
"ILMN_1840036",-0.611640411062749,5.83880363429839,-5.51903120454532,7.51273726124686e-07,0.000204027419457834,5.73309577725095,NA
"ILMN_1782086",1.08957699189059,5.45673440154961,5.5046906892241,7.93136839369554e-07,0.000212485646493262,5.6823150384213,"AOC3"
"ILMN_2094631",-0.650869133359239,6.27620968522037,-5.50032076684283,8.06345216155328e-07,0.000213143918803725,5.66684869034086,"TRIM60"
"ILMN_2396903",1.04916260630651,7.52772532420493,5.48543589003363,8.52985177478483e-07,0.000220629092784131,5.61419476239005,"KCNJ15"
"ILMN_1712914",-1.02154606113893,8.86745213109246,-5.48421705838239,8.5692005772399e-07,0.000220629092784131,5.60988516090601,"SEMA6B"
"ILMN_1914249",-0.59212503152392,5.90131632279495,-5.47908614390873,8.73682003098599e-07,0.000221692827664359,5.59174621686882,NA
"ILMN_1784602",-0.655131418721847,9.48751344916922,-5.47615073605518,8.83416564211063e-07,0.000221692827664359,5.58137120278162,"CDKN1A"
"ILMN_1776788",0.699878649924662,10.012812593933,5.46890327663682,9.07911503913469e-07,0.000224775935498721,5.55576276196586,"CREBRF"
"ILMN_2286014",0.735289928428101,13.4315507204148,5.46586502625703,9.18378349326426e-07,0.000224775935498721,5.5450303743826,"CATSPER2"
"ILMN_1782753",0.639884606510124,7.14942121231666,5.45392039334255,9.60694045611787e-07,0.000232070972942619,5.50285459149944,"ANXA2R-AS1"
"ILMN_1721204",0.589630011300305,12.3967218601778,5.45092711530663,9.71596002735808e-07,0.000232070972942619,5.492289952161,NA
"ILMN_1663657",-0.676098102153901,5.93877462259047,-5.44178598003132,1.00565012346352e-06,0.000237345401162669,5.46003781975908,NA
"ILMN_1845328",-0.703318481617445,5.72561337550757,-5.43145106404053,1.04557041018211e-06,0.000242021225597489,5.42359397066427,NA
"ILMN_2196232",-0.839208438140248,5.4866048768267,-5.42916208451873,1.05462111333204e-06,0.000242021225597489,5.4155252974363,"C1orf210"
"ILMN_1771155",-0.574022025993738,5.48083831431258,-5.42627838575184,1.06613337374944e-06,0.000242021225597489,5.40536174557603,NA
"ILMN_1661776",0.950979710347438,5.82059688757358,5.42425290287777,1.07429346040752e-06,0.000242021225597489,5.39822397198161,"CENPJ"
"ILMN_1685397",-0.574813357113459,7.95445459238886,-5.4169791028152,1.10410830046887e-06,0.000245943225357252,5.37259808812105,"ITGA3"
"ILMN_1716276",-1.10831762760193,8.42306565838468,-5.39199804408761,1.21284941086134e-06,0.000264571641914482,5.28467151404999,"CCL4"
"ILMN_1795338",-0.61464471644215,7.56961213248111,-5.39165206816441,1.21442720878778e-06,0.000264571641914482,5.28345467808919,"YPEL1"
"ILMN_1846567",-0.644991356707469,5.89459591232252,-5.38597654381112,1.24060065996866e-06,0.000267335957433463,5.26349678242079,NA
"ILMN_1739335",-0.536839182031272,11.732487887831,-5.35203133187919,1.40915481231986e-06,0.000300392410260658,5.14427021144117,"OST4"
"ILMN_1865069",-0.733949826878131,7.01803524831152,-5.34508613362537,1.44632438495612e-06,0.000305035967359096,5.11990656456346,NA
"ILMN_1652660",0.848056599463316,6.01413730694195,5.34076692773967,1.46992537863929e-06,0.000306750217173937,5.1047600727524,NA
"ILMN_1793300",-0.749187183583798,6.66585429006766,-5.33249991754249,1.5161606218275e-06,0.000311897392824382,5.07578071228294,"DYTN"
"ILMN_1795166",-0.635500731571921,5.96103619952081,-5.33076299407435,1.52605533941816e-06,0.000311897392824382,5.06969393868631,"PTH1R"
"ILMN_1820226",-0.652140963450096,6.09612280647446,-5.32208487862067,1.57645247879941e-06,0.000316494798289669,5.03929265558135,NA
"ILMN_1850677",0.922270637202132,7.44668017794007,5.32140345930942,1.58047843786518e-06,0.000316494798289669,5.03690619209538,NA
"ILMN_1798233",1.07049664325014,6.52365829490968,5.31236078459136,1.63487272219548e-06,0.000323853978373439,5.00524657536222,"PSMB9"
"ILMN_1664124",-0.892275012797558,6.92173306465084,-5.30991493998682,1.64989920886342e-06,0.000323853978373439,4.99668641997971,"FLJ13224"
"ILMN_1903064",0.858044483154861,5.36485987443426,5.3017100978366,1.70130719748585e-06,0.000330670737158402,4.96798008398606,NA
"ILMN_1713726",0.679624875544383,5.28703386823396,5.29448078281274,1.74790769699322e-06,0.000336429806727093,4.94269913981966,"NFYA"
"ILMN_1727495",0.607664929541563,7.08462149515459,5.29145217049193,1.76780170867848e-06,0.000336987200716836,4.9321115109894,"L3MBTL3"
"ILMN_1669424",-0.648951286059658,12.5124873380648,-5.2855401365412,1.807280385472e-06,0.000341231748971261,4.91144969542403,"YBX1"
"ILMN_1881284",-0.63063697179531,5.96607372469557,-5.28238282763861,1.82871807898542e-06,0.000342022036942321,4.90041848843255,NA
"ILMN_1859392",-0.652732322637089,6.42250648870415,-5.27403013784393,1.88664606061246e-06,0.00034684706024718,4.871246081692,NA
"ILMN_1878133",-0.483275963329661,5.4609262299201,-5.27362414093252,1.88950731433521e-06,0.00034684706024718,4.86982850523385,NA
"ILMN_1778098",-0.66773827602852,5.97921793924362,-5.24353919922842,2.11384902262221e-06,0.000381059720359857,4.76488781716774,NA
"ILMN_2123312",0.665794956432974,13.0685019766944,5.24347828471026,2.11432883932329e-06,0.000381059720359857,4.76467554737897,"ERAP2"
"ILMN_2044471",-0.711797819754312,7.25144970020612,-5.23194385092044,2.20714227927281e-06,0.000390202985590689,4.72449667848815,"NCR3"
"ILMN_2092933",-1.09014039704512,6.14367047098736,-5.23061428108706,2.21809515101819e-06,0.000390202985590689,4.71986724448789,"ADAMTS4"
"ILMN_1681728",-0.599941619691333,6.77751647841373,-5.22984861214682,2.22442690375455e-06,0.000390202985590689,4.71720144426416,NA
