"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1739235",0.724733573990926,4.89628825960572,6.70938189171341,7.59203261248775e-09,0.000111254960242697,9.47508675021946,"OMG"
"ILMN_1663347",-0.544188038258359,5.05636014858666,-6.65290186539879,9.47495829012921e-09,0.000111254960242697,9.2831773337154,"OTOF"
"ILMN_1745041",-0.575391080932753,5.24865024432984,-6.02433184781331,1.09500963647265e-07,0.000857173543430794,7.15639822040628,"TCF15"
"ILMN_1753567",0.787842744889963,7.56844655399724,5.68711318979356,3.99165203834778e-07,0.00234349891171398,6.02815057628647,"ZNF451"
"ILMN_1673804",0.597281664988017,6.96476868792295,5.54285540775516,6.90304423289625e-07,0.00324222181530671,5.54972139736481,"ZNF426"
"ILMN_1655645",0.658115293079081,6.17388786538488,5.3313744058514,1.53009010717702e-06,0.00598877267949088,4.85403644710553,"AK2"
"ILMN_1652660",0.852117669197073,6.01413730694195,5.27023251471245,1.92271245971729e-06,0.00645042562914297,4.65432215357089,NA
"ILMN_1657139",0.490683525828332,8.4943662186552,5.10736985518739,3.518614334325e-06,0.010328892378411,4.12581996572773,"ADAT1"
"ILMN_1669070",0.716758138340715,5.46871889547387,5.01667608347148,4.9129202525648e-06,0.0118730588602413,3.83387584541928,"MIPEP"
"ILMN_1694482",-0.746475131177167,5.77529193615169,-5.00886058926176,5.05580772451088e-06,0.0118730588602413,3.80880180604202,"CELSR1"
"ILMN_1755221",-0.609457184446313,6.6377633984571,-4.9734170735438,5.75665698557305e-06,0.0122899393317452,3.6952628877108,"LMAN2L"
"ILMN_1783798",0.444400960056232,4.97055120680248,4.90132464646842,7.48872638829244e-06,0.0141640987464067,3.46521933385469,"GAS8"
"ILMN_1824666",0.754275348675864,6.41903103278108,4.88869418863375,7.84079729617133e-06,0.0141640987464067,3.42504303825234,NA
"ILMN_1784780",0.63766593709525,7.29526570418987,4.84699562101625,9.12214870518182e-06,0.0153017528708921,3.29267985634414,"CIC"
"ILMN_1868091",-0.505009793705671,5.51160090846737,-4.82641072625611,9.82815379853812e-06,0.0153869575869913,3.22749621840427,NA
"ILMN_1709265",0.551854422504689,7.11099177522595,4.7808175073626,1.1587619560637e-05,0.0162222099922781,3.08350380773676,"RNF170"
"ILMN_1680302",0.619697112823108,5.68087218828202,4.77711769738933,1.17432111168765e-05,0.0162222099922781,3.07184249884327,NA
"ILMN_1780026",0.737665433351035,6.627353887309,4.70071344677917,1.54533880062891e-05,0.0183466740572183,2.83183286687341,"ZNF430"
"ILMN_1735539",0.483998405530952,6.92570576186048,4.68552171031993,1.63170941840678e-05,0.0183466740572183,2.78429774789967,NA
"ILMN_1763560",0.551537060512058,6.08933352296658,4.68407835098257,1.64015653225769e-05,0.0183466740572183,2.77978474412451,"NFKBID"
"ILMN_2124064",0.693472281876183,6.93176031112037,4.682102754744,1.65178776707481e-05,0.0183466740572183,2.77360850329769,"REL"
"ILMN_1744308",0.504668893455779,7.46583765488061,4.66108204392998,1.78064252459549e-05,0.0183466740572183,2.70795883587974,"DHX33"
"ILMN_2328433",0.682190560274748,6.58595443291245,4.65854305947356,1.79685531986042e-05,0.0183466740572183,2.70003764001656,"NOP2"
"ILMN_2415634",-0.774669071181075,4.98033115505013,-4.63452553240101,1.95752315510012e-05,0.0191543640726547,2.62519631928198,"TTN"
"ILMN_1914249",-0.497410684026037,5.90131632279495,-4.60296218371572,2.19012470160472e-05,0.0205731553969941,2.52708959498796,NA
"ILMN_1810107",-0.583536601235026,5.76820837981511,-4.55852607856784,2.5638237819822e-05,0.0231572452677192,2.3894581992718,"SPEM2"
"ILMN_1726189",0.610565793340035,7.26427182908716,4.54424292312357,2.69663675294584e-05,0.0234547472245112,2.34534219211867,"MS4A14"
"ILMN_2391419",-0.747030541131642,7.25269991904837,-4.52954365781226,2.8403118170161e-05,0.023822100968145,2.30000431354439,"SYNE2"
"ILMN_1727692",0.378122284316201,7.72826490565804,4.50398367311867,3.10809141089753e-05,0.0251691098943164,2.22132261280418,"TRIT1"
"ILMN_1761968",-0.580042142231591,7.1222552066817,-4.4604494114867,3.62178468186501e-05,0.0283513304896393,2.08776928576519,"PPP1R14A"
"ILMN_1699172",0.562647907488394,5.84790973605024,4.44597377357267,3.8102228713227e-05,0.0288642819064975,2.04349134317581,"AFG3L1P"
"ILMN_1902094",0.377615914708965,5.13656908884522,4.41489803922405,4.24751746090106e-05,0.0302503430989753,1.94865996290859,NA
"ILMN_1861896",0.760118557294899,6.30874156171947,4.41467575479096,4.25081469198682e-05,0.0302503430989753,1.94798273880823,NA
"ILMN_1670666",0.459306517831712,7.68507338728266,4.38165409728323,4.76929188768097e-05,0.0329417796147941,1.84755329700537,NA
"ILMN_1783806",0.567017126707223,6.40320626639447,4.36647676868351,5.02772599499935e-05,0.0332489035820501,1.80151257937422,"DTNBP1"
"ILMN_1706758",-0.620940174769726,6.76598105815638,-4.36254176963723,5.09691930230712e-05,0.0332489035820501,1.78958796812678,"SEC24C"
"ILMN_1910550",0.413765958507999,7.57963613566462,4.33831127920271,5.54381753464471e-05,0.0351867597252963,1.71627226248354,NA
"ILMN_1708059",0.663330752694024,5.90609700471087,4.30274218871867,6.26942516912989e-05,0.0380115816542595,1.60900255821972,"USP13"
"ILMN_1709925",0.727687295937627,5.88545504261643,4.29370826714411,6.46790997101768e-05,0.0380115816542595,1.58182578421903,"GPR155"
"ILMN_1854985",-0.440184056249246,5.24649059111412,-4.29341454466264,6.47446459789805e-05,0.0380115816542595,1.58094264276896,NA
"ILMN_1660810",0.581473078098948,8.01102132804858,4.24493794736063,7.64925734813347e-05,0.0438134535520894,1.43559208068798,"TTC17"
"ILMN_1663327",0.460326085569184,5.16165843994992,4.23465572429421,7.92375847424407e-05,0.0443051295259876,1.40486675039095,"SOX6"
"ILMN_2388363",-0.619957061368248,5.82572709264484,-4.22062311423794,8.31382422503865e-05,0.0454050809536762,1.36299427077949,"IMPDH1"
"ILMN_1782350",-0.512965833073425,6.06024492271673,-4.20948534958069,8.63659637118918e-05,0.0460958702684106,1.32980922343817,NA
"ILMN_1671004",0.6470706561563,6.88037369382464,4.19055159282911,9.21333640408671e-05,0.0480813315807938,1.27349699320669,"POLG2"
"ILMN_1827756",-0.406028531454655,5.18519628622193,-4.18311681303338,9.44985209897962e-05,0.0482435492809647,1.25141968776364,NA
"ILMN_2169856",0.673682368843764,6.77266553401723,4.15197775999156,0.000105058605602089,0.0505290362310133,1.15916988249382,"C12orf43"
"ILMN_1730497",0.684542851555241,6.10379560906889,4.15171860293044,0.000105151108431941,0.0505290362310133,1.15840360239653,"TRIM39"
"ILMN_1805932",0.453276515923343,5.0443742854705,4.14706580441466,0.000106825327154675,0.0505290362310133,1.14465029589151,"C6orf163"
"ILMN_1708098",-0.444976815178154,6.95381424114353,-4.14498648620997,0.000107581834932323,0.0505290362310133,1.13850655112585,"LIX1L"
"ILMN_1655961",0.464882003310602,7.83589062704493,4.13782414830461,0.000110227523191422,0.0507565324436735,1.11735616380687,"SND1-IT1"
"ILMN_1689899",0.543054107308871,5.99520370088759,4.11187366861306,0.000120350230071545,0.0516988937798035,1.04088254782457,"MTERF4"
"ILMN_1735148",0.465922658307385,7.66600393152766,4.10541994505024,0.000123003863965067,0.0516988937798035,1.02190276948545,"SEC24B"
"ILMN_1766914",0.453113524524058,5.18735256950948,4.10534412106008,0.000123035374612645,0.0516988937798035,1.02167987062602,"MFAP4"
"ILMN_2270299",-0.705674837009266,5.42558585394356,-4.10482930449337,0.000123249526429199,0.0516988937798035,1.02016652731878,"TP53BP2"
"ILMN_1685260",0.444797219656111,7.27150353987755,4.09933741617057,0.00012555654789846,0.0516988937798035,1.00402884951885,"DNM1L"
"ILMN_1796923",-0.590072981734787,5.62863850948265,-4.0890093876606,0.000130008596658318,0.0516988937798035,0.973710944596637,"REXO5"
"ILMN_1766085",0.613748724255531,7.33355491879203,4.08480061123658,0.000131866235973034,0.0516988937798035,0.961367571485023,"REL"
"ILMN_1752320",-0.42427500381611,5.26508800960642,-4.0821500978467,0.000133049224132096,0.0516988937798035,0.953597646246581,NA
