"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.895943704350852,5.05636014858666,-10.9532461629343,5.53816874709218e-16,1.30058354856713e-11,22.2933808229154,"OTOF"
"ILMN_2193443",-0.561046232267447,4.90772679591983,-5.53229112543066,7.18452291879711e-07,0.00843606681125156,5.32417526881868,"TRIM16L"
"ILMN_1711174",-0.602639621099689,5.66159927228412,-5.17177484561046,2.77267665069355e-06,0.0217045128216291,4.18067957449951,"SPRR1B"
"ILMN_1771962",-0.417563590531487,5.13402902716121,-5.05562862272616,4.25779667287173e-06,0.02499752426643,3.81704175181867,"GLI3"
"ILMN_1757956",-0.530612290085679,6.74566904570334,-4.84757446273083,9.10303133055877e-06,0.0427551175533684,3.17256117969053,"PCGF1"
"ILMN_1652660",0.765886150744332,6.01413730694195,4.73690223795515,1.35718734110428e-05,0.0473471594173865,2.83373573779937,NA
"ILMN_1761963",0.516441279931233,8.07131217570889,4.72601526129519,1.41130180515119e-05,0.0473471594173865,2.8005663209182,"ABHD18"
"ILMN_1775357",0.803145577928357,6.1977901199189,4.64311164699078,1.89853745577611e-05,0.0520105795831494,2.54897300555471,NA
"ILMN_1730504",0.686600635555344,6.76556785518776,4.62944674077211,1.99325164472979e-05,0.0520105795831494,2.50767490105449,"AGPAT4"
"ILMN_1692481",-0.46104451416991,4.93988188433364,-4.55928888890496,2.55691297200948e-05,0.0591910819195483,2.29643538296105,"LINC01003"
"ILMN_1724666",0.648394463435198,7.57098138259459,4.53638542191795,2.77253407049494e-05,0.0591910819195483,2.22776802900026,NA
"ILMN_1852387",0.754754813218146,5.49774996313094,4.4903631184005,3.26066787658353e-05,0.0638112703447397,2.09023587839763,NA
"ILMN_1784780",0.584864424515984,7.29526570418987,4.4456433056949,3.81463421959091e-05,0.0689099000099023,1.95718221001323,"CIC"
"ILMN_1662675",0.467669491363002,5.15331300113848,4.38758432644747,4.67186057341218e-05,0.0783671240757225,1.78532743728544,"ADAM2"
"ILMN_1721204",0.471039408128892,12.3967218601778,4.34157595736612,5.48145917981845e-05,0.0858177249192377,1.64987380168404,NA
"ILMN_1817678",0.627042610880404,6.15036479355587,4.31255830406123,6.06045291835783e-05,0.0867552561850092,1.56478336192194,NA
"ILMN_2141482",-0.42035529513053,5.00005049394768,-4.29440492029627,6.45238938085052e-05,0.0867552561850092,1.51168722345535,"SERPINF1"
"ILMN_1899960",0.618787260716795,7.97002145881426,4.28085698200186,6.76080047223529e-05,0.0867552561850092,1.47213046300587,NA
"ILMN_1841178",-0.493728924073421,5.66730286313993,-4.2648298227288,7.14412747848022e-05,0.0867552561850092,1.42541186014848,NA
"ILMN_1695369",0.440631398906288,5.1466631739304,4.25456598843629,7.40058813542637e-05,0.0867552561850092,1.39553722853247,"PLEKHM3"
"ILMN_1701482",-0.507599408254397,6.02391651441585,-4.21894535682794,8.36168724163629e-05,0.0867552561850092,1.29212724405406,"POFUT2"
"ILMN_1800796",0.549089520063367,6.36128534127054,4.21397040074887,8.50518649980105e-05,0.0867552561850092,1.27771813427201,NA
"ILMN_1874706",-0.413862871963252,5.42173357437709,-4.19419435551718,9.09955370947069e-05,0.0867552561850092,1.22052260106125,NA
"ILMN_1672626",-0.513226231815526,5.84270569428089,-4.18816009836846,9.28878277822237e-05,0.0867552561850092,1.20309690752998,NA
"ILMN_1652872",-0.502319911867252,6.06044242793648,-4.1832941598082,9.44414254057327e-05,0.0867552561850092,1.18905410109563,"UBOX5"
"ILMN_2214594",-0.422051779662933,5.42399673442229,-4.17126546172812,9.83906132873141e-05,0.0867552561850092,1.15437470867294,"DEFB107A"
"ILMN_1802831",-0.488379011523912,6.50846162202043,-4.16724999457238,9.97441627063212e-05,0.0867552561850092,1.14280894007125,"MTMR12"
"ILMN_1815758",0.872063487324054,6.10791769689097,4.14256347065133,0.000108469923688774,0.08739139047448,1.07182651333812,"GAB2"
"ILMN_1661288",-0.407791519334892,5.09125784665956,-4.13832339631294,0.000110041085321283,0.08739139047448,1.05965609521124,NA
"ILMN_2099277",0.586754820492158,5.63563703063939,4.12018942358153,0.000117012416278435,0.08739139047448,1.00767655291272,"HTRA4"
"ILMN_1695226",0.420479045522089,5.09893815181225,4.11665960568624,0.000118418157902115,0.08739139047448,0.99757205338353,"DIAPH3"
"ILMN_2338116",0.75532056280716,6.33799452672462,4.11500645239665,0.000119082119535997,0.08739139047448,0.992841227747284,"TRAF5"
"ILMN_1723909",0.592355545691589,7.02506241909456,4.1023983678382,0.000124265613527542,0.0884319293357821,0.956792499021252,"RPL21P44"
"ILMN_1783097",0.591386688383986,6.68200609212025,4.092937706704,0.000128297560615891,0.0886158798089287,0.929779880378518,"PDE4DIPP6"
"ILMN_1871107",-0.380435803095257,5.29662630194556,-4.08089057489228,0.000133614964683461,0.0895666716284095,0.895428491958167,NA
"ILMN_1902563",0.645091754549884,6.59431809837636,4.06528225099379,0.000140821351713529,0.0895666716284095,0.851000213703387,NA
"ILMN_1690880",0.507970063797622,7.50768888003241,4.06466071893031,0.000141115944909349,0.0895666716284095,0.849232875866322,NA
"ILMN_1693107",-0.476264307386175,5.36572109064027,-4.05164792559998,0.00014742207305769,0.0897267993661232,0.812262935109672,"MLH3"
"ILMN_1892511",-0.384271500860194,5.16347995025139,-4.04845638138393,0.000149009758783802,0.0897267993661232,0.803205016848352,NA
"ILMN_1733426",0.377276222563776,4.97193024197491,4.02608823389152,0.0001606092224759,0.0917296715503229,0.739826620916772,"KIR3DL3"
"ILMN_1910428",-0.365012304456179,5.10116728733322,-4.02128873577915,0.000163209183754711,0.0917296715503229,0.726251595899142,NA
"ILMN_2270299",-0.689696432400452,5.42558585394356,-4.01188476398051,0.000168421593533716,0.0917296715503229,0.699677864451469,"TP53BP2"
"ILMN_1870646",0.55373686143535,7.96804618158932,4.00900756338045,0.000170048165757568,0.0917296715503229,0.691554028615584,NA
"ILMN_2140342",0.408004713880398,4.95836891297003,3.99546598939958,0.000177909137849538,0.0917296715503229,0.653360521136574,"CCDC57"
"ILMN_1855278",0.466576725620363,9.69582071312358,3.99334481670706,0.00017917178724158,0.0917296715503229,0.647384038135464,NA
"ILMN_1907874",-0.551857665731038,5.77310909213864,-3.99249797338784,0.000179678286974743,0.0917296715503229,0.644998496299515,NA
"ILMN_2331525",-0.561368667701596,6.49593733959364,-3.98247196828221,0.000185780697390439,0.092827104202491,0.616775885248837,"PRKD2"
"ILMN_1827756",-0.385073067632931,5.18519628622193,-3.96722274095054,0.00019544656813513,0.0935979950771123,0.573922846366638,NA
"ILMN_1753567",0.549194756438832,7.56844655399724,3.96441137951328,0.000197280670576641,0.0935979950771123,0.566032032069655,"ZNF451"
"ILMN_2043918",0.425465565893988,6.92560720806862,3.96137474766255,0.000199280350615552,0.0935979950771123,0.557512310543018,"DLEU1"
"ILMN_1771320",0.437527665177968,9.70831830246641,3.95027183657937,0.000206759245961945,0.0952065516111827,0.526391339208049,"LOC401261"
"ILMN_1782085",-0.497093645149962,5.21399283167966,-3.94330066574147,0.000211592288956701,0.0955583329588303,0.506875526053077,"DPH6"
"ILMN_1698213",-0.646625854881193,5.82112374072587,-3.93590825730721,0.000216836082089099,0.0960788405996304,0.486200823980604,"RBM3"
"ILMN_1863695",-0.419183942952003,5.25590178494572,-3.9145411954345,0.000232705162802268,0.0995558509749408,0.426561067738626,NA
"ILMN_1737089",-0.459809310005267,6.18074255720328,-3.90868656069493,0.000237244661973174,0.0995558509749408,0.410250513188738,"CAPN5"
"ILMN_1812640",0.327286661946795,13.7232491184985,3.90848671448835,0.00023740110946162,0.0995558509749408,0.409693992916081,"AHR"
"ILMN_1790778",-0.429640749878704,5.28342572635027,-3.88003900458992,0.000260712412471358,0.106955599781305,0.330633990220531,"PNMA2"
"ILMN_1664772",0.46738037198985,7.113821244949,3.87604613016196,0.000264155373331448,0.106955599781305,0.319562742958833,"ATP2B4"
"ILMN_1750093",0.353252338802183,13.3625423488382,3.85787865700597,0.000280379865255295,0.109874472126033,0.269268688790153,NA
"ILMN_1735148",0.437787088996869,7.66600393152766,3.85750685185071,0.0002807216967962,0.109874472126033,0.268240770780055,"SEC24B"
"ILMN_1851033",-0.35786473880477,5.10139479447952,-3.82883022226236,0.000308326795888363,0.118306060592857,0.189126320904911,NA
"ILMN_1881284",-0.455947981376245,5.96607372469557,-3.81966802786055,0.000317682833381282,0.118306060592857,0.16391909538293,NA
"ILMN_1763560",0.449335577622458,6.08933352296658,3.81610448718267,0.000321394825130838,0.118306060592857,0.154124202445733,"NFKBID"
"ILMN_1915053",-0.431666915808843,5.13087713126281,-3.81389492152066,0.000323717293216913,0.118306060592857,0.14805349298678,NA
"ILMN_1651282",0.588010097971369,5.40795952587037,3.81037300632621,0.000327452475665802,0.118306060592857,0.138381254478961,"COL17A1"
"ILMN_1827035",0.606192920766427,5.6762069257431,3.77823286030993,0.000363502629490559,0.125022162587499,0.0503493451996748,NA
"ILMN_1725834",-0.327623573215629,5.11143800569767,-3.77740225903346,0.00036448291264707,0.125022162587499,0.0480799626070239,"FAM90A7"
"ILMN_1673778",0.564961875984803,6.65037868526074,3.77075352900542,0.000372421600554257,0.125022162587499,0.0299244853246323,NA
"ILMN_1655645",0.465462503984001,6.17388786538488,3.77069930864777,0.000372487016375823,0.125022162587499,0.0297765028161754,"AK2"
"ILMN_1807177",0.471640140611487,5.91834015744641,3.77055583488378,0.000372660167821705,0.125022162587499,0.0293849287025845,"FOCAD"
"ILMN_1891939",0.643560238949809,8.27135165546263,3.76541646218875,0.000378913721039399,0.12532971584351,0.0153639913138832,NA
"ILMN_2184262",-0.525625217545745,4.95603229155645,-3.74404149371092,0.000406017550892589,0.1324293911828,-0.0428318427029435,"OAS3"
"ILMN_1666633",0.470023781219853,7.26700539341984,3.73305301034071,0.000420663838832293,0.135326980700515,-0.0726747452293663,NA
"ILMN_1689899",0.492059702241694,5.99520370088759,3.72575643163753,0.000430667148236597,0.136672801475517,-0.0924629269969994,"MTERF4"
"ILMN_1723743",-0.497780427229171,6.647905594489,-3.71612109718907,0.000444225918859661,0.139096019713337,-0.118559246928899,"ROM1"
"ILMN_2401143",-0.378880997217045,5.13791940221957,-3.71172144866869,0.000450551971831375,0.139220559295895,-0.130462139095092,"ELAVL3"
"ILMN_1752639",0.665620638700516,6.2788562805696,3.6998787709143,0.000468010906176535,0.141165245847362,-0.162460562204881,"SLC25A24"
"ILMN_1726636",0.575373492381745,7.09789531307985,3.69930852243633,0.000468867704653988,0.141165245847362,-0.163999838182892,"DZIP1L"
"ILMN_1841622",0.568531380697296,7.36650008148063,3.6715094077717,0.000512502731379192,0.152349546122898,-0.238868798466281,NA
"ILMN_1730497",0.602894786207964,6.10379560906889,3.65652711707177,0.000537601843176912,0.157298065355275,-0.279080782737121,"TRIM39"
"ILMN_1671766",0.510334783491268,6.38759417804071,3.65365492173892,0.000542545703192697,0.157298065355275,-0.286778507163115,"F12"
"ILMN_2392370",-0.361877693370581,5.04093075759876,-3.64686386372954,0.000554408246007893,0.158217043201975,-0.304964787772999,"MYH14"
"ILMN_1849079",-0.451873340041391,5.4404031587396,-3.64174204224201,0.00056351832628159,0.158217043201975,-0.318667549057243,NA
