"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1719949",-0.888493086653101,5.96975586009931,-6.67758318648869,8.52036550174773e-09,0.000168916246072149,9.70453182737349,NA
"ILMN_1775357",1.09800322233412,6.1977901199189,6.39901654462883,2.5363350028214e-08,0.000240420552548364,8.71885050988453,NA
"ILMN_1673804",0.680703266031602,6.96476868792295,6.30651482914095,3.63814203099668e-08,0.000240420552548364,8.39257408922387,"ZNF426"
"ILMN_1773363",0.986427031296008,5.67820339677828,6.17389372174478,6.09313482466592e-08,0.000301990994747505,7.92594642218543,"CIITA"
"ILMN_1809467",0.750129703065948,9.34893209578846,5.92083676924019,1.62057966046956e-07,0.00064255983537618,7.0402193090404,"VAMP5"
"ILMN_1783806",0.753570975249422,6.40320626639447,5.8031052073685,2.54695752260025e-07,0.000709065949756805,6.6306528636753,"DTNBP1"
"ILMN_2141030",-0.972303233482804,5.86337249085421,-5.7753170339758,2.83291496027391e-07,0.000709065949756805,6.53424756496478,NA
"ILMN_1670666",0.606448617413692,7.68507338728266,5.77271175775155,2.8613001755634e-07,0.000709065949756805,6.52521452494841,NA
"ILMN_1861896",0.975400913610043,6.30874156171947,5.66492126369356,4.31805375891733e-07,0.000885925856336775,6.15233214932529,NA
"ILMN_1786612",0.660970881095662,10.6315420138758,5.64379281688051,4.67973729661393e-07,0.000885925856336775,6.07944416066022,"PSME2"
"ILMN_1745041",-0.540598804016143,5.24865024432984,-5.63086663209381,4.91560374260001e-07,0.000885925856336775,6.0348859930583,"TCF15"
"ILMN_1691364",0.906031002717183,11.8729648771411,5.55093098824235,6.6581312715684e-07,0.00109997877049036,5.75992999356215,"STAT1"
"ILMN_1737205",1.12818488159271,6.03226534973169,5.52578724931093,7.32314462297908e-07,0.00111677955500431,5.6736602717381,"MCM4"
"ILMN_1699172",0.683819335036101,5.84790973605024,5.44003603491402,1.01230226223416e-06,0.00143349231062802,5.38026638147685,"AFG3L1P"
"ILMN_1692844",0.622304818166946,5.32105422342227,5.33178104491494,1.52024813022442e-06,0.00195673410464466,5.01180116617226,"TBC1D19"
"ILMN_2320964",0.554549838563978,10.5859276377595,5.32161875591517,1.57920533035635e-06,0.00195673410464466,4.97732793809538,"ADAR"
"ILMN_1781285",-0.767864047731453,12.0023812396708,-5.27305787536937,1.89350519139554e-06,0.00220816120114215,4.81288224011387,"DUSP1"
"ILMN_1748124",-0.608610661063747,11.8317036367821,-5.23201201333766,2.20658219971305e-06,0.00243030511718396,4.67426276562307,"TSC22D3"
"ILMN_2130078",0.530052215800415,14.282871117935,5.16568678660047,2.823262423857e-06,0.00294585145015605,4.45102779329725,"CDKN2AIPNL"
"ILMN_2064355",-0.845034356474552,5.51040220468677,-5.12956713832348,3.22739210153058e-06,0.00319915242064219,4.32986417466361,"MCF2L2"
"ILMN_2280189",0.861110596593035,7.07568030215138,5.10551279481437,3.5275208874057e-06,0.0033301476948961,4.24933722874942,NA
"ILMN_1661599",-1.19266712820496,8.86934953997528,-5.08484961457076,3.80710272943045e-06,0.00343071870958903,4.18026914650083,"DDIT4"
"ILMN_1824666",0.766636950297189,6.41903103278108,5.00901910842356,5.03228086029432e-06,0.00433760730675369,3.92766382588641,NA
"ILMN_1690105",0.834420998730246,9.86170533223762,4.99387381870075,5.3197366012033e-06,0.00439432408828564,3.87737851962761,"STAT1"
"ILMN_1784300",-0.608740212281689,10.328539658424,-4.97075798963571,5.78978363185064e-06,0.00451048697290669,3.80073886140161,"TUBA4A"
"ILMN_1738047",-0.597047637110689,8.11112610353696,-4.96489241571816,5.91539275135304e-06,0.00451048697290669,3.78131298881187,"FAM170B"
"ILMN_1669308",0.641068952476272,6.75863459689104,4.94615142791274,6.33489628756455e-06,0.00465145625559138,3.71930385706107,"BRPF1"
"ILMN_1777325",0.639494181811493,10.5819485742465,4.91337525100103,7.13974521651845e-06,0.00505519460419566,3.61107117050163,"STAT1"
"ILMN_1655645",0.601701410137458,6.17388786538488,4.87389984706194,8.24282775901237e-06,0.00563496759732484,3.48108682571972,"AK2"
"ILMN_1771385",0.827748494319478,9.04219034970822,4.85478600647599,8.8352836491389e-06,0.00566134313988286,3.4182969779959,"GBP4"
"ILMN_1669070",0.691106259214566,5.46871889547387,4.85424823600581,8.85254160586979e-06,0.00566134313988286,3.41653179091717,"MIPEP"
"ILMN_2374865",0.61530977946386,5.20574328383607,4.82534904430643,9.83012876456324e-06,0.00608738696960246,3.3217874691282,"ATF3"
"ILMN_1840036",-0.53247402944043,5.83880363429839,-4.80468708564488,1.05930620468294e-05,0.00608738696960246,3.25418807907656,NA
"ILMN_1806017",0.412690124682299,12.5415704531011,4.78914002513245,1.12050306548598e-05,0.00608738696960246,3.20340075076566,"PSME1"
"ILMN_1882935",-0.423853036805257,5.3593551100062,-4.78878484341884,1.12194078988863e-05,0.00608738696960246,3.20224126986834,NA
"ILMN_2074258",0.60164380261948,6.65626988284599,4.78591127302431,1.13363912541707e-05,0.00608738696960246,3.19286187342244,"BARD1"
"ILMN_1676905",0.604662535107782,6.64464295855325,4.78422680468603,1.14055198581385e-05,0.00608738696960246,3.18736480448664,"TIGD7"
"ILMN_1663347",-0.394532213341398,5.05636014858666,-4.77791744867819,1.1668131391924e-05,0.00608738696960246,3.16678200544733,"OTOF"
"ILMN_1683178",0.535107737082595,8.07914738638308,4.76533101145597,1.22097932845243e-05,0.00620664491963321,3.12575511608766,"JAK2"
"ILMN_2270299",-0.8162446050675,5.42558585394356,-4.74384450711173,1.31918081992849e-05,0.00644000704407944,3.05582113384845,"TP53BP2"
"ILMN_1659189",-0.469564132363214,8.66552723143614,-4.74118604127938,1.33185517683358e-05,0.00644000704407944,3.04717754730264,"CARD19"
"ILMN_1819590",0.550191621832355,5.26841092329583,4.7326400372574,1.37341013152167e-05,0.00648282282319455,3.01940528589184,NA
"ILMN_1779257",0.79321132532339,5.84682178669928,4.72419129633313,1.41573657469767e-05,0.00652720409148402,2.99196977745546,"CD40"
"ILMN_2151168",-0.707655054494882,5.42671796974112,-4.71019059297322,1.48869918966124e-05,0.00661483417290526,2.94655095586705,"SLC30A6"
"ILMN_1778681",0.82402200464905,5.94841963255529,4.70196812957328,1.53324815075029e-05,0.00661483417290526,2.91990358053728,"EBF1"
"ILMN_1680388",-0.532870509263276,8.76622233923883,-4.70167834325604,1.53484172486074e-05,0.00661483417290526,2.91896480123644,"LINC00989"
"ILMN_1687201",0.824239642226213,5.97237504628996,4.68752944582498,1.61464744837449e-05,0.00681072035404773,2.87315864372421,"APOL6"
"ILMN_1763907",0.607814091333918,6.0664725082061,4.6696939854212,1.72103780104706e-05,0.00703747569010726,2.81550174929165,"CENPW"
"ILMN_1752046",0.392016236195789,10.1658958088619,4.6650534205195,1.74982271079899e-05,0.00703747569010726,2.80051565537705,"SH2B3"
"ILMN_2388363",-0.682006271585138,5.82572709264484,-4.65974205405467,1.78334551889945e-05,0.00703747569010726,2.78337119757057,"IMPDH1"
"ILMN_1657139",0.448030686032193,8.4943662186552,4.65552654075764,1.81039727715244e-05,0.00703747569010726,2.76977004205729,"ADAT1"
"ILMN_1851599",1.11582457986399,5.7666414945023,4.64034240110432,1.91119667573699e-05,0.00728643732624729,2.72082347447014,NA
"ILMN_1826520",-0.672957185897561,6.2960552869631,-4.55729306853453,2.56719671318824e-05,0.00900913580518898,2.45436232193039,NA
"ILMN_1855869",0.660013674409841,6.17965923615208,4.55492889706119,2.5887698916493e-05,0.00900913580518898,2.44680847828467,NA
"ILMN_2052208",-0.59333516670319,8.48141466456555,-4.550334420264,2.63120109139603e-05,0.00900913580518898,2.4321335821745,"GADD45A"
"ILMN_1654010",0.669593163002664,6.45487419902892,4.54721598312741,2.66038592746266e-05,0.00900913580518898,2.42217702246365,"AGPAT3"
"ILMN_1690921",0.596535875569203,11.3165178752947,4.54633574118263,2.66868085638033e-05,0.00900913580518898,2.41936714223678,"STAT2"
"ILMN_1709265",0.524947821029191,7.11099177522595,4.54352117623699,2.69537325592976e-05,0.00900913580518898,2.4103842346807,"RNF170"
"ILMN_2337655",0.730492958389088,9.96983366425046,4.54177479944924,2.71206588557371e-05,0.00900913580518898,2.40481180465303,"WARS1"
"ILMN_2409078",-0.90236847065282,6.02140478000601,-4.53644355388466,2.76364964555294e-05,0.00900913580518898,2.38780661612925,"SNHG10"
"ILMN_2147435",0.536917718717469,8.7060183112573,4.53353745441025,2.79216951133457e-05,0.00900913580518898,2.37854079888443,"MAN2A1"
"ILMN_1821270",0.572359073197857,7.79095443037615,4.52903657944652,2.83690686024263e-05,0.00900913580518898,2.36419554077152,NA
"ILMN_1789351",-0.648447186977102,6.54396587507602,-4.52645033390695,2.86292840215337e-05,0.00900913580518898,2.35595556374784,"SUV39H2"
"ILMN_1661776",0.79180488819588,5.82059688757358,4.51634237468658,2.96687772068262e-05,0.00919036731445826,2.32377150457005,"CENPJ"
"ILMN_1819805",-0.69175565243909,7.21176194167554,-4.48640073346948,3.2968272613398e-05,0.0100553231470864,2.22863103418624,NA
"ILMN_1686662",0.543083232209159,9.03196052415669,4.46466280870859,3.55847856598883e-05,0.0106889147834437,2.15974242573064,"ANP32A-IT1"
"ILMN_1766560",0.602553152320778,6.30888780515381,4.45908162984437,3.62885150840992e-05,0.0107376091274965,2.1420806410578,"ANKHD1-EIF4EBP3"
