"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.874040462900378,5.05636014858666,-10.5849232010082,2.11777957267664e-15,4.19849800283143e-11,23.1869632403451,"OTOF"
"ILMN_2270299",-1.0156700586711,5.42558585394356,-5.90286391965347,1.73661028195387e-07,0.0014032403087484,6.98051419064382,"TP53BP2"
"ILMN_1680388",-0.663076663502105,8.76622233923883,-5.85052678748641,2.12344056809341e-07,0.0014032403087484,6.79823734968996,"LINC00989"
"ILMN_1748454",-0.578730809280823,5.69362387989407,-5.52835633524386,7.25229513866244e-07,0.00359441877809957,5.68466735464006,"SPATA31C1"
"ILMN_1680302",0.700854511238767,5.68087218828202,5.45820578303689,9.45295717200903e-07,0.00374809751870158,5.44438887421243,NA
"ILMN_1695418",-0.673043678206652,6.1434125372517,-5.35202732562995,1.40917597948865e-06,0.00440532588213278,5.08240892230673,"IQGAP3"
"ILMN_1711174",-0.617941630944173,5.66159927228412,-5.29353002141039,1.75412910043944e-06,0.00440532588213278,4.88390922025809,"SPRR1B"
"ILMN_1851599",1.2506841114021,5.7666414945023,5.20117822931813,2.47475440789145e-06,0.00440532588213278,4.57195606926684,NA
"ILMN_1661599",-1.21843540485724,8.86934953997528,-5.19471078916415,2.53494362371356e-06,0.00440532588213278,4.55017764305794,"DDIT4"
"ILMN_1840036",-0.574020961813412,5.83880363429839,-5.17957862660962,2.68145177605249e-06,0.00440532588213278,4.4992572494783,NA
"ILMN_1773363",0.823895068673767,5.67820339677828,5.15663138831306,2.91964416942178e-06,0.00440532588213278,4.4221348431651,"CIITA"
"ILMN_1684591",0.560675130705505,7.06496127904154,5.15125042269678,2.97844105464844e-06,0.00440532588213278,4.40406710207559,"ZSCAN32"
"ILMN_1778681",0.896016218073871,5.94841963255529,5.11277572345711,3.43412227312139e-06,0.00440532588213278,4.27507014252903,"EBF1"
"ILMN_1859160",0.648132682659923,5.86343862605961,5.08861335667893,3.75460568872568e-06,0.00440532588213278,4.19423221268667,NA
"ILMN_1653801",-0.588524632509509,6.25237183934023,-5.07736450234498,3.91365691272042e-06,0.00440532588213278,4.15664416684269,NA
"ILMN_2130078",0.520099666319909,14.282871117935,5.06869303426457,4.04076404223997e-06,0.00440532588213278,4.1276887110608,"CDKN2AIPNL"
"ILMN_1737089",-0.597900081073092,6.18074255720328,-5.06369292797387,4.11588925468178e-06,0.00440532588213278,4.11100059307708,"CAPN5"
"ILMN_1687201",0.889997496308714,5.97237504628996,5.06150063274029,4.14925870661786e-06,0.00440532588213278,4.1036855572408,"APOL6"
"ILMN_1810785",-0.600525416869717,9.64084272438172,-5.05678094749197,4.22200210645765e-06,0.00440532588213278,4.08794124226051,"RNF11"
"ILMN_2104967",0.585353141007577,6.2278287912666,5.01278716473885,4.96316479489767e-06,0.00491973710294232,3.94144001176175,"ZNF443"
"ILMN_2374865",0.637218169401998,5.20574328383607,4.9971578339252,5.25606975892208e-06,0.00496198014145858,3.88950685406684,"ATF3"
"ILMN_1784203",-0.634905403415,9.20103686477388,-4.97649732145732,5.66941086993722e-06,0.0051089122952957,3.82094868689411,"ACRBP"
"ILMN_1750748",-0.759716167913921,6.40888777271651,-4.95134385959874,6.21583193405835e-06,0.00511732473172997,3.73762562235753,"KRT16P3"
"ILMN_1651464",-0.582840041949091,6.17082415545456,-4.94464601084596,6.36983212694692e-06,0.00511732473172997,3.71546537774326,"KDM2B"
"ILMN_1748124",-0.573932645573396,11.8317036367821,-4.93389729854265,6.62482184923644e-06,0.00511732473172997,3.67992651552581,"TSC22D3"
"ILMN_1721204",0.532090125984586,12.3967218601778,4.91899062111868,6.99507528768202e-06,0.00511732473172997,3.63068910785165,NA
"ILMN_1661717",-0.566315089162689,9.81588747072253,-4.91425209040409,7.11696341913211e-06,0.00511732473172997,3.61504955506945,"TFDP1"
"ILMN_1802831",-0.571472417223115,6.50846162202043,-4.89357940597755,7.67351458994495e-06,0.00511732473172997,3.54688760722749,"MTMR12"
"ILMN_1865069",-0.671741393422696,7.01803524831152,-4.8920450361548,7.71648211513796e-06,0.00511732473172997,3.54183294472436,NA
"ILMN_2172269",-0.406055049347188,10.4971789166158,-4.89107581715419,7.74374486516515e-06,0.00511732473172997,3.53864037320334,"TMEM183BP"
"ILMN_2383774",0.579263925320005,5.70280555314015,4.87963350773163,8.07281905894571e-06,0.00516269799495479,3.50096855391502,"TRAF3"
"ILMN_2215382",0.531139123710043,13.5004082122535,4.85981112495771,8.67560288480064e-06,0.00537480709972415,3.43578902869248,"DDX51"
"ILMN_2357809",0.754318451994288,6.21371249061758,4.82346317501794,9.89747225341964e-06,0.00594598143709225,3.31654501409844,"G3BP1"
"ILMN_1854814",0.862926622566903,6.34229005905573,4.79237964487561,1.1074724516205e-05,0.00645754157452246,3.21485822472684,NA
"ILMN_1691364",0.770464495884784,11.8729648771411,4.72036302590229,1.43533251243856e-05,0.00791248791837213,2.98030559240651,"STAT1"
