"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_2374865",0.979972880834483,5.20574328383607,7.68509027778036,1.59934181148809e-10,3.12859918042912e-06,13.2473493142126,"ATF3"
"ILMN_1691364",1.22630449119426,11.8729648771411,7.51313319387132,3.15621607105081e-10,3.12859918042912e-06,12.6399382775134,"STAT1"
"ILMN_1786612",0.80866659305758,10.6315420138758,6.90491342309082,3.48460015660832e-09,1.93402900975843e-05,10.4866328592582,"PSME2"
"ILMN_1777325",0.894959792037223,10.5819485742465,6.87617404177249,3.90220228955044e-09,1.93402900975843e-05,10.3848899217811,"STAT1"
"ILMN_1809467",0.859290863819301,9.34893209578846,6.78245498235681,5.64265100953174e-09,2.23731112527933e-05,10.0532270872296,"VAMP5"
"ILMN_1774077",0.694980494616709,12.0871667586366,6.59230134934188,1.19061134560175e-08,3.93397832109243e-05,9.38111625299776,"GBP2"
"ILMN_1771385",1.1065807468788,9.04219034970822,6.49015100824757,1.77629528225677e-08,4.48518332009092e-05,9.02069727630007,"GBP4"
"ILMN_1690105",1.08363163835797,9.86170533223762,6.4853589209122,1.80991004089419e-08,4.48518332009092e-05,9.00380270405529,"STAT1"
"ILMN_1791759",1.33500620569668,6.2048508740837,6.13194259579864,7.16981356562325e-08,0.000144326493812605,7.76215164247477,"CXCL10"
"ILMN_1701114",1.51717057065701,8.82282510959262,6.09933528246445,8.13528304584077e-08,0.000144326493812605,7.64811088238784,"GBP1"
"ILMN_1860051",0.657631344602301,5.10353946643906,6.08935737803394,8.45571250705373e-08,0.000144326493812605,7.61323476807281,NA
"ILMN_1727271",0.977623226156487,9.39913102972585,6.06312756108322,9.35899697239098e-08,0.000144326493812605,7.52160005156021,"WARS1"
"ILMN_1799848",1.80723938369135,6.08906637317668,6.05881705229401,9.5163305343463e-08,0.000144326493812605,7.50654780373334,"ANKRD22"
"ILMN_1687201",1.06224245314566,5.97237504628996,6.04107412775845,1.01920348720124e-07,0.000144326493812605,7.44460985566586,"APOL6"
"ILMN_2114568",1.35222461219464,9.96624023477901,5.99354492332259,1.22455396198875e-07,0.000161845215309513,7.27885626354031,"GBP5"
"ILMN_1851599",1.42074717612454,5.7666414945023,5.9084138148521,1.69992918055139e-07,0.000200915667308544,6.98259954672764,NA
"ILMN_2337655",0.949741155447768,9.96983366425046,5.90493090491222,1.7228581812082e-07,0.000200915667308544,6.97049705071196,"WARS1"
"ILMN_1701621",0.867244842053859,9.39062053059534,5.79429942400158,2.63433755387403e-07,0.00029014301114196,6.5868613461819,"SCO2"
"ILMN_1799467",0.871494637314432,8.63799077914145,5.62946854453947,4.94180827320052e-07,0.000515638679032633,6.0183796134147,"SAMD9L"
"ILMN_2148785",1.4126639809928,9.36252477479884,5.43601439574778,1.02775475618294e-06,0.00101876190206634,5.35660933038843,"GBP1"
"ILMN_2261600",1.31804850930598,9.23240458378439,5.23680103994181,2.16757957486391e-06,0.00198701085751214,4.68224265776835,"FCGR1A"
"ILMN_1683792",1.10067853716872,8.77691868071998,5.23220396153834,2.20500574351915e-06,0.00198701085751214,4.66677460763864,"LAP3"
"ILMN_1699172",0.651964928363667,5.84790973605024,5.18662243384979,2.61224683617731e-06,0.00225164319683544,4.51364630653566,"AFG3L1P"
"ILMN_2391051",1.32842496026593,8.05612680737552,5.15485021563403,2.93897930256099e-06,0.00242771936138632,4.4071749258156,"FCGR1BP"
"ILMN_1782487",1.10840492193336,6.20579763630547,5.13985963728601,3.10677166638349e-06,0.0024636699314421,4.35701751507817,"GBP1"
"ILMN_1663347",-0.417836880586565,5.05636014858666,-5.06014478652543,4.17002913994897e-06,0.00310515164207138,4.09115309230198,"OTOF"
"ILMN_1779257",0.848979434054326,5.84682178669928,5.05633382313358,4.22895810017288e-06,0.00310515164207138,4.07847965633643,"CD40"
"ILMN_1690241",0.946357786009278,5.52695916651167,5.03930042134264,4.50249332153322e-06,0.00311149752946888,4.02187674334419,"BATF2"
"ILMN_2270299",-0.866575379043517,5.42558585394356,-5.0363565362051,4.55149701662535e-06,0.00311149752946888,4.01210104792726,"TP53BP2"
"ILMN_1690921",0.655190741974173,11.3165178752947,4.99335783398931,5.32980846324087e-06,0.00334374678995328,3.86955425110608,"STAT2"
"ILMN_2167426",0.705957491716946,6.15967881655716,4.98506454732282,5.49428050107506e-06,0.00334374678995328,3.84211267536895,"ASPHD2"
"ILMN_2132599",1.39246146830185,6.14199185208545,4.98445768982301,5.50650924025485e-06,0.00334374678995328,3.84010531589881,"ANKRD22"
"ILMN_2170814",0.890304580670464,5.20805403004642,4.97696749329663,5.65965928276989e-06,0.00334374678995328,3.8153367875881,"LAMP3"
"ILMN_1797929",0.737169255097989,5.70405942428568,4.97337698995067,5.73454682766263e-06,0.00334374678995328,3.80346866684752,"MICA"
"ILMN_1802831",-0.573288295193576,6.50846162202043,-4.90912896317787,7.25108583569368e-06,0.00410722219121792,3.5916504701282,"MTMR12"
"ILMN_1814296",-0.735307536504588,7.53844982259174,-4.88643926238058,7.8754752038356e-06,0.00432047674413799,3.51709803557476,"TRPM6"
"ILMN_1806017",0.420063621941622,12.5415704531011,4.87470715828596,8.21867980874335e-06,0.00432047674413799,3.47860219924983,"PSME1"
"ILMN_1691717",0.493861494442724,10.0761870128609,4.87180040848962,8.30595101297351e-06,0.00432047674413799,3.46907006301543,"RHBDF2"
"ILMN_1671442",0.717816991968451,6.16100939186766,4.86267709626228,8.58580116956162e-06,0.00432047674413799,3.43916640924068,"WDR43"
"ILMN_1756992",0.725475667669237,5.79081651104366,4.85339850018863,8.87987834560544e-06,0.00432047674413799,3.40877646757891,"MUC1"
"ILMN_1657683",-0.740549842708461,6.42914948035249,-4.8516879225238,8.93515997526646e-06,0.00432047674413799,3.40317636535205,"C1orf198"
"ILMN_1766896",0.599674673298298,5.62608916486247,4.83829939614587,9.37963890002027e-06,0.00442741288554528,3.35937200393831,"ZDHHC19"
"ILMN_1656310",1.28956334635632,5.75132592496728,4.7777962205583,1.16732346734972e-05,0.0052997324859327,3.16202689281617,"IDO1"
"ILMN_1765994",0.612083416667262,9.7143387718474,4.77568803207673,1.17623318729402e-05,0.0052997324859327,3.15516877004062,"ZBP1"
"ILMN_1812759",0.658674251872913,7.95654124414791,4.75408464085656,1.27145288481811e-05,0.00560145632033758,3.08496289742499,"GCH1"
"ILMN_1683178",0.527958528009551,8.07914738638308,4.70166467785201,1.53491691269313e-05,0.00649650541844542,2.91516276277506,"JAK2"
"ILMN_1756862",0.504606064216681,8.46202643556873,4.69729095947336,1.55916711657813e-05,0.00649650541844542,2.90103117374792,"APOL3"
"ILMN_1731224",0.799918299477992,10.2446038424955,4.69483917016597,1.57292438882916e-05,0.00649650541844542,2.89311182733171,"PARP9"
"ILMN_1771135",-0.528175996180509,7.28630313490333,-4.68252598720457,1.64382766162214e-05,0.0066125921105784,2.85336655191642,"ZKSCAN2"
"ILMN_1798233",0.942750224255993,6.52365829490968,4.67841665135608,1.66817791398497e-05,0.0066125921105784,2.84011210013544,"PSMB9"
"ILMN_1863695",-0.502179673748693,5.25590178494572,-4.67295362159798,1.70109557447414e-05,0.0066125921105784,2.82249909916482,NA
"ILMN_1679826",-0.599107857010098,9.77522220837611,-4.59467058228407,2.24852753537809e-05,0.00857251122862896,2.57109545259327,"CST7"
"ILMN_1810289",0.787127277617781,7.68103598725987,4.58162796462975,2.35507933804736e-05,0.00880507378519496,2.52939134453392,"MYOF"
"ILMN_1745041",-0.439337742067865,5.24865024432984,-4.57613337959865,2.40142680157292e-05,0.00880507378519496,2.51183808941119,"TCF15"
"ILMN_2151168",-0.686755574694667,5.42671796974112,-4.57108251690179,2.44481492725043e-05,0.00880507378519496,2.49571067929953,"SLC30A6"
"ILMN_1701882",0.599473132759762,5.23187126456278,4.566233956773,2.48718351561623e-05,0.00880507378519496,2.4802367296437,"FAM72B"
"ILMN_1812070",-0.566869841637832,6.71651649391068,-4.55924035554059,2.5495592864452e-05,0.00886754611469757,2.45792997689969,"ABCB1"
"ILMN_1767894",0.436725730843896,9.46415139238571,4.54646172259771,2.66749213171622e-05,0.00910448615490637,2.41721113177906,"POLB"
"ILMN_1854814",0.817849767548786,6.34229005905573,4.54203923725064,2.70953181911463e-05,0.00910448615490637,2.40313101340262,NA
"ILMN_1751079",0.556697403826749,10.7913431524388,4.50435956368228,3.09487434975486e-05,0.0101089667671547,2.28342155782547,"TAP1"
"ILMN_1691731",0.664903695924565,9.49301590832969,4.50293433839389,3.11045131297067e-05,0.0101089667671547,2.27890254670245,"PARP14"
"ILMN_2059844",0.687426080625769,8.32469438322571,4.46333776130549,3.57506488672694e-05,0.011295209812319,2.1536173875456,NA
"ILMN_1737205",0.911034669195434,6.03226534973169,4.46219750047823,3.58939832623503e-05,0.011295209812319,2.15001719193826,"MCM4"
"ILMN_1670666",0.464501952368122,7.68507338728266,4.42153845344634,4.13867036410433e-05,0.0128201781200576,2.02192585804581,NA
"ILMN_1673804",0.475960112309655,6.96476868792295,4.40962994618727,4.31446191395382e-05,0.0131591088375592,1.98451485655897,"ZNF426"
"ILMN_1745148",0.435496718150952,9.53641951182654,4.40093261411206,4.44741454910102e-05,0.0133590899145345,1.95722233083603,"ZNFX1"
"ILMN_1713058",0.593060614694281,8.77589205524962,4.39087516119334,4.60612580943615e-05,0.0136293200256823,1.92569391695267,"PSTPIP2"
"ILMN_1687041",0.549843065577786,5.44633921411321,4.38475792613834,4.70533563472484e-05,0.0137007154669383,1.90653438968773,"FAM91A1"
"ILMN_1816114",-0.47463346976429,5.49985903674968,-4.38092993644079,4.76847095696719e-05,0.0137007154669383,1.89455145994317,NA
"ILMN_2373062",0.473964224073903,9.59065154408001,4.34768691647298,5.35247618761725e-05,0.0151589772027874,1.7907029134485,"RHBDF2"
"ILMN_1801464",0.50776220272634,8.0891801245601,4.30793649164193,6.14229257604987e-05,0.0169884718279097,1.66703502540671,"ANKFY1"
"ILMN_2280189",0.725729610995967,7.07568030215138,4.30284080717994,6.25137569017362e-05,0.0169884718279097,1.65122242110334,NA
"ILMN_1893948",-0.481942515375148,5.28540111576398,-4.30264854141743,6.25552808795668e-05,0.0169884718279097,1.65062597625805,NA
"ILMN_1761387",0.71803858975177,6.76379232590047,4.27927380506322,6.78079529108475e-05,0.0181661171142912,1.57821221185681,NA
"ILMN_1685397",-0.450924700984628,7.95445459238886,-4.24946576475394,7.51293982542535e-05,0.0196207259287464,1.48615602966055,"ITGA3"
"ILMN_2270900",0.479213141405669,6.24712661458622,4.24912680037402,7.52169064607679e-05,0.0196207259287464,1.48511107584392,"ZNF197"
"ILMN_1693630",0.623042181982493,7.93258196808786,4.22799534311643,8.08716448370173e-05,0.0208218228427775,1.42005107074158,"VPS9D1"
"ILMN_2410038",0.34695667322129,10.365086407798,4.20951144873766,8.61537145455678e-05,0.0218974024469985,1.36327838891152,"FAM111A"
"ILMN_1651987",-0.425265810600732,7.68531147550017,-4.19271511820572,9.12420530882627e-05,0.0227895051639093,1.31179999965382,"CCDC167"
"ILMN_2176063",1.17910135321716,7.95887158700011,4.19017071403106,9.20377989777675e-05,0.0227895051639093,1.30401103109525,"FCGR1A"
"ILMN_1733559",-1.26144486446671,8.54296471673176,-4.18676878841124,9.3112227908028e-05,0.0227895051639093,1.29360082991651,"RNA28SN5"
"ILMN_1784780",0.547744055597976,7.29526570418987,4.16699587343502,9.96014997328586e-05,0.0234062484007209,1.23318090730102,"CIC"
"ILMN_2153495",0.460958229318251,5.31614002131629,4.16407552950563,0.000100596259633212,0.0234062484007209,1.22426987012021,"WNT7B"
"ILMN_1702933",-0.474893351319779,6.29560392913671,-4.16384454506205,0.00010067534887918,0.0234062484007209,1.22356519135907,"ADM2"
"ILMN_1808903",-0.471882617483798,5.23597727990569,-4.16376286122032,0.000100703331878724,0.0234062484007209,1.22331599821651,NA
"ILMN_1683026",0.397721969703162,12.5952435022815,4.16134427186523,0.000101535302015738,0.0234062484007209,1.21593875815958,"PSMB10"
"ILMN_1675258",0.544351461362484,8.95819937776984,4.15523856294033,0.000103665283299855,0.023622577487582,1.19732495450108,NA
"ILMN_2141030",-0.697442587091236,5.86337249085421,-4.14269120449182,0.000108178900113703,0.0243709851676608,1.15911821781158,NA
"ILMN_1783806",0.537399223752083,6.40320626639447,4.13840810782195,0.000109762697340037,0.0244499491546767,1.14609009186638,"DTNBP1"
"ILMN_1661809",0.864634314255371,6.73909056919593,4.13442281294852,0.000111256488011824,0.0245073319426045,1.1339741861825,"PRRG4"
"ILMN_1665428",0.409097253285085,10.5034138335016,4.11687334776902,0.00011807150921164,0.0257227216496786,1.08069459526841,"GSDMD"
"ILMN_1744647",0.534125147327725,6.60291403674689,4.11080510193349,0.000120520526480384,0.0259708634508001,1.06229958078229,"CAND1"
"ILMN_1706758",-0.578740522190379,6.76598105815638,-4.08393059185358,0.000131969053754239,0.028132112802987,0.98100752133163,"SEC24C"
"ILMN_1719599",-0.634002553059129,5.64669507751308,-4.08025433754185,0.000133614542614713,0.0281425690336436,0.969909523484835,"SYTL4"
"ILMN_2402106",-0.76373483178461,6.02521569553657,-4.07750691051804,0.000134857203439906,0.0281425690336436,0.961619008508632,"KIR3DL1"
"ILMN_1769520",0.598488933748163,11.9412065673522,4.07434095558507,0.000136303000881033,0.0281479895048591,0.952069289153147,"UBE2L6"
"ILMN_1761963",0.442143953893736,8.07131217570889,4.06029628797698,0.000142899174892361,0.0292059396107325,0.909753515971419,"ABHD18"
"ILMN_1882844",-0.41462222182115,5.22573988156828,-4.05024295074547,0.000147808842118736,0.029901125459224,0.879511962061915,NA
"ILMN_1693830",0.64038169502877,7.48449163248865,4.04667595034967,0.000149589631852722,0.0299557015301032,0.868791809673402,"LACTB"
"ILMN_1670305",0.943178179547901,6.22154114583233,4.03312098334402,0.000156547455247782,0.0308410065330675,0.828101043403661,"SERPING1"
"ILMN_1733174",0.690554687103389,6.57213805231157,4.03202797842986,0.00015712189961361,0.0308410065330675,0.824823187871126,NA
"ILMN_1773031",0.550646735320873,6.02395478977099,4.02282327769503,0.000162040866596015,0.0314947076496667,0.797238126496671,"TAPBP"
"ILMN_1870646",0.547515819340685,7.96804618158932,4.01641299642715,0.000165553852206245,0.0318650982523186,0.778047915702074,NA
"ILMN_1749493",-0.500531108238838,5.31664377152473,-4.00636832457767,0.000171206657498982,0.0326362690857434,0.748011397635104,"ADARB2"
"ILMN_1703337",-1.04661702182634,6.76199244174934,-3.99972367530359,0.000175047782838844,0.0330506885217151,0.728164717994856,"RNA18SN5"
"ILMN_1657148",-0.58097895177354,5.71976743028442,-3.99392220763414,0.000178469269957906,0.0333788044992027,0.710851385721471,"CIRBP-AS1"
"ILMN_1756953",0.690790900155625,5.20259859878182,3.98277351841801,0.000185226091707302,0.0341781948510605,0.677619397027941,"GBP6"
"ILMN_1686662",0.484276194903851,9.03196052415669,3.98121280182966,0.000186191427183583,0.0341781948510605,0.672971328321109,"ANP32A-IT1"
"ILMN_2415634",-0.659774388863162,4.98033115505013,-3.97283021729793,0.000191459696668026,0.0348228301508588,0.648023954992603,"TTN"
