"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.857961540744751,5.05636014858666,-10.4889000374376,3.12225703694357e-15,7.33230842555828e-11,21.0161908896466,"OTOF"
"ILMN_1745041",-0.594185211699533,5.24865024432984,-6.22110597984668,5.11165271777297e-08,0.000600210262120902,7.56589903585899,"TCF15"
"ILMN_2193443",-0.501919509700043,4.90772679591983,-4.9492620919525,6.28800164043306e-06,0.0456183328999901,3.49327931234852,"TRIM16L"
"ILMN_1680072",0.617570689503812,6.06284890742686,4.89118478421935,7.77011291091638e-06,0.0456183328999901,3.3134915069132,"ZNF32"
"ILMN_2270299",-0.813178954855793,5.42558585394356,-4.73016838440212,1.39041414384299e-05,0.0589046436487502,2.81911485116856,"TP53BP2"
"ILMN_1692481",-0.472092168866102,4.93988188433364,-4.66853961797066,1.7338431824961e-05,0.0589046436487502,2.63157846521826,"LINC01003"
"ILMN_1664236",0.807580838484433,7.08491172752718,4.60012427172915,2.21231270809162e-05,0.0589046436487502,2.42455190938995,"ADAM28"
"ILMN_1765522",0.552000707522637,5.04124923284463,4.59398837846126,2.26103768076332e-05,0.0589046436487502,2.40604592792104,"PPM1G"
"ILMN_1887410",0.441255902544927,5.12640862470382,4.56508186543424,2.50501966929672e-05,0.0589046436487502,2.31900205316797,NA
"ILMN_1787344",-0.464613653773428,5.18669086257311,-4.53331198428068,2.80278380956989e-05,0.0589046436487502,2.22360353471177,NA
"ILMN_1690291",0.692084096772426,5.98484405732698,4.51338159663467,3.00689303413362e-05,0.0589046436487502,2.16390192234884,"CC2D1B"
"ILMN_1780911",-0.32087800248092,5.0413463689952,-4.51309359990758,3.00994602190854e-05,0.0589046436487502,2.16304005561106,"MAGEB4"
"ILMN_1773031",0.610363303871939,6.02395478977099,4.44795701896637,3.78385298446222e-05,0.0606370097947438,1.96872763716585,"TAPBP"
"ILMN_1738825",-0.462647867953212,5.75976117469116,-4.43638253082032,3.94029430958442e-05,0.0606370097947438,1.93432962147916,"HIC1"
"ILMN_1664276",-0.476317499145834,5.78997222346543,-4.40628331523761,4.37713955759374e-05,0.0606370097947438,1.84506632856521,"TBX22"
"ILMN_1743287",-0.520816106286374,5.81588952871334,-4.40393777303891,4.4130926814853e-05,0.0606370097947438,1.83812180749988,NA
