"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1842378",-0.919098817052369,5.02032228757438,-5.25905703819082,2.00450643782335e-06,0.0470738291858435,3.77796153657311,NA
"ILMN_1684742",-0.825397917471023,4.84222544065333,-4.68582556421914,1.62993656513306e-05,0.187377708684964,2.18703162078943,"TCEA2"
"ILMN_1656977",-0.79296513169174,7.4138152494469,-4.57791551640651,2.39368559893924e-05,0.187377708684964,1.89417277682043,"HIBCH"
"ILMN_1725831",1.10134428456799,5.93525155765652,4.24527057882669,7.64053283949349e-05,0.223207694312087,1.00839688504715,"TINCR"
"ILMN_2185077",0.903226888622742,5.34400336986822,4.1909889497838,9.19960305050978e-05,0.223207694312087,0.866568181498475,"C14orf39"
"ILMN_1655860",-0.774885696350305,4.93843941328572,-4.17939009887002,9.57060651158747e-05,0.223207694312087,0.836369421298684,NA
"ILMN_1816114",0.825399986288116,5.49985903674968,4.17293326778203,9.78336604982976e-05,0.223207694312087,0.819574990854268,NA
"ILMN_1882185",0.777544864451458,5.05960762306919,4.16071189615954,0.000101986674049788,0.223207694312087,0.787819439180258,NA
"ILMN_1670918",-1.33315989355816,5.75501913040549,-4.15514381303891,0.000103934856477242,0.223207694312087,0.773365771568556,"INSR"
"ILMN_1663347",0.61206686988247,5.05636014858666,4.08916020185661,0.000129942502542196,0.223207694312087,0.602774410503604,"OTOF"
"ILMN_1787513",-1.35607691892275,5.38977772254256,-4.08320340482352,0.000132577886043,0.223207694312087,0.587437452638349,"ACTR3B"
"ILMN_2161222",0.822844335105335,5.42471783402826,4.06611542558056,0.000140427375334854,0.223207694312087,0.54350039929919,"CBY2"
"ILMN_1900275",0.907935834848289,5.59031360202798,4.05121503240097,0.000147636462171293,0.223207694312087,0.505260467657459,NA
"ILMN_1666891",0.942051258900919,5.88929110772013,4.05115156067026,0.000147667921637318,0.223207694312087,0.505097720692195,"LINC01625"
"ILMN_1896121",-1.03408064929258,5.0018920178207,-4.03507161751803,0.000155849717985318,0.223207694312087,0.463907231159579,NA
"ILMN_1900914",-0.76209410385077,5.06362049411495,-4.03185213497267,0.000157539585897831,0.223207694312087,0.455669759481447,NA
"ILMN_1717184",-1.21109893214564,4.9772481177655,-4.02428858143703,0.000161579407396759,0.223207694312087,0.436330040259651,"MZT2B"
"ILMN_1744403",-0.689141942611462,4.97182245574314,-3.96753276579311,0.000195245319192865,0.22924825670624,0.291780033915471,"KCNIP3"
"ILMN_1673518",0.614507552053098,7.6876584190003,3.95839373069015,0.000201262379463289,0.22924825670624,0.268599751968778,"BRWD1"
"ILMN_2214473",0.821645478622339,5.96539803227678,3.95774224508981,0.000201698061334569,0.22924825670624,0.266948347355791,"ARHGEF35"
"ILMN_1789905",-1.24091546888772,5.22324214997959,-3.95284877680171,0.000204999718567154,0.22924825670624,0.254548617322381,"PAX6"
"ILMN_1744146",-1.00298956152357,6.18281820368627,-3.91423048275851,0.000232943966303712,0.245116823493252,0.156965474351262,"PTTG2"
"ILMN_1830314",-1.07200076366488,5.14682625455391,-3.90510312560563,0.000240065020454131,0.245116823493252,0.133973381527996,NA
"ILMN_2262901",-0.870057425407696,6.73457447378799,-3.87894779619045,0.000261649030394227,0.248614178783991,0.0682406624320633,"RUFY3"
