"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1671416",0.850236989901812,4.96486403624231,5.64031948760888,4.76970067059988e-07,0.0112011650548368,5.1082080780329,NA
"ILMN_1788109",1.08301171081279,5.21573971342704,5.20351536687649,2.46462180605746e-06,0.0179576067556478,3.82639734032439,"IL17C"
"ILMN_1663347",0.773435265895698,5.05636014858666,5.16724701766717,2.81959965300405e-06,0.0179576067556478,3.72103575019864,"OTOF"
"ILMN_1842378",-0.899212488140499,5.02032228757438,-5.14526803521598,3.058696432575e-06,0.0179576067556478,3.65727952129226,NA
"ILMN_1788728",0.846962829976718,5.01725617435256,5.01225209913219,4.9933082232607e-06,0.0234525700630108,3.27303436644031,"LGI1"
"ILMN_1869758",-0.932501761332768,4.96047575257544,-4.92117544373979,6.96645923282569e-06,0.0272667214372798,3.01164806165929,NA
"ILMN_1680665",-0.953448827569604,5.70662797313321,-4.80697601770702,1.05436385636762e-05,0.0333614466422658,2.68605487604943,"LINC00029"
"ILMN_1802831",1.02181325324874,6.50846162202043,4.76471821165143,1.2279700433427e-05,0.0333614466422658,2.56622219048181,"MTMR12"
"ILMN_1718303",0.780269587550716,5.00534129631416,4.75350541674403,1.27854292190595e-05,0.0333614466422658,2.53448679285407,"NECTIN2"
"ILMN_1847100",-0.701301490586245,5.06812085988939,-4.69019715737416,1.60463750803844e-05,0.0376833072387746,2.35580293765914,NA
"ILMN_2136635",-0.936114738208681,6.35490461320435,-4.55753951104675,2.57278875773234e-05,0.0519265657476464,1.98425949663937,"ISCA2"
"ILMN_1783471",0.912853088230918,5.12488300953057,4.54177210723048,2.72028205311455e-05,0.0519265657476464,1.94037039314734,NA
"ILMN_1656977",-0.783999175852518,7.4138152494469,-4.52615360820227,2.8744905242693e-05,0.0519265657476464,1.89695481689388,"HIBCH"
"ILMN_1818825",-1.18307465812658,5.30307824661082,-4.46967260103624,3.50648297556727e-05,0.0583323081689964,1.74045160328711,NA
"ILMN_1783182",0.912462970581659,5.32825131259937,4.45236511984839,3.72587558565383e-05,0.0583323081689964,1.69265419138723,"FBN1"
"ILMN_1903157",0.950885791452872,5.12378064374179,4.38802044805116,4.66477210627446e-05,0.0684671925898433,1.51563331659862,NA
"ILMN_1805027",0.900958730826493,5.39630842698053,4.33037723474945,5.69824883881536e-05,0.0783255321708809,1.35798231243025,"KLC3"
"ILMN_1782116",0.889985004061359,4.87587769258377,4.3152910137082,6.00348994666946e-05,0.0783255321708809,1.31687207756229,"LOC442132"
"ILMN_1661197",-1.14024033494633,6.34174787905306,-4.20479877679652,8.77601026750883e-05,0.108471486906409,1.0177428174416,"CLCF1"
"ILMN_1694799",-0.937938915553988,6.06803335938017,-4.18114747841693,9.51347836788415e-05,0.111707262995696,0.954175362056423,"PIAS2"
"ILMN_1697665",-0.993753703884667,6.8727754302105,-4.12102384611401,0.000116682473482611,0.127049353543138,0.793342994803806,"CBX3"
"ILMN_1895853",0.998896944903316,5.82435862067053,4.11515861536679,0.000119020855814556,0.127049353543138,0.777712846091256,NA
"ILMN_1886035",0.917135179243246,5.22198511544114,4.09882866319156,0.000125772362347359,0.128419050320234,0.734252021588591,NA
"ILMN_2347805",0.949832745936983,7.26618984756995,4.08024198903903,0.000133907195483089,0.131028190780202,0.684887172537002,"EXOC1"
"ILMN_1704208",0.924396278205645,5.68597099450045,4.06499891639044,0.000140955572702318,0.132408026773649,0.644484516958906,"PTPN2"
"ILMN_1726064",-0.818604359409806,7.77809150774647,-4.04952281166387,0.000148477419358408,0.134109373700494,0.603540313053096,"PAK1IP1"
"ILMN_1691648",0.745779758840103,4.93486201494236,4.02540964098657,0.0001609743875135,0.140011945050631,0.539899888859687,"TRO"
"ILMN_1674152",1.19362489564505,6.46694165344457,3.99919343870425,0.000175711077268467,0.14737139066331,0.470924901401848,"NFKBIB"
"ILMN_1781980",0.841903697575814,5.79205120463165,3.95726565933751,0.000202017353551453,0.158398873377904,0.361087672758301,"CFC1B"
"ILMN_2157091",-0.943953451972562,5.61582687273174,-3.94317400955516,0.000211681096087343,0.158398873377904,0.324305235080635,"PIK3CD-AS1"
"ILMN_1912438",0.735321794288041,5.19830117952091,3.94195666259058,0.000212536490583375,0.158398873377904,0.321130854326348,NA
"ILMN_1885774",0.899568652549819,5.088262288457,3.93730049613471,0.000215839037135622,0.158398873377904,0.308994005787514,NA
"ILMN_2201966",0.885560609935638,7.89699527505307,3.92547786075349,0.000224447986441314,0.159455290473142,0.278210303458272,"N4BP1"
"ILMN_1804886",0.835269638982705,5.26372750298598,3.91695439928094,0.000230858451545173,0.159455290473142,0.256046821961784,"HTR1D"
"ILMN_1651408",0.746650123716764,5.59481533307146,3.84098582001369,0.000296321347844583,0.198823158079491,0.0596294656728302,NA
"ILMN_1656487",1.15963040425838,7.68834711051664,3.80860484816574,0.000329343252275884,0.214841581567968,-0.0234658589626493,"FGA"
"ILMN_1880820",0.926994684478815,5.42331661843283,3.79516642695761,0.000344059653224573,0.218375591792591,-0.0578391682756223,NA
"ILMN_2074258",-0.880185452126885,6.65626988284599,-3.78245956611749,0.000358553241196124,0.221585903059205,-0.0902802226422939,"BARD1"
"ILMN_1733654",-0.746231634378582,5.24132770144023,-3.75932133668229,0.000386460542180733,0.232708701860829,-0.149199317891379,"EOLA2"
"ILMN_1761778",-1.00753268329996,7.11038936704647,-3.73487117364496,0.00041820603435543,0.245528762770073,-0.211241540802344,"TNFSF8"
"ILMN_2399686",-0.899023639188522,5.49611631328498,-3.72022812067589,0.00043839735185459,0.251105449047639,-0.248290143697894,"ZBTB18"
"ILMN_1743987",-0.653213141692879,5.19791944305375,-3.68220235080792,0.000495278093536924,0.276931208300503,-0.344116870245188,"TRPM2"
"ILMN_1788793",-0.692434786599826,5.09050315787299,-3.67318969923557,0.00050975866305873,0.278399359145842,-0.366747356718657,"KLF8"
"ILMN_1745041",0.635588776054916,5.24865024432984,3.63659642336996,0.000572814487744785,0.305726714322694,-0.458305659084822,"TCF15"
"ILMN_1653404",-0.894964186620869,7.02894038855131,-3.62598053645464,0.000592457759001342,0.306505138548539,-0.484768340651554,"NKIRAS2"
"ILMN_1899729",0.792238132830678,5.36592753175029,3.61528076432334,0.00061290545456011,0.306505138548539,-0.511394755113294,NA
"ILMN_2388363",0.970483442620303,5.82572709264484,3.61057373950153,0.000622112351411063,0.306505138548539,-0.523093716686136,"IMPDH1"
"ILMN_1789224",0.678063135948228,4.89885873667763,3.60836416904273,0.000626479588244331,0.306505138548539,-0.528582380074147,"MAP9"
"ILMN_1714216",0.928601781296374,6.48288188167429,3.60069435111433,0.000641866970232072,0.307624569978163,-0.547619314732446,"TSC2"
"ILMN_1684742",-0.632918828991711,4.84222544065333,-3.59311208108194,0.000657432352433128,0.308782827290792,-0.566415680858085,"TCEA2"
"ILMN_1654421",-0.91575100560442,6.4654348246884,-3.5809731540854,0.000683103189957943,0.31099530852504,-0.596459583302063,"MPHOSPH9"
"ILMN_1672536",0.662573884753766,5.15585960416927,3.57598288542645,0.000693930935988942,0.31099530852504,-0.608793188039506,"FBLN1"
"ILMN_1751345",-1.13651676678816,6.27049264772356,-3.56760691418825,0.00071247320299695,0.31099530852504,-0.629471873054013,"AP1S1"
"ILMN_1811188",-0.791383645661617,7.21129468155549,-3.56643074817927,0.000715114403864426,0.31099530852504,-0.632373312061015,"BCCIP"
"ILMN_1662681",0.638305735553704,5.03899594832435,3.5570249798259,0.000736573911560324,0.312027178275813,-0.655555681689127,"AMBRA1"
"ILMN_1833131",-0.753679646425138,5.28716177558165,-3.553804773721,0.000744060721488909,0.312027178275813,-0.663484179792192,NA
"ILMN_1718525",-1.16866129294015,5.76821360126006,-3.54452836321156,0.000766034802178532,0.315606338497555,-0.686299872938288,"ITIH4"
"ILMN_1669553",-0.959439762916917,5.84933340542331,-3.52685402754736,0.000809621917515395,0.318460545724563,-0.729672196661698,"UBE2E3"
"ILMN_2214734",-0.816505907938774,5.50462812807325,-3.52587939506709,0.000812092836439723,0.318460545724563,-0.732060147574781,"FRRS1"
"ILMN_1862889",0.674598323043193,5.45966526543566,3.5213859076621,0.000823577892162012,0.318460545724563,-0.743064545462528,NA
"ILMN_1784178",1.00170174330861,5.47283682674649,3.51147920874479,0.000849446633562052,0.318460545724563,-0.767295959169257,"IFT172"
"ILMN_1843621",0.648450685830657,5.30552135005705,3.5058377441229,0.000864521016545308,0.318460545724563,-0.781076421428346,NA
"ILMN_2159384",-0.944872846337016,6.38098932120095,-3.50464012833339,0.000867753673490417,0.318460545724563,-0.784000132037297,"SBDSP1"
"ILMN_1678290",0.728862509963072,6.30050347864214,3.5002191217862,0.00087978678022114,0.318460545724563,-0.794787811709802,"HMG20A"
"ILMN_1734184",0.744925703694347,5.08848780389885,3.49961313676855,0.000881448453078546,0.318460545724563,-0.796265832831661,"PLBD2"
"ILMN_1765326",0.802802781654983,6.98670274814929,3.48244739973275,0.000929776100646759,0.32717682162357,-0.838069398766397,"DGKD"
"ILMN_1706193",0.706638262626321,5.42711523931869,3.48118163789844,0.000933437534013763,0.32717682162357,-0.84114696357023,"ECT2L"
"ILMN_1880359",0.771629234751261,5.83515725168494,3.47011043027784,0.00096605157830952,0.333628753897364,-0.868036416568396,NA
"ILMN_1802834",0.672589112872635,5.11884315248803,3.46057646592025,0.000995001017656627,0.333860956925253,-0.891150403631803,"SMIM10L2B"
"ILMN_1749789",-0.776681147814395,5.27004805100141,-3.45729324508375,0.00100515950173086,0.333860956925253,-0.899101195011995,"H1-3"
"ILMN_1756590",0.748980566019866,7.45961813389413,3.45331497965948,0.00101760034026617,0.333860956925253,-0.908728946873297,"SYS1"
"ILMN_1844915",0.751336067827707,5.30070888845539,3.45141604452636,0.00102359005700129,0.333860956925253,-0.913322142253874,NA
"ILMN_2095577",-0.634635532357579,5.09538921891032,-3.4419162678545,0.00105406013786178,0.339089702432137,-0.936277174197476,"BMPR1A"
"ILMN_1698213",1.02832481858398,5.82112374072587,3.4205452944128,0.00112577938317075,0.34473744638319,-0.987774966045745,"RBM3"
"ILMN_1678305",-0.812569756871303,5.32035052944067,-3.41872232818813,0.00113210657043683,0.34473744638319,-0.992158605486746,NA
"ILMN_1748742",0.549446082296964,5.12658217910453,3.41869578825919,0.00113219893406116,0.34473744638319,-0.992222414676257,NA
"ILMN_1721575",1.07794651701627,6.86179008794,3.41650920180698,0.00113983320971907,0.34473744638319,-0.997478507549144,"VPS18"
"ILMN_2400030",-0.665694517085507,7.89519105600853,-3.41187196322738,0.0011561853864903,0.34473744638319,-1.00861855154378,"PTPN2"
"ILMN_2253246",0.925104511698881,5.15186490768154,3.41088501780388,0.00115969418601056,0.34473744638319,-1.01098828008431,"DNAJC28"
"ILMN_2145423",-0.818727993630913,6.37911210261111,-3.39088863698985,0.00123299501737344,0.355106311901606,-1.05890914080817,"DET1"
"ILMN_1666477",-0.772080928263998,5.10487800829589,-3.38766427418223,0.00124521753402723,0.355106311901606,-1.06661979357175,"RPL35"
"ILMN_1703013",0.849561429461511,5.42708062575425,3.38731973694122,0.00124653032206144,0.355106311901606,-1.0674434393126,"NOC4L"
