"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1847100",-0.852528289617376,5.06812085988939,-5.70157887045406,3.77756545026066e-07,0.00887123470339213,3.78382984941818,NA
"ILMN_1666891",1.17735003239047,5.88929110772013,5.06301899828521,4.14356237629003e-06,0.0486537094223975,2.26345039136752,"LINC01625"
"ILMN_1814229",0.821450680325647,4.96080320179312,4.92661558495449,6.82967488878813e-06,0.0534626950294335,1.94248699353547,NA
"ILMN_1680665",-0.899154546788643,5.70662797313321,-4.53324207618232,2.80347559298269e-05,0.145983135352149,1.02947468501614,"LINC00029"
"ILMN_2388363",1.21062123551474,5.82572709264484,4.50397920198476,3.10814033708375e-05,0.145983135352149,0.962461587595516,"IMPDH1"
"ILMN_1842378",-0.768786824490553,5.02032228757438,-4.39897613313438,4.49009424072906e-05,0.175742288582135,0.723208306895281,NA
"ILMN_1663347",0.640014202039205,5.05636014858666,4.27587365430231,6.87780029004021e-05,0.230740374301863,0.445297085445493,"OTOF"
"ILMN_1908916",-0.994559795728086,5.15488275346934,-4.20103147428778,8.88965525880699e-05,0.260955830122279,0.277810263637458,NA
"ILMN_1728049",0.666874763399651,5.12509947946292,4.15755835303427,0.000103085668474614,0.262271704668969,0.181066314739446,"S100A16"
"ILMN_2157091",-0.985145528080477,5.61582687273174,-4.11524554927878,0.000118985868229126,0.262271704668969,0.0873027009978999,"PIK3CD-AS1"
"ILMN_1751904",-0.93947644092133,6.09370374177327,-4.10579257581564,0.000122849120735763,0.262271704668969,0.0664101425954007,"EDNRB"
"ILMN_1768491",0.807137450005974,6.04883885693746,4.03976152785118,0.00015341928593255,0.287264876346219,-0.0789546032504553,"TBC1D25"
"ILMN_1895853",0.977997116093737,5.82435862067053,4.02905753054091,0.000159020754236963,0.287264876346219,-0.102422550575143,NA
"ILMN_1820772",0.933035251730734,5.28360213083924,3.91322280942824,0.000233720053162485,0.382448195942573,-0.354588100927931,NA
"ILMN_1678863",-0.924762460045474,5.79895072619713,-3.8948241149613,0.000248335129053588,0.382448195942573,-0.394328910532732,"ZBED10P"
"ILMN_1725831",1.00319242248131,5.93525155765652,3.86693183569962,0.000272178812573438,0.382448195942573,-0.454406927841371,"TINCR"
"ILMN_1734184",0.818597804057979,5.08848780389885,3.84571993502676,0.000291768184836705,0.382448195942573,-0.499957862505431,"PLBD2"
"ILMN_1811650",-0.737882221473343,8.15310111051096,-3.84428761150203,0.000293138627447041,0.382448195942573,-0.503029326059726,"DUS2"
"ILMN_1773959",-0.680766508267199,4.96801918360874,-3.79100669457857,0.000348741325141286,0.383344313101994,-0.616888308187439,"ST6GALNAC5"
"ILMN_1877818",-0.818740388059345,5.10613821527161,-3.78681112894733,0.000353525142841059,0.383344313101994,-0.625820888894049,NA
"ILMN_1848928",-0.730144492862369,5.12383648580891,-3.76581947302257,0.000378419730720796,0.383344313101994,-0.670439405056453,NA
"ILMN_1651967",-0.699784802777996,4.98711071908715,-3.7593868603605,0.000386378652397515,0.383344313101994,-0.684087369120215,"TP53I3"
"ILMN_2276987",0.84899079329469,4.83645261270122,3.74909518391012,0.000399446664896179,0.383344313101994,-0.705898684075649,"UBXN11"
"ILMN_1769910",-0.816265574201028,5.32865391026075,-3.74902814243078,0.000399533163164461,0.383344313101994,-0.706040667559406,"ULBP3"
"ILMN_1687572",0.824630017477892,5.59607935387594,3.74246307836671,0.000408090948200897,0.383344313101994,-0.71993825596834,NA
"ILMN_1678814",0.725331753266714,6.42901346740231,3.68933804190198,0.000484092859146596,0.422139870363814,-0.831941821266068,"UBL5"
"ILMN_1761793",-1.1777934620583,5.59648303309207,-3.6820144928013,0.000495575872364348,0.422139870363814,-0.847317474135598,"APOL1"
"ILMN_1767433",1.02794288276544,6.60927896128741,3.67716783191548,0.00050331784918186,0.422139870363814,-0.857484235090709,"TBC1D5"
"ILMN_1722012",-0.865618632677543,5.28029701235975,-3.64486863810092,0.000557940273151516,0.451816185334145,-0.925059051417853,NA
"ILMN_1656939",-0.840406037617031,5.48496159410233,-3.58718953835896,0.000669840058861129,0.503601094070929,-1.04494603836228,NA
"ILMN_1685544",-0.804430408581114,5.32439332712141,-3.58323928599621,0.00067823950850133,0.503601094070929,-1.0531191816383,"MPPED1"
"ILMN_1680378",-0.832406070794863,6.78296614908039,-3.57952813049037,0.000686221896196122,0.503601094070929,-1.06079319542141,"RBM45"
"ILMN_2128293",-0.809479174572931,7.05443112104154,-3.55860771953476,0.000732920459267037,0.521572850467488,-1.10397214345841,"APIP"
"ILMN_1656886",-0.779697875070763,5.91198019702421,-3.53741251626385,0.00078330792863019,0.525858069791468,-1.1475772086013,"LIN37"
"ILMN_1737819",0.582148568082769,5.10762385110359,3.53724195217184,0.000783726470903653,0.525858069791468,-1.14792753140775,"PPP1R17"
"ILMN_1674181",0.827110584147363,5.27554258911495,3.5135165690855,0.000844064320619231,0.533662130007307,-1.19656630667956,"ADGRA3"
"ILMN_1758750",0.705235588945154,6.35406562320009,3.50342797042859,0.000871037276297085,0.533662130007307,-1.21719361972011,"EARS2"
"ILMN_1736490",-0.687965186725297,5.14193381195902,-3.50282794665331,0.000872667039782826,0.533662130007307,-1.21841939691332,NA
"ILMN_1788793",-0.659384466730264,5.09050315787299,-3.4978661931803,0.00088625545351239,0.533662130007307,-1.22855117685781,"KLF8"
"ILMN_1677136",-0.607923233948299,5.13644030803303,-3.47849598017032,0.000941251645937629,0.552608841329982,-1.26802763121348,NA
"ILMN_1794095",0.917386483286274,5.67641833149865,3.46333656068584,0.000986536550719523,0.558497256584137,-1.29883634684778,"HTR1E"
"ILMN_2052686",0.627056370308037,5.23053738068583,3.45357023801093,0.00101679773082126,0.558497256584137,-1.31864422466205,"LCA5"
"ILMN_1719533",0.629334970187311,5.189493690339,3.4513283302462,0.00102386753615388,0.558497256584137,-1.32318673656565,"PCDHGB4"
"ILMN_1670304",0.848703463711868,6.26398996940835,3.43328602136968,0.00108248499339622,0.558497256584137,-1.35968245521739,"FAM156A"
"ILMN_1895009",-0.595188294162931,5.24633953136847,-3.43042687837056,0.00109206111162989,0.558497256584137,-1.36545584382611,NA
"ILMN_1865477",-0.895978401888517,5.67320173006092,-3.4255162619044,0.00110869584719506,0.558497256584137,-1.37536527591663,NA
"ILMN_1789905",-1.07373313482829,5.22324214997959,-3.42030123326755,0.00112662452886311,0.558497256584137,-1.38588006723789,"PAX6"
"ILMN_2289775",-0.873052959219573,6.1398882101272,-3.41602293843267,0.00114153757094356,0.558497256584137,-1.39449928392541,"HAX1"
"ILMN_1739640",-0.725494828041279,5.64257192337996,-3.40285968754741,0.00118860267178733,0.569656023352117,-1.42097939735986,"DCHS1"
"ILMN_1882185",0.633850146751746,5.05960762306919,3.39178864982022,0.00122960368156672,0.577520257158256,-1.44320478913538,NA
"ILMN_1802185",0.530473550532736,5.25492244192148,3.38432779055788,0.00125798571090125,0.579265420290293,-1.45815888851731,NA
"ILMN_1744094",0.710813321479693,5.22726470156965,3.37141304574074,0.00130858549599004,0.590977342073655,-1.48399896359009,"SPPL2C"
"ILMN_1855727",0.684503446334873,5.16457159213031,3.35651055895102,0.0013693642130268,0.6043070595691,-1.51374411576444,NA
"ILMN_1654792",-0.896207678083792,5.46553593313767,-3.35169532710064,0.00138956656518189,0.6043070595691,-1.52333866420115,NA
"ILMN_2217661",-1.21781736694817,6.0951723530636,-3.34555287755327,0.00141574622627845,0.604497897780421,-1.53556594183889,"SREBF2"
"ILMN_1768279",1.09609466668476,6.3140341427246,3.33178274975377,0.00147613881132904,0.616802043333995,-1.56292873109864,"NME6"
"ILMN_2041648",0.957696213522273,5.40839013944409,3.32712922148852,0.00149709233818931,0.616802043333995,-1.57216065532008,"TMPRSS7"
"ILMN_1694798",0.726206577655523,6.10449417074635,3.31757935397823,0.00154097527369414,0.619152637411763,-1.5910821160456,"TMEM267"
"ILMN_1698185",-0.753419623185342,5.15511564296433,-3.31446911258552,0.00155552740620397,0.619152637411763,-1.5972375253802,"WDR90"
"ILMN_2224569",-0.616484959154379,5.07473728347273,-3.30467711915828,0.00160219335927796,0.619829901242062,-1.61659406182607,"FOXB1"
"ILMN_1717119",-0.914174734313705,5.82676260375408,-3.30130618594845,0.00161856162488833,0.619829901242062,-1.6232496770894,NA
"ILMN_1897682",-0.775025828016381,5.86569937205116,-3.29703991230002,0.00163950356734052,0.619829901242062,-1.63166721025634,NA
