"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1804498",1.72487106200275,9.07314781092332,7.16442252326123,1.26634814805958e-09,2.97389199090313e-05,7.67058911216379,"BRAT1"
"ILMN_1847100",-0.99220512131355,5.06812085988939,-6.63571616770234,1.01352989309107e-08,0.000119008680046753,6.37293117407563,NA
"ILMN_2400926",-1.32721632002643,5.52236931403935,-4.69673135675052,1.56753663338665e-05,0.122706767661507,1.58223694950475,"OPRL1"
"ILMN_1879649",0.65501947983736,4.92232883213336,4.49949525813588,3.15758602299816e-05,0.172140395251811,1.11173552254644,NA
"ILMN_1663065",0.764965645614267,5.39278550798322,4.41533915210793,4.24098162293273e-05,0.172140395251811,0.913057130370718,NA
"ILMN_1744146",-1.12221015794949,6.18281820368627,-4.37949643427461,4.80522887982416e-05,0.172140395251811,0.828848773820638,"PTTG2"
"ILMN_1880262",0.826191926339137,5.3391677761595,4.36061816567164,5.13107974264467e-05,0.172140395251811,0.784598579091486,NA
"ILMN_1882284",0.889745922166225,5.24312311835361,4.22096405216274,8.30413044327892e-05,0.213060584024034,0.459550998342259,NA
"ILMN_1776158",0.77731666607566,5.35278236771862,4.20321457985571,8.82362698173837e-05,0.213060584024034,0.418541416135379,NA
"ILMN_1758315",1.07289132192659,6.62801221751386,4.1568399388211,0.000103337629362853,0.213060584024034,0.311732147844719,"SLC9A9"
"ILMN_1776679",-1.04537955324747,5.49755437858196,-4.13564956264964,0.000111043162312941,0.213060584024034,0.263092694132848,"TAFAZZIN"
"ILMN_1743966",1.07516231155144,6.20411567240472,4.12330320139572,0.000115785758775973,0.213060584024034,0.234802235882533,"BCL9L"
"ILMN_1876400",-0.775154976891922,4.98513056886808,-4.10024457852633,0.000125172614221845,0.213060584024034,0.182063200975942,NA
"ILMN_1801467",-1.23047388492816,5.80232338079335,-4.09591284458102,0.000127016188738566,0.213060584024034,0.17217007600672,NA
"ILMN_1806464",-0.861211038494046,5.25033984413444,-3.94303609630758,0.000211777837087426,0.331559381744074,-0.173969664368802,"PRSS55"
"ILMN_1722789",0.695734070790621,5.43561341627673,3.87123371488163,0.000268363067771608,0.379760522318227,-0.334422206447448,"SPMAP2"
"ILMN_2048647",0.90257005488129,4.73732526602022,3.85415075167512,0.000283825400970718,0.379760522318227,-0.372386935386471,"NBEA"
"ILMN_1849762",0.635462712331729,5.14770667366406,3.84644312106108,0.000291078581235228,0.379760522318227,-0.389489295430919,NA
"ILMN_1676793",0.941241734008904,5.2294240165746,3.80807627682908,0.000329910508690751,0.390311865890783,-0.474369272288319,NA
"ILMN_1901532",0.93576529979589,5.62376004730632,3.80576068908406,0.000332406630804619,0.390311865890783,-0.47947856859913,NA
"ILMN_1657497",-1.04006467335521,5.2726862320322,-3.77978724447325,0.000361674914117344,0.390558741395362,-0.536681480989078,"KIAA0319"
"ILMN_1806782",-0.77393088733213,6.05267929585759,-3.76805312504183,0.000375692996927982,0.390558741395362,-0.562459356658358,"ZNF235"
"ILMN_1842378",-0.657552770498563,5.02032228757438,-3.76249807040639,0.000382509412880827,0.390558741395362,-0.574648670508147,NA
"ILMN_1684251",0.703516970918456,5.02082619118227,3.71336293121583,0.000448181749163894,0.427903484729488,-0.682062336125867,"PRSS46P"
