"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1687572",1.05290968283151,5.59607935387594,4.77573134308037,1.17604947712466e-05,0.138104682787617,1.53100295142879,NA
"ILMN_1833131",-0.987834423688563,5.28716177558165,-4.63961944689109,1.91613015956673e-05,0.138104682787617,1.21895815146598,NA
"ILMN_1744146",-1.18356358051924,6.18281820368627,-4.61525517359743,2.08985648606735e-05,0.138104682787617,1.16337553553203,"PTTG2"
"ILMN_1768491",0.894387088660566,6.04883885693746,4.47340459351244,3.45091423267166e-05,0.171035936656789,0.841587132400037,"TBC1D25"
"ILMN_1656977",-0.734833227686176,7.4138152494469,-4.27282011834872,6.9331964734991e-05,0.274901240174239,0.392457802750501,"HIBCH"
"ILMN_1666891",0.960189553508856,5.88929110772013,4.14731995989067,0.00010649212738003,0.351867737551515,0.115432699495272,"LINC01625"
"ILMN_1911044",0.973501946436343,5.89560126091013,4.06794806823933,0.000139268186551604,0.394427399769364,-0.0580219331488045,NA
"ILMN_1771878",-1.0973623796239,5.74489804450688,-3.98486313900128,0.000183941163379774,0.415255588302982,-0.238039656972222,"SUSD5"
"ILMN_1859531",-0.995517409010768,5.51576924039243,-3.97324813482484,0.000191193678959979,0.415255588302982,-0.263074165537394,NA
"ILMN_2342630",0.838347559541345,5.31466697342842,3.94533973920692,0.000209763034932122,0.415255588302982,-0.323091486799534,"ADGRL1"
"ILMN_1831363",0.863272245976978,5.71533713556153,3.91697775414617,0.00023040663159308,0.415255588302982,-0.38388563777482,NA
"ILMN_2262901",-0.858356643241024,6.73457447378799,-3.87948319902412,0.000260713015078216,0.430719626993802,-0.463942094689284,"RUFY3"
"ILMN_2063584",-0.913230025289477,6.03114402648181,-3.83158586066629,0.000305029954054694,0.436040917780354,-0.56567850344884,"CLIC4"
"ILMN_1809662",-0.883918800195197,6.36673514364795,-3.81274718521216,0.000324370116413718,0.436040917780354,-0.605525931375295,"MZT1"
"ILMN_1895009",-0.658303194022256,5.24633953136847,-3.77616584070499,0.000365335662076936,0.436040917780354,-0.682627787335496,NA
"ILMN_1856320",0.865589721353496,5.26588305893301,3.77386864050169,0.000368067173344648,0.436040917780354,-0.687457313908001,NA
"ILMN_1673953",0.933826574143901,5.39836338376656,3.76901208205273,0.000373906461652763,0.436040917780354,-0.697662712782536,"HRH1"
"ILMN_2081645",0.878042446567524,6.41006590415122,3.71515834766842,0.000444897045825295,0.490004662971471,-0.8103867051328,"RSPO2"
"ILMN_1760855",-0.853651839786816,6.19874151958366,-3.65807731303363,0.000534145669483974,0.534227716280505,-0.928960152726453,"OCRL"
"ILMN_1678612",-0.770206775851086,6.98683610433956,-3.65527346044904,0.000538943471657509,0.534227716280505,-0.934760009670085,"ANXA6"
"ILMN_1903858",0.879075720645669,5.8535761923486,3.6293242781353,0.000585341796227309,0.552590529057448,-0.98832592132217,NA
"ILMN_2123719",0.692641848892088,5.43445531646502,3.59422668624543,0.000654190196338354,0.57541851598865,-1.06045466101727,NA
"ILMN_1903750",0.558886668857066,5.25886017094169,3.58195612501019,0.000680031710294749,0.57541851598865,-1.08558328910054,NA
"ILMN_1738342",0.852695426227105,6.11950742476923,3.57314625683821,0.000699181650922903,0.57541851598865,-1.10359627428168,"METTL15"
"ILMN_1738938",-0.968977116399538,6.36635841733654,-3.55337789517328,0.000744037861850746,0.57541851598865,-1.14392788524756,"TIMM8B"
"ILMN_1739164",-0.974081509923385,5.94076678924822,-3.5488684196913,0.000754647234083476,0.57541851598865,-1.15311110248932,"CDC14A"
"ILMN_1783182",0.726872526320681,5.32825131259937,3.53655713408909,0.000784349602893156,0.575915958420623,-1.17814965689853,"FBN1"
"ILMN_2285280",-0.733807622495809,5.23597525692993,-3.49408395942632,0.000895585587339442,0.608034284749909,-1.26416236451948,"CSH2"
"ILMN_1654792",-0.925534636103262,5.46553593313767,-3.46574046177753,0.000977983872644067,0.608034284749909,-1.32123825163998,NA
"ILMN_1725327",0.877685882623354,5.26151426694438,3.46259479664748,0.000987559943945868,0.608034284749909,-1.3275566132368,NA
"ILMN_1680239",-0.864060165180323,7.05842700591324,-3.46226162612004,0.000988579379654356,0.608034284749909,-1.32822562753806,"NUDT9"
"ILMN_1742008",0.604156773887512,5.20191357367056,3.45285478375563,0.00101777791292629,0.608034284749909,-1.34709975653275,NA
"ILMN_2398995",-0.80619781412708,7.09141169885864,-3.44647949753934,0.00103802960941471,0.608034284749909,-1.35987474016034,"MRPL24"
"ILMN_1898130",0.716646024679279,5.54759500060214,3.44500033111354,0.00104278263210577,0.608034284749909,-1.36283681977391,NA
"ILMN_1757425",0.726334660882445,5.65484058361996,3.41777569035333,0.00113403603182796,0.627010494090911,-1.41722535659747,"RIMBP3"
"ILMN_2233604",1.04083701787854,5.80151518420061,3.40657620763779,0.00117372922360999,0.627010494090911,-1.43952742859961,"ECSIT"
"ILMN_2411559",-0.849646577394383,6.44942789936801,-3.4028767760051,0.00118712729422324,0.627010494090911,-1.44688501144899,"PUS1"
"ILMN_2123871",-0.732040307619461,6.2812099822115,-3.39021570995193,0.00123408534012472,0.627010494090911,-1.47203084980346,"TMEM18"
"ILMN_1867692",0.657132782568683,5.24169868571606,3.37585993700044,0.00128945398338193,0.627010494090911,-1.50047661217441,NA
"ILMN_1722742",0.774253772130985,6.12250483170836,3.372429605159,0.00130302794970901,0.627010494090911,-1.50726334907953,"SCLY"
"ILMN_1901532",0.826180819037601,5.62376004730632,3.36169755578289,0.00134637307027322,0.627010494090911,-1.52847008972355,NA
"ILMN_1680727",-0.913537970106985,6.59102956501835,-3.35915910597894,0.00135682299272307,0.627010494090911,-1.53348032213627,"GLRX2"
"ILMN_1821479",-0.624691568021503,5.74657783714933,-3.35839770844118,0.0013599723200963,0.627010494090911,-1.53498268750809,NA
"ILMN_1850027",0.692884734146794,5.54500509328173,3.34627494199161,0.00141105520104402,0.631159913714512,-1.55887594935494,NA
"ILMN_1871739",0.612710177953273,5.33785272729938,3.32747966738618,0.00149385276260088,0.631159913714512,-1.59581938375782,NA
"ILMN_1720322",-0.729770713991263,6.99607263996348,-3.32745338832128,0.00149397167547967,0.631159913714512,-1.59587095075682,"PTS"
"ILMN_1761782",0.763535775822817,5.38881264316777,3.31881447255925,0.00153355085152853,0.631159913714512,-1.61280983375667,"RAMP3"
"ILMN_1733654",-0.654303689577102,5.24132770144023,-3.29068495003212,0.00166939297233929,0.631159913714512,-1.66778278361259,"EOLA2"
"ILMN_1665686",0.82441858025162,5.6216752891701,3.2856117011201,0.00169506962467877,0.631159913714512,-1.67766742109466,"PIEZO2"
"ILMN_1697599",-0.682809288436392,5.73226986938547,-3.27325275061962,0.00175918713601521,0.631159913714512,-1.70170887441389,NA
"ILMN_1822408",0.629528576316709,5.35168548192392,3.2659910415052,0.00179791905550882,0.631159913714512,-1.71580925509228,NA
"ILMN_1781803",0.845204476586737,5.51676296456611,3.26112479446486,0.00182432217705138,0.631159913714512,-1.72524762545689,"FIZ1"
"ILMN_1680902",0.626810991645862,5.34865329989462,3.25776099546717,0.00184278632580432,0.631159913714512,-1.73176690885798,"LINC01114"
"ILMN_1777024",0.759382331433497,5.56129269709748,3.25597561521819,0.00185265774967041,0.631159913714512,-1.73522544029377,"PCDHAC2"
"ILMN_1665094",-0.827203561237263,5.1825067936968,-3.25332599150503,0.00186739940534768,0.631159913714512,-1.74035600353752,"SPTLC1"
"ILMN_2221784",0.807679990390837,5.35322221593348,3.25245437563194,0.00187227288383204,0.631159913714512,-1.74204318876439,"LRRC75A"
"ILMN_1828031",0.734195013474325,5.99973647490836,3.24068475394619,0.00193926381444942,0.631159913714512,-1.76479858505713,NA
"ILMN_1714216",0.834997158376773,6.48288188167429,3.24035324442667,0.00194118298181168,0.631159913714512,-1.76543879533036,"TSC2"
"ILMN_1680867",-0.657230545009468,6.67205754260082,-3.23398439278247,0.00197840211810044,0.631159913714512,-1.77773051125637,"MCM9"
