"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.914427429813218,5.05636014858666,-9.01854990470246,8.63961988152039e-13,2.02892833297625e-08,16.843300744925,"OTOF"
"ILMN_2224657",0.774582589124432,5.3614684194736,5.82478311013874,2.35892507261011e-07,0.00276984982025879,6.36139877894216,"KLRG2"
"ILMN_1867060",0.665005720727118,5.43146451109635,5.60106219172089,5.53664946649541e-07,0.00433408920237261,5.63069201616625,NA
"ILMN_1692731",-1.02118165374448,7.07955421190533,-5.22809304462642,2.24944514977046e-06,0.0132064924743024,4.42788096779706,"TTYH3"
"ILMN_2376553",0.900818969484569,6.23920109895851,5.14907463971922,3.01590541899632e-06,0.0141651045719419,4.17605676923575,"SLC23A1"
"ILMN_1862483",0.558759254320669,5.29565175916163,5.03103228696491,4.6607028128537e-06,0.0173174376457904,3.80213840337866,NA
"ILMN_1724181",-0.623753536123558,7.22662682245038,-4.99969553580337,5.22856801127086e-06,0.0173174376457904,3.70335740612831,"IL15"
"ILMN_1666453",-0.847159324020211,7.04401442140472,-4.96672377338052,5.89931447650841e-06,0.0173174376457904,3.59965096575314,"STK3"
"ILMN_1719949",0.796834548240199,5.96975586009931,4.83401144675304,9.56145352487961e-06,0.0244496713807971,3.18470860739648,NA
"ILMN_1714717",0.811973665776755,6.39681990129353,4.8104740253554,1.04112039604825e-05,0.0244496713807971,3.11154826095504,"TMEM184C"
"ILMN_1745817",-0.931300230985549,5.36144051157874,-4.72505294670045,1.41618523732379e-05,0.0302342673757382,2.84719048000336,"NELL1"
"ILMN_1663577",0.592263255022803,7.43420720300159,4.67274092895353,1.70800929793054e-05,0.0318266662260665,2.68622039889812,"S100PBP"
"ILMN_2166093",-1.05354136474428,6.00136306681245,-4.66405760689274,1.76182362859336e-05,0.0318266662260665,2.65957073745142,"PIK3C2A"
"ILMN_1683678",-0.878706645141664,5.5694266039072,-4.63270173415106,1.97028078651193e-05,0.0330500528503187,2.56350643226127,"SPATS2L"
"ILMN_1722923",0.681662615715912,5.1455320525757,4.55358815816072,2.60900202957886e-05,0.0408465357750866,2.32233138624546,"SRGAP3"
"ILMN_1656487",0.930491140218502,7.68834711051664,4.51139422916376,3.02802221205057e-05,0.0444437960173722,2.1944307510084,"FGA"
