"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.994653934154218,5.05636014858666,-9.93963468067543,2.48976818662469e-14,5.84697160946942e-10,19.8801335613417,"OTOF"
"ILMN_1875138",0.493809114782858,5.05618641495063,5.30313804706218,1.70047966476221e-06,0.0199670322236378,4.70645554137375,NA
"ILMN_1768812",-0.875537884582407,5.30643379300108,-5.06171690838241,4.16346828666112e-06,0.0217964605647146,3.93184393149983,"FXYD6"
"ILMN_1654639",-0.846713414456409,7.73698915502331,-5.01348054552141,4.97085766656758e-06,0.0217964605647146,3.77847654265464,"HERC6"
"ILMN_1714349",-0.938710067847601,6.21294228575738,-4.9662722467668,5.90906191809128e-06,0.0217964605647146,3.6288671648912,"GLCE"
"ILMN_2123871",-0.72081036957497,6.2812099822115,-4.93456346172998,6.63455694071473e-06,0.0217964605647146,3.52865753915254,"TMEM18"
"ILMN_1785926",0.574435795166932,7.62462879787185,4.93374282931948,6.65444755570903e-06,0.0217964605647146,3.52606712343385,"ZNF621"
"ILMN_1782741",-1.03829861644643,7.212560803163,-4.90366814755681,7.42512708728142e-06,0.0217964605647146,3.43124033598344,"CD300LB"
"ILMN_2167426",-0.83787590203767,6.15967881655716,-4.81927816672844,1.00850405931562e-05,0.0230041010350015,3.16629835309065,"ASPHD2"
"ILMN_1748454",0.614942946199942,5.69362387989407,4.81207081518478,1.03512918453179e-05,0.0230041010350015,3.14375111774113,"SPATA31C1"
"ILMN_1737380",-0.736571167462524,5.88411320729271,-4.80096145204499,1.0775213395717e-05,0.0230041010350015,3.10902222935254,"BCAP29"
"ILMN_1797001",-0.771775275523082,7.27018965042575,-4.74152407313507,1.33483226856153e-05,0.024398997986205,2.92374477221867,"RIGI"
"ILMN_1714083",-0.637232352384107,7.89550793226757,-4.7360797869696,1.36120357239074e-05,0.024398997986205,2.90681920273036,"KLHL8"
"ILMN_2349061",-0.911338529114299,8.07638309525085,-4.71760423368866,1.45454765715751e-05,0.024398997986205,2.84943877773669,"IRF7"
"ILMN_1692731",-0.871939926467524,7.07955421190533,-4.52311697179462,2.90544597522291e-05,0.0444394655952671,2.25105509259672,"TTYH3"
"ILMN_1872564",-0.700970753382388,5.21156905263467,-4.49126180821323,3.25038005679831e-05,0.0444394655952671,2.15407614154984,NA
"ILMN_2400219",-0.617921440906325,6.55496134503457,-4.48527520505935,3.31951254307788e-05,0.0444394655952671,2.13588452539217,"SRI"
"ILMN_2387919",-0.543085597420936,7.36432072053316,-4.45265060657956,3.72215067208061e-05,0.0444394655952671,2.0369380392216,"PRKAG2"
"ILMN_2197225",-0.629661911062641,6.37111737808211,-4.44943257463411,3.76434875712917e-05,0.0444394655952671,2.02719571866427,"EIF4EBP3"
"ILMN_1805330",0.69607829034729,5.24416209788388,4.44789620312775,3.7846589674048e-05,0.0444394655952671,2.02254560456368,"KLHL26"
"ILMN_1685843",-0.504821636613132,4.95295069917686,-4.41783072864382,4.20424783033922e-05,0.044888587260322,1.93169361668944,"KIR2DL5A"
"ILMN_2385161",-0.524025762606837,7.35701606671611,-4.41776595023761,4.20519894279971e-05,0.044888587260322,1.93149817222646,"CUL4B"
"ILMN_1903157",0.635439233426698,5.12378064374179,4.38608935949489,4.69623840565074e-05,0.0459848528256038,1.83608393182692,NA
"ILMN_1873967",0.585961855433889,5.50745131362262,4.38588838219757,4.69952507159978e-05,0.0459848528256038,1.83547957283544,NA
"ILMN_1803882",-0.551450494171278,5.08603777992044,-4.36209402675895,5.10485079721976e-05,0.0460713537962865,1.76401865404668,"VEGFA"
