"","logFC","AveExpr","t","P.Value","adj.P.Val","B","Symbol"
"ILMN_1663347",-0.879336358276991,5.05636014858666,-8.70421301775704,2.88965694833094e-12,5.72874490006608e-08,16.0013828521619,"OTOF"
"ILMN_1743755",-0.878219422443294,6.24999116200832,-5.82027893038281,2.38471074663736e-07,0.00236384452760429,6.40474528138587,"C6orf226"
"ILMN_1701924",0.819253669285732,5.3547891577948,5.46272094789364,9.29335073100776e-07,0.00614135594140763,5.23001243864837,"LINC00924"
"ILMN_1745817",-0.989266899456992,5.36144051157874,-5.1865570107924,2.61288146158849e-06,0.012950093743998,4.33589384882633,"NELL1"
"ILMN_1867060",0.592443800873006,5.43146451109635,5.03062294513075,4.64844503732931e-06,0.0180522079807611,3.83733910702222,NA
"ILMN_1734365",0.543673763460048,5.27753504655457,4.94691206575354,6.31731584805152e-06,0.0180522079807611,3.57182470653735,"PAX2"
"ILMN_1768575",-0.768704555630431,5.20294364212785,-4.94446499164106,6.37404569308085e-06,0.0180522079807611,3.564086701116,"SFTPD"
"ILMN_2146418",0.80067243380335,5.74961315687441,4.87400342056107,8.2397258318029e-06,0.0186008313279822,3.34187316389781,"CRIM1"
"ILMN_1713290",-0.813368100257818,7.04215280833269,-4.86725439228038,8.44426138470819e-06,0.0186008313279822,3.32065040274549,"GLT8D1"
"ILMN_1683678",-0.889687376929937,5.5694266039072,-4.81558420267607,1.01837427699516e-05,0.0194059480537989,3.15853663824201,"SPATS2L"
"ILMN_1873967",0.643731621658671,5.50745131362262,4.80016810618919,1.07674869403172e-05,0.0194059480537989,3.11029663458502,NA
"ILMN_1715661",-0.50759774039681,8.3913369261048,-4.69965916249472,1.54599046737931e-05,0.0255410508464957,2.79727271963684,"TFAM"
"ILMN_1724181",-0.564086621007976,7.22662682245038,-4.58317451347519,2.34219205229122e-05,0.0357184287974411,2.43787936307778,"IL15"
"ILMN_1718565",-1.15824659627494,6.36116828232633,-4.55324904346063,2.60420588381777e-05,0.0359895780755962,2.34616539069678,"CDKN1C"
"ILMN_1810289",-0.954383950750959,7.68103598725987,-4.54063186810481,2.72304499941459e-05,0.0359895780755962,2.3075747345542,"MYOF"
